Date,High,Low,Open,Close,adjust,Volume
2018-06-12,10.5,10.5,10.5,10.5,10.5,0
2018-06-13,10.5,10.5,10.5,10.5,10.5,0
2018-06-14,10.5,10.5,10.5,10.5,10.5,0
2018-06-15,10.5,10.5,10.5,10.5,10.5,0
2018-06-18,10.5,10.5,10.5,10.5,10.5,0
2018-06-19,10.5,10.5,10.5,10.5,10.5,0
2018-06-20,10.5,10.5,10.5,10.5,10.5,0
2018-06-21,10.5,10.5,10.5,10.5,10.5,0
2018-06-22,10.5,10.5,10.5,10.5,10.5,0
2018-06-25,10.5,10.5,10.5,10.5,10.5,0
2018-06-26,10.5,10.5,10.5,10.5,10.5,0
2018-06-27,10.5,10.5,10.5,10.5,10.5,0
2018-06-28,10.5,10.5,10.5,10.5,10.5,0
2018-06-29,8.6,8.2,8.6,8.3,8.3,1100
2018-07-02,7.6,7.4,7.5,7.4,7.4,600
2018-07-03,6.4,6.4,6.4,6.4,6.4,800
2018-07-04,6.1,6.1,6.1,6.1,6.1,200
2018-07-05,6.2,6.2,6.2,6.2,6.2,100
2018-07-06,5.9,5.8,5.9,5.8,5.8,200
2018-07-09,5.8,5.8,5.8,5.8,5.8,100
2018-07-10,6.0,5.9,5.9,6.0,6.0,700
2018-07-11,6.1,5.9,5.9,6.0,6.0,800
2018-07-12,6.1,6.1,6.1,6.1,6.1,200
2018-07-13,5.7,5.6,5.7,5.7,5.7,700
2018-07-16,5.6,5.6,5.6,5.6,5.6,0
2018-07-17,5.7,5.7,5.7,5.7,5.7,200
2018-07-18,5.8,5.8,5.8,5.8,5.8,100
2018-07-19,5.8,5.8,5.8,5.8,5.8,0
2018-07-20,5.8,5.8,5.8,5.8,5.8,0
2018-07-23,6.1,6.1,6.1,6.1,6.1,100
2018-07-24,5.9,5.9,5.9,5.9,5.9,100
2018-07-25,5.7,5.7,5.7,5.7,5.7,100
2018-07-26,5.7,5.7,5.7,5.7,5.7,0
2018-07-27,5.8,5.8,5.8,5.8,5.8,100
2018-07-30,5.8,5.8,5.8,5.8,5.8,0
2018-07-31,5.8,5.8,5.8,5.8,5.8,0
2018-08-01,5.8,5.8,5.8,5.8,5.8,0
2018-08-02,5.8,5.8,5.8,5.8,5.8,0
2018-08-03,5.8,5.8,5.8,5.8,5.8,0
2018-08-06,5.8,5.8,5.8,5.8,5.8,0
2018-08-07,6.1,6.1,6.1,6.1,6.1,200
2018-08-08,6.0,6.0,6.0,6.0,6.0,100
2018-08-09,6.3,6.3,6.3,6.3,6.3,100
2018-08-10,6.3,6.3,6.3,6.3,6.3,0
2018-08-13,6.3,6.3,6.3,6.3,6.3,0
2018-08-14,6.3,6.3,6.3,6.3,6.3,0
2018-08-15,6.3,6.3,6.3,6.3,6.3,0
2018-08-16,6.3,6.3,6.3,6.3,6.3,0
2018-08-17,6.2,6.1,6.1,6.1,6.1,500
2018-08-20,5.9,5.8,5.9,5.8,5.8,200
2018-08-21,5.7,5.7,5.7,5.7,5.7,300
2018-08-22,5.6,5.5,5.5,5.5,5.5,400
2018-08-23,5.5,5.2,5.2,5.2,5.2,300
2018-08-24,5.3,5.3,5.3,5.3,5.3,0
2018-08-27,5.5,5.3,5.4,5.3,5.3,500
2018-08-28,5.2,5.0,5.2,5.0,5.0,400
2018-08-29,5.1,5.1,5.1,5.1,5.1,0
2018-08-30,5.5,5.5,5.5,5.5,5.5,100
2018-08-31,5.5,5.5,5.5,5.5,5.5,0
2018-09-04,5.5,5.5,5.5,5.5,5.5,0
2018-09-05,5.5,5.5,5.5,5.5,5.5,0
2018-09-06,5.5,5.5,5.5,5.5,5.5,0
2018-09-07,5.5,5.5,5.5,5.5,5.5,0
2018-09-10,5.5,5.5,5.5,5.5,5.5,0
2018-09-11,5.5,5.5,5.5,5.5,5.5,0
2018-09-12,5.5,5.5,5.5,5.5,5.5,0
2018-09-13,5.5,5.5,5.5,5.5,5.5,0
2018-09-14,5.5,5.5,5.5,5.5,5.5,0
2018-09-17,5.5,5.5,5.5,5.5,5.5,0
2018-09-18,5.5,5.5,5.5,5.5,5.5,0
2018-09-19,5.5,5.5,5.5,5.5,5.5,0
2018-09-20,5.5,5.5,5.5,5.5,5.5,0
2018-09-21,5.5,5.5,5.5,5.5,5.5,0
2018-09-24,5.5,5.5,5.5,5.5,5.5,0
2018-09-25,5.5,5.5,5.5,5.5,5.5,0
2018-09-26,5.5,5.5,5.5,5.5,5.5,0
2018-09-27,5.5,5.5,5.5,5.5,5.5,100
2018-09-28,5.6,5.6,5.6,5.6,5.6,300
2018-10-01,5.7,5.7,5.7,5.7,5.7,200
2018-10-02,5.8,5.8,5.8,5.8,5.8,300
2018-10-03,5.9,5.8,5.9,5.8,5.8,300
2018-10-04,5.9,5.9,5.9,5.9,5.9,0
2018-10-05,5.7,5.7,5.7,5.7,5.7,100
2018-10-08,5.6,5.6,5.6,5.6,5.6,200
2018-10-09,5.5,5.5,5.5,5.5,5.5,200
2018-10-10,5.5,5.5,5.5,5.5,5.5,0
2018-10-11,5.5,5.5,5.5,5.5,5.5,0
2018-10-12,5.6,5.6,5.6,5.6,5.6,100
