Date,High,Low,Open,Close,adjust,Volume
2020-03-18,12.95,12.95,12.95,12.95,9.58,9690
2020-03-19,13.85,13.85,13.85,13.85,10.24,12840
2020-03-20,14.8,14.8,14.8,14.8,10.95,10080
2020-03-23,15.8,15.8,15.8,15.8,11.69,8110
2020-03-24,16.9,16.9,16.9,16.9,12.5,210860
2020-03-25,18.05,18.05,18.05,18.05,13.35,124850
2020-03-26,19.3,19.2,19.3,19.3,14.27,198820
2020-03-27,20.65,20.65,20.65,20.65,15.27,91940
2020-03-30,22.05,22.05,22.05,22.05,16.31,96540
2020-03-31,23.55,23.45,23.55,23.55,17.42,211060
2020-04-01,25.15,25.15,25.15,25.15,18.6,99250
2020-04-03,26.9,26.9,26.9,26.9,19.89,108670
2020-04-06,28.75,28.75,28.75,28.75,21.26,98590
2020-04-07,30.75,30.75,30.75,30.75,22.74,67880
2020-04-08,32.9,32.9,32.9,32.9,24.33,89030
2020-04-09,35.2,35.2,35.2,35.2,26.03,65630
2020-04-10,37.65,32.75,37.65,32.75,24.22,311640
2020-04-13,30.6,30.5,30.6,30.5,22.56,23580
2020-04-14,28.4,28.4,28.4,28.4,21.0,2390
2020-04-15,26.45,26.45,26.45,26.45,19.56,2760
2020-04-16,24.6,24.6,24.6,24.6,18.19,1810
2020-04-17,24.6,22.9,24.6,22.9,16.94,5300
2020-04-20,21.3,21.3,21.3,21.3,15.75,2090
2020-04-21,19.85,19.85,19.85,19.85,14.68,480
2020-04-22,18.5,18.5,18.5,18.5,13.68,5910
2020-04-23,17.25,17.25,17.25,17.25,12.76,5730
2020-04-24,18.45,16.05,16.05,18.45,13.65,493220
2020-04-27,19.7,18.1,19.7,19.2,14.2,349260
2020-04-28,19.0,17.9,18.5,17.9,13.24,185300
2020-04-29,16.65,16.65,16.65,16.65,12.31,141340
2020-05-04,15.5,15.5,15.5,15.5,11.46,50130
2020-05-05,16.0,14.45,14.45,14.9,11.02,347130
2020-05-06,15.9,14.45,14.45,15.9,11.76,150420
2020-05-07,16.0,15.0,16.0,15.3,11.32,109900
2020-05-08,15.3,14.5,15.0,15.3,11.32,299560
2020-05-11,15.5,14.5,14.9,14.9,11.02,230270
2020-05-12,15.45,15.0,15.25,15.45,11.43,158790
2020-05-13,15.45,14.7,15.2,15.0,11.09,169550
2020-05-14,15.0,14.4,14.7,14.55,10.76,203350
2020-05-15,15.0,14.4,14.55,14.7,10.87,254320
2020-05-18,14.8,14.2,14.5,14.4,10.65,130190
2020-05-19,14.7,14.35,14.4,14.5,10.72,227310
2020-05-20,14.6,13.85,14.5,13.85,10.24,227880
2020-05-21,14.1,13.8,13.8,14.0,10.35,222900
2020-05-22,14.2,13.75,14.0,14.2,10.5,227050
2020-05-25,14.3,13.9,13.9,14.2,10.5,156330
2020-05-26,14.25,13.85,14.2,14.25,10.54,158340
2020-05-27,14.25,13.8,14.25,13.85,10.24,111050
2020-05-28,13.95,13.5,13.85,13.9,10.28,103110
2020-05-29,14.0,13.6,14.0,14.0,10.35,113420
2020-06-01,14.05,13.75,14.0,14.05,10.39,234490
2020-06-02,14.25,13.8,14.05,14.1,10.43,100240
2020-06-03,14.2,14.0,14.2,14.2,10.5,893160
2020-06-04,14.5,13.95,14.2,14.3,10.58,142300
2020-06-05,14.35,14.0,14.05,14.35,10.61,128550
2020-06-08,14.4,14.05,14.3,14.4,10.65,160820
2020-06-09,14.45,14.1,14.4,14.45,10.69,138840
2020-06-10,14.1,13.5,14.0,13.95,10.32,275930
2020-06-11,13.95,13.3,13.95,13.3,9.84,164310
2020-06-12,13.3,12.4,13.3,12.4,9.17,230700
2020-06-15,12.15,11.55,12.15,11.55,8.54,253110
2020-06-16,11.55,10.8,10.9,11.5,8.51,257220
2020-06-18,11.6,10.95,11.4,11.4,8.43,157970
2020-06-19,11.5,11.0,11.3,11.5,8.51,229110
2020-06-22,11.65,11.15,11.4,11.65,8.62,256190
2020-06-23,12.45,11.4,11.4,12.45,9.21,267450
2020-06-24,13.3,12.7,13.3,13.3,9.84,154300
