Date,High,Low,Open,Close,adjust,Volume
2012-01-03,20.0,19.0,20.0,19.0,4.99,70200
2012-01-04,19.3,19.0,19.0,19.3,5.07,224200
2012-01-05,20.6,19.4,19.5,19.7,5.18,722478
2012-01-06,19.9,19.4,19.9,19.6,5.15,363100
2012-01-09,19.5,19.3,19.5,19.5,5.12,166000
2012-01-10,19.7,19.4,19.4,19.6,5.15,1647300
2012-01-11,19.7,19.4,19.5,19.5,5.12,158900
2012-01-12,19.6,19.4,19.5,19.5,5.12,106400
2012-01-13,19.7,19.4,19.5,19.6,5.15,83200
2012-01-16,19.9,19.5,19.5,19.8,5.2,155000
2012-01-17,20.0,19.5,19.5,20.0,5.25,238300
2012-01-18,20.1,19.9,19.9,20.1,5.28,86600
2012-01-19,20.5,20.2,20.2,20.4,5.36,192000
2012-01-20,20.8,20.4,20.5,20.5,5.39,129500
2012-01-30,21.4,20.6,21.4,20.8,5.46,114900
2012-01-31,21.3,20.8,20.9,21.2,5.57,2474830
2012-02-01,21.3,20.8,21.3,21.1,5.54,154400
2012-02-02,22.0,21.0,21.0,21.8,5.73,272600
2012-02-03,22.0,20.5,22.0,21.4,5.62,216300
2012-02-06,21.5,21.3,21.5,21.4,5.62,137900
2012-02-07,22.5,21.5,21.5,22.4,5.88,633800
2012-02-08,23.0,22.0,22.0,22.9,6.02,510700
2012-02-09,24.2,22.5,22.6,23.4,6.15,1153700
2012-02-10,23.9,23.0,23.6,23.2,6.09,419700
2012-02-13,23.3,22.2,23.3,22.2,5.83,446900
2012-02-14,22.4,21.6,22.2,21.8,5.73,498500
2012-02-15,22.0,20.9,21.8,21.0,5.52,443300
2012-02-16,21.4,21.0,21.2,21.3,5.6,507500
2012-02-17,21.6,21.3,21.3,21.6,5.67,564000
2012-02-20,22.9,21.6,21.6,22.9,6.02,989013
2012-02-21,23.9,22.4,23.5,22.6,5.94,468700
2012-02-22,23.3,22.3,22.7,23.2,6.09,645440
2012-02-23,23.3,22.6,23.1,23.3,6.12,769300
2012-02-24,23.4,22.9,23.0,22.9,6.02,995200
2012-02-27,23.6,22.9,23.0,23.6,6.2,667700
2012-02-28,23.8,22.9,23.8,23.0,6.04,954100
2012-02-29,23.6,23.0,23.0,23.5,6.17,759468
2012-03-01,24.8,23.5,23.5,24.8,6.51,1927000
2012-03-02,26.1,25.0,25.0,26.1,6.86,2687600
2012-03-05,27.8,26.4,26.4,27.8,7.3,2230300
2012-03-06,29.7,26.9,28.0,27.0,7.09,1920800
2012-03-07,27.0,26.1,27.0,26.1,6.86,1538600
2012-03-08,25.9,24.5,24.6,24.7,6.49,1550100
2012-03-09,25.3,23.8,24.5,24.6,6.46,1298200
2012-03-12,24.6,23.8,24.6,23.8,6.25,845400
2012-03-13,24.9,24.0,24.0,24.6,6.46,591508
2012-03-14,25.1,24.2,25.0,24.5,6.44,550037
2012-03-15,25.4,24.2,24.6,25.1,6.59,791100
2012-03-16,26.4,25.2,26.4,25.3,6.65,817700
2012-03-19,25.7,24.8,25.5,25.1,6.59,610200
2012-03-20,26.0,25.2,25.5,25.7,6.75,987200
2012-03-21,26.1,25.3,25.6,25.8,6.78,1642600
2012-03-22,26.0,25.4,26.0,25.8,6.78,578600
2012-03-23,25.9,25.4,25.6,25.6,6.73,1402600
2012-03-26,26.2,25.7,26.1,25.8,6.78,1229782
2012-03-27,25.8,25.0,25.8,25.0,6.57,1352934
2012-03-28,25.2,24.6,24.9,25.1,6.59,1161691
2012-03-29,25.2,24.1,25.2,24.6,6.46,1104374
2012-03-30,24.8,24.5,24.6,24.6,6.46,953036
2012-04-03,25.1,24.6,24.7,25.0,6.57,358107
2012-04-04,25.3,24.7,25.3,24.8,6.51,310073
2012-04-05,25.3,24.7,24.9,25.2,6.62,428422
2012-04-06,25.5,25.2,25.4,25.3,6.65,949796
2012-04-09,25.5,25.3,25.4,25.4,6.67,694433
2012-04-10,25.5,25.0,25.5,25.2,6.62,514005
2012-04-11,25.8,25.2,25.2,25.6,6.73,745169
2012-04-12,26.7,25.6,25.7,26.3,6.91,2169219
2012-04-13,26.5,25.8,26.5,26.3,6.91,731161
2012-04-16,26.6,25.8,26.0,26.3,6.91,784786
2012-04-17,26.6,26.0,26.2,26.2,6.88,761058
2012-04-18,26.4,25.7,26.1,25.8,6.78,1109054
2012-04-19,25.8,25.3,25.8,25.4,6.67,863187
2012-04-20,25.5,25.2,25.4,25.5,6.7,871324
2012-04-23,27.1,25.2,27.1,25.8,6.78,355689
2012-04-24,25.8,25.5,25.7,25.8,6.78,168693
2012-04-25,26.2,25.7,25.9,25.8,6.78,182796
2012-04-26,26.0,25.2,26.0,25.6,6.73,308126
2012-04-27,25.8,25.4,25.5,25.7,6.75,270534
2012-05-02,25.7,25.3,25.5,25.4,6.67,317371
2012-05-03,25.6,25.2,25.2,25.4,6.67,468892
2012-05-04,25.6,25.3,25.3,25.5,6.7,316211
2012-05-07,25.8,25.5,25.6,25.8,6.78,494076
2012-05-08,26.6,25.7,25.7,25.9,6.8,2311622
2012-05-09,26.2,25.5,25.8,25.9,6.8,324623
2012-05-10,26.3,25.7,25.9,25.9,6.8,653588
2012-05-11,26.0,25.5,25.8,25.6,6.73,377727
2012-05-14,26.3,25.5,25.8,25.6,6.73,1131501
2012-05-15,25.8,25.4,25.6,25.6,6.73,878143
2012-05-16,25.8,25.5,25.6,25.6,6.73,917260
2012-05-17,25.8,25.6,25.6,25.7,6.75,688266
2012-05-18,25.6,25.0,25.6,25.3,6.65,1113612
