Date,High,Low,Open,Close,adjust,Volume
2016-06-29,18.0,13.6,18.0,13.7,5.46,50200
2016-06-30,14.6,13.0,13.7,14.6,5.82,14000
2016-07-01,15.6,14.6,14.6,15.6,6.22,10650
2016-07-04,16.3,14.6,16.3,14.6,5.82,14350
2016-07-05,14.6,13.6,14.0,13.6,5.42,19760
2016-07-06,13.5,12.7,13.0,12.7,5.07,23650
2016-07-07,13.0,11.9,12.0,13.0,5.19,4650
2016-07-08,13.2,12.2,12.7,12.5,4.99,1100
2016-07-11,13.1,11.8,11.8,12.1,4.83,1640
2016-07-12,12.9,12.6,12.6,12.9,5.15,16540
2016-07-13,13.7,13.4,13.4,13.7,5.46,13590
2016-07-14,13.8,13.7,13.8,13.8,5.5,10960
2016-07-15,14.0,13.8,13.8,14.0,5.58,5350
2016-07-18,14.1,13.9,14.0,14.0,5.58,9880
2016-07-19,14.1,14.0,14.0,14.1,5.62,19900
2016-07-20,14.1,13.3,14.0,14.0,5.58,9500
2016-07-21,14.0,13.2,14.0,13.2,5.27,4910
2016-07-22,13.0,13.0,13.0,13.0,5.19,4110
2016-07-25,13.8,13.0,13.0,13.7,5.46,6610
2016-07-26,14.0,13.3,13.3,13.7,5.46,31050
2016-07-27,13.9,13.7,13.9,13.9,5.54,3320
2016-07-28,14.1,13.7,13.7,14.1,5.62,28500
2016-07-29,14.0,13.7,13.7,13.9,5.54,18620
2016-08-01,13.8,13.8,13.8,13.8,5.5,1000
2016-08-02,14.0,13.0,13.8,14.0,5.58,11800
2016-08-03,14.0,14.0,14.0,14.0,5.58,0
2016-08-04,14.0,13.4,13.5,13.7,5.46,24100
2016-08-05,14.1,13.7,13.7,14.1,5.62,11530
2016-08-08,14.0,14.0,14.0,14.0,5.58,7000
2016-08-09,14.5,14.0,14.0,14.0,5.58,20190
2016-08-10,14.0,13.7,14.0,14.0,5.58,9500
2016-08-11,14.0,13.7,14.0,13.7,5.46,520
2016-08-12,13.9,13.7,13.7,13.9,5.54,4510
2016-08-15,13.9,13.9,13.9,13.9,5.54,1020
2016-08-16,13.9,13.7,13.9,13.9,5.54,2040
2016-08-17,13.9,13.7,13.9,13.9,5.54,5980
2016-08-18,13.9,13.9,13.9,13.9,5.54,2000
2016-08-19,14.6,13.8,13.8,14.6,5.82,39360
2016-08-22,14.4,14.2,14.2,14.4,5.74,110
2016-08-23,14.4,14.0,14.3,14.4,5.74,12060
2016-08-24,14.5,13.7,13.7,14.5,5.78,28410
2016-08-25,14.5,14.2,14.5,14.3,5.7,40170
2016-08-26,14.7,14.4,14.4,14.5,5.78,72400
2016-08-29,15.0,14.5,14.7,14.8,5.9,59390
2016-08-30,14.8,14.2,14.5,14.7,5.86,49980
2016-08-31,15.0,14.3,14.5,15.0,5.98,62120
2016-09-01,15.5,14.8,14.8,15.5,6.18,121450
2016-09-05,16.2,15.1,15.1,16.2,6.46,110020
2016-09-06,17.0,16.2,16.6,16.3,6.5,103380
2016-09-07,16.4,15.6,16.3,15.8,6.3,98350
2016-09-08,15.9,15.5,15.6,15.8,6.3,81460
2016-09-09,16.3,15.5,15.8,16.1,6.42,78960
2016-09-12,17.0,16.0,16.0,17.0,6.78,123220
2016-09-13,17.3,16.65,16.8,17.1,6.82,97110
2016-09-14,17.4,16.65,17.25,17.15,6.84,90800
2016-09-15,16.95,16.3,16.95,16.5,6.58,95190
2016-09-16,16.6,16.3,16.35,16.6,6.62,86950
2016-09-19,16.8,16.35,16.6,16.8,6.7,91620
2016-09-20,16.8,16.5,16.8,16.8,6.7,85110
2016-09-21,17.0,16.8,16.8,16.9,6.74,86800
2016-09-22,17.2,16.65,16.9,17.2,6.86,108320
2016-09-23,17.25,16.85,17.25,17.1,6.82,79730
2016-09-26,17.1,16.7,17.1,16.7,6.66,49970
2016-09-27,16.9,16.1,16.7,16.8,6.7,101520
2016-09-28,17.0,16.85,16.85,17.0,6.78,104170
2016-09-29,17.2,16.8,17.2,17.2,6.86,115660
2016-09-30,17.2,16.7,17.15,16.8,6.7,88400
2016-10-03,16.9,16.5,16.9,16.75,6.68,52340
2016-10-04,16.75,16.6,16.75,16.7,6.66,75780
2016-10-05,17.0,16.65,16.65,16.85,6.72,96730
2016-10-06,16.95,16.7,16.75,16.8,6.7,97520
2016-10-07,16.9,16.7,16.8,16.9,6.74,58320
2016-10-10,16.95,16.75,16.85,16.85,6.72,94760
2016-10-11,16.9,16.65,16.9,16.8,6.7,44580
2016-10-12,16.95,16.4,16.9,16.95,6.76,75810
2016-10-13,16.95,16.5,16.85,16.95,6.76,70280
2016-10-14,16.85,16.3,16.85,16.3,6.5,37340
2016-10-17,16.5,16.2,16.4,16.2,6.46,18770
2016-10-18,16.2,16.0,16.15,16.15,6.44,24310
2016-10-19,16.45,16.0,16.15,16.35,6.52,92100
2016-10-20,16.5,16.35,16.45,16.5,6.58,75590
2016-10-21,16.6,16.35,16.6,16.5,6.58,98350
2016-10-24,16.8,16.4,16.45,16.5,6.58,93630
2016-10-25,16.6,16.4,16.4,16.6,6.62,94260
2016-10-26,17.1,16.4,16.55,17.1,6.82,154530
2016-10-27,17.25,16.8,17.15,17.0,6.78,110630
2016-10-28,17.45,16.65,16.85,17.45,6.96,185940
2016-10-31,18.6,17.1,18.6,18.6,7.42,219600
2016-11-01,18.75,18.4,18.7,18.5,7.38,194070
2016-11-02,18.9,18.4,18.4,18.75,7.48,202860
2016-11-03,18.9,18.5,18.75,18.85,7.52,194060
2016-11-04,19.0,18.85,18.95,18.95,7.56,146470
2016-11-07,19.05,18.7,18.9,19.05,7.98,165470
2016-11-08,19.3,18.7,19.3,19.05,7.98,162620
2016-11-09,19.15,18.5,19.15,19.05,7.98,182130
2016-11-10,19.65,19.35,19.35,19.65,8.23,171940
2016-11-11,19.9,19.5,19.75,19.5,8.17,171390
2016-11-14,19.9,19.1,19.6,19.25,8.06,287010
2016-11-15,20.0,19.25,19.3,20.0,8.38,189730
2016-11-16,20.7,19.85,20.0,20.7,8.67,155730
2016-11-17,21.05,20.55,21.0,20.6,8.63,222610
2016-11-18,20.7,20.55,20.6,20.6,8.63,130110
2016-11-21,20.8,20.45,20.6,20.8,8.71,122630
2016-11-22,21.0,20.75,20.8,20.8,8.71,153160
2016-11-23,21.0,20.8,20.8,20.95,8.77,126710
2016-11-24,21.0,20.7,21.0,20.7,8.67,145490
2016-11-25,20.85,20.55,20.8,20.7,8.67,244680
2016-11-28,20.85,20.65,20.8,20.7,8.67,103770
2016-11-29,21.35,20.7,20.7,21.35,8.94,155340
2016-11-30,21.4,21.1,21.4,21.15,8.86,88430
2016-12-01,21.3,20.85,21.3,21.0,8.8,184600
2016-12-02,20.95,20.7,20.95,20.95,8.77,173950
2016-12-05,20.9,20.1,20.9,20.45,8.57,137220
2016-12-06,20.45,19.9,20.45,19.9,8.33,103650
2016-12-07,20.7,19.0,19.95,20.7,8.67,289180
2016-12-08,20.7,20.3,20.7,20.6,8.63,126560
2016-12-09,20.7,20.55,20.6,20.7,8.67,165900
2016-12-12,20.6,20.45,20.6,20.5,8.59,112840
2016-12-13,20.5,20.4,20.5,20.5,8.59,103620
2016-12-14,20.75,20.4,20.5,20.75,8.69,114000
2016-12-15,20.9,20.5,20.7,20.8,8.71,114320
2016-12-16,20.8,20.5,20.8,20.8,8.71,111420
2016-12-19,20.9,20.7,20.7,20.85,8.73,111280
2016-12-20,20.85,20.65,20.8,20.75,8.69,102540
2016-12-21,20.8,20.6,20.8,20.7,8.67,156020
2016-12-22,20.7,20.5,20.7,20.6,8.63,197660
2016-12-23,20.7,20.55,20.7,20.6,8.63,82650
2016-12-26,20.65,20.3,20.65,20.6,8.63,151670
2016-12-27,20.7,20.55,20.7,20.7,8.67,143240
2016-12-28,20.7,20.6,20.7,20.7,8.67,112870
2016-12-29,20.7,20.6,20.7,20.7,8.67,153040
2016-12-30,20.75,20.4,20.75,20.65,8.65,160760
2017-01-03,20.7,20.6,20.7,20.7,8.67,83860
2017-01-04,20.75,20.5,20.75,20.7,8.67,151210
