Date,High,Low,Open,Close,adjust,Volume
2020-01-09,30.0,30.0,30.0,30.0,19.11,403500
2020-01-10,31.3,30.4,30.5,30.4,19.36,1152330
2020-01-13,30.55,30.15,30.5,30.15,19.2,263410
2020-01-14,29.9,29.25,29.9,29.5,18.79,573820
2020-01-15,29.75,29.45,29.45,29.65,18.88,228400
2020-01-16,30.05,29.35,29.5,29.85,19.01,283220
2020-01-17,29.9,29.65,29.8,29.7,18.92,229940
2020-01-20,29.9,29.55,29.8,29.65,18.88,238670
2020-01-21,29.9,29.6,29.7,29.8,18.98,248440
2020-01-22,30.1,29.7,29.85,30.1,19.17,228590
2020-01-30,30.6,29.8,30.0,30.2,19.23,183910
2020-01-31,30.15,29.75,30.15,29.75,18.95,211690
2020-02-03,29.65,29.25,29.5,29.5,18.79,213310
2020-02-04,29.85,29.5,29.55,29.7,18.92,208640
2020-02-05,29.65,29.5,29.6,29.6,18.85,199390
2020-02-06,29.8,29.6,29.6,29.65,18.88,206740
2020-02-07,29.7,29.4,29.65,29.45,18.76,245720
2020-02-10,29.6,29.35,29.45,29.55,18.82,190510
2020-02-11,29.55,29.3,29.5,29.3,18.66,197110
2020-02-12,29.35,28.9,29.35,29.05,18.5,190780
2020-02-13,29.2,28.85,29.05,28.95,18.44,206670
2020-02-14,28.9,28.75,28.9,28.85,18.37,201670
2020-02-17,29.1,28.8,28.8,29.0,18.47,207150
2020-02-18,29.0,28.55,29.0,28.85,18.37,208630
2020-02-19,29.1,28.8,28.85,28.9,18.41,200730
2020-02-20,29.05,28.7,28.9,28.8,18.34,206170
2020-02-21,29.0,28.75,28.8,28.8,18.34,203920
2020-02-24,28.8,28.6,28.75,28.7,18.28,190740
2020-02-25,28.8,28.5,28.75,28.75,18.31,202890
2020-02-26,28.7,28.45,28.7,28.55,18.18,190600
2020-02-27,28.65,28.3,28.55,28.35,18.06,196230
2020-02-28,28.25,27.4,28.25,27.45,17.48,167630
2020-03-02,28.1,27.35,27.4,27.7,17.64,267890
2020-03-03,28.0,27.6,27.7,27.95,17.8,214960
2020-03-04,28.05,27.8,27.9,28.0,17.83,228870
2020-03-05,28.25,27.8,28.0,27.85,17.74,198280
2020-03-06,27.9,27.45,27.7,27.8,17.71,206940
2020-03-09,27.3,26.5,27.3,27.05,17.23,181490
2020-03-10,27.15,26.75,26.9,27.1,17.26,201760
2020-03-11,27.15,26.4,27.0,26.55,16.91,208810
2020-03-12,26.6,26.25,26.5,26.5,16.88,203870
2020-03-13,26.6,25.8,26.5,26.6,16.94,189770
2020-03-16,26.85,26.3,26.6,26.6,16.94,351980
2020-03-17,26.6,26.0,26.25,26.25,16.72,164870
2020-03-18,26.5,26.1,26.3,26.2,16.69,148970
2020-03-19,26.2,25.75,26.2,26.1,16.62,132350
2020-03-20,26.5,26.0,26.15,26.45,16.85,202150
2020-03-23,26.45,26.0,26.4,26.1,16.62,111930
2020-03-24,26.5,25.95,26.1,26.5,16.88,586990
2020-03-25,27.2,26.45,26.55,27.2,17.32,188900
2020-03-26,27.25,27.0,27.15,27.2,17.32,200980
2020-03-27,27.1,25.9,27.1,26.85,17.1,515000
2020-03-30,26.8,26.3,26.8,26.35,16.78,142090
2020-03-31,26.45,26.3,26.35,26.3,16.75,280000
2020-04-01,26.55,26.3,26.55,26.5,16.88,200370
2020-04-03,28.1,26.4,26.55,28.0,17.83,228680
2020-04-06,28.45,27.8,27.9,28.2,17.96,728000
2020-04-07,28.4,27.7,28.2,28.4,18.09,257670
2020-04-08,28.7,27.7,28.4,28.65,18.25,210810
2020-04-09,28.75,28.0,28.55,28.5,18.15,318230
2020-04-10,28.65,27.9,28.3,28.3,18.02,203400
2020-04-13,30.25,28.1,28.2,29.5,18.79,223320
