Date,High,Low,Open,Close,adjust,Volume
2012-01-03,4.5,4.4,4.4,4.5,4.11,29000
2012-01-04,4.4,4.3,4.4,4.3,3.93,20020
2012-01-05,4.5,4.3,4.5,4.4,4.02,58970
2012-01-06,4.4,4.3,4.4,4.4,4.02,91280
2012-01-09,4.5,4.3,4.4,4.4,4.02,93000
2012-01-10,4.6,4.4,4.5,4.6,4.2,47960
2012-01-11,4.8,4.6,4.6,4.7,4.29,49880
2012-01-12,4.9,4.9,4.9,4.9,4.47,50020
2012-01-13,5.1,5.1,5.1,5.1,4.66,14020
2012-01-16,5.3,5.1,5.3,5.3,4.84,102270
2012-01-17,5.2,5.1,5.2,5.1,4.66,91460
2012-01-18,5.0,4.9,5.0,4.9,4.47,68120
2012-01-19,5.1,4.8,4.8,5.1,4.66,60420
2012-01-20,5.3,5.0,5.2,5.3,4.84,98640
2012-01-30,5.5,5.3,5.3,5.5,5.02,26260
2012-01-31,5.5,5.3,5.5,5.3,4.84,149660
2012-02-01,5.3,5.1,5.3,5.3,4.84,164840
2012-02-02,5.5,5.3,5.3,5.5,5.02,179190
2012-02-03,5.7,5.5,5.7,5.6,5.11,202910
2012-02-06,5.6,5.4,5.6,5.5,5.02,442430
2012-02-07,5.5,5.3,5.4,5.3,4.84,228020
2012-02-08,5.5,5.3,5.4,5.5,5.02,211330
2012-02-09,5.6,5.5,5.5,5.5,5.02,214360
2012-02-10,5.5,5.3,5.5,5.3,4.84,109670
2012-02-13,5.4,5.1,5.1,5.1,4.66,29920
2012-02-14,5.3,5.0,5.1,5.3,4.84,19730
2012-02-15,5.3,5.1,5.2,5.1,4.66,52990
2012-02-16,5.2,5.0,5.1,5.2,4.75,63660
2012-02-17,5.3,5.1,5.3,5.3,4.84,15260
2012-02-20,5.5,5.4,5.4,5.5,5.02,46300
2012-02-21,5.7,5.3,5.7,5.3,4.84,78140
2012-02-22,5.5,5.2,5.4,5.5,5.02,85220
2012-02-23,5.7,5.6,5.7,5.7,5.2,198810
2012-02-24,5.9,5.8,5.8,5.8,5.3,190270
2012-02-27,6.0,5.8,5.8,6.0,5.48,70530
2012-02-28,6.3,6.1,6.3,6.1,5.57,252070
2012-02-29,6.2,5.9,6.1,6.2,5.66,155340
2012-03-01,6.3,6.1,6.3,6.2,5.66,124950
2012-03-02,6.5,6.3,6.3,6.5,5.94,131970
2012-03-05,6.8,6.8,6.8,6.8,6.21,90750
