Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.5,7.4,7.5,7.5,1.78,7580
2012-01-04,7.5,7.3,7.5,7.3,1.73,36430
2012-01-05,7.3,7.3,7.3,7.3,1.73,2730
2012-01-06,7.4,7.2,7.2,7.4,1.76,6010
2012-01-09,7.4,7.2,7.2,7.4,1.76,13670
2012-01-10,7.6,7.4,7.5,7.6,1.8,38430
2012-01-11,7.6,7.4,7.4,7.5,1.78,25830
2012-01-12,7.6,7.4,7.6,7.4,1.76,11460
2012-01-13,7.4,7.3,7.4,7.4,1.76,41680
2012-01-16,7.6,7.2,7.2,7.6,1.8,71490
2012-01-17,7.8,7.4,7.4,7.7,1.83,28710
2012-01-18,7.7,7.5,7.7,7.5,1.78,44870
2012-01-19,7.8,7.3,7.3,7.6,1.8,12370
2012-01-20,7.8,7.5,7.8,7.5,1.78,55470
2012-01-30,7.7,7.5,7.7,7.7,1.83,13200
2012-01-31,7.9,7.5,7.8,7.5,1.78,69980
2012-02-01,7.6,7.4,7.6,7.5,1.78,13750
2012-02-02,7.8,7.5,7.5,7.8,1.85,36970
2012-02-03,8.1,8.0,8.1,8.0,1.9,280490
2012-02-06,8.2,7.8,8.1,7.9,1.88,99320
2012-02-07,8.2,8.0,8.0,8.2,1.95,97180
2012-02-08,8.6,8.5,8.5,8.6,2.04,108620
2012-02-09,8.9,8.5,8.7,8.9,2.11,141630
2012-02-10,8.8,8.5,8.8,8.5,2.02,68650
2012-02-13,8.3,8.1,8.2,8.1,1.92,89600
2012-02-14,8.4,7.9,7.9,8.4,1.99,45370
2012-02-15,8.6,8.0,8.6,8.0,1.9,49280
2012-02-16,8.2,7.8,7.9,8.2,1.95,62040
2012-02-17,8.4,8.0,8.4,8.3,1.97,25970
2012-02-20,8.7,8.4,8.5,8.7,2.07,126370
2012-02-21,8.7,8.4,8.7,8.4,1.99,126090
2012-02-22,8.8,8.4,8.4,8.8,2.09,67050
2012-02-23,9.2,8.5,9.0,9.2,2.18,287610
2012-02-24,9.5,9.0,9.0,9.1,2.16,112810
2012-02-27,9.5,9.0,9.2,9.4,2.23,280280
2012-02-28,9.4,9.0,9.2,9.0,2.14,84910
2012-02-29,9.1,8.6,8.7,9.1,2.16,169310
2012-03-01,9.3,8.7,9.3,8.8,2.09,177490
2012-03-02,9.1,8.7,8.7,9.0,2.14,76160
2012-03-05,9.4,9.3,9.4,9.4,2.23,77880
2012-03-06,9.6,9.1,9.6,9.3,2.21,202710
2012-03-07,9.5,9.0,9.5,9.3,2.21,110850
2012-03-08,9.3,8.9,9.3,8.9,2.11,93160
2012-03-09,9.1,8.8,9.1,9.1,2.16,108490
2012-03-12,9.0,8.7,8.7,8.8,2.09,21220
2012-03-13,9.1,8.8,8.8,9.1,2.16,53310
2012-03-14,9.1,8.9,9.0,8.9,2.11,61560
2012-03-15,9.1,8.8,8.9,9.0,2.14,45970
2012-03-16,9.3,9.0,9.3,9.0,2.14,149590
2012-03-19,9.2,9.0,9.2,9.1,2.16,36640
2012-03-20,9.2,8.8,9.2,9.2,2.18,98510
2012-03-21,9.3,9.0,9.2,9.2,2.18,78330
2012-03-22,9.3,8.9,9.3,9.1,2.16,17940
2012-03-23,9.3,9.2,9.2,9.2,2.18,116600
2012-03-26,9.6,9.2,9.4,9.6,2.28,176290
2012-03-27,10.0,9.7,10.0,9.7,2.3,305920
2012-03-28,10.1,9.5,9.7,10.1,2.4,223260
2012-03-29,10.5,9.7,10.5,9.7,2.3,129400
2012-03-30,9.7,9.3,9.7,9.3,2.21,147660
2012-04-03,9.6,9.0,9.1,9.3,2.21,103110
2012-04-04,9.4,9.0,9.1,9.0,2.14,67560
2012-04-05,9.4,9.0,9.3,9.4,2.23,48910
2012-04-06,9.6,9.2,9.6,9.3,2.21,17720
2012-04-09,9.4,9.1,9.1,9.4,2.23,25920
2012-04-10,9.8,9.6,9.6,9.8,2.33,159660
2012-04-11,10.2,9.8,9.8,10.2,2.42,154510
2012-04-12,10.6,9.9,10.6,10.2,2.42,59360
2012-04-13,10.2,9.9,9.9,10.0,2.37,87370
2012-04-16,10.2,9.9,9.9,10.2,2.42,490650
2012-04-17,10.7,10.1,10.2,10.3,2.45,184140
2012-04-18,10.6,10.2,10.3,10.2,2.42,113310
2012-04-19,10.3,9.7,10.2,9.7,2.3,80400
2012-04-20,10.1,9.7,9.8,10.1,2.4,397570
2012-04-23,10.6,10.0,10.0,10.6,2.52,178730
2012-04-24,10.1,9.8,9.8,10.1,2.62,136340
2012-04-25,10.6,10.4,10.4,10.6,2.75,111030
2012-04-26,10.8,10.3,10.8,10.3,2.67,167070
2012-04-27,10.8,10.0,10.1,10.6,2.75,66850
2012-05-02,10.6,10.2,10.4,10.2,2.65,109050
2012-05-03,10.3,10.0,10.0,10.3,2.67,86060
2012-05-04,10.6,10.1,10.4,10.5,2.72,116510
2012-05-07,11.0,10.7,10.7,11.0,2.85,297680
2012-05-08,11.5,11.3,11.5,11.5,2.98,305570
2012-05-09,11.8,11.2,11.7,11.6,3.01,119390
2012-05-10,11.9,11.4,11.9,11.7,3.04,224560
2012-05-11,11.6,11.2,11.4,11.2,2.91,133410
2012-05-14,11.2,10.7,11.2,10.7,2.78,64990
2012-05-15,10.5,10.2,10.5,10.2,2.65,102110
2012-05-16,10.4,9.8,10.2,10.2,2.65,57210
2012-05-17,10.4,9.7,10.0,9.7,2.52,43510
2012-05-18,9.9,9.4,9.7,9.6,2.49,66960
2012-05-21,10.0,9.7,9.7,10.0,2.59,2840
2012-05-22,10.4,10.2,10.4,10.2,2.65,55610
2012-05-23,10.2,9.7,10.2,10.0,2.59,45150
2012-05-24,10.0,9.5,10.0,9.5,2.47,41660
2012-05-25,9.9,9.7,9.7,9.9,2.57,12380
2012-05-28,10.2,9.6,10.2,10.1,2.62,20570
2012-05-29,10.0,9.7,9.7,10.0,2.59,4580
2012-05-30,10.1,9.7,10.0,9.9,2.57,7870
2012-05-31,10.1,9.5,10.1,9.5,2.47,22060
2012-06-01,9.6,9.4,9.6,9.4,2.44,24980
2012-06-04,9.7,9.0,9.7,9.0,2.34,24300
2012-06-05,9.4,8.9,8.9,9.4,2.44,14230
2012-06-06,9.7,9.3,9.5,9.7,2.52,4560
2012-06-07,10.1,9.9,10.0,10.0,2.59,8710
2012-06-08,10.1,9.8,10.0,9.8,2.54,38080
2012-06-11,9.8,9.5,9.6,9.5,2.47,30190
2012-06-12,9.4,9.3,9.3,9.4,2.44,2980
2012-06-13,9.8,9.3,9.3,9.3,2.41,3510
2012-06-14,9.6,9.3,9.3,9.6,2.49,10190
2012-06-15,9.7,9.4,9.4,9.6,2.49,2200
2012-06-18,9.7,9.4,9.5,9.4,2.44,8060
2012-06-19,9.5,9.3,9.5,9.5,2.47,40
2012-06-20,9.6,9.2,9.2,9.5,2.47,5000
2012-06-21,9.5,9.3,9.4,9.5,2.47,1040
2012-06-22,9.4,9.3,9.3,9.3,2.41,4450
2012-06-25,9.3,9.0,9.3,9.0,2.34,10500
2012-06-26,8.9,8.6,8.8,8.6,2.23,57450
2012-06-27,9.0,8.2,8.6,8.4,2.18,48120
2012-06-28,8.5,8.1,8.1,8.4,2.18,15620
2012-06-29,8.5,8.2,8.2,8.4,2.18,7290
2012-07-02,8.4,8.0,8.0,8.2,2.13,11510
2012-07-03,8.3,7.9,8.3,7.9,2.05,22780
2012-07-04,8.2,7.9,7.9,8.2,2.13,8330
2012-07-05,8.3,8.0,8.0,8.2,2.13,12050
2012-07-06,8.3,8.2,8.3,8.3,2.15,1410
2012-07-09,8.3,8.1,8.3,8.3,2.15,29520
2012-07-10,8.3,8.0,8.0,8.3,2.15,13270
2012-07-11,8.3,8.0,8.0,8.3,2.15,40
2012-07-12,8.3,8.2,8.2,8.3,2.15,6000
2012-07-13,8.7,8.4,8.4,8.6,2.23,35250
2012-07-16,8.7,8.3,8.3,8.7,2.26,8030
2012-07-17,8.7,8.3,8.3,8.6,2.23,13080
2012-07-18,8.7,8.4,8.7,8.4,2.18,15190
2012-07-19,8.8,8.3,8.3,8.6,2.23,52030
2012-07-20,8.9,8.6,8.8,8.6,2.23,39840
2012-07-23,8.9,8.3,8.9,8.3,2.15,29330
2012-07-24,8.5,8.1,8.1,8.1,2.1,5720
2012-07-25,8.4,8.0,8.0,8.4,2.18,6140
2012-07-26,8.6,8.2,8.6,8.2,2.13,5090
2012-07-27,8.4,8.1,8.2,8.1,2.1,15280
2012-07-30,8.3,8.0,8.3,8.2,2.13,3070
2012-07-31,8.5,8.0,8.1,8.1,2.1,8660
2012-08-01,8.4,8.0,8.1,8.0,2.08,22410
2012-08-02,8.3,8.0,8.0,8.0,2.08,3350
2012-08-03,8.1,8.0,8.1,8.1,2.1,1100
2012-08-06,8.5,8.2,8.4,8.5,2.21,11850
2012-08-07,8.4,8.2,8.4,8.4,2.18,17270
2012-08-08,8.4,8.2,8.3,8.3,2.15,4590
2012-08-09,8.4,8.3,8.4,8.3,2.15,25230
2012-08-10,8.4,8.3,8.4,8.3,2.15,1980
2012-08-13,8.3,8.1,8.2,8.3,2.15,9440
2012-08-14,8.4,8.2,8.2,8.2,2.13,4240
2012-08-15,8.2,8.1,8.2,8.1,2.1,3390
2012-08-16,8.3,8.1,8.1,8.3,2.15,4090
2012-08-17,8.4,8.1,8.2,8.4,2.18,5160
2012-08-20,8.5,8.3,8.3,8.5,2.21,4910
2012-08-21,8.3,8.1,8.3,8.1,2.1,14390
2012-08-22,8.4,7.7,7.7,7.9,2.05,13590
2012-08-23,7.7,7.6,7.7,7.6,1.97,21160
2012-08-24,7.9,7.3,7.4,7.6,1.97,65890
2012-08-27,7.5,7.3,7.3,7.3,1.89,9360
2012-08-28,7.3,7.0,7.0,7.2,1.87,50140
2012-08-29,7.5,7.0,7.0,7.5,1.95,10070
2012-08-30,7.8,7.5,7.7,7.7,2.0,2710
2012-08-31,7.9,7.5,7.9,7.7,2.0,3820
2012-09-04,7.8,7.5,7.7,7.7,2.0,4310
2012-09-05,7.8,7.4,7.8,7.4,1.92,3510
2012-09-06,7.5,7.1,7.5,7.3,1.89,1900
2012-09-07,7.5,7.1,7.3,7.5,1.95,380
2012-09-10,7.7,7.2,7.7,7.2,1.87,6750
2012-09-11,7.4,6.9,7.0,6.9,1.79,31620
2012-09-12,7.2,7.1,7.2,7.2,1.87,14660
2012-09-13,7.4,7.3,7.4,7.4,1.92,300
2012-09-14,7.5,7.4,7.4,7.5,1.95,2960
2012-09-17,7.4,7.2,7.4,7.4,1.92,15100
2012-09-18,7.4,7.1,7.4,7.1,1.84,1840
2012-09-19,7.1,6.9,7.1,6.9,1.79,2420
2012-09-20,7.1,6.7,7.1,6.8,1.76,3470
2012-09-21,7.0,6.9,7.0,6.9,1.79,2030
2012-09-24,7.0,6.8,7.0,6.9,1.79,1700
2012-09-25,7.0,6.6,7.0,6.8,1.76,1930
2012-09-26,6.9,6.7,6.7,6.9,1.79,3050
2012-09-27,7.0,6.7,7.0,6.7,1.74,4920
2012-09-28,6.9,6.5,6.6,6.6,1.71,1810
2012-10-01,6.8,6.3,6.8,6.3,1.63,9770
2012-10-02,6.5,6.2,6.5,6.3,1.63,1830
2012-10-03,6.6,6.0,6.5,6.6,1.71,16760
2012-10-04,6.7,6.3,6.3,6.4,1.66,86740
2012-10-05,6.6,6.3,6.3,6.4,1.66,10720
2012-10-08,6.6,6.4,6.4,6.6,1.71,11270
2012-10-09,6.8,6.3,6.4,6.8,1.76,20830
2012-10-10,6.8,6.5,6.8,6.6,1.71,3800
2012-10-11,6.7,6.5,6.7,6.6,1.71,5890
2012-10-12,6.7,6.4,6.7,6.6,1.71,11140
2012-10-15,6.6,6.3,6.6,6.3,1.63,4100
2012-10-16,6.6,6.4,6.4,6.4,1.66,8110
2012-10-17,6.5,6.3,6.5,6.3,1.63,3390
2012-10-18,6.5,6.3,6.3,6.3,1.63,6460
2012-10-19,6.5,6.2,6.4,6.2,1.61,5830
2012-10-22,6.4,6.2,6.4,6.3,1.63,1060
2012-10-23,6.5,6.1,6.5,6.1,1.58,20530
2012-10-24,6.4,6.0,6.4,6.3,1.63,3870
2012-10-25,6.3,6.1,6.2,6.1,1.58,3800
2012-10-26,6.3,6.0,6.2,6.3,1.63,3330
2012-10-29,6.3,6.2,6.2,6.3,1.63,11130
2012-10-30,6.3,6.3,6.3,6.3,1.63,2600
2012-10-31,6.4,6.3,6.4,6.3,1.63,910
2012-11-01,6.3,6.2,6.3,6.2,1.61,1400
2012-11-02,6.2,6.0,6.2,6.0,1.56,3970
2012-11-05,6.0,5.8,5.8,5.9,1.53,1330
2012-11-06,6.0,5.8,5.8,6.0,1.56,6290
2012-11-07,6.2,6.0,6.0,6.2,1.61,24500
2012-11-08,6.1,5.9,6.1,5.9,1.53,3810
2012-11-09,6.0,5.9,5.9,5.9,1.53,3010
2012-11-12,6.1,6.0,6.0,6.0,1.56,6630
2012-11-13,6.1,6.0,6.0,6.1,1.58,3700
2012-11-14,6.2,6.0,6.1,6.1,1.58,20570
2012-11-15,6.2,6.0,6.0,6.2,1.61,15300
2012-11-16,6.1,5.9,6.0,6.0,1.56,8640
2012-11-19,6.1,5.9,6.1,5.9,1.53,4180
2012-11-20,6.1,6.0,6.0,6.1,1.58,3110
2012-11-21,6.4,6.1,6.1,6.1,1.58,66960
2012-11-22,6.3,6.2,6.3,6.2,1.61,4650
2012-11-23,6.4,6.4,6.4,6.4,1.66,9540
2012-11-26,6.5,6.1,6.3,6.5,1.69,11370
2012-11-27,6.6,6.4,6.4,6.5,1.69,27210
2012-11-28,6.7,6.4,6.5,6.7,1.74,8630
2012-11-29,6.6,6.5,6.5,6.5,1.69,27230
2012-11-30,6.7,6.5,6.5,6.6,1.71,5810
2012-12-03,6.8,6.5,6.8,6.5,1.69,19110
2012-12-04,6.8,6.3,6.8,6.3,1.63,7820
2012-12-05,6.6,6.5,6.5,6.6,1.71,4300
2012-12-06,6.9,6.6,6.8,6.6,1.71,17050
2012-12-07,6.9,6.8,6.9,6.9,1.79,28800
2012-12-10,7.2,7.0,7.0,7.2,1.87,54760
2012-12-11,7.5,7.2,7.5,7.2,1.87,9720
2012-12-12,7.3,7.2,7.2,7.3,1.89,13310
2012-12-13,7.5,7.2,7.5,7.5,1.95,29900
2012-12-14,7.8,7.2,7.6,7.8,2.02,87390
2012-12-17,8.0,7.8,7.9,8.0,2.08,46640
2012-12-18,8.3,7.8,7.8,8.3,2.15,20990
2012-12-19,8.5,8.1,8.3,8.5,2.21,37070
2012-12-20,8.8,8.2,8.2,8.8,2.28,87810
2012-12-21,8.8,8.4,8.8,8.7,2.26,8750
2012-12-24,9.0,8.4,8.4,9.0,2.34,29360
2012-12-25,9.3,8.6,9.1,9.3,2.41,61380
2012-12-26,9.4,9.0,9.3,9.3,2.41,21980
2012-12-27,9.4,8.9,9.3,9.4,2.44,138400
2012-12-28,9.8,9.0,9.4,9.8,2.54,167960
2013-01-02,10.0,9.4,10.0,9.4,2.44,45620
2013-01-03,9.4,9.0,9.4,9.0,2.34,21820
2013-01-04,9.0,8.6,8.6,8.6,2.23,55910
2013-01-07,8.8,8.5,8.8,8.5,2.21,12700
2013-01-08,8.7,8.2,8.5,8.6,2.23,3580
2013-01-09,8.7,8.2,8.3,8.2,2.13,22690
2013-01-10,8.3,7.9,8.3,8.1,2.1,4890
2013-01-11,8.4,7.8,8.4,8.4,2.18,5780
2013-01-14,8.6,8.0,8.4,8.4,2.18,5460
2013-01-15,8.4,7.9,8.0,8.3,2.15,7920
2013-01-16,8.5,8.0,8.1,8.5,2.21,17100
2013-01-17,8.5,8.0,8.5,8.5,2.21,4590
2013-01-18,8.4,8.0,8.1,8.0,2.08,10580
2013-01-21,8.5,7.6,7.7,7.8,2.02,5100
2013-01-22,8.2,7.3,8.1,7.3,1.89,59530
2013-01-23,7.5,6.8,7.1,7.2,1.87,45380
2013-01-24,7.4,6.8,7.2,7.2,1.87,7670
2013-01-25,7.4,7.1,7.2,7.2,1.87,27150
2013-01-28,7.6,7.3,7.3,7.5,1.95,14630
2013-01-29,7.6,7.2,7.6,7.5,1.95,7880
2013-01-30,7.5,7.4,7.4,7.4,1.92,15360
2013-01-31,7.4,7.2,7.2,7.2,1.87,12220
2013-02-01,7.4,7.0,7.0,7.3,1.89,380
2013-02-04,7.5,7.3,7.4,7.4,1.92,6060
2013-02-05,7.5,7.3,7.5,7.3,1.89,8550
2013-02-06,7.5,7.3,7.5,7.4,1.92,5770
2013-02-07,7.4,7.2,7.4,7.4,1.92,15200
2013-02-08,7.8,7.5,7.5,7.6,1.97,17510
2013-02-18,7.8,7.7,7.8,7.7,2.0,6420
2013-02-19,7.8,7.6,7.7,7.6,1.97,12530
2013-02-20,8.0,7.5,7.5,7.6,1.97,43340
2013-02-21,8.0,7.4,7.9,7.4,1.92,32000
2013-02-22,7.8,7.5,7.5,7.6,1.97,2180
2013-02-25,7.7,7.5,7.6,7.5,1.95,7020
2013-02-26,7.7,7.3,7.4,7.3,1.89,62780
