Date,High,Low,Open,Close,adjust,Volume
2012-01-03,2.6,2.6,2.6,2.6,1.42,0
2012-01-04,2.5,2.5,2.5,2.5,1.37,100
2012-01-05,2.4,2.4,2.4,2.4,1.31,200
2012-01-06,2.3,2.3,2.3,2.3,1.26,100
2012-01-09,2.2,2.2,2.2,2.2,1.2,22900
2012-01-10,2.3,2.1,2.1,2.3,1.26,19700
2012-01-11,2.3,2.2,2.3,2.3,1.26,3100
2012-01-12,2.3,2.2,2.3,2.2,1.2,5200
2012-01-13,2.3,2.1,2.3,2.2,1.2,2800
2012-01-16,2.2,2.1,2.2,2.1,1.15,3000
2012-01-17,2.3,2.1,2.3,2.1,1.15,1400
2012-01-18,2.1,2.1,2.1,2.1,1.15,2000
2012-01-19,2.2,2.2,2.2,2.2,1.2,7800
2012-01-20,2.3,2.2,2.2,2.2,1.2,8500
2012-01-30,2.4,2.2,2.4,2.4,1.31,6300
2012-01-31,2.5,2.4,2.5,2.4,1.31,5200
2012-02-01,2.5,2.4,2.5,2.4,1.31,3300
2012-02-02,2.6,2.5,2.5,2.6,1.42,29300
2012-02-03,2.7,2.5,2.7,2.7,1.48,29800
2012-02-06,2.7,2.6,2.7,2.7,1.48,10500
2012-02-07,2.8,2.7,2.8,2.8,1.53,10500
2012-02-08,2.9,2.8,2.9,2.9,1.59,8200
2012-02-09,3.0,2.8,3.0,2.9,1.59,5300
2012-02-10,3.1,2.8,3.0,2.8,1.53,6500
2012-02-13,3.0,3.0,3.0,3.0,1.64,0
2012-02-14,2.8,2.8,2.8,2.8,1.53,500
2012-02-15,2.9,2.7,2.7,2.7,1.48,6200
2012-02-16,2.7,2.6,2.7,2.6,1.42,5500
2012-02-17,2.8,2.6,2.8,2.6,1.42,6300
2012-02-20,2.8,2.6,2.8,2.7,1.48,16400
2012-02-21,2.8,2.6,2.7,2.6,1.42,8800
2012-02-22,2.6,2.5,2.6,2.6,1.42,13600
2012-02-23,2.5,2.4,2.4,2.5,1.37,25600
2012-02-24,2.6,2.4,2.6,2.6,1.42,254700
2012-02-27,2.7,2.7,2.7,2.7,1.48,12700
2012-02-28,2.8,2.8,2.8,2.8,1.53,57500
2012-02-29,2.9,2.7,2.9,2.8,1.53,10700
2012-03-01,3.1,2.7,3.1,3.1,1.7,125300
2012-03-02,3.3,3.0,3.3,3.3,1.81,54100
2012-03-05,3.5,3.5,3.5,3.5,1.92,17500
2012-03-06,3.7,3.6,3.7,3.7,2.02,111400
2012-03-07,3.9,3.6,3.9,3.9,2.13,52200
2012-03-08,4.1,3.8,3.8,3.8,2.08,118000
2012-03-09,4.1,3.7,4.1,3.8,2.08,26200
2012-03-12,4.1,3.7,4.1,3.7,2.02,11800
2012-03-13,3.7,3.7,3.7,3.7,2.02,18100
2012-03-14,3.7,3.5,3.7,3.5,1.92,23400
2012-03-15,3.7,3.4,3.4,3.7,2.02,145800
2012-03-16,3.7,3.7,3.7,3.7,2.02,31500
