Date,High,Low,Open,Close,adjust,Volume
2020-07-28,49.8,49.8,49.8,49.8,30.17,275200
2020-07-29,53.2,53.2,53.2,53.2,32.23,193780
2020-07-30,56.9,56.9,56.9,56.9,34.47,370550
2020-07-31,60.8,55.5,60.7,60.3,36.53,328950
2020-08-03,60.9,56.1,56.1,57.0,34.53,290720
2020-08-04,60.9,56.0,56.5,60.9,36.89,434910
2020-08-05,65.0,60.7,60.9,65.0,39.37,520410
2020-08-06,68.0,63.5,65.0,67.9,41.13,525700
2020-08-07,68.8,67.3,67.8,68.5,41.49,504240
2020-08-10,68.5,64.0,68.5,64.5,39.07,413640
2020-08-11,65.5,62.8,64.0,65.1,39.44,403850
2020-08-12,67.0,65.1,65.1,66.6,40.34,423970
2020-08-13,69.0,66.8,66.8,68.7,41.62,524120
2020-08-14,71.0,68.9,68.9,70.7,42.83,536830
2020-08-17,71.0,68.0,68.0,68.0,41.19,315400
2020-08-18,70.0,67.7,68.0,70.0,42.4,415720
2020-08-19,74.0,69.9,70.0,72.5,43.92,530760
2020-08-20,73.9,72.5,72.8,72.5,43.92,434060
2020-08-21,75.0,72.5,72.8,74.6,45.19,481230
2020-08-24,75.5,74.6,74.8,74.7,45.25,358550
2020-08-25,75.0,72.9,74.7,74.5,45.13,323070
2020-08-26,75.0,73.2,74.5,73.6,44.58,402650
2020-08-27,74.5,72.2,72.5,74.0,44.83,393330
2020-08-28,74.8,73.4,74.3,73.6,44.58,337940
2020-08-31,74.5,73.1,73.4,73.3,44.4,314520
2020-09-01,74.3,73.3,73.3,73.8,44.71,335240
2020-09-03,74.7,73.8,74.0,74.0,44.83,252350
2020-09-04,74.2,72.8,74.0,73.4,44.46,214910
2020-09-07,73.9,73.3,73.4,73.6,44.58,242810
2020-09-08,74.0,73.3,73.6,73.7,44.64,238060
2020-09-09,73.7,72.8,73.7,73.0,44.22,208670
2020-09-10,73.0,72.0,73.0,73.0,44.22,212090
2020-09-11,75.0,72.5,72.5,74.1,44.89,284190
2020-09-14,75.5,74.3,74.3,75.4,45.67,317130
2020-09-15,75.8,74.7,75.4,75.1,45.49,204520
2020-09-16,75.5,74.7,75.1,75.0,45.43,212890
2020-09-17,75.0,73.8,74.8,75.0,45.43,232380
2020-09-18,75.0,74.5,75.0,74.8,45.31,204480
2020-09-21,75.5,74.9,75.0,74.9,45.37,215940
2020-09-22,75.1,74.6,74.9,75.0,45.43,244710
2020-09-23,76.0,75.0,75.0,75.2,45.55,288610
2020-09-24,75.7,74.9,75.2,75.0,45.43,316050
2020-09-25,75.2,74.5,75.0,74.6,45.19,246560
2020-09-28,75.2,74.5,74.6,74.9,45.37,266240
2020-09-29,75.1,74.0,74.9,74.2,44.95,340880
2020-09-30,74.9,74.0,74.0,74.4,45.07,293790
2020-10-01,75.0,74.3,74.4,74.7,45.25,264660
2020-10-02,74.9,74.0,74.7,74.1,44.89,227290
2020-10-05,74.4,73.9,74.1,74.2,44.95,422150
2020-10-06,74.4,73.9,74.2,74.3,45.01,292970
2020-10-07,74.3,73.7,74.3,74.0,44.83,242560
2020-10-08,74.3,73.6,74.0,73.8,44.71,322770
2020-10-09,74.3,72.9,73.8,73.5,44.52,266880
2020-10-12,73.9,72.6,73.5,72.8,44.1,215630
2020-10-13,73.2,72.1,72.8,72.2,43.74,334730
2020-10-14,73.0,72.2,72.2,72.8,44.1,253810
2020-10-15,73.0,71.6,72.8,72.0,43.61,282950
2020-10-16,72.5,70.0,72.0,71.9,43.55,345160
2020-10-19,73.0,71.9,71.9,72.8,44.1,405950
2020-10-20,72.8,72.1,72.8,72.5,43.92,225660
2020-10-21,72.9,72.0,72.5,72.1,43.68,357560
2020-10-22,72.7,71.6,72.1,72.7,44.04,437230
2020-10-23,73.8,72.7,72.7,73.5,44.52,461180
2020-10-26,74.4,73.5,73.5,73.6,44.58,384310
2020-10-27,73.4,72.3,73.4,72.6,43.98,338750
2020-10-28,72.8,71.4,72.4,71.9,43.55,368740
2020-10-29,72.4,70.6,71.7,70.6,42.77,308900
2020-10-30,75.5,71.2,75.5,74.5,45.13,851700
2020-11-02,75.2,74.4,74.5,75.2,45.55,463500
2020-11-03,75.4,74.3,75.0,74.6,45.19,408710
2020-11-04,75.3,74.1,74.4,74.1,44.89,468240
2020-11-05,74.8,73.7,74.1,74.0,44.83,368900
2020-11-06,75.0,73.6,74.0,74.2,44.95,389310
2020-11-09,75.4,74.1,74.2,75.1,45.49,407990
2020-11-10,75.4,74.7,75.1,75.0,45.43,304120
2020-11-11,80.2,75.5,75.5,80.2,48.58,566220
2020-11-12,82.2,80.4,80.5,81.8,49.55,475780
2020-11-13,83.0,81.2,81.9,81.5,49.37,369970
2020-11-16,82.1,80.1,81.3,81.1,49.13,420030
2020-11-17,81.5,80.1,81.1,80.4,48.7,384540
2020-11-18,81.5,80.1,80.4,81.3,49.25,3001870
2020-11-19,86.6,81.1,81.2,86.6,52.46,3318800
2020-11-20,86.6,86.0,86.6,86.2,52.22,3587180
2020-11-23,86.2,84.9,86.0,86.2,52.22,3525450
2020-11-24,86.4,85.2,86.2,85.3,51.67,3713010
2020-11-25,86.9,85.3,85.3,86.8,52.58,4008790
2020-11-26,86.9,86.1,86.8,86.9,52.64,3912340
2020-11-27,92.9,86.3,87.0,92.4,55.97,4130530
2020-11-30,92.4,90.3,92.4,90.6,54.88,978710
2020-12-01,90.3,87.3,88.3,89.1,53.97,2013750
2020-12-02,90.3,86.8,88.8,90.2,54.64,1913650
2020-12-03,90.6,89.0,90.2,89.8,54.4,1809640
2020-12-04,90.4,89.3,89.8,89.9,54.46,1272320
2020-12-07,90.8,90.0,90.1,90.1,54.58,727390
2020-12-08,90.6,89.5,90.1,89.9,54.46,603600
2020-12-09,90.3,89.6,89.9,89.8,54.4,566410
2020-12-10,90.5,89.0,90.4,89.0,53.91,643420
2020-12-11,88.9,87.0,88.9,88.0,53.31,553190
2020-12-14,89.4,88.2,88.2,89.4,54.15,632320
2020-12-15,89.7,88.6,89.7,88.8,53.79,527030
2020-12-16,89.0,84.5,89.0,85.3,51.67,564380
2020-12-17,85.2,81.0,85.0,81.9,49.61,530780
2020-12-18,81.8,76.2,81.8,76.2,46.16,570900
2020-12-21,80.2,76.5,76.5,79.7,48.28,658500
2020-12-22,80.0,77.4,79.7,77.7,47.07,510100
2020-12-23,77.8,75.0,77.7,75.4,45.67,447710
2020-12-24,75.7,72.7,75.5,73.8,44.71,730610
2020-12-25,76.3,74.0,74.0,76.3,46.22,508980
2020-12-28,76.9,75.5,76.3,75.9,45.98,477120
2020-12-29,75.9,74.0,75.9,74.5,45.13,502260
2020-12-30,75.6,74.4,74.4,74.4,45.07,546080
2020-12-31,75.1,74.4,74.6,74.8,45.31,478190
