Date,High,Low,Open,Close,adjust,Volume
2012-01-03,3.6,3.6,3.6,3.6,1.87,13580
2012-01-04,3.7,3.5,3.7,3.7,1.92,9690
2012-01-05,3.6,3.6,3.6,3.6,1.87,1240
2012-01-06,3.6,3.5,3.5,3.6,1.87,2770
2012-01-09,3.6,3.5,3.5,3.6,1.87,420
2012-01-10,3.7,3.5,3.5,3.7,1.92,2280
2012-01-11,3.6,3.6,3.6,3.6,1.87,3470
2012-01-12,3.6,3.5,3.5,3.6,1.87,2380
2012-01-13,3.6,3.6,3.6,3.6,1.87,410
2012-01-16,3.6,3.5,3.5,3.6,1.87,5080
2012-01-17,3.6,3.5,3.6,3.5,1.82,6280
2012-01-18,3.6,3.5,3.5,3.6,1.87,720
2012-01-19,3.7,3.6,3.6,3.7,1.92,7030
2012-01-20,3.7,3.7,3.7,3.7,1.92,10
2012-01-30,3.8,3.6,3.7,3.6,1.87,23810
2012-01-31,3.7,3.7,3.7,3.7,1.92,12830
2012-02-01,3.7,3.6,3.6,3.7,1.92,22500
2012-02-02,3.8,3.8,3.8,3.8,1.97,53930
2012-02-03,3.9,3.8,3.9,3.8,1.97,52620
2012-02-06,3.7,3.7,3.7,3.7,1.92,8480
2012-02-07,3.8,3.6,3.8,3.8,1.97,13630
2012-02-08,3.9,3.7,3.9,3.7,1.92,39280
2012-02-09,3.8,3.6,3.8,3.6,1.87,46140
2012-02-10,3.7,3.7,3.7,3.7,1.92,196760
2012-02-13,3.8,3.7,3.8,3.8,1.97,84180
2012-02-14,3.9,3.9,3.9,3.9,2.03,60210
2012-02-15,4.0,4.0,4.0,4.0,2.08,191220
2012-02-16,4.2,3.9,4.0,4.0,2.08,55280
2012-02-17,4.2,4.0,4.1,4.0,2.08,68800
2012-02-20,4.1,4.0,4.0,4.1,2.13,108770
2012-02-21,4.3,4.1,4.3,4.1,2.13,120840
2012-02-22,4.1,4.0,4.0,4.0,2.08,113250
2012-02-23,4.2,3.9,4.0,4.1,2.13,146690
