Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.0,6.9,7.0,7.0,1.99,10510
2012-01-04,6.8,6.7,6.8,6.7,1.91,2060
2012-01-05,6.7,6.7,6.7,6.7,1.91,0
2012-01-06,6.8,6.8,6.8,6.8,1.94,500
2012-01-09,7.1,7.1,7.1,7.1,2.02,10
2012-01-10,7.1,7.1,7.1,7.1,2.02,0
2012-01-11,7.1,7.1,7.1,7.1,2.02,0
2012-01-12,6.8,6.8,6.8,6.8,1.94,310
2012-01-13,6.9,6.5,6.6,6.9,1.97,70
2012-01-16,7.0,6.9,6.9,7.0,1.99,4990
2012-01-17,7.0,6.9,6.9,7.0,1.99,1870
2012-01-18,7.0,7.0,7.0,7.0,1.99,0
2012-01-19,7.0,7.0,7.0,7.0,1.99,310
2012-01-20,7.0,7.0,7.0,7.0,1.99,440
2012-01-30,7.1,7.1,7.1,7.1,2.02,20
2012-01-31,7.4,7.4,7.4,7.4,2.11,200
2012-02-01,7.3,7.2,7.2,7.3,2.08,6210
2012-02-02,7.6,7.5,7.5,7.6,2.17,31440
2012-02-03,7.8,7.6,7.6,7.8,2.22,8000
2012-02-06,8.1,8.0,8.1,8.1,2.31,8240
2012-02-07,8.4,8.0,8.0,8.4,2.39,180
2012-02-08,8.3,8.0,8.3,8.0,2.28,8900
2012-02-09,8.0,7.7,8.0,7.8,2.22,29890
2012-02-10,7.5,7.5,7.5,7.5,2.14,4450
2012-02-13,7.6,7.2,7.6,7.2,2.05,40
2012-02-14,7.5,7.4,7.4,7.5,2.14,500
2012-02-15,7.5,7.3,7.5,7.3,2.08,6730
2012-02-16,7.4,7.4,7.4,7.4,2.11,300
2012-02-17,7.6,7.3,7.4,7.4,2.11,12410
2012-02-20,7.7,7.6,7.6,7.7,2.19,7200
2012-02-21,7.6,7.5,7.6,7.5,2.14,2530
2012-02-22,7.6,7.5,7.6,7.5,2.14,750
2012-02-23,7.8,7.5,7.5,7.8,2.22,12130
2012-02-24,8.1,8.1,8.1,8.1,2.31,48110
2012-02-27,8.4,8.1,8.3,8.1,2.31,28890
2012-02-28,8.4,7.8,8.4,7.8,2.22,45640
2012-02-29,8.0,7.8,8.0,8.0,2.28,11370
2012-03-01,8.0,7.6,7.6,8.0,2.28,17190
2012-03-02,8.1,7.6,8.0,8.0,2.28,21340
2012-03-05,8.4,8.1,8.1,8.4,2.39,35060
2012-03-06,8.8,8.4,8.8,8.6,2.45,61160
2012-03-07,8.6,8.2,8.6,8.6,2.45,82900
2012-03-08,8.6,8.2,8.4,8.6,2.45,6510
2012-03-09,8.5,8.2,8.3,8.5,2.42,16970
2012-03-12,8.4,8.1,8.2,8.4,2.39,36260
2012-03-13,8.4,8.0,8.1,8.0,2.28,6110
2012-03-14,8.4,8.4,8.4,8.4,2.39,52330
2012-03-15,8.8,8.8,8.8,8.8,2.51,1930
2012-03-16,9.2,9.1,9.2,9.2,2.62,126370
2012-03-19,9.6,9.4,9.5,9.6,2.74,320860
2012-03-20,9.6,9.4,9.6,9.5,2.71,106440
2012-03-21,9.8,9.3,9.6,9.7,2.76,168150
2012-03-22,8.4,7.8,8.4,8.0,2.76,108280
2012-03-23,8.2,8.0,8.0,8.1,2.8,85110
2012-03-26,8.5,8.0,8.2,8.5,2.94,127430
2012-03-27,8.6,8.1,8.6,8.1,2.8,38530
2012-03-28,8.1,7.8,8.1,8.0,2.76,27940
2012-03-29,8.1,7.7,8.1,7.8,2.7,30810
2012-03-30,7.9,7.6,7.9,7.6,2.63,47020
2012-04-03,7.8,7.5,7.5,7.6,2.63,24810
2012-04-04,7.8,7.6,7.8,7.8,2.7,28890
2012-04-05,7.9,7.8,7.9,7.9,2.73,1870
2012-04-06,7.9,7.7,7.7,7.7,2.66,25580
2012-04-09,7.9,7.6,7.8,7.9,2.73,11450
2012-04-10,7.9,7.7,7.9,7.9,2.73,50100
2012-04-11,8.2,7.9,7.9,8.2,2.83,165820
2012-04-12,8.6,8.5,8.5,8.6,2.97,245200
2012-04-13,8.9,8.4,8.9,8.6,2.97,62760
2012-04-16,8.9,8.4,8.5,8.8,3.04,65720
2012-04-17,8.9,8.7,8.9,8.9,3.08,55030
2012-04-18,9.0,8.6,8.8,8.9,3.08,128070
2012-04-19,8.8,8.5,8.7,8.5,2.94,33670
2012-04-20,8.6,8.2,8.5,8.4,2.9,43240
2012-04-23,8.6,8.3,8.6,8.3,2.87,22420
2012-04-24,8.5,8.3,8.3,8.4,2.9,55870
2012-04-25,8.8,8.4,8.4,8.8,3.04,77650
2012-04-26,9.0,8.6,8.6,8.9,3.08,166120
2012-04-27,9.3,8.9,9.0,9.3,3.21,279810
2012-05-02,9.7,9.7,9.7,9.7,3.35,145000
2012-05-03,10.1,9.7,10.1,10.0,3.46,223990
2012-05-04,10.5,10.0,10.1,10.5,3.63,175320
2012-05-07,11.0,10.6,10.7,11.0,3.8,208850
2012-05-08,11.0,10.5,10.8,10.6,3.66,214750
2012-05-09,10.9,10.5,10.5,10.7,3.7,223360
2012-05-10,11.2,10.9,10.9,11.2,3.87,297070
2012-05-11,11.5,10.7,11.3,10.8,3.73,54870
2012-05-14,10.7,10.3,10.4,10.3,3.56,82240
2012-05-15,10.0,9.8,9.8,9.8,3.39,102930
2012-05-16,9.8,9.4,9.8,9.6,3.32,86820
2012-05-17,9.9,9.5,9.6,9.7,3.35,27680
2012-05-18,9.4,9.3,9.4,9.3,3.21,83500
2012-05-21,9.7,9.2,9.7,9.7,3.35,70280
2012-05-22,9.8,9.5,9.7,9.5,3.28,30610
2012-05-23,9.6,9.2,9.6,9.2,3.18,71340
2012-05-24,9.1,8.9,9.1,9.0,3.11,16430
2012-05-25,9.4,9.2,9.4,9.4,3.25,13870
2012-05-28,9.7,9.5,9.7,9.7,3.35,28580
2012-05-29,10.0,9.4,9.7,10.0,3.46,6090
2012-05-30,10.1,9.5,9.5,9.9,3.42,11090
2012-05-31,9.8,9.5,9.8,9.5,3.28,30230
2012-06-01,9.6,9.3,9.6,9.5,3.28,8820
2012-06-04,9.3,9.1,9.2,9.1,3.14,32730
2012-06-05,9.1,8.9,8.9,9.1,3.14,6980
2012-06-06,9.3,9.2,9.2,9.2,3.18,4400
2012-06-07,9.6,9.2,9.3,9.6,3.32,45580
2012-06-08,9.7,9.4,9.5,9.6,3.32,42390
2012-06-11,9.6,9.4,9.5,9.5,3.28,40200
2012-06-12,9.5,9.4,9.5,9.5,3.28,39820
2012-06-13,9.5,9.3,9.3,9.5,3.28,26040
2012-06-14,9.5,9.3,9.3,9.4,3.25,10250
2012-06-15,9.5,9.3,9.5,9.5,3.28,33100
2012-06-18,9.5,9.5,9.5,9.5,3.28,5900
2012-06-19,9.4,9.3,9.4,9.3,3.21,8690
2012-06-20,9.5,9.5,9.5,9.5,3.28,3500
