Date,High,Low,Open,Close,adjust,Volume
2016-10-28,54.6,54.6,54.6,54.6,45.69,100
2016-10-31,62.7,62.7,62.7,62.7,52.47,40100
2016-11-01,72.1,72.1,72.1,72.1,60.34,150
2016-11-02,82.9,82.9,82.9,82.9,69.37,2400
2016-11-03,95.3,95.3,95.3,95.3,79.75,2600
2016-11-04,109.5,109.5,109.5,109.5,91.63,13700
2016-11-07,125.9,125.9,125.9,125.9,105.36,31570
2016-11-08,144.7,144.0,144.7,144.7,121.09,118000
2016-11-09,166.4,123.1,166.4,137.1,114.73,83468
2016-11-10,161.5,126.1,145.0,128.0,107.12,82870
2016-11-11,128.0,115.4,128.0,115.4,96.57,89070
2016-11-14,122.0,100.1,100.1,107.0,89.54,82480
2016-11-15,115.4,107.0,110.0,110.0,92.05,65796
2016-11-16,110.0,104.2,110.0,104.3,87.28,43723
2016-11-17,102.8,99.7,101.4,100.0,83.68,69040
2016-11-18,102.9,99.0,102.5,100.1,83.77,46670
2016-11-21,108.0,100.0,100.5,107.0,89.54,60956
2016-11-22,114.0,108.0,108.9,108.0,90.38,82797
2016-11-23,110.0,107.0,108.0,107.3,89.79,55428
2016-11-24,108.9,104.1,106.0,105.0,87.87,46983
2016-11-25,108.8,103.1,103.1,106.2,88.87,40279
2016-11-28,111.0,105.5,108.0,106.0,88.71,64102
2016-11-29,109.4,105.4,107.0,107.0,89.54,29500
2016-11-30,106.6,105.0,106.0,106.1,88.79,17150
2016-12-01,111.0,106.0,106.1,109.5,91.63,85775
2016-12-02,111.0,107.7,109.5,111.0,92.89,37231
2016-12-05,110.0,108.0,109.6,109.8,91.89,47570
2016-12-06,111.8,95.0,110.0,100.0,83.68,122160
2016-12-07,119.1,88.1,100.0,116.4,97.41,273397
2016-12-08,124.3,105.1,116.0,124.3,104.02,213727
2016-12-09,135.7,116.7,124.3,135.7,113.56,172500
2016-12-12,148.4,121.5,129.2,148.4,124.19,180311
2016-12-13,161.2,143.0,143.0,161.2,134.9,143120
2016-12-14,180.7,160.0,161.0,180.7,151.22,78644
2016-12-15,201.4,175.0,201.4,201.4,168.54,83518
2016-12-16,225.8,180.0,210.0,225.8,188.96,88668
2016-12-19,210.0,179.6,200.1,179.6,150.3,31811
2016-12-20,175.0,162.9,175.0,163.9,137.16,32893
2016-12-21,170.0,138.6,160.0,170.0,142.26,27650
2016-12-22,169.2,125.2,168.0,147.2,123.18,76500
2016-12-23,140.0,111.2,130.7,130.6,109.29,106720
2016-12-26,128.0,111.1,111.1,125.0,104.61,38952
2016-12-27,140.0,125.0,126.0,140.0,117.16,41620
2016-12-28,140.0,130.0,135.0,132.8,111.13,42070
2016-12-29,132.9,124.0,129.0,131.0,109.63,24010
2016-12-30,128.0,122.6,125.0,125.5,105.02,13202
2017-01-03,125.0,120.0,125.0,122.0,102.09,8220
2017-01-04,124.0,118.0,124.0,120.0,100.42,12890
2017-01-05,138.0,116.4,122.5,126.1,105.53,78810
2017-01-06,133.0,122.8,122.8,127.2,106.45,22478
2017-01-09,145.0,125.6,131.9,145.0,121.34,33410
2017-01-10,133.6,127.5,133.6,128.0,107.12,17773
2017-01-19,149.9,133.1,147.0,135.0,112.97,59330
2017-01-20,144.0,136.0,144.0,139.0,116.32,41550
2017-01-23,140.5,133.2,136.0,133.5,111.72,10410
2017-01-24,134.0,128.0,133.5,133.8,111.97,12750
2017-01-25,138.0,131.1,138.0,135.0,112.97,5320
2017-02-02,134.0,131.0,132.0,132.0,110.46,12840
2017-02-03,131.0,127.0,130.1,127.5,106.7,28860
2017-02-06,127.5,119.0,127.5,120.0,100.42,23400
2017-02-07,120.0,115.0,119.0,117.0,97.91,20930
2017-02-08,119.5,111.2,116.6,117.0,97.91,20700
2017-02-09,116.9,113.9,113.9,114.0,95.4,10950
2017-02-10,117.4,114.0,114.0,117.3,98.16,9980
2017-02-13,117.5,115.1,117.5,115.6,96.74,2060
2017-02-14,115.0,113.5,114.0,113.5,94.98,9270
2017-02-15,113.5,111.6,113.5,113.0,94.56,3580
2017-02-16,113.5,111.1,113.5,111.2,93.06,13830
2017-02-17,111.9,110.5,111.2,110.5,92.47,5480
2017-02-20,110.0,103.8,103.8,107.0,89.54,13760
2017-02-21,112.9,107.0,107.0,112.8,94.4,8760
2017-02-22,116.4,110.1,112.8,116.0,97.07,20090
2017-02-23,115.0,113.0,115.0,113.0,94.56,12520
2017-02-24,112.0,110.0,112.0,111.0,92.89,8520
2017-02-27,111.8,108.0,109.9,109.9,91.97,4970
2017-02-28,113.5,107.6,109.0,107.6,90.04,5140
2017-03-01,109.0,108.0,108.1,108.2,90.55,5530
2017-03-02,108.0,106.1,107.0,107.9,90.3,4840
2017-03-03,107.9,105.5,106.1,105.5,88.29,8220
2017-03-06,105.1,103.0,105.1,104.0,87.03,6340
2017-03-07,106.0,100.0,106.0,100.5,84.1,18190
2017-03-08,102.8,100.0,100.0,101.4,84.86,12540
2017-03-09,101.3,100.0,101.3,100.0,83.68,12640
2017-03-10,99.5,98.1,98.2,98.2,82.18,4300
2017-03-13,98.3,96.0,98.3,97.0,81.17,10320
2017-03-14,96.6,95.8,95.8,96.0,80.34,3290
2017-03-15,95.5,94.5,95.0,95.0,79.5,6590
2017-03-16,95.0,88.4,94.5,92.5,77.41,16220
2017-03-17,95.0,93.5,95.0,93.8,78.5,8580
2017-03-20,95.5,92.0,95.4,93.1,77.91,1320
2017-03-21,93.0,92.0,93.0,92.0,76.99,3050
2017-03-22,94.0,91.0,93.0,91.0,76.15,4880
2017-03-23,91.1,87.2,91.1,87.2,72.97,7280
2017-03-24,89.5,87.0,88.0,87.3,73.06,11610
2017-03-27,91.0,87.3,87.3,88.5,74.06,11660
2017-03-28,88.5,87.0,88.4,88.5,74.06,1980
2017-03-29,88.3,85.0,88.0,85.0,71.13,11870
2017-03-30,85.0,84.0,85.0,84.0,70.29,7330
2017-03-31,86.0,81.0,86.0,81.1,67.87,10870
2017-04-03,81.0,76.5,80.0,77.0,64.44,11650
2017-04-04,78.0,73.0,74.2,78.0,65.27,14020
2017-04-05,83.4,76.4,76.4,83.4,69.79,47650
2017-04-07,89.0,84.1,88.0,89.0,74.48,30090
2017-04-10,92.3,89.0,89.0,90.0,75.32,35300
2017-04-11,90.5,86.0,90.5,87.3,73.06,12640
2017-04-12,87.3,83.2,87.3,84.0,70.29,6680
2017-04-13,84.5,80.7,83.0,84.5,70.71,19900
2017-04-14,90.0,84.5,85.0,88.2,73.81,18080
2017-04-17,88.0,86.0,88.0,86.0,71.97,6540
2017-04-18,86.6,82.1,82.1,86.4,72.3,5320
2017-04-19,87.4,86.0,87.4,87.0,72.81,2440
2017-04-20,87.4,85.6,87.4,85.6,71.63,1090
2017-04-21,86.9,82.5,83.1,86.4,72.3,4290
2017-04-24,86.4,85.5,86.4,85.5,71.55,340
2017-04-25,85.5,84.0,85.5,84.0,70.29,790
2017-04-26,84.5,82.6,82.6,83.5,69.88,1710
2017-04-27,85.0,83.1,83.5,84.2,70.46,1140
2017-04-28,85.4,83.0,85.3,84.3,70.55,10100
2017-05-03,83.9,82.6,83.1,83.7,70.04,37610
2017-05-04,84.0,83.5,83.7,83.5,69.88,6990
2017-05-05,83.5,83.0,83.5,83.0,69.46,2020
2017-05-08,87.0,83.4,87.0,83.4,69.79,1660
2017-05-09,84.0,82.7,83.4,83.5,69.88,3040
2017-05-10,85.0,82.7,83.0,83.0,69.46,1950
