Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.3,6.1,6.3,6.2,3.32,21460
2012-01-04,6.2,6.2,6.2,6.2,3.32,2000
2012-01-05,6.3,6.2,6.2,6.3,3.37,8510
2012-01-06,6.3,6.2,6.3,6.2,3.32,9520
2012-01-09,6.3,6.3,6.3,6.3,3.37,400
2012-01-10,6.4,6.3,6.3,6.4,3.42,1710
2012-01-11,6.5,6.4,6.4,6.5,3.48,13690
2012-01-12,6.5,6.5,6.5,6.5,3.48,930
2012-01-13,6.6,6.6,6.6,6.6,3.53,100
2012-01-16,6.7,6.6,6.7,6.7,3.58,9150
2012-01-17,6.8,6.6,6.7,6.8,3.64,11280
2012-01-18,6.9,6.5,6.9,6.9,3.69,22400
2012-01-19,7.0,6.9,6.9,7.0,3.74,4700
2012-01-20,7.0,6.9,6.9,7.0,3.74,9500
2012-01-30,7.1,6.8,6.8,7.1,3.8,5700
2012-01-31,7.1,7.0,7.1,7.1,3.8,16900
2012-02-01,7.1,7.1,7.1,7.1,3.8,3750
2012-02-02,7.2,7.0,7.1,7.2,3.85,69236
2012-02-03,7.2,6.9,7.2,7.1,3.8,24270
2012-02-06,7.1,7.1,7.1,7.1,3.8,100
2012-02-07,7.1,6.8,6.8,7.0,3.74,2920
2012-02-08,7.1,7.0,7.0,7.0,3.74,3320
2012-02-09,7.2,7.0,7.0,7.2,3.85,116420
2012-02-10,7.0,6.9,7.0,7.0,3.74,11240
2012-02-13,7.1,6.9,7.0,7.0,3.74,43860
2012-02-14,7.1,7.0,7.0,7.0,3.74,67810
2012-02-15,7.0,6.9,7.0,6.9,3.69,13570
2012-02-16,6.9,6.7,6.9,6.9,3.69,7760
2012-02-17,7.1,7.0,7.0,7.0,3.74,4990
2012-02-20,7.2,7.0,7.0,7.2,3.85,18490
2012-02-21,7.0,7.0,7.0,7.0,3.74,9600
2012-02-22,7.0,6.7,7.0,6.9,3.69,16710
2012-02-23,6.9,6.9,6.9,6.9,3.69,32560
2012-02-24,7.1,6.8,6.8,7.0,3.74,59540
2012-02-27,7.3,7.0,7.1,7.3,3.9,174410
2012-02-28,7.5,7.2,7.5,7.2,3.85,33310
2012-02-29,7.3,7.0,7.3,7.0,3.74,7230
2012-03-01,7.3,7.1,7.2,7.2,3.85,81170
2012-03-02,7.2,7.1,7.2,7.2,3.85,30260
2012-03-05,7.5,7.2,7.2,7.5,4.01,773300
2012-03-06,7.8,7.6,7.8,7.8,4.17,600640
2012-03-07,8.1,7.8,8.1,8.1,4.33,247170
2012-03-08,8.3,7.8,7.8,8.0,4.28,83250
2012-03-09,7.9,7.6,7.8,7.6,4.06,209480
2012-03-12,7.4,7.3,7.4,7.3,3.9,141220
2012-03-13,7.6,7.0,7.1,7.6,4.06,301820
2012-03-14,7.6,7.3,7.6,7.3,3.9,151000
2012-03-15,7.6,7.1,7.3,7.5,4.01,76290
2012-03-16,7.7,7.5,7.7,7.5,4.01,238270
2012-03-19,7.6,7.4,7.4,7.4,3.96,90700
2012-03-20,7.5,7.3,7.4,7.5,4.01,49230
2012-03-21,7.8,7.5,7.5,7.5,4.01,210610
2012-03-22,7.8,7.7,7.8,7.8,4.17,449960
2012-03-23,8.1,8.1,8.1,8.1,4.33,255120
2012-03-26,8.5,8.4,8.5,8.5,4.55,681850
2012-03-27,8.8,8.4,8.8,8.4,4.49,577380
2012-03-28,8.4,8.0,8.1,8.4,4.49,282320
2012-03-29,8.5,8.2,8.4,8.3,4.44,236930
2012-03-30,8.3,8.1,8.3,8.1,4.33,197720
