Date,High,Low,Open,Close,adjust,Volume
2012-01-03,26.9,26.0,26.0,26.9,8.16,29740
2012-01-04,27.0,26.2,26.2,26.6,8.07,16260
2012-01-05,26.9,26.2,26.3,26.2,7.95,16370
2012-01-06,26.4,26.0,26.2,26.4,8.01,21620
2012-01-09,26.4,25.2,26.2,26.4,8.01,16510
2012-01-10,27.5,27.0,27.0,27.2,8.25,20600
2012-01-11,27.2,27.0,27.2,27.0,8.19,13720
2012-01-12,28.2,26.1,26.1,28.1,8.53,26000
2012-01-13,28.2,28.0,28.0,28.0,8.5,14010
2012-01-16,28.1,27.8,28.0,27.8,8.44,22840
2012-01-17,28.0,27.6,28.0,28.0,8.5,5770
2012-01-18,29.4,29.2,29.4,29.4,8.92,76130
2012-01-19,30.6,29.5,30.6,29.8,9.04,30070
2012-01-20,29.9,29.3,29.8,29.3,8.89,25810
2012-01-30,29.6,28.1,29.0,29.0,8.8,10990
2012-01-31,30.0,29.0,29.3,29.0,8.8,52200
2012-02-01,29.3,28.5,29.0,29.3,8.89,19820
2012-02-02,30.5,29.5,29.5,30.5,9.25,46800
2012-02-03,31.7,30.4,31.7,30.5,9.25,66870
2012-02-06,30.9,30.0,30.5,30.9,9.38,37330
2012-02-07,31.0,30.2,31.0,30.5,9.25,31210
2012-02-08,31.1,30.5,31.0,31.0,9.41,43600
2012-02-09,31.5,31.0,31.0,31.0,9.41,51420
2012-02-10,31.2,30.5,31.0,30.9,9.38,34520
2012-02-13,32.4,31.0,31.0,32.4,9.83,76540
2012-02-14,34.0,33.0,33.8,34.0,10.32,99720
2012-02-15,35.5,33.8,34.3,34.5,10.47,111770
2012-02-16,36.2,34.1,34.1,36.2,10.98,73910
2012-02-17,38.0,36.8,36.8,38.0,11.53,39700
2012-02-20,39.9,39.8,39.9,39.9,12.11,21140
2012-02-21,41.8,40.1,41.8,40.3,12.23,86440
2012-02-22,41.7,39.5,40.3,39.5,11.99,63190
2012-02-23,39.5,37.6,39.5,37.6,11.41,113340
2012-02-24,39.4,39.2,39.4,39.4,11.96,55500
2012-02-27,41.3,41.3,41.3,41.3,12.53,23570
2012-02-28,43.3,40.3,43.3,41.0,12.44,159620
2012-02-29,43.0,41.2,41.2,43.0,13.05,143430
2012-03-01,44.8,42.0,43.9,44.0,13.35,86290
2012-03-02,44.6,43.9,44.6,44.1,13.38,45140
2012-03-05,46.3,44.0,44.1,46.3,14.05,115750
2012-03-06,46.0,44.0,45.6,44.0,13.35,132080
2012-03-07,44.0,41.9,43.0,43.0,13.05,50440
2012-03-08,43.1,40.9,43.0,40.9,12.41,76290
2012-03-09,42.9,40.5,41.0,41.6,12.62,104300
2012-03-12,42.6,40.3,42.6,40.5,12.29,44650
2012-03-13,42.5,41.0,41.0,42.5,12.9,43370
2012-03-14,44.6,44.4,44.6,44.5,13.5,116540
2012-03-15,45.0,43.5,43.5,44.5,13.5,27980
2012-03-16,46.0,44.0,45.0,44.6,13.53,45830
2012-03-19,44.6,43.0,44.6,43.4,13.17,51670
2012-03-20,45.5,45.4,45.5,45.5,13.81,162610
2012-03-21,47.7,46.5,47.0,47.7,14.47,96670
2012-03-22,50.0,47.7,47.9,49.5,15.02,54880
2012-03-23,50.5,48.5,50.0,49.4,14.99,66290
2012-03-26,50.0,47.1,49.0,48.3,14.66,84540
2012-03-27,48.3,45.9,48.3,46.2,14.02,133590
2012-03-28,47.5,45.5,47.5,46.0,13.96,49430
2012-03-29,48.0,46.7,47.0,48.0,14.56,72250
2012-03-30,49.0,47.8,48.0,48.2,14.63,45860
2012-04-03,48.5,48.0,48.5,48.3,14.66,27150
2012-04-04,49.0,48.2,49.0,48.4,14.69,34660
2012-04-05,50.5,48.4,48.4,50.5,15.32,156690
2012-04-06,53.0,51.5,52.0,53.0,16.08,92390
2012-04-09,55.0,53.0,53.0,55.0,16.69,94070
2012-04-10,57.5,56.5,56.5,57.5,17.45,111130
2012-04-11,60.0,58.0,60.0,60.0,18.21,57010
2012-04-12,63.0,63.0,63.0,63.0,19.12,13670
2012-04-13,66.0,65.0,66.0,66.0,20.03,76870
2012-04-16,69.0,69.0,69.0,69.0,20.94,28700
2012-04-17,72.0,72.0,72.0,72.0,21.85,71160
2012-04-18,75.0,71.0,72.5,72.0,21.85,419040
2012-04-19,48.3,48.3,48.3,48.3,22.94,128550
2012-04-20,50.5,49.0,49.5,50.5,23.98,218780
2012-04-23,53.0,53.0,53.0,53.0,25.17,25860
2012-04-24,55.5,55.5,55.5,55.5,26.36,11640
2012-04-25,58.0,58.0,58.0,58.0,27.55,2500
2012-04-26,60.5,60.5,60.5,60.5,28.73,1720
2012-04-27,63.5,63.0,63.5,63.5,30.16,109000
2012-05-02,66.5,60.5,66.0,60.5,28.73,415980
2012-05-03,63.5,58.0,60.0,61.5,29.21,263510
2012-05-04,64.5,63.0,64.5,64.5,30.63,137210
2012-05-07,67.5,66.5,67.0,67.5,32.06,63110
2012-05-08,70.5,64.5,70.5,64.5,30.63,232260
2012-05-09,64.5,61.5,64.0,61.5,29.21,213650
2012-05-10,61.0,58.5,60.5,58.5,27.78,250890
2012-05-11,60.5,56.5,57.5,58.5,27.78,219200
2012-05-14,60.0,56.0,58.0,56.0,26.6,113560
2012-05-15,55.5,53.5,53.5,53.5,25.41,91930
2012-05-16,53.0,51.0,51.0,51.0,24.22,157670
2012-05-17,50.5,48.5,48.5,48.5,23.03,290180
2012-05-18,46.3,46.1,46.3,46.1,21.89,51470
2012-05-21,48.4,43.8,43.8,48.4,22.99,233180
2012-05-22,50.5,47.9,50.0,50.5,23.98,256020
2012-05-23,49.9,48.0,48.1,48.0,22.8,153500
2012-05-24,48.0,45.6,46.1,45.6,21.66,76720
2012-05-25,47.8,47.0,47.4,47.8,22.7,140460
2012-05-28,49.8,45.6,49.0,46.6,22.13,116240
2012-05-29,45.5,44.3,44.8,45.0,21.37,113870
2012-05-30,46.8,45.0,45.0,45.3,21.51,72250
2012-05-31,45.4,43.1,45.0,43.4,20.61,139300
2012-06-01,45.2,43.4,43.5,43.9,20.85,100750
2012-06-04,43.4,41.8,43.4,41.8,19.85,161990
