Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.8,8.5,8.6,8.5,2.98,17080
2012-01-04,8.9,8.1,8.5,8.9,3.12,10970
2012-01-05,8.7,8.5,8.5,8.7,3.05,60170
2012-01-06,8.7,8.4,8.7,8.6,3.01,13300
2012-01-09,8.6,8.2,8.6,8.2,2.87,17550
2012-01-10,8.4,8.2,8.4,8.2,2.87,15210
2012-01-11,8.6,8.2,8.6,8.5,2.98,18760
2012-01-12,8.5,8.1,8.3,8.5,2.98,34260
2012-01-13,8.2,8.1,8.2,8.2,2.87,8530
2012-01-16,8.5,8.2,8.2,8.5,2.98,20060
2012-01-17,8.5,8.2,8.2,8.5,2.98,32190
2012-01-18,8.4,8.2,8.4,8.3,2.91,15750
2012-01-19,8.4,8.2,8.3,8.2,2.87,23290
2012-01-20,8.6,8.2,8.5,8.6,3.01,8510
2012-01-30,8.9,8.6,8.6,8.9,3.12,19230
2012-01-31,8.9,8.5,8.9,8.5,2.98,14320
2012-02-01,8.6,8.4,8.6,8.5,2.98,20580
2012-02-02,8.9,8.7,8.7,8.7,3.05,8150
2012-02-03,9.0,8.5,8.9,8.9,3.12,46610
2012-02-06,9.0,8.5,9.0,8.8,3.08,41210
2012-02-07,8.6,8.4,8.5,8.4,2.94,25800
2012-02-08,8.8,8.4,8.7,8.5,2.98,59190
2012-02-09,8.7,8.4,8.7,8.6,3.01,21220
2012-02-10,8.7,8.5,8.7,8.6,3.01,15620
2012-02-13,8.6,8.4,8.6,8.6,3.01,36360
2012-02-14,8.5,8.4,8.5,8.5,2.98,11600
2012-02-15,8.6,8.3,8.6,8.6,3.01,26540
2012-02-16,8.6,8.5,8.6,8.6,3.01,15020
2012-02-17,8.7,8.6,8.6,8.6,3.01,25790
2012-02-20,8.9,8.7,8.7,8.9,3.12,42510
2012-02-21,9.2,8.9,9.2,9.0,3.15,70980
2012-02-22,9.2,9.0,9.1,9.2,3.23,44340
2012-02-23,9.4,9.0,9.0,9.3,3.26,37250
2012-02-24,9.5,9.1,9.5,9.1,3.19,45480
2012-02-27,9.3,9.1,9.1,9.3,3.26,101290
2012-02-28,9.5,9.3,9.3,9.3,3.26,124880
2012-02-29,9.6,9.4,9.6,9.6,3.37,57300
2012-03-01,10.0,9.6,9.7,10.0,3.51,30280
2012-03-02,10.5,10.3,10.3,10.4,3.65,111260
