Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.7,6.7,6.7,6.7,2.99,10
2012-01-04,6.4,6.4,6.4,6.4,2.85,100
2012-01-05,6.1,6.1,6.1,6.1,2.72,10
2012-01-06,5.8,5.8,5.8,5.8,2.59,5700
2012-01-09,6.0,5.6,5.6,5.7,2.54,69400
2012-01-10,5.9,5.5,5.5,5.9,2.63,40160
2012-01-11,6.0,5.9,6.0,6.0,2.67,37880
2012-01-12,6.3,6.0,6.3,6.3,2.81,28100
2012-01-13,6.6,6.6,6.6,6.6,2.94,6260
2012-01-16,6.9,6.9,6.9,6.9,3.08,18020
2012-01-17,7.2,7.2,7.2,7.2,3.21,28830
2012-01-18,7.5,7.5,7.5,7.5,3.34,5800
2012-01-19,7.8,7.8,7.8,7.8,3.48,10010
2012-01-20,8.1,8.1,8.1,8.1,3.61,11200
2012-01-30,8.5,8.5,8.5,8.5,3.79,880
2012-01-31,8.9,8.5,8.5,8.9,3.97,11840
2012-02-01,9.3,9.3,9.3,9.3,4.15,28910
2012-02-02,9.6,8.9,8.9,9.5,4.23,18490
2012-02-03,9.9,9.7,9.7,9.9,4.41,20500
2012-02-06,10.0,9.5,10.0,9.5,4.23,11200
2012-02-07,9.5,9.2,9.5,9.2,4.1,6000
2012-02-08,9.0,8.8,8.9,8.8,3.92,27470
2012-02-09,9.2,8.4,8.4,9.2,4.1,33190
2012-02-10,9.6,9.5,9.6,9.5,4.23,14200
2012-02-13,9.8,9.6,9.8,9.7,4.32,15920
2012-02-14,9.9,9.6,9.6,9.9,4.41,19370
2012-02-15,10.3,9.9,9.9,10.3,4.59,53990
2012-02-16,10.7,10.2,10.7,10.6,4.73,180
2012-02-17,10.9,10.6,10.6,10.9,4.86,50
2012-02-20,11.0,11.0,11.0,11.0,4.9,1200
2012-02-21,10.8,10.5,10.8,10.8,4.81,4430
2012-02-22,10.7,10.3,10.3,10.3,4.59,5080
2012-02-23,10.6,9.8,9.8,10.3,4.59,2730
2012-02-24,10.3,9.8,10.1,9.8,4.37,31430
2012-02-27,9.9,9.4,9.5,9.9,4.41,9570
2012-02-28,9.5,9.5,9.5,9.5,4.23,1350
2012-02-29,9.2,9.1,9.2,9.1,4.06,11020
2012-03-01,9.3,8.7,8.8,9.3,4.15,24700
2012-03-02,9.5,9.0,9.0,9.4,4.19,8770
2012-03-05,9.8,9.6,9.6,9.8,4.37,30050
2012-03-06,10.2,9.4,10.2,9.4,4.19,8220
2012-03-07,9.5,9.4,9.4,9.4,4.19,17830
2012-03-08,9.5,9.0,9.5,9.0,4.01,18040
2012-03-09,9.1,8.8,8.8,9.1,4.06,2330
2012-03-12,9.4,8.7,9.4,9.0,4.01,28160
2012-03-13,9.2,9.1,9.1,9.2,4.1,300
2012-03-14,9.2,8.8,8.9,8.8,3.92,16210
2012-03-15,8.9,8.4,8.5,8.9,3.97,18610
2012-03-16,8.8,8.6,8.8,8.6,3.83,19310
2012-03-19,9.0,8.6,8.8,9.0,4.01,24500
2012-03-20,9.4,9.4,9.4,9.4,4.19,12510
2012-03-21,9.8,9.8,9.8,9.8,4.37,50
2012-03-22,10.2,10.2,10.2,10.2,4.55,23420
2012-03-23,10.7,10.7,10.7,10.7,4.77,61240
2012-03-26,11.2,10.7,11.2,11.1,4.95,122980
2012-03-27,11.4,10.6,11.4,10.6,4.73,61130
2012-03-28,10.3,10.1,10.1,10.3,4.59,9370
2012-03-29,10.6,10.3,10.5,10.6,4.73,28980
2012-03-30,10.8,10.2,10.3,10.3,4.59,28090
2012-04-03,10.6,10.2,10.2,10.6,4.73,58220
2012-04-04,10.6,10.4,10.6,10.4,4.64,61280
2012-04-05,10.9,10.2,10.3,10.9,4.86,77980
2012-04-06,11.1,10.7,11.1,10.7,4.77,33520
2012-04-09,10.9,10.7,10.7,10.9,4.86,22850
2012-04-10,11.1,10.8,11.0,10.8,4.81,123620
2012-04-11,11.0,10.8,11.0,10.9,4.86,22770
2012-04-12,11.1,10.6,11.0,10.9,4.86,132860
2012-04-13,11.0,10.7,11.0,10.9,4.86,68650
2012-04-16,11.0,10.7,11.0,10.7,4.77,30990
