Date,High,Low,Open,Close,adjust,Volume
2012-01-03,42.9,41.0,41.9,42.9,32.8,108270
2012-01-04,43.0,42.2,43.0,42.8,32.72,120004
2012-01-05,42.7,40.8,41.5,40.8,31.2,27990
2012-01-06,40.9,38.8,40.9,38.8,29.67,157940
2012-01-09,38.0,36.9,38.0,36.9,28.21,147460
2012-01-10,38.7,36.3,36.3,38.7,29.59,214500
2012-01-11,40.6,39.5,40.0,40.6,31.04,32720
2012-01-12,42.6,42.6,42.6,42.6,32.57,79010
2012-01-13,44.7,44.7,44.7,44.7,34.18,74770
2012-01-16,46.9,43.0,46.7,44.0,33.64,258970
2012-01-17,46.2,44.5,45.5,46.2,35.32,166140
2012-01-18,48.5,47.5,48.0,48.5,37.08,67390
2012-01-19,50.5,48.5,49.0,50.5,38.61,40070
2012-01-20,53.0,50.0,52.5,50.0,38.23,133450
2012-01-30,52.5,48.2,48.5,52.5,40.14,127220
2012-01-31,54.5,52.0,53.5,52.0,39.76,161730
2012-02-01,52.5,51.0,52.0,52.5,40.14,136410
2012-02-02,55.0,52.5,54.0,55.0,42.05,66060
2012-02-03,57.5,56.0,57.5,56.0,42.82,223040
2012-02-06,57.0,53.5,56.0,56.0,42.82,79230
2012-02-07,58.5,55.0,56.0,58.5,44.73,97120
2012-02-08,61.0,59.0,60.0,60.0,45.88,121500
2012-02-09,60.0,58.5,60.0,59.0,45.11,95070
2012-02-10,59.0,57.0,59.0,57.5,43.96,154270
2012-02-13,56.5,55.0,56.0,55.0,42.05,215900
2012-02-14,56.0,52.5,53.0,55.0,42.05,221140
2012-02-15,55.0,53.0,55.0,54.0,41.29,83540
2012-02-16,55.0,53.0,54.0,53.0,40.52,170890
2012-02-17,55.5,54.5,54.5,55.5,42.43,145880
2012-02-20,58.0,58.0,58.0,58.0,44.35,50010
2012-02-21,60.5,58.0,60.5,58.0,44.35,356730
2012-02-22,60.0,58.0,58.0,60.0,45.88,80870
2012-02-23,61.0,58.5,61.0,60.5,46.26,153350
2012-02-24,62.0,60.0,62.0,60.0,45.88,158390
2012-02-27,61.0,58.5,60.0,58.5,44.73,185660
2012-02-28,60.0,57.0,58.0,57.0,43.58,115620
2012-02-29,57.0,54.5,56.0,55.0,42.05,475430
2012-03-01,57.5,55.0,56.5,57.5,43.96,114060
2012-03-02,60.0,58.0,59.0,60.0,45.88,103820
2012-03-05,63.0,62.0,62.0,63.0,48.17,160680
2012-03-06,64.5,60.0,64.0,60.0,45.88,218350
2012-03-07,61.0,59.0,60.5,61.0,46.64,216010
2012-03-08,60.0,58.5,59.0,58.5,44.73,324940
2012-03-09,59.5,58.0,58.5,59.0,45.11,79710
2012-03-12,61.5,61.0,61.5,61.5,47.02,133980
2012-03-13,64.5,64.5,64.5,64.5,49.32,148390
2012-03-14,67.5,67.5,67.5,67.5,51.61,83870
2012-03-15,70.5,67.5,70.5,70.5,53.9,546800
2012-03-16,74.0,71.0,72.5,74.0,56.58,412380
2012-03-19,73.5,70.5,71.0,70.5,53.9,263880
2012-03-20,70.0,67.0,67.0,67.0,51.23,320890
2012-03-21,69.5,66.5,66.5,69.5,53.14,120800
2012-03-22,72.5,68.0,68.0,69.5,53.14,67150
2012-03-23,72.5,72.0,72.5,72.5,55.43,81240
2012-03-26,75.0,72.0,72.5,75.0,57.34,63690
2012-03-27,74.0,71.5,73.0,71.5,54.67,65000
2012-03-28,73.0,68.5,72.0,73.0,55.82,207250
2012-03-29,74.0,71.5,74.0,71.5,54.67,36680
2012-03-30,75.0,73.0,75.0,75.0,57.34,108570
2012-04-03,75.0,73.5,75.0,74.0,56.58,89600
2012-04-04,75.0,71.0,75.0,72.0,55.05,66560
2012-04-05,74.0,70.0,71.0,73.5,56.2,39630
2012-04-06,74.0,72.0,74.0,74.0,56.58,22710
2012-04-09,74.0,72.0,74.0,74.0,56.58,39200
2012-04-10,74.0,72.0,73.0,72.0,55.05,66060
2012-04-11,74.0,71.5,74.0,72.5,55.43,69980
2012-04-12,73.0,71.5,72.5,72.5,55.43,95740
2012-04-13,74.0,73.0,74.0,74.0,56.58,33550
2012-04-16,75.0,72.5,75.0,72.5,55.43,111910
2012-04-17,73.0,71.5,72.5,72.0,55.05,131990
2012-04-18,72.5,71.0,72.5,71.0,54.29,121930
2012-04-19,73.0,70.5,71.0,73.0,55.82,82580
2012-04-20,73.5,72.0,73.5,72.0,55.05,58700
2012-04-23,72.5,71.0,72.5,71.0,54.29,50080
2012-04-24,71.0,69.0,71.0,69.5,53.14,76760
2012-04-25,72.5,70.0,72.0,72.0,55.05,93960
2012-04-26,71.0,69.0,70.5,69.0,52.76,139420
2012-04-27,70.5,68.5,70.5,69.5,53.14,44430
2012-05-02,70.5,69.0,69.0,69.5,53.14,93480
2012-05-03,69.5,67.5,68.0,68.5,52.37,81130
2012-05-04,69.5,68.0,68.0,68.5,52.37,84520
2012-05-07,71.5,68.0,69.0,71.5,54.67,102330
2012-05-08,71.0,69.0,71.0,69.0,52.76,67550
2012-05-09,71.0,68.5,71.0,68.5,52.37,94000
2012-05-10,69.0,67.0,68.5,67.0,51.23,119270
2012-05-11,68.0,66.0,68.0,66.0,50.46,93740
2012-05-14,66.0,63.0,64.5,63.0,48.17,101480
2012-05-15,62.5,60.0,60.0,60.0,45.88,254960
2012-05-16,60.5,57.0,60.0,57.0,43.58,543930
2012-05-17,58.0,54.5,57.0,54.5,41.67,436240
2012-05-18,54.5,52.0,54.5,53.5,40.91,486970
2012-05-21,56.0,54.5,56.0,56.0,42.82,996590
2012-05-22,57.5,54.5,57.0,55.0,42.05,209070
2012-05-23,55.0,53.0,55.0,53.0,40.52,108330
2012-05-24,53.5,50.5,53.0,51.0,38.99,371190
2012-05-25,53.5,52.0,52.5,53.5,40.91,210970
2012-05-28,54.5,51.0,54.5,51.0,39.89,263660
2012-05-29,51.0,48.8,51.0,49.0,38.32,382500
2012-05-30,51.0,49.5,51.0,49.7,38.87,380280
2012-05-31,51.5,49.0,49.6,49.3,38.56,237790
2012-06-01,51.0,49.6,50.0,50.0,39.11,205770
2012-06-04,51.0,48.0,51.0,48.0,37.54,344760
2012-06-05,48.6,46.6,46.6,48.1,37.62,282560
