Date,High,Low,Open,Close,adjust,Volume
2012-01-03,10.8,10.1,10.3,10.8,7.04,1570
2012-01-04,11.3,10.3,11.0,10.9,7.1,1420
2012-01-05,11.0,10.4,11.0,11.0,7.17,120
2012-01-06,11.1,11.1,11.1,11.1,7.23,320
2012-01-09,11.6,11.6,11.6,11.6,7.56,100
2012-01-10,12.0,11.7,11.7,12.0,7.82,340
2012-01-11,12.4,12.4,12.4,12.4,8.08,10
2012-01-12,12.6,12.6,12.6,12.6,8.21,10
2012-01-13,12.6,12.6,12.6,12.6,8.21,10
2012-01-16,13.2,13.2,13.2,13.2,8.6,10
2012-01-17,13.8,13.8,13.8,13.8,8.99,10
2012-01-18,14.4,14.4,14.4,14.4,9.38,30
2012-01-19,15.0,13.9,13.9,15.0,9.77,510
2012-01-20,15.6,15.5,15.5,15.6,10.16,40
2012-01-30,15.6,14.9,14.9,15.6,10.16,50
2012-01-31,15.9,14.9,14.9,15.9,10.36,30
2012-02-01,15.9,15.9,15.9,15.9,10.36,0
2012-02-02,15.8,15.8,15.8,15.8,10.29,3510
2012-02-03,16.3,16.3,16.3,16.3,10.62,10
2012-02-06,16.3,16.3,16.3,16.3,10.62,0
2012-02-07,15.5,15.5,15.5,15.5,10.1,50
2012-02-08,14.8,14.8,14.8,14.8,9.64,10
2012-02-09,14.1,14.1,14.1,14.1,9.19,10
2012-02-10,13.4,13.4,13.4,13.4,8.73,10
2012-02-13,13.4,13.4,13.4,13.4,8.73,0
2012-02-14,12.8,12.8,12.8,12.8,8.34,60010
2012-02-15,13.0,13.0,13.0,13.0,8.47,10
2012-02-16,13.0,12.4,12.4,13.0,8.47,50
2012-02-17,13.6,13.6,13.6,13.6,8.86,10
2012-02-20,13.9,13.0,13.9,13.0,8.47,1620
2012-02-21,13.0,12.4,12.5,13.0,8.47,520
2012-02-22,13.0,13.0,13.0,13.0,8.47,0
2012-02-23,12.4,12.4,12.4,12.4,8.08,510
2012-02-24,11.8,11.8,11.8,11.8,7.69,1520
2012-02-27,11.8,11.8,11.8,11.8,7.69,120020
2012-02-28,11.8,11.8,11.8,11.8,7.69,0
2012-02-29,11.3,11.3,11.3,11.3,7.36,10
2012-03-01,11.3,11.3,11.3,11.3,7.36,0
2012-03-02,10.9,10.8,10.9,10.8,7.04,1020
2012-03-05,11.0,10.3,10.8,10.3,6.71,12070
2012-03-06,10.0,9.8,9.8,10.0,6.52,310
2012-03-07,9.6,9.6,9.6,9.6,6.26,10
2012-03-08,9.2,9.2,9.2,9.2,5.99,1500
2012-03-09,8.8,8.8,8.8,8.8,5.73,220
2012-03-12,8.8,8.8,8.8,8.8,5.73,20
2012-03-13,9.2,8.4,9.2,8.4,5.47,1040
2012-03-14,8.8,8.0,8.8,8.0,5.21,5220
2012-03-15,8.4,7.6,8.4,8.0,5.21,8930
2012-03-16,8.4,7.6,8.4,8.3,5.41,2430
2012-03-19,7.9,7.9,7.9,7.9,5.15,5360
2012-03-20,8.2,7.6,8.2,8.0,5.21,6420
2012-03-21,8.4,7.6,8.4,7.6,4.95,17820
2012-03-22,7.9,7.3,7.9,7.4,4.82,15050
2012-03-23,7.7,7.1,7.4,7.1,4.63,203760
2012-03-26,7.4,6.8,7.1,7.4,4.82,700450
2012-03-27,7.7,7.7,7.7,7.7,5.02,204730
2012-03-28,8.0,8.0,8.0,8.0,5.21,62350
2012-03-29,8.3,7.6,8.3,7.6,4.95,101860
2012-03-30,7.3,7.3,7.3,7.3,4.76,22270
2012-04-03,7.0,7.0,7.0,7.0,4.56,55010
2012-04-04,6.9,6.7,6.7,6.7,4.37,227460
2012-04-05,6.7,6.4,6.7,6.6,4.3,64970
2012-04-06,6.9,6.6,6.6,6.9,4.5,61740
2012-04-09,7.1,6.7,6.9,7.0,4.56,73990
2012-04-10,7.0,6.7,7.0,6.7,4.37,61930
2012-04-11,6.9,6.6,6.8,6.8,4.43,42450
2012-04-12,7.1,6.9,7.0,7.1,4.63,158920
2012-04-13,7.3,6.9,7.3,7.0,4.56,126940
2012-04-16,7.3,6.9,7.0,7.3,4.76,139000
2012-04-17,7.6,7.3,7.5,7.6,4.95,138840
2012-04-18,7.7,7.4,7.7,7.4,4.82,136400
2012-04-19,7.5,7.1,7.3,7.1,4.63,101220
2012-04-20,7.2,6.9,7.1,7.2,4.69,68080
2012-04-23,7.4,7.1,7.4,7.2,4.69,100800
2012-04-24,7.2,6.9,7.2,6.9,4.5,161920
2012-04-25,7.2,6.9,7.1,7.2,4.69,176190
2012-04-26,7.5,7.2,7.4,7.5,4.89,287100
