Date,High,Low,Open,Close,adjust,Volume
2012-01-03,5.8,5.5,5.5,5.6,1.97,15000
2012-01-04,5.7,5.6,5.6,5.7,2.0,1130
2012-01-05,5.7,5.5,5.6,5.6,1.97,2750
2012-01-06,5.6,5.4,5.4,5.4,1.9,5690
2012-01-09,5.5,5.2,5.4,5.4,1.9,7950
2012-01-10,5.5,5.4,5.5,5.5,1.93,6630
2012-01-11,5.6,5.4,5.4,5.4,1.9,6680
2012-01-12,5.5,5.2,5.4,5.2,1.83,16460
2012-01-13,5.4,5.3,5.3,5.4,1.9,4340
2012-01-16,5.6,5.5,5.5,5.6,1.97,210
2012-01-17,5.7,5.4,5.4,5.7,2.0,30
2012-01-18,5.5,5.5,5.5,5.5,1.93,2630
2012-01-19,5.7,5.3,5.3,5.5,1.93,15200
2012-01-20,5.5,5.3,5.3,5.3,1.86,19110
2012-01-30,5.5,5.1,5.1,5.5,1.93,7480
2012-01-31,5.7,5.6,5.7,5.7,2.0,15300
2012-02-01,5.8,5.5,5.5,5.6,1.97,29010
2012-02-02,5.8,5.7,5.7,5.8,2.04,14520
2012-02-03,6.0,5.7,5.9,5.8,2.04,31830
2012-02-06,5.8,5.6,5.8,5.7,2.0,28220
2012-02-07,5.8,5.7,5.7,5.7,2.0,5110
2012-02-08,5.9,5.7,5.8,5.7,2.0,18010
2012-02-09,5.9,5.7,5.7,5.9,2.08,378060
2012-02-10,5.9,5.7,5.7,5.9,2.08,14030
2012-02-13,5.8,5.7,5.7,5.7,2.0,10800
2012-02-14,5.7,5.5,5.5,5.7,2.0,1690
2012-02-15,5.7,5.5,5.7,5.6,1.97,5110
2012-02-16,5.7,5.4,5.7,5.7,2.0,1130
2012-02-17,5.8,5.6,5.6,5.8,2.04,9300
2012-02-20,6.0,5.7,5.7,6.0,2.11,17620
2012-02-21,6.2,5.9,6.0,5.9,2.08,16860
2012-02-22,6.1,5.7,5.7,6.1,2.15,11470
2012-02-23,6.4,6.1,6.1,6.4,2.25,31890
2012-02-24,6.7,6.7,6.7,6.7,2.36,45660
2012-02-27,7.0,6.7,6.9,7.0,2.46,82210
2012-02-28,7.1,6.7,7.0,6.7,2.36,65860
2012-02-29,6.8,6.5,6.5,6.5,2.29,5310
2012-03-01,6.8,6.6,6.6,6.8,2.39,38050
2012-03-02,7.0,6.8,6.9,6.9,2.43,20950
2012-03-05,7.2,7.2,7.2,7.2,2.53,17220
2012-03-06,7.5,7.0,7.5,7.1,2.5,46020
2012-03-07,7.1,6.8,6.8,7.1,2.5,38490
2012-03-08,7.4,7.2,7.2,7.4,2.6,98090
2012-03-09,7.7,7.4,7.5,7.7,2.71,47580
2012-03-12,8.0,8.0,8.0,8.0,2.81,190570
2012-03-13,8.1,7.8,8.0,8.1,2.85,409950
2012-03-14,7.7,7.7,7.7,7.7,2.71,31020
2012-03-15,8.0,7.4,7.4,8.0,2.81,59320
2012-03-16,8.2,7.7,7.9,7.7,2.71,71870
2012-03-19,7.7,7.4,7.7,7.5,2.64,25030
2012-03-20,7.7,7.3,7.3,7.6,2.67,14540
2012-03-21,7.9,7.6,7.7,7.9,2.78,36440
2012-03-22,8.0,7.6,8.0,7.9,2.78,38360
2012-03-23,8.1,7.9,7.9,7.9,2.78,55260
2012-03-26,8.2,7.7,8.0,8.1,2.85,59950
2012-03-27,8.2,7.7,8.2,7.7,2.71,55760
2012-03-28,7.7,7.5,7.5,7.7,2.71,13030
