Date,High,Low,Open,Close,adjust,Volume
2012-01-03,5.2,5.0,5.0,5.0,2.2,7200
2012-01-04,5.1,5.1,5.1,5.1,2.24,100
2012-01-05,5.5,5.1,5.5,5.1,2.24,10700
2012-01-06,5.0,5.0,5.0,5.0,2.2,3300
2012-01-09,4.7,4.5,4.7,4.5,1.98,16000
2012-01-10,4.8,4.8,4.8,4.8,2.11,1100
2012-01-11,4.8,4.6,4.8,4.6,2.02,6000
2012-01-12,4.8,4.8,4.8,4.8,2.11,1300
2012-01-13,4.9,4.8,4.8,4.9,2.15,2600
2012-01-16,5.1,5.1,5.1,5.1,2.24,2780
2012-01-17,5.1,5.0,5.1,5.0,2.2,2000
2012-01-18,5.2,4.8,5.2,4.8,2.11,6200
2012-01-19,5.2,5.2,5.2,5.2,2.28,1000
2012-01-20,5.2,5.2,5.2,5.2,2.28,0
2012-01-30,5.2,5.2,5.2,5.2,2.28,0
2012-01-31,5.3,5.3,5.3,5.3,2.33,100
2012-02-01,5.3,5.3,5.3,5.3,2.33,0
2012-02-02,5.3,5.3,5.3,5.3,2.33,0
2012-02-03,5.3,5.3,5.3,5.3,2.33,0
2012-02-06,5.3,5.3,5.3,5.3,2.33,2000
2012-02-07,5.6,5.6,5.6,5.6,2.46,100
2012-02-08,5.6,5.6,5.6,5.6,2.46,0
2012-02-09,5.6,5.6,5.6,5.6,2.46,0
2012-02-10,5.1,5.1,5.1,5.1,2.24,6700
2012-02-13,5.1,5.1,5.1,5.1,2.24,5500
2012-02-14,5.1,5.1,5.1,5.1,2.24,0
2012-02-15,5.1,5.1,5.1,5.1,2.24,8200
2012-02-16,5.1,5.1,5.1,5.1,2.24,107000
2012-02-17,5.1,5.1,5.1,5.1,2.24,1300
2012-02-20,5.1,5.0,5.0,5.1,2.24,13700
2012-02-21,5.1,5.1,5.1,5.1,2.24,1700
2012-02-22,5.1,5.1,5.1,5.1,2.24,0
2012-02-23,5.1,5.1,5.1,5.1,2.24,3000
2012-02-24,5.2,5.1,5.1,5.2,2.28,26000
2012-02-27,5.3,5.2,5.2,5.2,2.28,4300
2012-02-28,5.2,5.0,5.1,5.2,2.28,18200
