Date,High,Low,Open,Close,adjust,Volume
2020-03-25,10.5,8.8,8.8,8.8,5.66,276320
2020-03-26,9.0,8.2,9.0,8.8,5.66,19220
2020-03-27,9.41,8.2,9.41,9.0,5.78,39300
2020-03-30,8.8,8.37,8.5,8.37,5.38,30050
2020-03-31,7.79,7.79,7.79,7.79,5.01,102210
2020-04-01,8.2,7.25,7.25,7.99,5.13,117510
2020-04-03,8.5,7.62,7.79,7.62,4.9,58250
2020-04-06,8.15,7.9,8.15,8.15,5.24,29150
2020-04-07,8.6,8.15,8.15,8.6,5.53,87080
2020-04-08,8.6,8.02,8.5,8.6,5.53,44170
2020-04-09,8.99,8.17,8.6,8.57,5.51,22970
2020-04-10,8.5,8.0,8.5,8.0,5.14,51570
2020-04-13,8.3,7.9,8.0,8.3,5.33,72930
2020-04-14,8.1,7.9,8.0,8.1,5.21,26900
2020-04-15,8.3,8.1,8.3,8.15,5.24,25040
2020-04-16,8.3,7.92,8.1,8.23,5.29,50510
2020-04-17,8.49,8.2,8.4,8.22,5.28,45670
2020-04-20,8.5,8.2,8.5,8.22,5.28,51520
2020-04-21,8.2,8.02,8.02,8.15,5.24,13390
2020-04-22,8.3,8.1,8.21,8.1,5.21,9400
2020-04-23,8.3,8.03,8.03,8.2,5.27,4340
2020-04-24,8.2,7.95,8.2,8.0,5.14,34350
2020-04-27,8.0,7.85,8.0,8.0,5.14,5040
2020-04-28,8.1,7.5,8.0,8.1,5.21,13080
2020-04-29,8.15,8.0,8.1,8.1,5.21,10010
2020-05-04,8.05,7.8,8.05,7.8,5.01,6040
2020-05-05,8.0,7.9,7.9,8.0,5.14,8090
2020-05-06,8.0,7.9,7.9,7.9,5.08,17880
2020-05-07,8.05,8.0,8.0,8.0,5.14,13670
2020-05-08,8.2,8.0,8.0,8.15,5.24,23480
2020-05-11,8.26,8.1,8.26,8.26,5.31,10790
2020-05-12,8.45,8.0,8.26,8.3,5.33,61110
2020-05-13,8.33,8.0,8.3,8.3,5.33,33660
2020-05-14,8.35,8.2,8.3,8.2,5.27,16430
2020-05-15,8.25,8.01,8.2,8.25,5.3,13060
2020-05-18,8.25,8.2,8.2,8.25,5.3,30100
2020-05-19,8.82,8.2,8.2,8.82,5.67,98470
2020-05-20,9.43,9.4,9.43,9.43,6.06,391570
2020-05-21,10.05,10.0,10.05,10.05,6.46,444220
2020-05-22,10.75,10.05,10.05,10.75,6.91,657860
2020-05-25,11.5,10.0,11.0,10.0,6.43,197750
2020-05-26,10.5,9.5,10.0,9.95,6.39,239500
2020-05-27,9.95,9.4,9.85,9.75,6.27,144590
2020-05-28,10.05,9.5,9.51,9.76,6.27,127030
2020-05-29,10.0,9.5,9.99,9.76,6.27,55720
2020-06-01,9.81,9.41,9.6,9.51,6.11,119040
2020-06-02,9.9,9.51,9.51,9.65,6.2,89070
2020-06-03,10.3,9.63,9.65,10.0,6.43,196090
2020-06-04,10.3,9.81,10.2,10.0,6.43,156560
2020-06-05,10.05,9.95,10.0,9.99,6.42,137990
