Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.8,7.8,7.8,7.8,3.88,20
2012-01-04,8.0,7.7,7.7,7.8,3.88,2060
2012-01-05,8.0,7.7,7.7,8.0,3.98,30
2012-01-06,8.0,8.0,8.0,8.0,3.98,140
2012-01-09,8.3,8.3,8.3,8.3,4.13,10
2012-01-10,8.7,8.3,8.3,8.7,4.33,1000
2012-01-11,9.0,8.4,8.7,8.4,4.18,220
2012-01-12,8.5,8.1,8.1,8.5,4.23,50
2012-01-13,8.6,8.6,8.6,8.6,4.28,10
2012-01-16,8.9,8.9,8.9,8.9,4.43,10
2012-01-17,9.2,9.2,9.2,9.2,4.58,10
2012-01-18,9.4,8.8,9.0,8.8,4.38,12030
2012-01-19,9.0,9.0,9.0,9.0,4.48,10
2012-01-20,8.8,8.8,8.8,8.8,4.38,40
2012-01-30,9.1,9.1,9.1,9.1,4.53,10
2012-01-31,9.4,9.4,9.4,9.4,4.68,10
2012-02-01,9.0,9.0,9.0,9.0,4.48,12400
2012-02-02,8.7,8.6,8.7,8.6,4.28,1000
2012-02-03,8.6,8.3,8.6,8.6,4.28,5510
2012-02-06,9.0,9.0,9.0,9.0,4.48,1790
2012-02-07,9.2,8.6,8.6,9.2,4.58,3010
2012-02-08,9.5,9.0,9.4,9.5,4.73,90
2012-02-09,9.5,9.5,9.5,9.5,4.73,0
2012-02-10,9.5,9.5,9.5,9.5,4.73,10
2012-02-13,9.1,9.1,9.1,9.1,4.53,10
2012-02-14,9.5,8.7,8.7,8.8,4.38,30
2012-02-15,9.0,8.9,8.9,9.0,4.48,1000
2012-02-16,9.0,9.0,9.0,9.0,4.48,0
2012-02-17,9.4,9.4,9.4,9.4,4.68,10
2012-02-20,9.1,9.0,9.0,9.1,4.53,4320
2012-02-21,9.1,9.1,9.1,9.1,4.53,0
2012-02-22,9.4,8.7,9.0,9.4,4.68,130
2012-02-23,9.5,9.0,9.0,9.5,4.73,20
2012-02-24,9.6,9.4,9.5,9.6,4.78,2010
2012-02-27,9.8,9.2,9.4,9.8,4.88,20850
2012-02-28,9.8,9.4,9.5,9.4,4.68,6770
2012-02-29,9.1,9.1,9.1,9.1,4.53,10
2012-03-01,9.0,9.0,9.0,9.0,4.48,10
2012-03-02,9.4,9.4,9.4,9.4,4.68,100
2012-03-05,9.8,9.3,9.3,9.8,4.88,12810
2012-03-06,9.8,9.6,9.8,9.6,4.78,100
2012-03-07,10.0,9.4,10.0,10.0,4.98,5280
2012-03-08,10.4,10.4,10.4,10.4,5.17,10
