Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.3,5.9,6.3,6.0,3.01,5220
2012-01-04,5.8,5.7,5.8,5.7,2.86,7700
2012-01-05,5.7,5.5,5.5,5.7,2.86,5000
2012-01-06,5.7,5.5,5.7,5.7,2.86,12040
2012-01-09,5.7,5.5,5.5,5.7,2.86,14100
2012-01-10,5.6,5.5,5.5,5.6,2.81,17980
2012-01-11,5.8,5.4,5.5,5.8,2.91,26600
2012-01-12,5.8,5.6,5.8,5.8,2.91,10500
2012-01-13,5.8,5.8,5.8,5.8,2.91,5000
2012-01-16,5.8,5.8,5.8,5.8,2.91,3400
2012-01-17,5.7,5.6,5.6,5.6,2.81,18000
2012-01-18,5.8,5.7,5.7,5.8,2.91,11200
2012-01-19,5.9,5.8,5.9,5.9,2.96,9210
2012-01-20,6.0,5.9,5.9,6.0,3.01,15200
2012-01-30,6.0,5.7,6.0,5.7,2.86,2000
2012-01-31,5.9,5.5,5.7,5.9,2.96,16760
2012-02-01,6.0,5.7,5.7,6.0,3.01,21480
2012-02-02,6.1,5.9,5.9,6.1,3.06,5480
2012-02-03,6.2,5.8,6.1,5.9,2.96,47650
2012-02-06,6.0,5.9,5.9,6.0,3.01,4760
2012-02-07,6.0,6.0,6.0,6.0,3.01,3800
2012-02-08,6.2,6.0,6.0,6.2,3.11,10600
2012-02-09,6.1,5.9,5.9,6.1,3.06,8580
2012-02-10,6.2,6.0,6.2,6.1,3.06,9320
2012-02-13,6.1,6.0,6.1,6.1,3.06,3250
2012-02-14,6.2,5.9,6.0,6.2,3.11,5960
2012-02-15,6.2,6.1,6.2,6.2,3.11,4000
2012-02-16,6.2,5.9,5.9,6.2,3.11,2290
2012-02-17,6.2,6.1,6.1,6.2,3.11,6050
2012-02-20,6.3,6.2,6.2,6.3,3.16,10930
2012-02-21,6.4,6.3,6.4,6.4,3.21,28320
2012-02-22,6.4,6.1,6.1,6.4,3.21,11630
2012-02-23,6.7,6.2,6.6,6.7,3.36,32150
2012-02-24,6.9,6.7,6.9,6.9,3.46,34690
2012-02-27,7.0,6.8,6.8,7.0,3.51,7590
2012-02-28,7.1,6.7,7.1,6.7,3.36,15340
2012-02-29,6.8,6.5,6.5,6.5,3.26,33740
2012-03-01,6.7,6.5,6.5,6.6,3.31,7480
2012-03-02,6.8,6.7,6.7,6.8,3.41,10370
2012-03-05,7.1,6.8,6.8,7.1,3.56,55400
2012-03-06,7.3,6.8,7.3,6.8,3.41,34280
2012-03-07,7.0,6.6,6.9,6.7,3.36,27710
2012-03-08,6.7,6.4,6.7,6.4,3.21,24260
2012-03-09,6.5,6.1,6.4,6.4,3.21,19960
2012-03-12,6.4,6.1,6.2,6.2,3.11,19370
2012-03-13,6.5,6.3,6.4,6.5,3.26,8920
2012-03-14,6.6,6.6,6.6,6.6,3.31,13480
2012-03-15,6.7,6.3,6.3,6.6,3.31,71570
2012-03-16,6.7,6.3,6.5,6.7,3.36,10910
2012-03-19,6.7,6.6,6.7,6.6,3.31,20200
2012-03-20,6.6,6.5,6.6,6.6,3.31,8610
2012-03-21,6.7,6.5,6.6,6.7,3.36,24650
2012-03-22,6.6,6.4,6.5,6.4,3.21,15890
2012-03-23,6.7,6.5,6.5,6.7,3.36,42040
2012-03-26,7.0,6.6,7.0,6.9,3.46,17120
2012-03-27,7.0,6.7,7.0,6.9,3.46,11820
2012-03-28,6.9,6.7,6.9,6.8,3.41,5630
2012-03-29,6.8,6.5,6.8,6.8,3.41,13720
2012-03-30,6.7,6.5,6.7,6.5,3.26,65000
2012-04-03,6.7,6.6,6.7,6.6,3.31,500
2012-04-04,6.7,6.5,6.7,6.7,3.36,29670
2012-04-05,6.7,6.7,6.7,6.7,3.36,10210
2012-04-06,6.8,6.7,6.7,6.8,3.41,12250
2012-04-09,6.8,6.6,6.8,6.8,3.41,1440
2012-04-10,6.8,6.6,6.8,6.8,3.41,16820
2012-04-11,6.8,6.7,6.8,6.7,3.36,9540
2012-04-12,6.8,6.6,6.7,6.7,3.36,13080
2012-04-13,6.9,6.7,6.7,6.9,3.46,22250
2012-04-16,7.0,6.9,6.9,6.9,3.46,16880
2012-04-17,7.1,6.8,6.8,7.1,3.56,39300
2012-04-18,7.1,6.8,6.9,7.1,3.56,10670
2012-04-19,7.1,6.8,7.1,7.0,3.51,7400
2012-04-20,7.0,6.8,6.9,6.8,3.41,9710
2012-04-23,6.7,6.5,6.6,6.7,3.36,19010
2012-04-24,6.8,6.7,6.8,6.7,3.36,8420
2012-04-25,7.0,6.7,6.8,6.9,3.46,51860
2012-04-26,6.8,6.8,6.8,6.8,3.41,160
2012-04-27,6.9,6.7,6.9,6.9,3.46,21720
2012-05-02,7.2,6.9,7.0,7.2,3.61,134790
2012-05-03,7.3,7.0,7.2,7.2,3.61,18840
2012-05-04,7.2,7.0,7.1,7.2,3.61,53920
2012-05-07,7.5,7.2,7.2,7.5,3.76,130750
2012-05-08,7.8,7.6,7.8,7.8,3.91,205600
2012-05-09,8.1,7.9,8.1,8.1,4.06,68650
2012-05-10,8.5,8.1,8.4,8.5,4.26,180840
2012-05-11,8.6,8.2,8.6,8.3,4.16,73520
2012-05-14,8.2,7.9,8.2,7.9,3.96,77090
2012-05-15,7.6,7.6,7.6,7.6,3.81,12410
2012-05-16,7.3,7.3,7.3,7.3,3.66,22850
2012-05-17,7.3,7.0,7.0,7.0,3.51,80900
2012-05-18,6.9,6.7,6.8,6.7,3.36,73610
2012-05-21,7.0,7.0,7.0,7.0,3.51,18060
2012-05-22,7.0,6.7,7.0,6.7,3.36,52410
2012-05-23,6.6,6.4,6.6,6.4,3.21,41670
2012-05-24,6.5,6.1,6.5,6.1,3.06,36100
2012-05-25,6.4,6.0,6.3,6.4,3.21,32930
2012-05-28,6.5,6.1,6.5,6.1,3.06,51380
2012-05-29,5.8,5.8,5.8,5.8,2.91,35250
2012-05-30,5.8,5.6,5.6,5.8,2.91,98230
2012-05-31,5.8,5.6,5.8,5.6,2.81,12520
2012-06-01,5.8,5.4,5.8,5.4,2.71,20850
2012-06-04,5.3,5.2,5.2,5.2,2.61,44680
2012-06-05,5.4,5.1,5.1,5.4,2.71,10530
2012-06-06,5.4,5.2,5.4,5.4,2.71,10720
2012-06-07,5.6,5.3,5.4,5.6,2.81,30450
2012-06-08,5.6,5.4,5.6,5.5,2.76,31310
2012-06-11,5.5,5.4,5.5,5.4,2.71,10920
2012-06-12,5.3,5.2,5.3,5.3,2.66,24700
2012-06-13,5.4,5.3,5.3,5.4,2.71,6020
2012-06-14,5.4,5.3,5.4,5.4,2.71,4780
2012-06-15,5.5,5.4,5.4,5.5,2.76,2380
2012-06-18,5.6,5.5,5.5,5.6,2.81,9070
2012-06-19,5.5,5.4,5.5,5.4,2.71,11600
2012-06-20,5.5,5.4,5.5,5.5,2.76,6520
2012-06-21,5.6,5.4,5.6,5.6,2.81,1210
2012-06-22,5.6,5.4,5.5,5.6,2.81,16890
2012-06-25,5.6,5.4,5.5,5.4,2.71,7430
2012-06-26,5.3,5.2,5.3,5.2,2.61,10510
2012-06-27,5.4,5.0,5.4,5.3,2.66,50
2012-06-28,5.4,5.2,5.2,5.4,2.71,870
2012-06-29,5.4,5.2,5.4,5.2,2.61,4030
2012-07-02,5.4,5.0,5.4,5.1,2.56,7010
2012-07-03,5.1,4.9,4.9,5.0,2.51,11650
2012-07-04,5.1,4.9,5.1,4.9,2.46,2820
2012-07-05,5.0,4.7,5.0,4.8,2.41,5280
2012-07-06,5.0,4.8,4.8,5.0,2.51,11090
2012-07-09,5.0,4.9,5.0,5.0,2.51,9030
2012-07-10,5.1,5.0,5.1,5.1,2.56,5170
2012-07-11,5.1,5.0,5.1,5.1,2.56,10140
2012-07-12,4.9,4.9,4.9,4.9,2.46,1320
2012-07-13,5.0,4.7,4.7,5.0,2.51,6500
2012-07-16,5.1,4.9,5.1,5.1,2.56,5260
2012-07-17,5.1,5.1,5.1,5.1,2.56,430
2012-07-18,5.2,5.1,5.2,5.2,2.61,20020
2012-07-19,5.2,5.2,5.2,5.2,2.61,4030
2012-07-20,5.2,5.1,5.1,5.2,2.61,8620
2012-07-23,5.2,5.0,5.0,5.2,2.61,5050
2012-07-24,5.2,5.0,5.0,5.0,2.51,3610
2012-07-25,5.1,4.9,5.1,4.9,2.46,2830
2012-07-26,5.0,4.9,4.9,5.0,2.51,5490
2012-07-27,5.0,5.0,5.0,5.0,2.51,1960
2012-07-30,5.1,5.1,5.1,5.1,2.56,220
2012-07-31,5.0,4.9,5.0,4.9,2.46,6000
2012-08-01,4.8,4.7,4.8,4.7,2.36,9950
2012-08-02,4.9,4.6,4.6,4.6,2.31,5510
2012-08-03,4.8,4.5,4.6,4.5,2.26,5310
2012-08-06,4.7,4.5,4.6,4.5,2.26,9010
2012-08-07,4.7,4.4,4.7,4.4,2.21,3400
2012-08-08,4.6,4.4,4.6,4.4,2.21,240
2012-08-09,4.6,4.4,4.6,4.6,2.31,27270
2012-08-10,4.8,4.4,4.8,4.4,2.21,5360
2012-08-13,4.6,4.3,4.3,4.6,2.31,13470
2012-08-14,4.8,4.6,4.8,4.8,2.41,7450
2012-08-15,4.9,4.6,4.9,4.9,2.46,13740
2012-08-16,4.9,4.8,4.8,4.9,2.46,1760
2012-08-17,5.0,4.8,4.8,5.0,2.51,4280
2012-08-20,5.0,4.8,5.0,4.9,2.46,1230
2012-08-21,4.8,4.7,4.8,4.7,2.36,2780
2012-08-22,4.8,4.8,4.8,4.8,2.41,80
2012-08-23,4.6,4.6,4.6,4.6,2.31,1000
2012-08-24,4.6,4.4,4.4,4.6,2.31,18990
2012-08-27,4.4,4.4,4.4,4.4,2.21,10120
2012-08-28,4.6,4.2,4.2,4.4,2.21,8900
2012-08-29,4.5,4.3,4.5,4.5,2.26,1270
2012-08-30,4.5,4.4,4.5,4.5,2.26,710
2012-08-31,4.6,4.5,4.6,4.5,2.26,60
2012-09-04,4.5,4.3,4.3,4.5,2.26,15370
2012-09-05,4.5,4.3,4.5,4.3,2.16,5860
2012-09-06,4.5,4.2,4.5,4.3,2.16,4840
2012-09-07,4.5,4.1,4.5,4.3,2.16,5530
2012-09-10,4.3,4.1,4.3,4.1,2.06,110
2012-09-11,4.1,3.9,3.9,3.9,1.96,34160
2012-09-12,4.0,3.8,4.0,3.8,1.9,640
2012-09-13,3.9,3.7,3.7,3.7,1.85,5500
2012-09-14,3.8,3.6,3.7,3.8,1.9,31550
2012-09-17,3.9,3.7,3.9,3.7,1.85,2570
