Date,High,Low,Open,Close,adjust,Volume
2012-01-03,23.5,23.0,23.0,23.5,6.13,3970
2012-01-04,23.5,23.5,23.5,23.5,6.13,0
2012-01-05,23.0,23.0,23.0,23.0,6.26,3000
2012-01-06,23.0,23.0,23.0,23.0,6.26,2110
2012-01-09,22.5,22.5,22.5,22.5,6.13,1030
2012-01-10,23.0,22.5,22.5,23.0,6.26,1990
2012-01-11,22.7,22.5,22.7,22.5,6.13,2040
2012-01-12,22.5,22.5,22.5,22.5,6.13,1150
2012-01-13,22.5,22.5,22.5,22.5,6.13,10
2012-01-16,23.0,22.7,22.7,23.0,6.26,1520
2012-01-17,24.1,23.0,23.0,24.1,6.56,3230
2012-01-18,24.0,24.0,24.0,24.0,6.54,500
2012-01-19,24.5,24.0,24.5,24.0,6.54,4030
2012-01-20,24.5,24.5,24.5,24.5,6.67,500
2012-01-30,24.5,24.5,24.5,24.5,6.67,0
2012-01-31,24.8,24.5,24.5,24.8,6.76,5700
2012-02-01,24.5,24.3,24.5,24.3,6.62,7750
2012-02-02,24.0,24.0,24.0,24.0,6.54,4110
2012-02-03,23.9,23.9,23.9,23.9,6.51,1590
2012-02-06,24.0,23.8,24.0,23.8,6.48,2100
2012-02-07,23.8,23.5,23.5,23.8,6.48,1990
2012-02-08,23.8,23.8,23.8,23.8,6.48,0
2012-02-09,23.6,23.5,23.5,23.6,6.43,2270
2012-02-10,22.7,22.7,22.7,22.7,6.18,2000
2012-02-13,22.8,21.6,22.8,21.6,5.88,2190
2012-02-14,22.0,22.0,22.0,22.0,5.99,570
2012-02-15,21.6,21.6,21.6,21.6,5.88,450
2012-02-16,21.6,21.5,21.5,21.6,5.88,2600
2012-02-17,21.5,20.6,20.6,21.5,5.86,3600
2012-02-20,21.2,20.6,20.6,21.0,5.72,4290
2012-02-21,21.2,21.0,21.0,21.0,5.72,9290
2012-02-22,22.0,20.5,21.0,22.0,5.99,8790
2012-02-23,22.0,22.0,22.0,22.0,5.99,0
2012-02-24,22.2,21.6,22.0,22.1,6.02,8780
2012-02-27,23.0,21.5,22.0,23.0,6.26,4840
2012-02-28,23.0,22.0,23.0,23.0,6.26,2080
2012-02-29,21.5,21.5,21.5,21.5,6.56,1000
2012-03-01,22.5,22.5,22.5,22.5,6.86,10
2012-03-02,22.8,22.0,22.8,22.5,6.86,6090
2012-03-05,22.6,22.6,22.6,22.6,6.89,6000
2012-03-06,23.0,22.9,23.0,22.9,6.99,3280
2012-03-07,23.0,22.9,22.9,23.0,7.02,3500
2012-03-08,22.9,22.7,22.9,22.7,6.92,2000
2012-03-09,22.8,22.8,22.8,22.8,6.96,2000
2012-03-12,22.5,22.5,22.5,22.5,6.86,650
2012-03-13,22.9,22.5,22.9,22.5,6.86,1250
2012-03-14,22.5,22.5,22.5,22.5,6.86,1180
2012-03-15,22.5,22.0,22.0,22.5,6.86,1220
2012-03-16,23.0,23.0,23.0,23.0,7.02,10
2012-03-19,22.5,21.9,22.5,22.5,6.86,2280
2012-03-20,22.5,22.4,22.4,22.4,6.83,520
2012-03-21,23.0,21.3,23.0,22.8,6.96,580
2012-03-22,22.6,21.8,21.8,22.6,6.89,1010
2012-03-23,22.5,21.6,21.6,22.5,6.86,2350
2012-03-26,22.5,21.8,21.8,22.5,6.86,5010
2012-03-27,22.5,21.5,21.5,22.5,6.86,5010
2012-03-28,22.5,22.0,22.5,22.4,6.83,6210
2012-03-29,22.6,22.0,22.3,22.5,6.86,2720
2012-03-30,22.6,21.8,21.8,22.6,6.89,2750
2012-04-03,22.8,22.7,22.8,22.7,6.92,2000
2012-04-04,22.5,22.5,22.5,22.5,6.86,2900
2012-04-05,22.6,22.6,22.6,22.6,6.89,2500
2012-04-06,22.5,22.5,22.5,22.5,6.86,4000
2012-04-09,22.5,21.4,22.5,22.4,6.83,6000
2012-04-10,22.4,21.5,21.5,22.4,6.83,4000
2012-04-11,22.4,21.6,21.6,21.6,6.59,2070
2012-04-12,22.5,21.7,22.5,21.7,6.62,3510
2012-04-13,22.5,20.7,20.7,22.5,6.86,1480
2012-04-16,22.6,22.6,22.6,22.6,6.89,100
2012-04-17,22.5,22.5,22.5,22.5,6.86,1000
2012-04-18,22.5,22.5,22.5,22.5,6.86,0
2012-04-19,22.4,21.5,21.5,22.4,6.83,200
2012-04-20,22.4,22.0,22.4,22.0,6.71,1350
2012-04-23,21.9,21.0,21.0,21.9,6.68,4790
2012-04-24,21.9,21.9,21.9,21.9,6.68,0
2012-04-25,21.0,21.0,21.0,21.0,6.41,650
2012-04-26,21.0,21.0,21.0,21.0,6.41,1370
2012-04-27,21.0,20.1,21.0,20.1,6.13,60
2012-05-02,20.0,19.2,19.2,19.2,5.86,1250
2012-05-03,20.0,19.2,19.2,20.0,6.1,6450
2012-05-04,20.0,19.3,19.4,20.0,6.1,1100
2012-05-07,20.2,19.9,19.9,20.2,6.16,1110
2012-05-08,20.2,20.2,20.2,20.2,6.16,0
2012-05-09,20.2,19.3,19.3,20.2,6.16,870
2012-05-10,20.2,20.2,20.2,20.2,6.16,20
2012-05-11,20.0,19.2,19.2,20.0,6.1,1460
2012-05-14,20.2,19.0,19.9,20.0,6.1,1060
2012-05-15,19.1,19.0,19.1,19.0,5.8,350
2012-05-16,19.9,18.2,18.2,19.9,6.07,1000
2012-05-17,19.1,19.0,19.1,19.0,5.8,370
2012-05-18,19.0,18.1,18.1,19.0,5.8,770
2012-05-21,19.0,18.1,18.1,19.0,5.8,2270
2012-05-22,19.0,18.2,18.2,19.0,5.8,4180
2012-05-23,19.0,18.2,18.2,19.0,5.8,3060
2012-05-24,19.0,18.2,18.2,19.0,5.8,70
2012-05-25,19.2,18.2,19.0,18.2,5.55,2110
2012-05-28,18.5,18.5,18.5,18.5,5.64,460
2012-05-29,18.7,18.4,18.5,18.7,5.7,1970
2012-05-30,18.8,18.8,18.8,18.8,5.74,100
2012-05-31,19.0,18.3,19.0,18.5,5.64,210
2012-06-01,18.8,18.5,18.5,18.8,5.74,480
2012-06-04,19.0,18.0,18.0,19.0,5.8,1960
2012-06-05,18.5,18.4,18.4,18.5,5.64,2600
2012-06-06,18.7,18.3,18.5,18.7,5.7,3550
2012-06-07,18.8,18.5,18.5,18.8,5.74,710
2012-06-08,18.9,18.9,18.9,18.9,5.77,10
2012-06-11,18.9,18.9,18.9,18.9,5.77,100
2012-06-12,18.9,18.9,18.9,18.9,5.77,0
2012-06-13,19.0,18.0,18.0,19.0,5.8,1410
2012-06-14,19.0,19.0,19.0,19.0,5.8,0
2012-06-15,19.0,18.1,19.0,18.7,5.7,1130
2012-06-18,18.7,18.0,18.7,18.0,5.49,680
2012-06-19,17.5,17.5,17.5,17.5,5.34,320
2012-06-20,18.0,17.5,17.6,18.0,5.49,4490
2012-06-21,18.4,17.8,18.0,18.4,5.61,4540
2012-06-22,18.5,18.5,18.5,18.5,5.64,60
2012-06-25,19.0,19.0,19.0,19.0,5.8,10
2012-06-26,19.0,19.0,19.0,19.0,5.8,0
2012-06-27,19.2,18.1,18.5,19.2,5.86,290
2012-06-28,18.5,18.5,18.5,18.5,5.64,3000
2012-06-29,18.5,18.0,18.0,18.5,5.64,110
2012-07-02,18.5,18.5,18.5,18.5,5.64,0
2012-07-03,18.8,18.8,18.8,18.8,5.74,200
2012-07-04,18.5,17.9,17.9,18.4,5.61,200
2012-07-05,18.4,18.4,18.4,18.4,5.61,0
2012-07-06,18.4,18.3,18.4,18.3,5.58,960
2012-07-09,18.0,17.7,17.9,18.0,5.49,390
2012-07-10,18.5,17.1,18.5,18.0,5.49,810
2012-07-11,18.0,17.9,18.0,18.0,5.49,610
2012-07-12,18.0,17.9,17.9,18.0,5.49,940
2012-07-13,18.0,17.1,17.1,18.0,5.49,890
2012-07-16,18.0,17.1,17.1,17.1,5.22,2980
2012-07-17,16.5,16.3,16.3,16.5,5.03,1090
2012-07-18,17.0,15.7,15.7,17.0,5.19,1970
2012-07-19,16.3,16.3,16.3,16.3,4.97,200
2012-07-20,16.3,16.3,16.3,16.3,4.97,1000
2012-07-23,16.3,16.3,16.3,16.3,4.97,0
2012-07-24,16.8,16.4,16.8,16.4,5.0,510
