Date,High,Low,Open,Close,adjust,Volume
2018-09-05,48.0,44.5,48.0,47.0,7.86,697470
2018-09-06,47.0,45.1,45.1,47.0,7.86,332460
2018-09-07,47.5,46.5,47.0,47.2,7.89,276640
2018-09-10,47.2,46.0,46.1,46.5,7.77,127280
2018-09-11,46.8,45.8,46.2,46.8,7.82,272160
2018-09-12,46.8,45.9,46.8,46.0,7.69,28030
2018-09-13,45.8,43.0,45.8,44.2,7.39,136940
2018-09-14,44.2,42.5,44.15,42.7,7.14,494030
2018-09-17,43.0,41.15,42.9,42.1,7.04,155060
2018-09-18,43.3,41.5,42.1,43.3,7.24,236840
2018-09-19,45.6,43.1,43.1,45.4,7.59,369050
2018-09-20,46.3,45.4,45.4,45.6,7.62,74690
2018-09-21,45.2,44.7,45.1,45.2,7.56,120710
2018-09-24,45.0,42.9,43.5,43.15,7.21,168300
2018-09-25,44.9,43.0,43.15,43.15,7.21,41650
2018-09-26,43.9,43.0,43.15,43.1,7.2,27170
2018-09-27,43.0,42.0,42.75,42.1,7.04,112200
2018-09-28,43.0,42.3,43.0,43.0,7.19,68270
2018-10-01,43.45,42.5,43.0,43.0,7.19,59710
2018-10-02,43.0,42.0,42.6,42.5,7.1,93500
2018-10-03,42.5,42.0,42.3,42.4,7.09,110520
2018-10-04,42.5,42.0,42.5,42.0,7.02,98740
2018-10-05,42.5,41.8,42.0,42.5,7.1,138020
2018-10-08,42.7,42.1,42.7,42.5,7.1,138950
2018-10-09,43.0,42.3,42.3,42.9,7.17,228760
2018-10-10,43.1,42.8,42.8,43.0,7.19,188300
2018-10-11,42.9,42.0,42.55,42.55,7.11,297170
2018-10-12,42.9,42.3,42.3,42.8,7.15,179930
2018-10-15,43.1,42.4,42.7,43.1,7.2,286890
2018-10-16,43.2,42.8,42.9,43.2,7.22,277350
2018-10-17,43.5,42.9,43.2,43.1,7.2,258900
2018-10-18,43.1,42.8,42.9,43.1,7.2,179440
2018-10-19,43.4,42.9,43.0,43.1,7.2,231390
2018-10-22,43.2,42.9,43.1,42.9,7.17,171130
2018-10-23,42.9,42.6,42.9,42.8,7.15,163030
2018-10-24,42.8,42.5,42.8,42.6,7.12,125540
2018-10-25,42.4,41.9,42.2,42.1,7.04,82440
2018-10-26,42.5,42.0,42.1,42.3,7.07,111330
2018-10-29,42.5,41.8,42.3,42.0,7.02,90900
2018-10-30,42.0,41.2,42.0,41.2,6.89,125980
2018-10-31,42.0,41.2,41.2,41.6,6.95,137470
2018-11-01,42.0,41.4,41.4,41.8,6.99,151580
2018-11-02,42.2,41.6,41.6,42.2,7.05,212830
2018-11-05,42.3,41.8,42.0,41.8,6.99,117540
2018-11-06,42.0,41.6,41.8,41.7,6.97,85080
2018-11-07,41.9,41.4,41.6,41.7,6.97,109090
2018-11-08,42.0,41.4,41.9,41.6,6.95,109670
2018-11-09,41.6,41.2,41.5,41.5,6.94,98180
2018-11-12,41.4,41.1,41.4,41.4,6.92,89420
2018-11-13,41.4,41.2,41.3,41.3,6.9,80910
2018-11-14,41.5,41.2,41.3,41.5,6.94,74130
2018-11-15,41.5,41.2,41.5,41.4,6.92,69490
2018-11-16,41.4,41.2,41.4,41.4,6.92,68840
2018-11-19,41.8,41.2,41.5,41.8,6.99,165310
2018-11-20,42.0,41.6,41.8,41.9,7.0,141130
