Date,High,Low,Open,Close,adjust,Volume
2017-05-30,14.4,14.4,14.4,14.4,5.76,790
2017-05-31,15.4,15.4,15.4,15.4,6.16,1100
2017-06-01,16.45,15.4,15.4,16.45,6.58,4110
2017-06-02,17.6,17.6,17.6,17.6,7.04,500
2017-06-05,18.8,18.8,18.8,18.8,7.51,400
2017-06-06,20.1,20.1,20.1,20.1,8.03,340
2017-06-07,21.5,21.5,21.5,21.5,8.59,30
2017-06-08,23.0,23.0,23.0,23.0,9.19,4140
2017-06-09,24.6,24.6,24.6,24.6,9.83,20510
2017-06-12,26.3,24.6,24.6,26.3,10.51,40580
2017-06-13,28.1,28.1,28.1,28.1,11.23,37250
2017-06-14,30.05,30.05,30.05,30.05,12.01,51250
2017-06-15,32.15,32.15,32.15,32.15,12.85,21830
2017-06-16,34.4,32.15,32.15,34.4,13.75,14700
2017-06-19,36.8,36.8,36.8,36.8,14.71,10260
2017-06-20,39.35,39.35,39.35,39.35,15.73,42030
2017-06-21,42.1,36.6,42.1,36.6,14.63,68460
2017-06-22,34.05,34.05,34.05,34.05,13.61,1860
2017-06-23,31.7,31.7,31.7,31.7,12.67,30
2017-06-26,33.8,29.5,29.5,29.5,11.79,60940
2017-06-27,29.5,27.45,29.5,27.45,10.97,20640
2017-06-28,25.55,25.55,25.55,25.55,10.21,3190
2017-06-29,25.5,23.8,23.8,24.0,9.59,44330
2017-06-30,25.65,25.6,25.65,25.65,10.25,1190
2017-07-03,27.4,27.4,27.4,27.4,10.95,30230
2017-07-04,29.3,29.3,29.3,29.3,11.71,18450
2017-07-05,31.35,29.5,31.35,31.3,12.51,16160
2017-07-06,31.9,29.15,31.3,30.5,12.19,17520
2017-07-07,29.5,29.1,29.1,29.4,11.75,11770
2017-07-10,29.3,28.3,29.3,29.0,11.59,3260
2017-07-11,28.5,28.3,28.3,28.4,11.35,630
2017-07-12,29.5,28.4,29.0,29.5,11.79,1360
2017-07-13,30.5,29.3,30.4,30.5,12.19,2500
2017-07-14,30.8,28.4,29.9,28.4,11.35,5700
2017-07-17,29.4,26.8,27.6,26.85,10.73,5620
2017-07-18,28.4,27.0,28.0,28.4,11.35,710
2017-07-19,28.9,27.15,27.3,28.9,11.55,2630
2017-07-20,29.0,26.9,29.0,26.9,10.75,1960
2017-07-21,28.5,26.9,26.9,28.3,11.31,210
2017-07-24,27.5,27.4,27.5,27.4,10.95,1860
2017-07-25,27.8,27.3,27.8,27.5,10.99,3750
2017-07-26,28.5,27.4,27.5,28.5,11.39,67320
2017-07-27,28.6,27.8,27.9,28.5,11.39,30740
