Date,High,Low,Open,Close,adjust,Volume
2012-01-03,18.0,17.0,18.0,17.0,7.39,147320
2012-01-04,17.8,17.0,17.1,17.8,7.74,294380
2012-01-05,17.8,17.5,17.5,17.7,7.7,194610
2012-01-06,18.2,17.7,17.9,18.0,7.83,330690
2012-01-09,18.3,17.6,18.0,18.1,7.87,109050
2012-01-10,18.9,18.1,18.1,18.7,8.13,287390
2012-01-11,19.2,18.7,19.2,18.7,8.13,114740
2012-01-12,19.6,18.7,18.8,19.6,8.53,743880
2012-01-13,20.5,20.1,20.3,20.5,8.92,534240
2012-01-16,21.3,20.5,21.3,20.6,8.96,233990
2012-01-17,21.6,21.0,21.0,21.6,9.4,546790
2012-01-18,22.2,21.7,22.1,22.0,9.57,135260
2012-01-19,23.1,22.0,22.0,23.1,10.05,329010
2012-01-20,23.9,22.0,23.9,23.0,10.0,391390
2012-01-30,23.7,22.8,23.4,23.7,10.31,206400
2012-01-31,23.9,22.9,23.9,23.0,10.0,296260
2012-02-01,23.3,22.1,22.7,23.3,10.13,314370
2012-02-02,24.4,23.6,23.8,24.4,10.61,585640
2012-02-03,25.5,24.4,25.5,24.4,10.61,541300
2012-02-06,24.4,23.2,23.4,23.2,10.09,241780
2012-02-07,24.3,23.0,23.7,24.3,10.57,275360
2012-02-08,24.9,24.0,24.3,24.9,10.83,587450
2012-02-09,25.2,24.5,25.2,24.8,10.79,192800
2012-02-10,24.5,23.8,23.8,24.0,10.44,401230
2012-02-13,24.0,22.8,24.0,22.8,9.92,517940
2012-02-14,23.5,22.6,22.8,23.5,10.22,451040
2012-02-15,23.3,22.9,23.3,22.9,9.96,219740
2012-02-16,23.2,22.7,23.0,23.0,10.0,316300
2012-02-17,23.4,23.0,23.0,23.4,10.18,207090
2012-02-20,24.5,24.0,24.2,24.5,10.66,1076470
2012-02-21,25.0,24.2,25.0,24.6,10.7,481440
2012-02-22,25.2,24.6,24.6,25.0,10.87,739030
2012-02-23,25.3,24.7,25.0,25.2,10.96,691220
2012-02-24,25.4,24.7,25.4,24.7,10.74,518480
2012-02-27,25.4,24.7,24.8,25.2,10.96,720700
2012-02-28,25.8,24.8,25.3,25.1,10.92,834560
2012-02-29,25.1,24.2,25.1,24.2,10.53,1392490
2012-03-01,25.3,24.2,24.5,25.3,11.0,788430
2012-03-02,26.2,25.3,25.4,26.2,11.4,1049070
2012-03-05,27.5,26.5,26.5,27.5,11.96,2629030
2012-03-06,28.8,26.3,28.8,27.2,11.83,1084870
2012-03-07,27.2,26.2,27.0,27.2,11.83,938930
2012-03-08,26.8,25.9,26.5,25.9,11.27,1374000
2012-03-09,26.5,25.0,25.3,25.5,11.09,755350
2012-03-12,25.5,24.3,25.5,24.3,10.57,864880
2012-03-13,25.0,24.4,24.5,24.7,10.74,447270
2012-03-14,25.3,24.0,25.3,25.0,10.87,703670
2012-03-15,25.8,24.5,24.5,25.8,11.22,686250
2012-03-16,26.0,24.6,25.8,24.6,10.7,2023710
2012-03-19,25.4,24.3,24.3,25.1,10.92,436650
2012-03-20,25.7,25.1,25.1,25.6,11.14,599210
2012-03-21,26.3,25.7,25.8,25.7,11.18,852090
2012-03-22,26.1,25.5,25.5,25.7,11.18,667300
2012-03-23,26.3,25.8,26.0,26.0,11.31,1275730
2012-03-26,27.3,27.2,27.3,27.3,11.87,3953870
2012-03-27,28.3,27.0,28.3,27.3,11.87,1253900
2012-03-28,27.9,27.1,27.3,27.6,12.01,640640
2012-03-29,28.0,26.8,28.0,27.2,11.83,869890
2012-03-30,22.0,21.6,22.0,22.0,12.4,1888480
2012-04-03,22.7,22.0,22.3,22.7,12.8,644120
2012-04-04,23.0,22.2,23.0,22.2,12.51,442910
2012-04-05,22.3,21.7,22.0,22.0,12.4,736690
2012-04-06,22.3,21.9,22.0,21.9,12.35,850080
2012-04-09,22.3,22.0,22.3,22.1,12.46,394750
2012-04-10,22.1,21.9,22.1,22.0,12.4,578750
2012-04-11,22.3,21.9,22.1,22.1,12.46,730470
2012-04-12,23.0,22.1,22.2,22.9,12.91,1816450
2012-04-13,22.9,22.4,22.8,22.4,12.63,962420
2012-04-16,23.0,22.3,22.5,22.8,12.85,827910
2012-04-17,23.2,22.6,22.9,22.8,12.85,1823830
2012-04-18,23.0,22.6,22.8,22.6,12.74,974900
2012-04-19,22.8,22.3,22.8,22.4,12.63,737910
2012-04-20,22.8,22.4,22.8,22.6,12.74,437840
2012-04-23,22.7,22.4,22.7,22.4,12.63,289090
2012-04-24,22.4,22.1,22.4,22.2,12.51,612460
2012-04-25,22.5,22.3,22.4,22.3,12.57,440310
2012-04-26,22.4,22.0,22.3,22.0,12.4,534860
2012-04-27,22.2,21.8,21.8,22.1,12.46,701600
2012-05-02,22.1,21.8,22.1,22.0,12.4,538310
2012-05-03,22.0,21.7,22.0,21.7,12.23,290160
2012-05-04,22.2,21.7,21.8,21.9,12.35,708910
2012-05-07,22.2,21.9,22.0,22.1,12.46,575380
2012-05-08,23.1,22.0,22.0,22.5,12.68,1135940
2012-05-09,22.7,22.4,22.7,22.4,12.63,280840
2012-05-10,23.0,22.2,22.4,22.5,12.68,812360
2012-05-11,23.0,22.4,22.6,22.5,12.68,1286970
2012-05-14,23.6,22.7,22.8,23.3,13.13,2665900
2012-05-15,23.4,22.2,23.3,22.2,12.51,878750
2012-05-16,22.5,22.0,22.2,22.2,12.51,585780
2012-05-17,22.5,21.8,22.3,22.0,12.4,795510
2012-05-18,21.7,20.9,21.6,21.5,12.12,1973860
2012-05-21,22.1,21.4,21.8,22.0,12.4,754880
2012-05-22,22.0,21.3,22.0,21.4,12.06,315560
2012-05-23,21.7,20.8,21.0,20.8,11.73,823090
2012-05-24,20.8,20.1,20.4,20.2,11.39,439160
2012-05-25,21.2,20.2,20.2,21.2,11.95,661680
