Date,High,Low,Open,Close,adjust,Volume
2012-01-03,22.6,21.1,21.1,22.2,10.98,261850
2012-01-04,21.1,21.1,21.1,21.1,10.44,158240
2012-01-05,21.2,20.1,20.1,20.1,9.94,368780
2012-01-06,19.1,19.1,19.1,19.1,9.45,384230
2012-01-09,18.2,18.2,18.2,18.2,9.0,1820
2012-01-10,17.3,17.3,17.3,17.3,8.56,383800
2012-01-11,18.0,16.5,16.5,18.0,8.91,129440
2012-01-12,18.0,17.1,17.1,17.9,8.86,521310
2012-01-13,17.7,17.1,17.1,17.7,8.76,256290
2012-01-16,17.7,16.9,16.9,17.7,8.76,79670
2012-01-17,16.9,16.9,16.9,16.9,8.36,306350
2012-01-18,16.1,16.1,16.1,16.1,7.97,334720
2012-01-19,16.2,15.3,15.3,15.3,7.57,548220
2012-01-20,15.9,14.6,14.6,15.9,7.87,98550
2012-01-30,16.3,15.9,16.0,16.3,8.06,26730
2012-01-31,16.8,15.5,16.8,15.5,7.67,219660
2012-02-01,14.8,14.8,14.8,14.8,7.32,566850
2012-02-02,14.1,14.1,14.1,14.1,6.98,588510
2012-02-03,14.4,13.4,13.4,13.6,6.73,165170
2012-02-06,14.2,13.3,13.3,14.2,7.03,101900
2012-02-07,14.6,13.5,13.8,13.5,6.68,341690
2012-02-08,14.0,13.3,13.5,13.7,6.78,290140
2012-02-09,14.0,13.2,13.9,13.4,6.63,323550
2012-02-10,13.5,13.2,13.4,13.4,6.63,184260
2012-02-13,13.5,13.2,13.5,13.4,6.63,219460
2012-02-14,14.0,13.3,13.3,14.0,6.93,156450
2012-02-15,14.7,14.6,14.7,14.7,7.27,103520
2012-02-16,15.4,15.3,15.4,15.4,7.62,114070
2012-02-17,15.9,15.0,15.0,15.2,7.52,749710
2012-02-20,15.8,15.0,15.3,15.7,7.77,435110
2012-02-21,15.7,15.0,15.7,15.0,7.42,60070
2012-02-22,15.2,14.5,14.5,15.0,7.42,58300
2012-02-23,15.4,14.8,15.0,15.3,7.57,409150
2012-02-24,15.5,14.8,15.2,15.4,7.62,506420
2012-02-27,15.5,15.0,15.5,15.0,7.42,467230
2012-02-28,14.9,14.5,14.7,14.5,7.17,16630
2012-02-29,14.5,14.0,14.0,14.5,7.17,7440
2012-03-01,15.2,14.5,14.9,15.1,7.47,346380
2012-03-02,15.4,15.0,15.4,15.0,7.42,305650
2012-03-05,15.7,15.3,15.3,15.7,7.77,823120
2012-03-06,16.0,15.1,16.0,15.1,7.47,40520
2012-03-07,15.2,14.6,14.7,14.8,7.32,41450
2012-03-08,14.8,14.1,14.8,14.1,6.98,323460
2012-03-09,14.4,13.7,14.1,13.8,6.83,325630
2012-03-12,14.2,13.4,13.9,13.4,6.63,501530
2012-03-13,14.0,13.2,13.6,13.7,6.78,427630
2012-03-14,14.3,13.8,14.3,13.9,6.88,226750
2012-03-15,14.4,13.9,13.9,14.4,7.12,335140
2012-03-16,14.9,14.5,14.8,14.6,7.22,722240
2012-03-19,14.7,14.1,14.1,14.6,7.22,70930
2012-03-20,14.7,14.0,14.5,14.5,7.17,289160
2012-03-21,14.6,14.1,14.2,14.4,7.12,186840
2012-03-22,14.5,14.4,14.4,14.4,7.12,466020
2012-03-23,15.0,14.4,14.5,14.9,7.37,561750
2012-03-26,14.9,14.2,14.9,14.6,7.22,40780
2012-03-27,14.8,14.1,14.6,14.1,6.98,368200
2012-03-28,14.1,13.7,14.1,14.0,6.93,228520
2012-03-29,14.0,13.7,14.0,13.8,6.83,703710
2012-03-30,14.4,13.7,13.8,14.4,7.12,495680
2012-04-03,14.6,14.3,14.6,14.5,7.17,150180
2012-04-04,14.5,14.1,14.5,14.1,6.98,437130
2012-04-05,14.8,14.0,14.0,14.8,7.32,156440
2012-04-06,15.0,14.5,15.0,14.6,7.22,1029390
