Date,High,Low,Open,Close,adjust,Volume
2015-11-05,15.6,15.6,15.6,15.6,9.44,27900
2015-11-06,16.6,16.6,16.6,16.6,10.05,110
2015-11-09,17.7,17.7,17.7,17.7,10.72,94040
2015-11-10,18.9,18.3,18.9,18.3,11.08,115370
2015-11-11,19.5,18.0,19.5,18.1,10.96,31980
2015-11-12,19.1,17.9,18.1,18.1,10.96,10980
2015-11-13,18.4,17.7,18.4,18.0,10.9,29830
2015-11-16,18.2,17.9,18.0,18.1,10.96,20050
2015-11-17,18.2,18.1,18.1,18.1,10.96,32150
2015-11-18,18.2,17.8,18.1,18.2,11.02,37360
2015-11-19,18.5,18.1,18.1,18.4,11.14,25310
2015-11-20,18.6,18.4,18.4,18.5,11.2,35200
2015-11-23,19.7,18.5,18.6,19.7,11.93,75120
2015-11-24,21.0,20.0,20.0,21.0,12.71,21250
2015-11-25,22.4,20.7,21.0,22.4,13.56,21120
2015-11-26,23.9,22.6,23.9,23.8,14.41,6680
2015-11-27,25.0,23.3,23.5,23.3,14.11,43610
2015-11-30,23.4,22.9,23.0,22.9,13.86,49430
2015-12-01,23.2,22.9,22.9,23.0,13.92,26970
2015-12-02,24.6,22.4,24.6,24.6,14.89,47220
2015-12-03,26.3,24.3,24.9,26.3,15.92,47470
2015-12-04,27.0,26.2,26.4,26.7,16.16,51060
2015-12-07,26.8,26.5,26.8,26.7,16.16,35320
2015-12-08,28.5,26.4,26.8,28.5,17.25,29550
2015-12-09,30.4,30.1,30.4,30.2,18.28,39860
2015-12-10,32.3,30.3,32.0,31.9,19.31,54160
2015-12-11,34.1,31.9,33.7,34.1,20.64,32580
2015-12-14,36.4,35.1,36.0,36.4,22.04,24550
2015-12-15,38.9,38.9,38.9,38.9,23.55,4230
2015-12-16,41.6,41.6,41.6,41.6,25.18,4100
2015-12-17,44.5,39.2,44.5,42.2,25.55,73820
2015-12-18,45.1,43.0,45.1,44.5,26.94,25310
2015-12-21,47.6,44.5,44.5,47.6,28.82,16470
2015-12-22,49.7,47.6,47.6,48.6,29.42,24110
2015-12-23,49.5,47.0,48.0,47.3,28.64,35030
2015-12-24,47.2,45.8,47.0,47.0,28.45,30300
2015-12-25,47.0,45.0,47.0,47.0,28.45,38380
2015-12-28,48.0,46.8,47.0,48.0,29.06,31400
2015-12-29,51.0,48.0,48.1,51.0,30.88,18930
2015-12-30,54.5,54.0,54.5,54.5,32.99,16910
2015-12-31,58.0,55.0,58.0,55.0,33.3,3550
2016-01-04,58.0,51.5,55.0,51.5,31.18,480
2016-01-05,48.5,47.9,47.9,48.0,29.06,19240
2016-01-06,48.0,45.1,48.0,45.4,27.48,25880
2016-01-07,45.4,42.3,45.4,42.4,25.67,32740
2016-01-08,42.6,42.3,42.4,42.4,25.67,38400
2016-01-11,42.6,42.3,42.4,42.5,25.73,13660
2016-01-12,43.4,42.5,42.6,43.4,26.27,31520
2016-01-13,43.6,43.3,43.4,43.4,26.27,33330
2016-01-14,43.4,43.0,43.4,43.0,26.03,25470
2016-01-15,43.0,42.4,42.9,42.7,25.85,30190
2016-01-18,42.6,42.5,42.6,42.6,25.79,17240
2016-01-19,43.4,42.6,42.6,43.4,26.27,42010
2016-01-20,43.5,43.3,43.5,43.4,26.27,16310
2016-01-21,43.5,43.0,43.2,43.3,26.21,32360
2016-01-22,43.5,42.9,43.3,43.5,26.33,36870
2016-01-25,44.0,43.5,43.5,44.0,26.64,12800
2016-01-26,44.0,42.7,44.0,42.9,25.97,37250
2016-01-27,43.1,41.8,42.5,41.8,25.31,12290
2016-01-28,42.5,41.8,41.8,42.5,25.73,33470
2016-01-29,42.8,42.5,42.8,42.6,25.79,14770
2016-02-01,43.0,42.7,42.7,42.8,25.91,20260
2016-02-02,42.9,42.3,42.8,42.5,25.73,22910
2016-02-03,42.7,42.3,42.5,42.7,25.85,22310
2016-02-04,43.3,42.8,42.8,43.2,26.15,24730
