Date,High,Low,Open,Close,adjust,Volume
2012-01-03,12.7,12.4,12.6,12.6,2.34,33900
2012-01-04,12.6,12.0,12.6,12.4,2.3,47700
2012-01-05,12.2,11.9,12.0,12.2,2.26,215800
2012-01-06,13.0,12.5,12.6,12.9,2.39,246100
2012-01-09,13.5,12.8,13.5,13.1,2.43,101500
2012-01-10,13.9,13.0,13.4,13.9,2.58,300600
2012-01-11,14.5,13.9,13.9,14.3,2.65,649200
2012-01-12,14.6,14.0,14.5,14.3,2.65,540500
2012-01-13,14.7,14.4,14.7,14.6,2.71,238600
2012-01-16,14.8,14.6,14.6,14.8,2.74,97100
2012-01-17,14.9,14.6,14.9,14.8,2.74,101100
2012-01-18,15.0,14.8,14.8,15.0,2.78,48000
2012-01-19,15.1,14.9,15.0,15.0,2.78,34000
2012-01-20,15.0,14.6,14.6,14.9,2.76,105700
2012-01-30,15.0,14.6,14.9,14.9,2.76,61700
2012-01-31,15.6,14.8,14.8,15.5,2.87,160000
2012-02-01,15.9,15.2,15.9,15.5,2.87,80400
2012-02-02,16.5,15.6,15.7,16.4,3.04,216100
2012-02-03,16.6,15.8,16.5,15.9,2.95,216900
2012-02-06,16.2,15.8,16.1,16.0,2.97,118000
2012-02-07,16.4,16.0,16.1,16.1,2.98,125300
2012-02-08,16.2,16.0,16.2,16.1,2.98,93600
2012-02-09,16.1,15.9,16.0,15.9,2.95,205100
2012-02-10,15.7,15.2,15.6,15.4,2.85,77300
2012-02-13,15.3,14.8,15.3,15.0,2.78,57400
2012-02-14,15.5,14.9,15.2,15.3,2.84,141000
2012-02-15,15.5,15.1,15.2,15.4,2.85,215400
2012-02-16,15.5,15.3,15.3,15.4,2.85,51100
2012-02-17,15.9,15.5,15.6,15.7,2.91,70300
2012-02-20,16.5,16.0,16.1,16.4,3.04,255500
2012-02-21,16.6,15.9,16.5,16.0,2.97,151800
2012-02-22,16.2,15.7,15.8,16.1,2.98,142800
2012-02-23,16.8,16.0,16.3,16.5,3.06,227700
2012-02-24,17.0,16.2,16.2,16.5,3.06,392900
2012-02-27,17.7,16.5,16.6,17.5,3.24,480300
