Date,High,Low,Open,Close,adjust,Volume
2015-08-03,62.0,57.0,62.0,57.5,7.21,313220
2015-08-04,58.0,53.5,57.5,53.5,6.71,109220
2015-08-05,55.0,53.0,55.0,55.0,6.9,19420
2015-08-06,53.5,51.5,53.5,51.5,6.46,23650
2015-08-07,51.5,47.9,47.9,47.9,6.01,23890
2015-08-10,51.0,47.9,47.9,51.0,6.4,11530
2015-08-11,53.5,48.5,51.5,48.5,6.08,22830
2015-08-12,49.5,47.0,48.6,48.0,6.02,25000
2015-08-13,49.0,45.9,48.0,48.9,6.13,14720
2015-08-14,48.9,47.3,47.5,48.8,6.12,3570
2015-08-17,48.6,46.6,46.6,48.4,6.07,49820
2015-08-18,48.2,47.6,47.9,48.0,6.02,47070
2015-08-19,48.9,47.9,48.0,48.4,6.07,25460
2015-08-20,49.0,47.2,48.6,49.0,6.15,102480
2015-08-21,49.9,48.2,49.0,49.7,6.23,104370
2015-08-24,48.7,47.8,48.7,48.7,6.11,48760
2015-08-25,49.2,46.0,49.2,47.6,5.97,130340
2015-08-26,48.3,46.0,48.3,47.7,5.98,160380
2015-08-27,47.9,46.8,47.7,46.8,5.87,20510
2015-08-28,47.9,46.3,47.9,46.4,5.82,49470
2015-08-31,47.1,46.0,47.1,46.5,5.83,63050
2015-09-01,47.2,46.2,47.0,46.5,5.83,64670
2015-09-03,46.7,45.6,46.7,46.3,5.81,105250
2015-09-04,46.6,45.6,46.6,45.6,5.72,16340
2015-09-07,45.7,45.0,45.7,45.6,5.72,82270
2015-09-08,45.5,45.0,45.3,45.3,5.68,57180
2015-09-09,45.5,44.9,45.5,44.9,5.63,59660
2015-09-10,45.0,44.8,45.0,44.9,5.63,186670
2015-09-11,45.0,44.8,44.9,44.9,5.63,17410
2015-09-14,45.9,44.8,44.9,44.9,5.63,69820
2015-09-15,44.9,43.0,44.9,44.8,5.62,12800
2015-09-16,44.9,44.3,44.4,44.5,5.58,71540
2015-09-17,46.3,44.5,44.5,45.9,5.76,43750
2015-09-18,47.0,45.9,45.9,46.3,5.81,44790
2015-09-21,46.7,45.7,46.2,46.2,5.8,41170
2015-09-22,46.8,46.0,46.2,46.8,5.87,78730
2015-09-23,46.8,46.4,46.8,46.5,5.83,6260
2015-09-24,46.8,44.9,46.8,46.3,5.81,47390
2015-09-25,46.3,46.0,46.3,46.2,5.8,30020
2015-09-28,46.1,45.9,46.1,46.0,5.77,50280
2015-09-29,46.0,45.2,46.0,46.0,5.77,47480
2015-09-30,46.8,46.0,46.8,46.7,5.86,25130
2015-10-01,47.5,46.6,46.8,47.1,5.91,34670
2015-10-02,50.0,47.5,47.5,49.6,6.22,168090
2015-10-05,51.5,49.5,49.6,50.5,6.33,77660
2015-10-06,52.5,50.0,50.5,50.5,6.33,102720
2015-10-07,51.5,49.2,50.0,49.4,6.2,49580
2015-10-08,50.5,49.7,49.9,50.0,6.27,92140
2015-10-09,40.0,38.0,38.5,38.8,6.46,80930
2015-10-12,39.9,36.8,39.9,36.8,6.12,89850
2015-10-13,38.5,36.3,36.7,38.5,6.41,100500
2015-10-14,38.9,38.0,38.3,38.3,6.37,84390
2015-10-15,38.5,36.0,36.8,36.9,6.14,61910
2015-10-16,37.5,35.2,36.9,36.9,6.14,94770
2015-10-19,36.9,35.0,36.9,35.9,5.97,75400
2015-10-20,36.4,35.0,35.0,36.2,6.02,78030
2015-10-21,35.7,34.0,35.7,35.4,5.89,41820
2015-10-22,35.4,34.0,35.4,34.3,5.71,80090
2015-10-23,34.3,32.1,34.3,34.3,5.71,112570
2015-10-26,36.3,34.3,34.3,35.9,5.97,107010
2015-10-27,36.2,35.3,36.0,36.2,6.02,86810
2015-10-28,36.2,34.5,36.0,36.2,6.02,75340
2015-10-29,37.2,36.2,36.4,37.2,6.19,43620
2015-10-30,39.7,37.6,37.9,38.4,6.39,103510
2015-11-02,39.0,37.5,39.0,37.5,6.24,31060
2015-11-03,38.4,37.0,37.7,38.3,6.37,102100
2015-11-04,38.0,37.2,38.0,37.5,6.24,57600
2015-11-05,37.4,36.5,37.3,37.3,6.21,24620
2015-11-06,37.3,36.5,36.5,37.3,6.21,4510
2015-11-09,37.5,36.4,37.5,37.3,6.21,12130
2015-11-10,37.4,36.4,37.4,37.2,6.19,8620
2015-11-11,36.5,35.0,36.5,35.0,5.82,24670
2015-11-12,36.4,35.0,36.0,35.9,5.97,39100
2015-11-13,35.8,35.0,35.5,35.8,5.96,55140
2015-11-16,35.9,35.7,35.9,35.8,5.96,20400
2015-11-17,35.6,34.5,35.0,35.0,5.82,62420
2015-11-18,35.7,35.0,35.7,35.5,5.91,83390
2015-11-19,35.0,34.5,35.0,34.5,5.74,60970
2015-11-20,34.5,33.0,34.5,33.0,5.49,59710
2015-11-23,33.9,33.0,33.9,33.4,5.56,53810
2015-11-24,34.9,32.6,34.9,33.3,5.54,16280
2015-11-25,33.5,32.1,33.3,32.5,5.41,8900
2015-11-26,33.2,31.0,33.2,32.8,5.46,7030
2015-11-27,33.0,31.5,32.6,32.6,5.42,29260
2015-11-30,34.0,32.2,32.2,33.9,5.64,71600
2015-12-01,33.5,33.2,33.5,33.2,5.52,4980
2015-12-02,33.1,32.8,33.2,32.9,5.47,32520
2015-12-03,32.6,32.5,32.6,32.5,5.41,40900
2015-12-04,32.4,32.3,32.3,32.4,5.39,5300
2015-12-07,34.3,33.3,33.9,33.3,5.54,5890
2015-12-08,33.3,33.0,33.3,33.2,5.52,170
2015-12-09,33.5,32.8,33.2,33.0,5.49,60510
2015-12-10,34.0,32.6,34.0,32.7,5.44,95800
2015-12-11,33.0,32.0,32.6,32.7,5.44,79560
2015-12-14,32.5,31.0,32.5,32.0,5.33,20020
2015-12-15,32.5,32.0,32.0,32.4,5.39,5590
2015-12-16,33.0,31.2,32.4,33.0,5.49,33930
2015-12-17,33.9,33.0,33.0,33.0,5.49,39010
2015-12-18,33.0,31.8,31.8,33.0,5.49,20
2015-12-21,32.5,32.4,32.4,32.5,5.41,8330
2015-12-22,32.5,31.6,31.6,32.5,5.41,930
2015-12-23,32.2,31.6,32.2,31.6,5.26,5000
2015-12-24,32.9,31.8,31.9,32.5,5.41,35230
2015-12-25,34.7,32.0,32.5,32.5,5.41,47810
2015-12-28,32.0,31.7,32.0,31.7,5.28,270
2015-12-29,31.9,31.8,31.9,31.9,5.31,19930
2015-12-30,34.1,31.9,34.1,34.1,5.67,110410
2015-12-31,34.8,33.2,34.8,33.2,5.52,34990
2016-01-04,33.5,32.1,33.5,33.5,5.57,1520
2016-01-05,33.5,33.5,33.5,33.5,5.57,0
2016-01-06,32.9,32.6,32.8,32.7,5.44,12610
2016-01-07,32.6,30.5,32.0,32.5,5.41,7930
2016-01-08,32.4,31.0,32.4,31.8,5.29,5210
2016-01-11,33.5,29.6,29.6,32.0,5.33,18240
2016-01-12,32.5,31.0,31.0,32.5,5.41,11280
2016-01-13,32.5,31.0,31.2,32.5,5.41,950
2016-01-14,32.5,31.5,32.5,31.5,5.24,2630
2016-01-15,32.0,30.3,30.3,31.8,5.29,600
2016-01-18,31.8,30.0,30.1,31.8,5.29,4630
2016-01-19,31.5,30.0,30.3,31.5,5.24,3310
2016-01-20,31.5,29.4,29.4,31.5,5.24,820
2016-01-21,31.3,30.0,30.0,31.3,5.21,11740
2016-01-22,31.0,30.9,31.0,30.9,5.14,2820
2016-01-25,33.0,30.0,30.0,33.0,5.49,21430
2016-01-26,33.0,32.0,33.0,32.8,5.46,19590
2016-01-27,32.7,32.0,32.7,32.6,5.42,15600
2016-01-28,32.7,31.2,32.6,31.2,5.19,27110
2016-01-29,32.0,31.0,31.0,31.5,5.24,15040
2016-02-01,32.0,31.5,31.6,32.0,5.33,2740
2016-02-02,32.0,31.0,31.0,32.0,5.33,1050
2016-02-03,32.0,32.0,32.0,32.0,5.33,10
2016-02-04,32.4,31.0,31.0,32.4,5.39,1320
2016-02-05,32.4,31.0,32.0,32.4,5.39,3320
2016-02-15,33.3,33.3,33.3,33.3,5.54,10
2016-02-16,32.4,31.5,31.5,32.0,5.33,1180
2016-02-17,32.0,31.8,32.0,31.8,5.29,6440
2016-02-18,32.3,31.1,31.8,32.3,5.37,9140
2016-02-19,32.4,31.5,32.4,32.0,5.33,11270
2016-02-22,32.5,32.0,32.1,32.5,5.41,9000
2016-02-23,32.9,31.6,32.9,32.9,5.47,21820
2016-02-24,32.8,31.8,32.0,32.8,5.46,32260
2016-02-25,30.8,30.7,30.8,30.8,5.37,1370
2016-02-26,31.4,29.9,30.8,29.9,5.21,2100
2016-02-29,30.9,29.5,29.9,29.9,5.21,14160
2016-03-01,30.4,29.1,30.3,29.9,5.21,15310
2016-03-02,30.0,29.2,29.9,29.9,5.21,15640
2016-03-03,29.9,29.2,29.8,29.8,5.2,15790
2016-03-04,29.1,28.6,29.1,28.6,4.99,32870
2016-03-07,30.0,29.0,29.9,29.9,5.21,79170
2016-03-08,31.9,29.9,29.9,31.9,5.56,107790
2016-03-09,32.0,29.8,31.9,31.9,5.56,38260
2016-03-10,32.0,30.1,30.1,32.0,5.58,21450
2016-03-11,31.8,30.0,31.8,30.2,5.27,26210
2016-03-14,31.5,28.8,30.0,30.0,5.23,7690
2016-03-15,30.9,28.5,30.9,29.0,5.06,54980
2016-03-16,30.8,28.0,30.8,28.5,4.97,37290
2016-03-17,29.8,29.0,29.5,29.5,5.14,22830
2016-03-18,29.7,29.0,29.7,29.5,5.14,25090
2016-03-21,29.5,29.2,29.5,29.5,5.14,16080
2016-03-22,29.5,29.0,29.5,29.0,5.06,19470
2016-03-23,29.2,28.5,29.2,29.2,5.09,30880
2016-03-24,29.4,29.2,29.4,29.2,5.09,14390
2016-03-25,29.5,29.2,29.4,29.2,5.09,15650
2016-03-28,29.2,29.0,29.2,29.2,5.09,44950
2016-03-29,29.5,28.6,29.5,28.9,5.04,40130
2016-03-30,29.3,28.5,29.3,29.0,5.06,20930
2016-03-31,28.9,28.8,28.9,28.8,5.02,16230
2016-04-01,28.9,28.0,28.5,28.9,5.04,11100
2016-04-04,28.9,28.7,28.9,28.8,5.02,23720
2016-04-05,28.8,28.7,28.8,28.8,5.02,23270
2016-04-06,28.8,28.8,28.8,28.8,5.02,24070
2016-04-07,28.8,26.9,28.8,28.8,5.02,42540
2016-04-08,28.5,28.3,28.5,28.3,4.93,29310
2016-04-11,28.5,28.1,28.5,28.3,4.93,24600
2016-04-12,28.9,26.9,28.9,28.2,4.92,1730
2016-04-13,28.0,27.1,27.9,27.9,4.87,460
2016-04-14,26.9,26.3,26.9,26.5,4.62,11460
2016-04-15,27.1,25.6,25.6,27.1,4.73,11170
2016-04-19,27.0,26.5,26.5,27.0,4.71,40
2016-04-20,27.1,26.2,27.0,26.2,4.57,5060
2016-04-21,26.9,26.6,26.9,26.6,4.64,22850
2016-04-22,26.7,26.0,26.3,26.6,4.64,23680
2016-04-25,26.5,26.4,26.4,26.5,4.62,3970
2016-04-26,26.4,26.0,26.4,26.1,4.55,1270
2016-04-27,26.1,25.6,26.1,26.0,4.53,2910
2016-04-28,25.9,25.3,25.6,25.4,4.43,11340
2016-04-29,26.9,24.0,24.0,26.9,4.69,12160
2016-05-04,26.8,26.3,26.8,26.5,4.62,4650
2016-05-05,26.5,26.1,26.5,26.1,4.55,4320
2016-05-06,26.4,26.0,26.1,26.2,4.57,11960
2016-05-09,26.1,25.1,25.1,26.1,4.55,3680
2016-05-10,26.1,26.1,26.1,26.1,4.55,0
2016-05-11,26.0,25.1,26.0,26.0,4.53,140
2016-05-12,26.0,25.0,25.2,25.9,4.52,2320
2016-05-13,25.8,25.1,25.8,25.7,4.48,1400
2016-05-16,25.7,25.0,25.7,25.1,4.38,96540
2016-05-17,25.0,24.0,25.0,24.1,4.2,8390
2016-05-18,24.0,22.5,24.0,22.5,3.92,5040
2016-05-19,24.0,23.2,24.0,23.5,4.1,1910
2016-05-20,23.5,23.5,23.5,23.5,4.1,0
2016-05-23,24.2,23.0,23.0,23.5,4.1,1380
2016-05-24,23.0,23.0,23.0,23.0,4.01,1690
2016-05-25,23.5,22.9,23.5,23.0,4.01,120
2016-05-26,23.0,23.0,23.0,23.0,4.01,0
2016-05-27,23.0,21.6,23.0,23.0,4.01,6360
2016-05-30,21.9,21.5,21.6,21.5,3.75,5460
2016-05-31,23.0,20.1,22.0,23.0,4.01,33190
2016-06-01,24.2,23.2,24.0,23.5,4.1,1530
2016-06-02,23.4,22.9,23.4,23.1,4.03,1000
2016-06-03,23.6,23.0,23.0,23.5,4.1,3890
2016-06-06,23.5,22.5,23.5,22.6,3.94,5280
2016-06-07,24.1,22.6,23.4,24.0,4.19,6160
2016-06-08,24.0,23.0,24.0,24.0,4.19,12510
2016-06-09,23.5,22.9,23.3,23.3,4.06,16950
2016-06-10,23.4,22.4,23.3,23.3,4.06,4760
2016-06-13,24.2,23.0,23.3,24.2,4.22,1460
2016-06-14,24.4,24.2,24.2,24.2,4.22,6830
2016-06-15,24.2,22.7,23.5,24.0,4.19,12840
2016-06-16,24.1,23.5,23.5,24.1,4.2,1120
2016-06-17,24.0,23.5,24.0,24.0,4.19,3220
2016-06-20,23.8,22.6,23.2,23.7,4.13,10950
2016-06-21,23.7,22.8,23.7,23.7,4.13,10750
2016-06-22,23.6,22.7,22.8,23.6,4.12,7510
2016-06-23,23.0,22.6,22.8,23.0,4.01,7450
2016-06-24,23.2,22.0,22.6,22.9,3.99,15710
2016-06-27,23.0,21.5,21.5,23.0,4.01,1650
2016-06-28,23.0,21.5,22.5,23.0,4.01,7830
2016-06-29,22.8,22.8,22.8,22.8,3.98,610
2016-06-30,22.8,21.7,22.8,22.6,3.94,7230
2016-07-01,22.6,22.4,22.6,22.4,3.91,2080
2016-07-04,22.4,21.6,21.9,22.4,3.91,1350
2016-07-05,22.4,21.8,21.8,22.4,3.91,1070
2016-07-06,23.0,21.7,22.4,22.5,3.92,3290
2016-07-07,22.7,21.5,22.7,21.6,3.77,23270
2016-07-08,21.6,21.4,21.6,21.6,3.77,3000
2016-07-11,21.6,21.0,21.6,21.6,3.77,4400
2016-07-12,21.6,21.1,21.1,21.6,3.77,810
2016-07-13,21.6,21.6,21.6,21.6,3.77,2110
2016-07-14,22.5,21.6,21.6,21.6,3.77,7350
2016-07-15,21.8,21.3,21.6,21.8,3.8,980
2016-07-18,21.8,21.1,21.8,21.3,3.71,1050
2016-07-19,21.6,21.0,21.1,21.6,3.77,640
2016-07-20,21.6,21.0,21.5,21.4,3.73,21530
2016-07-21,21.1,21.0,21.1,21.0,3.66,5480
2016-07-22,21.0,20.0,21.0,20.7,3.61,1680
2016-07-25,20.7,19.3,20.7,19.3,3.37,7280
2016-07-26,19.6,18.0,18.6,19.6,3.42,3170
2016-07-27,19.6,19.2,19.5,19.5,3.4,19410
2016-07-28,19.5,19.1,19.5,19.2,3.35,21750
2016-07-29,19.5,19.0,19.1,19.3,3.37,84030
2016-08-01,19.4,18.3,19.2,18.3,3.19,21760
2016-08-02,19.1,18.5,18.5,18.8,3.28,20360
2016-08-03,20.0,18.3,19.0,19.6,3.42,136070
2016-08-04,19.9,18.6,19.8,19.2,3.35,29540
2016-08-05,19.3,18.3,19.3,18.6,3.24,23290
2016-08-08,18.6,17.5,18.6,17.8,3.1,40170
2016-08-09,17.7,16.9,17.7,16.9,2.95,36220
2016-08-10,17.4,17.0,17.0,17.3,3.02,36680
2016-08-11,17.4,16.5,16.5,17.0,2.96,42390
2016-08-12,17.1,16.8,17.0,16.9,2.95,14500
2016-08-15,17.2,16.8,16.9,17.2,3.0,13480
2016-08-16,17.2,16.9,17.2,16.9,2.95,22200
2016-08-17,17.1,16.8,17.1,17.1,2.98,19460
2016-08-18,17.1,16.5,17.0,16.7,2.91,21100
