Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.7,8.3,8.7,8.3,3.23,5960
2012-01-04,8.6,8.3,8.4,8.5,3.31,50470
2012-01-05,8.6,8.4,8.6,8.5,3.31,39390
2012-01-06,8.6,8.4,8.5,8.5,3.31,22200
2012-01-09,8.5,8.4,8.4,8.4,3.27,15200
2012-01-10,8.8,8.5,8.5,8.8,3.42,19900
2012-01-11,9.1,8.8,8.9,8.9,3.46,42720
2012-01-12,9.1,8.9,9.1,9.1,3.54,15560
2012-01-13,9.5,9.3,9.3,9.5,3.7,79720
2012-01-16,9.8,9.4,9.8,9.4,3.66,13310
2012-01-17,9.5,9.4,9.4,9.4,3.66,17790
2012-01-18,9.5,9.3,9.3,9.4,3.66,20710
2012-01-19,9.6,9.5,9.5,9.6,3.73,39540
2012-01-20,9.7,9.5,9.6,9.6,3.73,52620
2012-01-30,9.8,9.6,9.7,9.7,3.77,9040
2012-01-31,10.0,9.7,9.8,9.7,3.77,53120
2012-02-01,9.9,9.7,9.9,9.9,3.85,14170
2012-02-02,10.3,9.8,10.1,10.3,4.01,61500
2012-02-03,10.7,10.2,10.7,10.2,3.97,69190
2012-02-06,10.3,9.8,10.3,10.0,3.89,36650
2012-02-07,10.1,9.9,10.1,10.1,3.93,27810
2012-02-08,10.4,10.0,10.1,10.4,4.05,25860
2012-02-09,10.4,10.0,10.3,10.0,3.89,34530
2012-02-10,10.1,9.9,10.1,9.9,3.85,51410
2012-02-13,10.1,9.9,10.1,10.0,3.89,19470
2012-02-14,10.2,9.9,10.0,10.2,3.97,48090
2012-02-15,10.3,10.1,10.1,10.2,3.97,26930
2012-02-16,10.3,10.2,10.2,10.3,4.01,48020
2012-02-17,10.4,10.3,10.3,10.4,4.05,25120
2012-02-20,10.8,10.5,10.5,10.8,4.2,48770
2012-02-21,11.1,10.8,11.1,10.9,4.24,40340
2012-02-22,11.4,10.9,10.9,11.4,4.44,51880
2012-02-23,11.9,11.2,11.3,11.7,4.55,38990
2012-02-24,11.8,11.4,11.5,11.7,4.55,123290
2012-02-27,11.7,11.2,11.7,11.6,4.51,165620
2012-02-28,11.3,11.1,11.3,11.1,4.32,186950
2012-02-29,11.0,10.6,10.8,10.8,4.2,161550
2012-03-01,11.3,10.8,11.2,11.2,4.36,32780
2012-03-02,11.5,11.3,11.3,11.4,4.44,74400
2012-03-05,11.9,11.7,11.7,11.9,4.63,101980
2012-03-06,12.3,11.7,12.3,11.9,4.63,210680
2012-03-07,11.8,11.5,11.8,11.7,4.55,75880
2012-03-08,11.6,11.2,11.4,11.2,4.36,69330
2012-03-09,11.4,11.0,11.2,11.4,4.44,37050
2012-03-12,11.4,11.0,11.4,11.1,4.32,20550
2012-03-13,11.3,11.1,11.3,11.3,4.4,28840
2012-03-14,11.3,10.9,11.2,10.9,4.24,27580
2012-03-15,11.4,10.8,10.9,11.4,4.44,45200
2012-03-16,11.6,11.1,11.6,11.4,4.44,13080
2012-03-19,11.5,10.9,10.9,11.2,4.36,11410
2012-03-20,11.3,11.2,11.2,11.2,4.36,24200
2012-03-21,11.7,11.2,11.2,11.7,4.55,96340
2012-03-22,12.2,11.5,11.5,12.2,4.75,230170
2012-03-23,12.8,12.5,12.5,12.8,4.98,160490
2012-03-26,13.4,12.8,13.4,13.1,5.1,191390
2012-03-27,13.1,12.5,12.6,12.5,4.86,89440
2012-03-28,12.8,12.3,12.6,12.8,4.98,30410
2012-03-29,13.0,12.2,12.9,12.4,4.82,48870
2012-03-30,12.5,11.9,12.5,12.4,4.82,18280
2012-04-03,12.6,12.4,12.4,12.6,4.9,11610
2012-04-04,12.9,12.1,12.9,12.4,4.82,20350
2012-04-05,12.8,12.2,12.8,12.5,4.86,42640
2012-04-06,12.6,12.3,12.6,12.5,4.86,22200
2012-04-09,12.6,12.3,12.5,12.6,4.9,32450
2012-04-10,12.7,12.5,12.7,12.6,4.9,49920
2012-04-11,12.8,12.4,12.8,12.6,4.9,109570
2012-04-12,13.2,12.8,12.8,13.2,5.14,376420
2012-04-13,13.5,13.0,13.1,13.5,5.25,116820
2012-04-16,14.1,13.2,13.2,14.0,5.45,61570
2012-04-17,14.4,13.6,13.7,14.4,5.6,60350
2012-04-18,14.4,13.7,14.4,13.8,5.37,121810
2012-04-19,13.8,13.2,13.5,13.2,5.14,60460
2012-04-20,13.4,12.9,13.0,13.2,5.14,65580
2012-04-23,13.3,13.0,13.2,13.0,5.06,8970
2012-04-24,13.4,12.4,12.9,13.0,5.06,70540
2012-04-25,13.4,13.0,13.3,13.4,5.21,90110
2012-04-26,13.6,13.3,13.5,13.4,5.21,74120
2012-04-27,13.5,13.2,13.2,13.3,5.17,88590
2012-05-02,13.4,13.0,13.3,13.0,5.06,106390
2012-05-03,13.1,12.6,13.0,12.9,5.02,35290
2012-05-04,13.2,12.9,13.1,13.0,5.06,144730
2012-05-07,13.6,13.3,13.4,13.6,5.29,251530
2012-05-08,13.9,13.5,13.6,13.5,5.25,128660
2012-05-09,14.0,13.4,13.5,13.9,5.41,101440
2012-05-10,14.4,14.0,14.4,14.2,5.52,161590
2012-05-11,14.1,13.7,13.8,13.7,5.33,73490
2012-05-14,13.9,13.1,13.9,13.1,5.1,136940
2012-05-15,13.2,12.5,12.9,12.6,4.9,95250
2012-05-16,12.9,12.4,12.8,12.5,4.86,94710
2012-05-17,13.0,12.5,13.0,12.5,4.86,52840
2012-05-18,12.5,11.9,12.5,11.9,4.63,121900
2012-05-21,12.4,12.3,12.3,12.4,4.82,17010
2012-05-22,12.9,12.5,12.8,12.8,4.98,196510
2012-05-23,12.0,11.3,11.9,11.3,4.77,117070
2012-05-24,11.6,10.8,11.3,11.0,4.64,34490
2012-05-25,11.5,11.0,11.0,11.5,4.85,78790
2012-05-28,11.8,11.2,11.8,11.2,4.73,40810
2012-05-29,11.6,11.2,11.2,11.6,4.9,33310
2012-05-30,11.7,11.2,11.7,11.5,4.85,24130
2012-05-31,11.5,11.1,11.5,11.2,4.73,26600
2012-06-01,11.4,11.1,11.2,11.2,4.73,16030
2012-06-04,11.1,10.8,10.9,10.9,4.6,32350
2012-06-05,11.1,10.8,10.9,11.1,4.68,26220
2012-06-06,11.4,10.9,11.1,11.3,4.77,42770
2012-06-07,11.7,11.3,11.5,11.7,4.94,28860
2012-06-08,11.9,11.5,11.5,11.8,4.98,67530
2012-06-11,11.9,11.5,11.8,11.8,4.98,39030
2012-06-12,12.0,11.5,11.6,11.5,4.85,12370
2012-06-13,11.5,11.4,11.5,11.4,4.81,5270
2012-06-14,11.7,11.4,11.4,11.7,4.94,15030
2012-06-15,11.9,11.4,11.9,11.5,4.85,24650
2012-06-18,11.9,11.5,11.8,11.6,4.9,9090
2012-06-19,11.6,11.3,11.6,11.5,4.85,30870
2012-06-20,11.6,11.3,11.4,11.6,4.9,21950
2012-06-21,11.6,11.3,11.5,11.6,4.9,6150
2012-06-22,11.6,11.3,11.3,11.6,4.9,2500
2012-06-25,11.6,11.1,11.4,11.4,4.81,24260
2012-06-26,11.6,11.0,11.6,11.3,4.77,12090
2012-06-27,11.5,10.9,11.1,11.0,4.64,48200
2012-06-28,11.0,10.8,11.0,10.8,4.56,20350
2012-06-29,11.0,10.7,10.8,11.0,4.64,42200
2012-07-02,10.8,10.7,10.8,10.8,4.56,9930
2012-07-03,11.0,10.6,11.0,11.0,4.64,34830
2012-07-04,11.0,10.8,11.0,10.8,4.56,12030
2012-07-05,10.8,10.5,10.8,10.8,4.56,19600
2012-07-06,11.0,10.6,11.0,10.6,4.47,3740
2012-07-09,10.6,10.3,10.6,10.3,4.35,20890
2012-07-10,10.8,10.3,10.3,10.7,4.52,14360
2012-07-11,10.9,10.2,10.8,10.7,4.52,29110
2012-07-12,10.9,10.3,10.9,10.5,4.43,31760
2012-07-13,10.9,10.5,10.5,10.9,4.6,20950
2012-07-16,10.9,10.4,10.6,10.5,4.43,27080
2012-07-17,10.9,10.4,10.4,10.9,4.6,6980
2012-07-18,10.9,10.5,10.9,10.8,4.56,49770
2012-07-19,11.3,10.7,10.7,11.3,4.77,49200
2012-07-20,11.4,10.9,10.9,11.2,4.73,36430
2012-07-23,11.0,10.7,10.9,11.0,4.64,24240
2012-07-24,10.8,10.5,10.6,10.5,4.43,33840
2012-07-25,10.6,10.4,10.4,10.5,4.43,21880
2012-07-26,10.5,10.3,10.4,10.3,4.35,34010
2012-07-27,10.5,9.9,10.3,10.5,4.43,74380
2012-07-30,10.5,10.3,10.5,10.4,4.39,5840
2012-07-31,10.6,10.2,10.4,10.6,4.47,8850
2012-08-01,10.5,10.1,10.3,10.5,4.43,31450
2012-08-02,10.5,10.2,10.5,10.2,4.3,8270
2012-08-03,10.3,10.2,10.2,10.2,4.3,20410
