Date,High,Low,Open,Close,adjust,Volume
2012-01-03,21.4,20.4,20.4,21.4,6.71,7080
2012-01-04,21.7,21.5,21.5,21.7,6.8,7190
2012-01-05,22.7,21.9,22.4,22.7,7.12,9710
2012-01-06,23.8,23.7,23.7,23.7,7.43,18170
2012-01-09,23.7,22.8,22.8,23.7,7.43,5720
2012-01-10,23.0,23.0,23.0,23.0,7.53,30
2012-01-11,22.1,21.9,22.0,21.9,7.17,8860
2012-01-12,21.1,20.9,21.0,20.9,6.84,8120
2012-01-13,21.9,20.4,20.4,21.9,7.17,22290
2012-01-16,22.9,21.8,22.0,22.9,7.5,950
2012-01-17,23.5,21.9,23.5,21.9,7.17,8520
2012-01-18,21.9,21.1,21.1,21.1,6.91,7580
2012-01-19,22.1,21.2,21.2,21.2,6.94,1530
2012-01-20,22.2,21.2,22.2,22.1,7.24,6140
2012-01-30,23.0,22.5,22.5,23.0,7.53,14700
2012-01-31,24.0,23.0,23.0,23.1,7.56,13890
2012-02-01,24.0,23.4,23.5,23.5,7.69,12690
2012-02-02,24.5,23.8,23.8,24.1,7.89,73079
2012-02-03,24.5,24.1,24.5,24.1,7.89,20400
2012-02-06,25.2,23.8,24.1,23.8,7.79,29510
2012-02-07,24.9,24.0,24.0,24.0,7.86,15250
2012-02-08,25.1,24.2,24.2,24.5,8.02,1920
2012-02-09,24.6,24.5,24.5,24.5,8.02,11610
2012-02-10,25.0,24.5,24.6,24.5,8.02,22570
2012-02-13,24.9,24.3,24.3,24.7,8.09,8820
2012-02-14,25.9,24.8,25.0,25.9,8.48,93980
2012-02-15,27.1,26.0,26.0,27.0,8.84,31290
2012-02-16,28.3,27.0,27.0,28.3,9.27,205060
2012-02-17,29.7,28.3,29.5,29.7,9.72,49050
2012-02-20,31.0,29.7,31.0,30.5,9.99,192490
2012-02-21,31.0,30.1,30.5,30.2,9.89,213550
2012-02-22,31.7,29.9,30.0,31.7,10.38,30780
2012-02-23,33.2,31.7,32.0,33.2,10.87,26030
2012-02-24,34.8,33.7,34.0,34.5,11.3,34260
2012-02-27,36.0,34.6,36.0,35.0,11.46,20310
2012-02-28,35.9,34.9,35.5,35.5,11.62,82090
2012-02-29,37.2,36.9,37.0,37.2,12.18,42000
2012-03-01,39.0,38.5,38.9,38.8,12.7,71780
2012-03-02,39.5,36.9,38.8,36.9,12.08,390720
2012-03-05,36.9,35.1,36.9,35.2,11.52,125670
2012-03-06,34.5,33.5,34.0,33.5,10.97,352550
2012-03-07,35.1,32.1,32.1,32.1,10.51,55070
