Date,High,Low,Open,Close,adjust,Volume
2012-01-03,11.5,11.0,11.5,11.0,4.52,11740
2012-01-04,11.0,10.8,10.9,11.0,4.52,4530
2012-01-05,11.0,10.8,11.0,10.8,4.44,24950
2012-01-06,10.8,10.5,10.6,10.5,4.32,50490
2012-01-09,10.8,10.3,10.3,10.8,4.44,46690
2012-01-10,11.2,10.6,10.8,11.2,4.61,40020
2012-01-11,11.4,11.0,11.0,11.2,4.61,10580
2012-01-12,11.2,10.8,11.1,10.8,4.44,43100
2012-01-13,11.1,10.8,10.8,11.1,4.57,28290
2012-01-16,11.6,11.1,11.1,11.6,4.77,108070
2012-01-17,12.1,11.7,11.8,11.8,4.85,58670
2012-01-18,12.3,11.8,11.8,12.0,4.94,65580
2012-01-19,12.6,12.2,12.3,12.6,5.18,46450
2012-01-20,13.0,12.3,12.9,13.0,5.35,59240
2012-01-30,13.0,12.5,13.0,13.0,5.35,30990
2012-01-31,13.5,13.0,13.4,13.1,5.39,39360
2012-02-01,13.2,12.7,13.0,12.8,5.26,116590
2012-02-02,13.4,12.8,12.8,13.4,5.51,59750
2012-02-03,13.8,12.8,13.8,12.9,5.31,57540
2012-02-06,13.0,12.5,12.5,12.6,5.18,30250
2012-02-07,13.0,12.6,12.6,12.6,5.18,32940
2012-02-08,13.1,12.5,12.7,13.0,5.35,60590
2012-02-09,13.4,12.7,13.4,12.8,5.26,34480
2012-02-10,12.8,12.4,12.5,12.4,5.1,88560
2012-02-13,12.4,11.8,12.0,11.8,4.85,87320
2012-02-14,12.3,11.8,12.0,12.3,5.06,102610
2012-02-15,12.7,12.2,12.3,12.3,5.06,79280
2012-02-16,12.6,12.3,12.3,12.4,5.1,54950
2012-02-17,12.7,12.5,12.5,12.7,5.22,71060
2012-02-20,13.3,12.8,12.9,13.2,5.43,119880
2012-02-21,13.6,12.8,13.5,12.8,5.26,149370
2012-02-22,13.2,12.6,12.8,13.0,5.35,102110
2012-02-23,13.6,12.9,13.0,13.6,5.59,248820
2012-02-24,14.1,13.6,13.6,13.6,5.59,185620
2012-02-27,13.7,13.3,13.5,13.7,5.85,245600
2012-02-28,14.1,13.1,13.7,13.1,5.59,76380
2012-02-29,13.2,12.9,12.9,13.2,5.64,32050
2012-03-01,13.2,12.9,13.2,13.1,5.59,65550
2012-03-02,13.5,13.0,13.0,13.3,5.68,203670
2012-03-05,13.9,13.8,13.9,13.9,5.94,103370
2012-03-06,14.5,14.1,14.5,14.5,6.19,614270
2012-03-07,15.1,14.1,14.7,14.9,6.36,189130
2012-03-08,14.8,14.2,14.2,14.2,6.06,142730
2012-03-09,14.2,13.5,13.7,13.7,5.85,91190
2012-03-12,13.7,13.1,13.7,13.3,5.68,119780
2012-03-13,13.6,13.0,13.0,13.6,5.81,80760
2012-03-14,13.6,13.0,13.6,13.0,5.55,143670
2012-03-15,13.6,12.5,12.7,13.5,5.77,125080
2012-03-16,13.8,12.9,13.4,13.3,5.68,167520
2012-03-19,13.5,13.1,13.4,13.4,5.72,32800
2012-03-20,13.6,13.2,13.6,13.5,5.77,95130
2012-03-21,14.1,13.6,13.6,14.1,6.02,181420
2012-03-22,14.8,14.5,14.8,14.8,6.32,798150
2012-03-23,15.5,15.5,15.5,15.5,6.62,514653
2012-03-26,16.2,16.2,16.2,16.2,6.92,25180
2012-03-27,17.0,16.0,17.0,16.0,6.83,1150790
2012-03-28,16.0,15.3,16.0,16.0,6.83,192530
2012-03-29,16.1,15.2,15.9,15.3,6.53,193270
2012-03-30,15.2,14.6,15.0,14.8,6.32,78400
2012-04-03,15.5,14.7,14.7,15.4,6.58,159070
2012-04-04,15.5,14.9,15.5,14.9,6.36,101140
2012-04-05,15.6,14.8,14.9,15.6,6.66,120270
2012-04-06,16.3,15.9,16.0,16.3,6.96,169100
2012-04-09,17.1,16.9,17.0,17.1,7.3,696310
2012-04-10,17.6,16.6,17.1,16.6,7.09,246700
2012-04-11,17.4,16.9,17.3,17.3,7.39,256000
2012-04-12,17.8,16.8,17.5,17.3,7.39,429020
2012-04-13,17.4,16.7,17.1,17.0,7.26,331080
2012-04-16,17.8,17.0,17.0,17.8,7.6,57150
2012-04-17,18.6,18.6,18.6,18.6,7.94,38040
2012-04-18,19.5,19.3,19.5,19.5,8.33,736200
2012-04-19,20.4,19.2,19.6,19.3,8.24,939550
2012-04-20,20.2,19.3,19.3,20.2,8.63,451430
2012-04-23,21.2,20.3,20.9,21.2,9.05,146940
2012-04-24,22.2,21.3,21.8,22.2,9.48,231700
2012-04-25,23.3,23.0,23.2,23.3,9.95,269600
