Date,High,Low,Open,Close,adjust,Volume
2012-01-03,17.5,17.0,17.0,17.3,3.77,62150
2012-01-04,17.3,17.0,17.3,17.2,3.75,38210
2012-01-05,17.2,16.9,17.2,16.9,3.69,229780
2012-01-06,17.2,16.7,17.0,16.7,3.64,28240
2012-01-09,17.0,16.6,16.7,16.6,3.62,61310
2012-01-10,17.2,16.7,16.7,17.2,3.75,12140
2012-01-11,17.5,17.2,17.3,17.2,3.75,54150
2012-01-12,17.3,17.0,17.0,17.0,3.71,26130
2012-01-13,17.2,16.8,16.8,17.1,3.73,22160
2012-01-16,17.9,17.4,17.4,17.9,3.91,125320
2012-01-17,18.6,18.2,18.3,18.2,3.97,105650
2012-01-18,18.5,18.0,18.0,18.4,4.01,25510
2012-01-19,19.0,18.4,18.6,19.0,4.15,61520
2012-01-20,19.0,18.6,18.8,18.6,4.06,31530
2012-01-30,18.7,18.4,18.7,18.7,4.08,56550
2012-01-31,19.0,18.3,19.0,18.3,3.99,101870
2012-02-01,19.0,18.2,18.4,19.0,4.15,266100
2012-02-02,19.9,19.2,19.2,19.9,4.34,413900
2012-02-03,20.6,19.5,20.6,19.9,4.34,629890
2012-02-06,20.0,19.2,19.4,19.6,4.28,75090
2012-02-07,20.4,19.5,19.6,20.4,4.45,298180
2012-02-08,21.4,20.4,20.8,21.4,4.67,234160
2012-02-09,21.6,20.9,21.5,21.4,4.67,270080
2012-02-10,21.4,20.6,21.4,20.6,4.49,199260
2012-02-13,20.6,20.0,20.6,20.2,4.41,216060
2012-02-14,21.2,20.2,20.2,21.2,4.63,199850
2012-02-15,22.1,21.0,21.0,21.8,4.76,285300
2012-02-16,21.9,21.2,21.2,21.6,4.71,102410
2012-02-17,21.7,21.1,21.6,21.4,4.67,111420
2012-02-20,22.2,21.4,21.4,21.9,4.78,266850
2012-02-21,22.2,20.9,22.2,20.9,4.56,256330
2012-02-22,21.9,20.5,20.9,21.8,4.76,334180
2012-02-23,22.0,21.1,22.0,21.8,4.76,165980
2012-02-24,22.8,21.5,21.8,22.5,4.91,360670
2012-02-27,23.3,22.4,22.5,23.3,5.08,294810
2012-02-28,23.4,22.2,23.1,22.2,4.84,273230
2012-02-29,23.0,22.1,22.2,23.0,5.02,272980
2012-03-01,23.3,22.5,23.0,23.3,5.08,281600
2012-03-02,24.1,23.1,23.5,24.0,5.24,418950
2012-03-05,25.2,24.8,25.0,25.2,5.5,140330
2012-03-06,26.2,24.0,26.2,24.4,5.32,437470
2012-03-07,25.2,23.8,24.6,25.0,5.45,297260
2012-03-08,25.0,23.8,24.5,23.8,5.19,342180
2012-03-09,24.0,23.0,23.5,23.8,5.19,327190
2012-03-12,23.8,22.7,23.8,23.0,5.02,186030
2012-03-13,24.1,24.1,24.1,24.1,5.26,194100
2012-03-14,25.3,25.0,25.3,25.3,5.52,712720
2012-03-15,26.5,25.6,26.5,26.1,5.69,418440
2012-03-16,26.6,25.2,26.1,25.2,5.5,324450
2012-03-19,25.5,25.0,25.0,25.3,5.52,121600
2012-03-20,25.8,25.1,25.3,25.8,5.63,158290
2012-03-21,26.9,25.9,26.2,26.3,5.74,201290
2012-03-22,27.6,26.1,26.1,27.6,6.02,455090
2012-03-23,28.9,28.6,28.9,28.9,6.31,424700
2012-03-26,30.2,29.1,30.1,29.6,6.46,231670
2012-03-27,29.5,28.2,29.2,28.2,6.15,424000
2012-03-28,28.2,27.1,28.0,27.7,6.04,181640
2012-03-29,28.0,27.4,28.0,27.9,6.09,156370
2012-03-30,27.9,27.2,27.9,27.5,6.0,161320
2012-04-03,28.1,27.0,27.0,27.7,6.04,107640
2012-04-04,28.7,27.7,28.3,28.2,6.15,120360
2012-04-05,29.2,27.8,28.2,29.2,6.37,225030
2012-04-06,29.5,29.0,29.3,29.1,6.35,239880
2012-04-09,30.3,29.1,29.5,29.9,6.52,256340
2012-04-10,31.0,29.8,29.9,30.8,6.72,356250
2012-04-11,32.3,31.2,31.5,32.3,7.05,370040
2012-04-12,33.9,33.6,33.7,33.9,7.4,197420
2012-04-13,35.5,34.5,35.4,35.5,7.75,628060
2012-04-16,37.2,35.1,35.8,37.2,8.12,404400
2012-04-17,39.0,38.9,39.0,39.0,8.51,147730
2012-04-18,40.9,40.5,40.9,40.7,8.88,622720
2012-04-19,40.7,38.7,39.4,38.7,8.44,662090
2012-04-20,37.9,36.8,37.8,36.8,8.03,792080
2012-04-23,38.6,37.8,37.8,38.6,8.42,347180
2012-04-24,40.5,38.6,39.9,40.5,8.84,547380
2012-04-25,42.5,42.2,42.3,42.5,9.27,207390
2012-04-26,44.6,43.0,44.6,44.6,9.73,849920
2012-04-27,46.6,44.5,44.6,46.2,10.08,425890
2012-05-02,46.7,43.9,46.7,43.9,9.58,843810
2012-05-03,45.0,41.9,43.0,45.0,9.82,477400
2012-05-04,47.2,47.2,47.2,47.2,10.3,243580
