Date,High,Low,Open,Close,adjust,Volume
2012-04-11,20.0,20.0,20.0,20.0,6.69,100
2012-04-12,19.4,19.0,19.0,19.4,6.48,110
2012-04-13,18.5,18.5,18.5,18.5,6.18,1150
2012-04-16,18.5,17.6,18.5,17.6,5.88,1520
2012-04-17,17.6,17.6,17.6,17.6,5.88,1840
2012-04-18,18.4,18.4,18.4,18.4,6.15,70
2012-04-19,18.4,18.4,18.4,18.4,6.15,2100
2012-04-20,17.5,17.5,17.5,17.5,5.85,10
2012-04-23,18.0,18.0,18.0,18.0,6.02,2000
2012-04-24,18.0,18.0,18.0,18.0,6.02,1500
2012-04-25,18.8,18.8,18.8,18.8,6.28,10
2012-04-26,19.7,19.7,19.7,19.7,6.58,70
2012-04-27,20.2,20.2,20.2,20.2,6.75,500
2012-05-02,20.7,20.6,20.6,20.6,6.89,3200
2012-05-03,21.6,21.0,21.0,21.6,7.22,3030
2012-05-04,22.6,21.6,21.6,22.6,7.55,1210
2012-05-07,23.7,23.7,23.7,23.7,7.92,1700
2012-05-08,24.6,24.6,24.6,24.6,8.22,20
2012-05-09,24.6,24.6,24.6,24.6,8.22,0
2012-05-10,23.5,22.5,23.0,23.5,8.19,820
2012-05-11,23.0,23.0,23.0,23.0,8.01,500
2012-05-14,22.1,22.1,22.1,22.1,7.7,100
2012-05-15,21.4,21.3,21.4,21.3,7.42,200
2012-05-16,21.3,20.3,20.6,20.3,7.07,5200
2012-05-17,19.6,19.3,19.6,19.3,6.72,520
2012-05-18,19.3,18.4,19.3,18.4,6.41,1570
2012-05-21,19.3,19.3,19.3,19.3,6.72,260
2012-05-22,20.2,20.0,20.0,20.2,7.04,2130
2012-05-23,20.2,19.5,19.5,20.2,7.04,1000
2012-05-24,20.5,20.4,20.4,20.5,7.14,20800
2012-05-25,21.4,19.5,19.6,21.4,7.46,280
2012-05-28,21.4,21.4,21.4,21.4,7.46,0
2012-05-29,21.4,21.4,21.4,21.4,7.46,0
2012-05-30,20.4,20.4,20.4,20.4,7.11,10
2012-05-31,21.0,19.6,19.6,20.4,7.11,1280
2012-06-01,20.6,20.4,20.4,20.6,7.18,90
2012-06-04,20.4,20.4,20.4,20.4,7.11,500
2012-06-05,20.4,20.4,20.4,20.4,7.11,0
2012-06-06,20.6,20.6,20.6,20.6,7.18,2070
2012-06-07,20.8,20.1,20.1,20.8,7.25,630
2012-06-08,21.8,20.9,21.0,21.8,7.6,8120
2012-06-11,22.8,20.9,22.8,20.9,7.28,790
2012-06-12,21.9,20.9,20.9,21.9,7.63,100
2012-06-13,22.9,20.9,21.9,22.9,7.98,13240
2012-06-14,21.8,21.8,21.8,21.8,7.6,2000
2012-06-15,21.8,21.8,21.8,21.8,7.6,2000
2012-06-18,22.8,21.8,21.8,22.8,7.94,13020
2012-06-19,22.8,22.0,22.8,22.0,7.67,2100
2012-06-20,23.0,22.0,22.0,23.0,8.01,9180
2012-06-21,22.2,22.0,22.2,22.0,7.67,4400
2012-06-22,22.1,22.0,22.0,22.1,7.7,18300
2012-06-25,22.2,22.1,22.1,22.2,7.74,2220
2012-06-26,22.2,22.0,22.0,22.2,7.74,2600
2012-06-27,23.3,21.5,22.8,23.0,8.01,10950
2012-06-28,21.9,21.9,21.9,21.9,7.63,120
2012-06-29,22.9,22.2,22.9,22.2,7.74,260
2012-07-02,23.3,22.5,23.3,22.5,7.84,6270
2012-07-03,23.6,23.6,23.6,23.6,8.22,1730
2012-07-04,23.6,23.6,23.6,23.6,8.22,0
2012-07-05,24.0,24.0,24.0,24.0,8.36,6240
