Date,High,Low,Open,Close,adjust,Volume
2012-01-03,36.8,35.3,36.8,35.3,8.0,1760
2012-01-04,35.9,35.9,35.9,35.9,8.14,10
2012-01-05,35.0,34.2,34.2,35.0,7.94,440
2012-01-06,34.5,34.5,34.5,34.5,7.82,10
2012-01-09,36.2,32.8,36.2,32.8,7.44,1360
2012-01-10,34.0,33.0,34.0,33.0,7.48,1070
2012-01-11,34.0,31.4,31.4,31.4,7.12,30
2012-01-12,32.8,31.0,32.8,31.0,7.03,50
2012-01-13,32.4,31.0,31.0,32.4,7.35,1010
2012-01-16,33.9,32.4,32.4,33.9,7.69,100
2012-01-17,35.4,34.0,35.4,34.0,7.71,20
2012-01-18,35.6,35.6,35.6,35.6,8.07,100
2012-01-19,37.2,33.9,35.8,33.9,7.69,3710
2012-01-20,35.4,33.9,35.4,33.9,7.69,1630
2012-01-30,35.5,32.3,35.5,34.0,7.71,130
2012-01-31,35.0,32.7,35.0,32.7,7.41,110
2012-02-01,32.7,32.7,32.7,32.7,7.41,0
2012-02-02,34.0,32.0,32.7,34.0,7.71,1220
2012-02-03,35.5,35.5,35.5,35.5,8.05,10
2012-02-06,34.5,34.5,34.5,34.5,7.82,10
2012-02-07,35.0,32.8,34.5,35.0,7.94,2270
2012-02-08,35.0,34.0,35.0,34.5,7.82,50
2012-02-09,34.3,34.3,34.3,34.3,7.78,60490
2012-02-10,34.8,32.6,34.8,32.6,7.39,20
2012-02-13,32.8,31.0,31.6,32.8,7.44,1040
2012-02-14,34.4,33.5,33.5,34.4,7.8,2140
2012-02-15,36.1,35.9,36.0,36.1,8.19,12520
2012-02-16,37.9,37.2,37.4,37.9,8.59,34670
2012-02-17,39.0,37.9,37.9,39.0,8.84,21000
2012-02-20,39.0,38.0,39.0,38.4,8.71,1140
2012-02-21,37.5,36.8,36.9,37.5,8.5,1470
2012-02-22,37.0,36.3,36.3,37.0,8.39,110
2012-02-23,36.2,36.0,36.2,36.1,8.19,2260
2012-02-24,36.5,36.0,36.0,36.5,8.28,7110
2012-02-27,37.1,36.9,36.9,37.1,8.41,3880
2012-02-28,37.0,36.8,37.0,36.8,8.34,6810
2012-02-29,36.9,36.5,36.5,36.9,8.37,1010
2012-03-01,37.2,36.9,36.9,37.2,8.44,6900
2012-03-02,38.0,37.9,38.0,37.9,8.59,530
2012-03-05,39.3,37.2,38.5,39.0,8.84,16400
2012-03-06,38.2,37.1,38.0,38.1,8.64,13030
2012-03-07,39.0,37.2,37.2,38.1,8.64,640
2012-03-08,38.2,37.8,38.0,38.2,8.66,5070
2012-03-09,38.5,38.0,38.0,38.5,8.73,7270
2012-03-12,38.5,37.6,38.5,37.6,8.53,61370
2012-03-13,38.4,37.8,37.8,38.4,8.71,7210
2012-03-14,39.0,38.4,38.5,38.5,8.73,22210
2012-03-15,38.5,37.5,38.5,37.5,8.5,4550
2012-03-16,38.4,38.0,38.0,38.4,8.71,8720
2012-03-19,38.9,38.4,38.5,38.9,8.82,12000
2012-03-20,39.0,37.5,37.5,39.0,8.84,20
2012-03-21,39.0,37.6,39.0,39.0,8.84,4010
2012-03-22,39.0,39.0,39.0,39.0,8.84,0
2012-03-23,39.0,39.0,39.0,39.0,8.84,0
2012-03-26,39.0,39.0,39.0,39.0,8.84,500
2012-03-27,37.8,37.8,37.8,37.8,8.57,1000
2012-03-28,38.9,38.9,38.9,38.9,8.82,10
2012-03-29,38.9,37.0,37.2,37.0,8.39,3070
2012-03-30,38.5,36.3,36.7,36.3,8.23,1830
2012-04-03,37.8,37.0,37.8,37.0,8.39,1090
2012-04-04,37.0,37.0,37.0,37.0,8.39,0
2012-04-05,37.3,37.0,37.0,37.3,8.46,1010
2012-04-06,37.0,37.0,37.0,37.0,8.39,200
2012-04-09,38.8,38.5,38.8,38.6,8.75,3900
2012-04-10,38.9,38.8,38.9,38.8,8.8,55510
2012-04-11,38.8,38.2,38.2,38.8,8.8,11000
2012-04-12,38.8,38.2,38.2,38.8,8.8,9590
2012-04-13,39.0,38.8,39.0,38.8,8.8,12550
2012-04-16,40.7,38.8,40.7,38.8,8.8,5510
2012-04-17,39.0,38.7,38.8,38.8,8.8,18330
2012-04-18,40.7,37.6,37.6,39.0,8.84,3820
2012-04-19,38.9,37.5,38.8,37.5,8.5,5200
2012-04-20,39.3,37.2,37.2,37.5,8.5,420
2012-04-23,39.3,37.6,39.3,38.0,8.62,1180
2012-04-24,39.9,38.1,39.9,38.1,8.64,1000
2012-04-25,38.8,38.2,38.8,38.2,8.66,130
2012-04-26,40.1,38.2,40.1,39.0,8.84,2730
2012-04-27,40.9,38.6,40.0,38.6,8.75,1760
2012-05-02,40.5,40.0,40.5,40.0,9.07,390
2012-05-03,40.6,39.9,40.0,39.9,9.05,6210
2012-05-04,41.0,39.4,39.5,39.9,9.05,28970
2012-05-07,40.5,40.0,40.5,40.1,9.09,23980
2012-05-08,40.1,39.9,40.1,40.0,9.07,119050
2012-05-09,39.9,38.5,39.0,39.1,9.33,14180
2012-05-10,41.0,38.0,41.0,38.1,9.09,3230
2012-05-11,39.7,38.5,39.7,38.5,9.19,22100
2012-05-14,38.5,37.1,37.1,38.5,9.19,220
2012-05-15,38.3,37.0,37.5,38.3,9.14,3310
2012-05-16,38.7,37.0,38.7,37.0,8.83,3140
2012-05-17,38.8,38.8,38.8,38.8,9.26,10
2012-05-18,37.2,37.0,37.2,37.0,8.83,520
2012-05-21,38.0,37.0,37.0,38.0,9.07,160
2012-05-22,39.8,37.0,39.8,37.0,8.83,20
2012-05-23,38.0,36.6,38.0,38.0,9.07,440
2012-05-24,37.0,36.1,37.0,36.3,8.66,1110
2012-05-25,38.0,36.4,38.0,36.4,8.69,1390
2012-05-28,38.0,36.2,38.0,37.5,8.95,970
2012-05-29,38.2,37.0,37.0,38.2,9.12,110
2012-05-30,36.4,36.4,36.4,36.4,8.69,220
2012-05-31,36.5,36.5,36.5,36.5,8.71,70
2012-06-01,37.0,36.6,36.6,37.0,8.83,650
2012-06-04,37.0,35.5,37.0,37.0,8.83,150
2012-06-05,37.6,37.0,37.0,37.6,8.97,250
2012-06-06,38.0,38.0,38.0,38.0,9.07,100
2012-06-07,38.0,36.2,36.2,37.0,8.83,71680
2012-06-08,37.2,36.5,37.0,36.5,8.71,1130
2012-06-11,37.5,36.5,36.5,37.0,8.83,5480
2012-06-12,37.0,37.0,37.0,37.0,8.83,1500
2012-06-13,37.2,36.9,37.2,37.0,8.83,8040
