Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.2,6.9,7.0,7.2,1.83,30690
2012-01-04,7.2,7.0,7.0,7.1,1.81,28520
2012-01-05,7.1,7.0,7.1,7.0,1.78,203060
2012-01-06,7.0,6.7,7.0,6.9,1.76,217090
2012-01-09,7.1,6.8,6.9,6.8,1.73,6770
2012-01-10,7.1,6.9,6.9,7.1,1.81,1270864
2012-01-11,7.3,7.0,7.2,7.3,1.86,222380
2012-01-12,7.2,7.0,7.1,7.0,1.78,8760
2012-01-13,7.2,7.0,7.2,7.2,1.83,25250
2012-01-16,7.4,7.0,7.0,7.2,1.83,48270
2012-01-17,7.4,7.2,7.3,7.2,1.83,23880
2012-01-18,7.4,7.2,7.2,7.2,1.83,24020
2012-01-19,7.5,7.2,7.3,7.5,1.91,17360
2012-01-20,7.8,7.4,7.6,7.4,1.89,2080375
2012-01-30,7.5,7.1,7.5,7.1,1.81,28870
2012-01-31,7.4,6.9,7.0,7.1,1.81,29540
2012-02-01,7.0,6.8,7.0,6.9,1.76,124990
2012-02-02,7.2,6.7,7.0,7.2,1.83,123230
2012-02-03,7.4,7.0,7.2,7.0,1.78,63800
2012-02-06,7.3,6.8,6.9,7.3,1.86,32430
2012-02-07,7.6,7.4,7.6,7.6,1.94,231280
2012-02-08,7.9,7.8,7.8,7.9,2.01,94340
2012-02-09,8.2,8.2,8.2,8.2,2.09,20590
2012-02-10,8.6,7.8,8.6,8.4,2.14,270150
2012-02-13,8.0,8.0,8.0,8.0,2.04,12120
2012-02-14,8.0,7.6,7.6,8.0,2.04,110600
2012-02-15,7.7,7.6,7.7,7.6,1.94,67610
2012-02-16,7.4,7.3,7.3,7.3,1.86,140640
2012-02-17,7.6,7.4,7.6,7.6,1.94,21400
2012-02-20,7.9,7.8,7.9,7.9,2.01,178190
2012-02-21,8.1,7.8,8.1,7.8,1.99,128730
2012-02-22,7.9,7.5,7.8,7.9,2.01,67440
2012-02-23,8.2,7.8,7.9,8.2,2.09,117130
2012-02-24,8.6,8.2,8.4,8.2,2.09,228600
2012-02-27,8.6,8.1,8.2,8.6,2.19,166900
2012-02-28,9.0,8.4,8.8,8.6,2.19,126050
2012-02-29,8.9,8.5,8.8,8.6,2.19,63060
2012-03-01,8.8,8.4,8.6,8.8,2.24,77050
2012-03-02,9.0,8.5,8.5,9.0,2.29,1288260
2012-03-05,9.4,9.3,9.3,9.4,2.39,58030
2012-03-06,9.8,9.2,9.8,9.6,2.45,186480
2012-03-07,10.0,9.2,9.3,10.0,2.55,147790
2012-03-08,9.6,9.5,9.6,9.5,2.42,109390
2012-03-09,9.7,9.1,9.5,9.7,2.47,135160
2012-03-12,9.5,9.3,9.5,9.3,2.37,42300
2012-03-13,9.1,8.9,8.9,8.9,2.27,98920
2012-03-14,9.1,8.5,9.1,8.5,2.17,101650
2012-03-15,8.9,8.1,8.3,8.9,2.27,159460
2012-03-16,9.2,8.8,9.2,8.9,2.27,58690
2012-03-19,8.9,8.5,8.5,8.7,2.22,70060
2012-03-20,8.7,8.3,8.4,8.6,2.19,49470
2012-03-21,9.0,8.6,8.7,8.9,2.27,82840
2012-03-22,9.1,8.9,9.0,9.0,2.29,64170
2012-03-23,9.4,9.2,9.2,9.4,2.39,123160
2012-03-26,9.8,9.7,9.8,9.8,2.5,99840
2012-03-27,10.1,9.5,10.1,9.5,2.42,246180
2012-03-28,9.5,9.1,9.5,9.4,2.39,63480
2012-03-29,9.4,9.0,9.4,9.0,2.29,158980
2012-03-30,8.9,8.6,8.9,8.6,2.19,75660
2012-04-03,9.0,8.7,8.8,8.9,2.27,30750
2012-04-04,9.2,8.5,8.8,9.2,2.34,101090
