Date,High,Low,Open,Close,adjust,Volume
2012-01-03,3.5,3.5,3.5,3.5,2.75,520
2012-01-04,3.5,3.5,3.5,3.5,2.75,1000
2012-01-05,3.5,3.4,3.5,3.4,2.67,21300
2012-01-06,3.5,3.3,3.3,3.5,2.75,13530
2012-01-09,3.6,3.4,3.4,3.6,2.83,14300
2012-01-10,3.7,3.6,3.6,3.7,2.91,18420
2012-01-11,3.8,3.7,3.8,3.8,2.99,28800
2012-01-12,3.8,3.7,3.8,3.8,2.99,3710
2012-01-13,3.8,3.7,3.7,3.8,2.99,29040
2012-01-16,3.9,3.7,3.7,3.9,3.07,31270
2012-01-17,3.9,3.8,3.8,3.9,3.07,8320
2012-01-18,3.9,3.9,3.9,3.9,3.07,510
2012-01-19,4.0,3.9,4.0,4.0,3.14,24900
2012-01-20,4.2,3.9,4.1,4.1,3.22,6110
2012-01-30,4.2,4.0,4.0,4.2,3.3,5250
2012-01-31,4.4,4.2,4.2,4.4,3.46,26670
2012-02-01,4.5,4.2,4.4,4.5,3.54,32710
2012-02-02,4.7,4.4,4.5,4.7,3.69,21620
2012-02-03,4.8,4.5,4.7,4.5,3.54,21220
2012-02-06,4.5,4.3,4.3,4.5,3.54,10010
2012-02-07,4.5,4.5,4.5,4.5,3.54,9010
2012-02-08,4.5,4.4,4.5,4.5,3.54,21310
2012-02-09,4.5,4.4,4.4,4.5,3.54,38740
2012-02-10,4.3,4.3,4.3,4.3,3.38,13600
2012-02-13,4.2,4.1,4.1,4.2,3.3,9270
2012-02-14,4.2,4.0,4.1,4.2,3.3,15190
2012-02-15,4.2,4.2,4.2,4.2,3.3,20
2012-02-16,4.2,4.0,4.0,4.2,3.3,2040
2012-02-17,4.1,4.0,4.0,4.1,3.22,2050
2012-02-20,4.2,4.1,4.1,4.2,3.3,46590
2012-02-21,4.3,4.0,4.3,4.2,3.3,23470
2012-02-22,4.3,4.1,4.2,4.3,3.38,4090
2012-02-23,4.5,4.3,4.3,4.5,3.54,17550
2012-02-24,4.6,4.3,4.4,4.5,3.54,41970
2012-02-27,4.7,4.3,4.3,4.7,3.69,71910
2012-02-28,4.8,4.5,4.8,4.7,3.69,43800
2012-02-29,4.7,4.6,4.6,4.7,3.69,6120
2012-03-01,4.7,4.6,4.7,4.7,3.69,11510
2012-03-02,4.7,4.5,4.6,4.7,3.69,64310
2012-03-05,4.9,4.9,4.9,4.9,3.85,22890
2012-03-06,5.1,4.8,5.1,5.0,3.93,92080
2012-03-07,5.0,4.8,4.8,5.0,3.93,13230
2012-03-08,4.9,4.8,4.9,4.8,3.77,22070
2012-03-09,4.8,4.6,4.6,4.8,3.77,40760
2012-03-12,4.7,4.6,4.7,4.7,3.69,35850
2012-03-13,4.9,4.5,4.6,4.9,3.85,44810
2012-03-14,5.0,4.7,4.7,5.0,3.93,28320
2012-03-15,5.2,4.8,4.8,5.2,4.09,42600
2012-03-16,5.2,5.0,5.2,5.1,4.01,30800
2012-03-19,5.1,4.9,4.9,5.1,4.01,35510
2012-03-20,5.1,4.9,4.9,5.1,4.01,28060
2012-03-21,5.2,5.0,5.1,5.2,4.09,58200
