Date,High,Low,Open,Close,adjust,Volume
2012-01-03,14.6,14.3,14.5,14.3,9.33,364970
2012-01-04,14.5,14.2,14.3,14.5,9.46,377360
2012-01-05,14.6,14.2,14.6,14.3,9.33,299620
2012-01-06,14.4,14.2,14.3,14.4,9.4,298000
2012-01-09,14.5,14.3,14.5,14.4,9.4,856390
2012-01-10,14.7,14.4,14.5,14.6,9.53,847940
2012-01-11,15.0,14.6,14.6,15.0,9.79,1060460
2012-01-12,14.1,13.8,13.9,13.9,10.0,551500
2012-01-13,14.0,13.9,13.9,13.9,10.0,605140
2012-01-16,13.9,13.5,13.9,13.5,9.72,423360
2012-01-17,13.6,13.5,13.5,13.5,9.72,518470
2012-01-18,13.7,13.5,13.6,13.5,9.72,294260
2012-01-19,13.9,13.5,13.7,13.9,10.0,226250
2012-01-20,14.1,13.9,13.9,14.0,10.08,298400
2012-01-30,14.6,14.0,14.1,14.5,10.44,488680
2012-01-31,15.0,14.6,14.6,14.8,10.65,2818320
2012-02-01,15.1,14.6,14.7,15.0,10.8,5997880
2012-02-02,15.7,15.2,15.2,15.7,11.3,5884970
2012-02-03,16.3,15.7,16.0,15.8,11.37,5184450
2012-02-06,15.8,15.5,15.8,15.8,11.37,787120
2012-02-07,16.0,15.6,15.8,15.8,11.37,4944360
2012-02-08,16.4,15.9,15.9,16.3,11.73,4261680
2012-02-09,17.0,16.4,16.8,16.5,11.87,5356020
2012-02-10,16.7,16.0,16.7,16.0,11.51,2397840
2012-02-13,16.0,15.3,15.9,15.3,11.01,1765990
2012-02-14,15.7,15.2,15.2,15.5,11.15,4598640
2012-02-15,15.5,15.2,15.5,15.4,11.08,2326270
2012-02-16,15.5,15.0,15.3,15.4,11.08,1640890
2012-02-17,15.9,15.5,15.5,15.9,11.44,2685950
2012-02-20,16.5,16.1,16.2,16.5,11.87,4384360
2012-02-21,16.9,16.2,16.9,16.4,11.8,4412220
2012-02-22,16.9,16.2,16.3,16.8,12.09,4484060
2012-02-23,17.0,16.6,16.8,16.9,12.16,4356460
2012-02-24,17.3,16.6,16.9,16.8,12.09,3458290
2012-02-27,17.1,16.7,16.8,17.0,12.23,3636220
2012-02-28,17.5,17.0,17.3,17.1,12.31,36642268
2012-02-29,17.9,17.1,17.1,17.9,12.88,41339687
2012-03-01,18.7,18.1,18.3,18.7,13.46,7249410
2012-03-02,19.6,18.8,19.5,19.5,14.03,8174230
2012-03-05,20.4,19.9,20.1,20.4,14.68,15938505
2012-03-06,21.1,19.4,21.1,19.4,13.96,7110350
2012-03-07,19.1,18.5,18.8,18.5,13.31,9321290
2012-03-08,18.2,17.6,17.9,17.6,12.67,5835470
2012-03-09,18.1,16.8,17.3,17.1,12.31,4516440
2012-03-12,17.2,16.8,17.1,16.9,12.16,3834830
2012-03-13,17.5,16.9,17.2,17.3,12.45,3347110
2012-03-14,17.5,17.0,17.5,17.1,12.31,2777900
2012-03-15,17.6,16.8,16.9,17.5,12.59,5297180
2012-03-16,17.9,17.3,17.9,17.4,12.52,4382100
2012-03-19,17.6,17.1,17.2,17.3,12.45,2121800
2012-03-20,17.8,17.2,17.3,17.8,12.81,2491920
2012-03-21,18.5,17.8,18.0,18.0,12.95,3978980
2012-03-22,18.1,17.7,17.8,17.7,12.74,2170470
2012-03-23,17.9,17.6,17.7,17.7,12.74,2289610
2012-03-26,17.9,17.5,17.8,17.6,12.67,2144330
2012-03-27,17.6,17.2,17.5,17.2,12.38,4065800
2012-03-28,17.5,16.9,17.2,17.4,12.52,2097640
2012-03-29,17.9,17.4,17.5,17.5,12.59,3363580
2012-03-30,17.6,17.3,17.5,17.3,12.45,1272540
2012-04-03,17.7,17.3,17.3,17.5,12.59,695830
2012-04-04,17.6,17.3,17.6,17.4,12.52,931280
2012-04-05,17.9,17.4,17.4,17.9,12.88,5261766
2012-04-06,18.4,17.9,18.0,18.0,12.95,3395500
2012-04-09,18.2,18.0,18.1,18.1,13.03,1604840
2012-04-10,18.2,17.8,18.1,17.9,12.88,4709048
2012-04-11,18.1,17.9,18.1,18.1,13.03,3526380
2012-04-12,18.8,18.1,18.1,18.4,13.24,8800500
2012-04-13,18.5,18.2,18.5,18.2,13.1,3315840
2012-04-16,18.5,18.0,18.2,18.4,13.24,2987440
2012-04-17,18.5,18.3,18.5,18.4,13.24,2073060
2012-04-18,18.5,18.2,18.3,18.3,13.17,4687210
2012-04-19,18.4,18.2,18.2,18.2,13.1,3264380
2012-04-20,18.4,18.1,18.2,18.2,13.1,1369810
2012-04-23,18.3,18.1,18.1,18.2,13.1,995350
2012-04-24,18.3,18.0,18.2,18.2,13.1,2001440
2012-04-25,18.5,18.2,18.3,18.5,13.31,2092690
2012-04-26,18.5,18.2,18.5,18.3,13.17,1223530
2012-04-27,18.4,18.2,18.3,18.3,13.17,1013980
2012-05-02,18.4,18.2,18.3,18.2,13.1,1540620
2012-05-03,18.3,18.1,18.2,18.2,13.1,1581310
2012-05-04,18.4,18.2,18.2,18.3,13.17,1917250
2012-05-07,18.4,18.2,18.3,18.3,13.17,1520120
2012-05-08,18.9,18.3,18.4,18.8,13.53,3408850
2012-05-09,18.9,18.5,18.8,18.6,13.39,1184010
2012-05-10,18.7,18.4,18.7,18.4,13.24,1217250
2012-05-11,18.5,18.3,18.4,18.4,13.24,1443110
2012-05-14,18.5,18.1,18.5,18.2,13.1,2629834
2012-05-15,18.2,17.9,18.1,18.1,13.03,3652150
2012-05-16,18.2,18.0,18.1,18.1,13.03,2019900
2012-05-17,18.2,18.0,18.0,18.0,12.95,1476220
2012-05-18,18.0,17.6,18.0,17.7,12.74,3344340
2012-05-21,18.2,17.7,17.7,18.1,13.03,884384
2012-05-22,18.2,18.0,18.2,18.2,13.1,1471200
2012-05-23,18.2,18.0,18.1,18.2,13.1,1565100
2012-05-24,18.2,17.9,18.2,17.9,12.88,1934580
2012-05-25,18.2,17.9,18.0,18.1,13.03,723484
2012-05-28,18.3,18.1,18.3,18.2,13.1,722450
2012-05-29,18.3,18.1,18.2,18.2,13.1,646910
2012-05-30,18.6,18.2,18.3,18.4,13.24,844690
2012-05-31,18.4,18.2,18.3,18.3,13.17,1070430
2012-06-01,18.1,17.8,18.1,17.9,13.27,259260
2012-06-04,17.8,17.7,17.8,17.7,13.12,62127230
