Date,High,Low,Open,Close,adjust,Volume
2012-01-03,30.5,30.0,30.5,30.0,11.68,30
2012-01-04,29.0,28.5,28.5,29.0,11.29,1000
2012-01-05,29.0,27.6,27.6,29.0,11.29,700
2012-01-06,29.9,29.9,29.9,29.9,11.64,2000
2012-01-09,29.9,29.9,29.9,29.9,11.64,0
2012-01-10,29.9,29.9,29.9,29.9,11.64,100
2012-01-11,29.9,29.9,29.9,29.9,11.64,11000
2012-01-12,29.8,28.5,28.5,29.8,11.6,1520
2012-01-13,29.7,28.4,29.7,28.4,11.06,210
2012-01-16,27.2,27.2,27.2,27.2,10.59,10
2012-01-17,28.4,28.4,28.4,28.4,11.06,200
2012-01-18,28.9,28.9,28.9,28.9,11.25,5000
2012-01-19,28.9,28.9,28.9,28.9,11.25,10000
2012-01-20,28.9,28.8,28.8,28.9,11.25,590
2012-01-30,28.9,28.9,28.9,28.9,11.25,2700
2012-01-31,30.0,30.0,30.0,30.0,11.68,1000
2012-02-01,30.0,30.0,30.0,30.0,11.68,2400
2012-02-02,30.0,30.0,30.0,30.0,11.68,400
2012-02-03,28.5,28.5,28.5,28.5,11.1,300
2012-02-06,28.5,28.5,28.5,28.5,11.1,0
2012-02-07,28.5,28.5,28.5,28.5,11.1,400
2012-02-08,28.7,27.1,27.1,28.7,11.17,4320
2012-02-09,28.9,27.3,28.9,28.8,11.21,2510
2012-02-10,28.8,27.4,27.4,27.4,10.67,18400
2012-02-13,27.4,26.1,26.1,27.4,10.67,20550
2012-02-14,27.4,27.4,27.4,27.4,10.67,5000
2012-02-15,28.0,27.4,28.0,27.4,10.67,1500
2012-02-16,27.4,27.2,27.2,27.4,10.67,7000
2012-02-17,27.8,26.2,27.4,26.2,10.2,2210
2012-02-20,27.0,27.0,27.0,27.0,10.51,15800
2012-02-21,28.0,25.7,28.0,27.0,10.51,13510
2012-02-22,26.5,26.0,26.5,26.5,10.32,6500
2012-02-23,26.7,26.7,26.7,26.7,10.4,2000
2012-02-24,26.3,25.6,25.6,26.3,10.24,1520
2012-02-27,27.0,25.5,27.0,26.8,10.43,27350
2012-02-28,26.8,26.0,26.0,26.0,10.12,2500
2012-02-29,25.1,24.7,25.0,24.7,9.62,29480
2012-03-01,25.9,25.8,25.8,25.9,10.08,5940
2012-03-02,27.1,26.9,27.0,27.0,10.51,16040
2012-03-05,28.3,28.0,28.0,28.3,11.02,12330
2012-03-06,29.7,27.0,28.3,28.4,11.06,17180
2012-03-07,28.8,27.5,28.8,28.4,11.06,2510
2012-03-08,28.4,27.0,27.0,28.2,10.98,3570
2012-03-09,27.1,26.8,26.8,26.9,10.47,8210
2012-03-12,27.0,25.6,25.6,27.0,10.51,2020
2012-03-13,27.5,26.0,26.0,27.0,10.51,33060
2012-03-14,27.9,26.5,27.9,27.8,10.82,2020
2012-03-15,27.8,27.0,27.8,27.0,10.51,1800
2012-03-16,28.0,25.9,27.0,28.0,10.9,9880
2012-03-19,28.0,26.7,27.9,28.0,10.9,9030
2012-03-20,27.8,26.6,27.7,27.7,10.78,11200
2012-03-21,27.6,26.6,26.6,26.6,10.36,2630
2012-03-22,27.0,25.4,27.0,26.9,10.47,9370
2012-03-23,27.1,26.0,26.0,27.0,10.51,19230
2012-03-26,27.9,26.0,27.9,27.5,10.71,25360
2012-03-27,27.5,26.2,27.5,27.5,10.71,30800
2012-03-28,27.7,27.0,27.5,27.2,10.59,9650
2012-03-29,27.6,26.0,27.0,27.6,10.75,27930
2012-03-30,27.8,26.8,27.5,27.8,10.82,6530
2012-04-03,29.0,27.6,27.6,29.0,11.29,27370
2012-04-04,30.3,28.0,29.3,30.3,11.8,20420
2012-04-05,31.8,30.8,31.8,31.8,12.38,49790
2012-04-06,33.1,31.9,31.9,32.0,12.46,33100
2012-04-09,33.6,32.4,32.5,33.6,13.08,120420
2012-04-10,28.2,28.0,28.2,28.2,13.72,39750
2012-04-11,29.6,29.3,29.3,29.6,14.41,45200
2012-04-12,30.8,28.3,28.3,29.8,14.5,8910
2012-04-13,29.0,28.4,29.0,28.4,13.82,3770
2012-04-16,28.9,26.3,26.3,28.9,14.47,26470
2012-04-17,28.5,28.0,28.5,28.5,14.27,27560
2012-04-18,28.5,27.3,28.1,28.3,14.17,7510
2012-04-19,28.1,27.0,27.0,28.1,14.07,41860
2012-04-20,29.4,27.0,28.0,29.4,14.72,45850
2012-04-23,29.6,29.0,29.0,29.6,14.82,4500
2012-04-24,29.5,28.2,29.5,29.0,14.52,31500
2012-04-25,29.1,28.1,29.0,28.1,14.07,3000
2012-04-26,28.4,28.1,28.1,28.4,14.22,1150
2012-04-27,28.4,27.1,28.1,28.0,14.02,4800
2012-05-02,28.3,28.1,28.3,28.3,14.17,7570
2012-05-03,28.3,27.1,28.2,28.3,14.17,14250
2012-05-04,28.4,27.9,28.3,28.4,14.22,6490
2012-05-07,28.5,28.1,28.5,28.5,14.27,3750
2012-05-08,29.0,28.0,28.5,29.0,14.52,14270
2012-05-09,28.7,28.4,28.6,28.7,14.37,4030
2012-05-10,28.7,28.2,28.5,28.7,14.37,21120
2012-05-11,28.6,28.2,28.6,28.3,14.17,3640
2012-05-14,28.2,27.5,27.5,28.2,14.12,8000
2012-05-15,28.2,28.0,28.1,28.0,14.02,9300
2012-05-16,28.9,27.0,28.9,27.0,13.52,600
2012-05-17,27.5,27.5,27.5,27.5,13.77,2600
2012-05-18,27.8,27.8,27.8,27.8,13.92,100
2012-05-21,28.8,26.7,28.8,28.5,14.27,1410
2012-05-22,28.0,27.5,28.0,28.0,14.02,7110
2012-05-23,28.3,28.3,28.3,28.3,14.17,500
2012-05-24,27.0,27.0,27.0,27.0,13.52,1000
2012-05-25,27.4,26.2,27.2,27.0,13.52,3480
2012-05-28,27.9,27.2,27.9,27.3,13.67,5120
2012-05-29,27.2,26.3,27.2,27.0,13.52,5400
2012-05-30,27.6,25.7,27.6,26.5,13.27,19500
2012-05-31,26.5,26.0,26.2,26.5,13.27,2780
2012-06-01,27.0,26.0,27.0,26.0,13.02,7200
2012-06-04,25.9,24.7,24.7,25.3,12.67,4940
2012-06-05,26.4,24.1,24.4,26.0,13.02,10280
2012-06-06,25.9,24.7,24.8,25.5,12.77,4750
2012-06-07,26.6,26.6,26.6,26.6,13.32,10
2012-06-08,26.9,25.3,26.9,26.0,13.02,2140
2012-06-11,25.8,24.7,24.7,25.8,12.92,12110
2012-06-12,25.8,24.6,25.8,25.3,12.67,1700
2012-06-13,25.3,24.1,25.3,25.2,12.62,7010
2012-06-14,25.0,24.0,24.0,25.0,12.52,10340
2012-06-15,26.1,23.8,24.0,26.0,13.02,32380
2012-06-18,26.9,24.7,26.9,26.0,13.02,5950
2012-06-19,25.3,24.7,25.3,25.0,12.52,3550
2012-06-20,25.0,25.0,25.0,25.0,12.52,10
