Date,High,Low,Open,Close,adjust,Volume
2017-06-08,14.15,14.15,14.15,14.15,8.77,2894000
2017-06-09,15.1,15.1,15.1,15.1,9.36,2268500
2017-06-12,16.15,14.1,16.15,16.05,9.95,2498930
2017-06-13,16.25,14.95,15.8,16.15,10.01,3809550
2017-06-14,15.8,15.2,15.8,15.5,9.61,1047980
2017-06-15,16.55,15.2,15.45,16.55,10.26,2860630
2017-06-16,17.7,16.7,16.75,17.7,10.97,3212380
2017-06-19,17.9,17.1,17.9,17.5,10.85,1253710
2017-06-20,17.5,17.1,17.5,17.3,10.73,872250
2017-06-21,17.6,16.95,17.3,17.35,10.76,1505590
2017-06-22,17.5,16.9,17.3,17.3,10.73,1183930
2017-06-23,17.7,17.3,17.35,17.4,10.79,1554810
2017-06-26,18.6,17.45,17.45,18.6,11.53,2490950
2017-06-27,19.35,18.65,18.65,19.3,11.97,2126670
2017-06-28,19.45,18.4,19.3,19.05,11.81,2830970
2017-06-29,19.1,18.15,19.05,18.95,11.75,2882890
2017-06-30,19.1,17.65,18.85,17.65,10.94,2186090
2017-07-03,17.3,16.45,16.45,17.2,10.66,2676180
2017-07-04,17.7,16.95,17.2,17.05,10.57,2347990
2017-07-05,17.1,15.9,17.05,16.45,10.2,1572490
2017-07-06,16.2,15.3,16.0,15.3,9.49,2388100
2017-07-07,15.5,14.95,15.0,15.4,9.55,1528000
2017-07-10,15.4,14.35,15.4,14.35,8.9,2669680
2017-07-11,14.5,13.35,13.35,14.45,8.96,3602570
2017-07-12,14.9,14.35,14.45,14.8,9.18,2115590
2017-07-13,14.85,13.8,14.8,13.8,8.56,1298370
2017-07-14,13.95,12.95,12.95,13.6,8.43,506770
2017-07-17,13.85,12.75,13.6,13.8,8.56,1132950
2017-07-18,14.65,13.65,13.7,14.55,9.02,2198900
2017-07-19,14.55,13.55,14.55,13.55,8.4,1208790
2017-07-20,13.8,12.8,13.2,13.6,8.43,147400
2017-07-21,13.6,12.65,13.6,12.65,7.84,263840
2017-07-24,13.05,11.8,11.8,12.65,7.84,497610
2017-07-25,13.0,12.1,13.0,12.8,7.94,170850
2017-07-26,12.8,12.3,12.8,12.8,7.94,204600
2017-07-27,12.5,11.95,12.5,12.45,7.72,194160
2017-07-28,12.5,11.6,12.45,12.5,7.75,262480
2017-07-31,12.15,11.65,11.7,11.8,7.32,1594360
2017-08-01,11.7,11.0,11.0,11.6,7.19,2075200
2017-08-02,11.75,11.45,11.6,11.65,7.22,276120
2017-08-03,11.7,10.85,11.7,11.5,7.13,396900
2017-08-04,12.3,10.75,11.5,12.3,7.63,1465130
2017-08-07,12.95,12.4,12.6,12.95,8.03,524970
2017-08-08,12.9,12.05,12.9,12.4,7.69,725610
2017-08-09,12.3,11.55,12.3,11.55,7.16,752770
2017-08-10,12.0,10.75,11.55,11.35,7.04,1182230
2017-08-11,11.3,10.6,11.3,11.0,6.82,681220
2017-08-14,10.95,10.25,10.95,10.25,6.36,574250
2017-08-15,10.65,10.2,10.4,10.25,6.36,1496610
2017-08-16,10.35,9.54,10.35,10.0,6.2,798660
2017-08-17,10.15,9.3,10.0,10.15,6.29,1040220
2017-08-18,10.15,9.44,10.1,10.0,6.2,2053250
2017-08-21,9.98,9.3,9.98,9.7,6.01,1108450
2017-08-22,9.5,9.03,9.45,9.03,5.6,707640
2017-08-23,9.0,8.4,9.0,8.4,5.21,1225180
2017-08-24,8.1,7.82,7.84,7.82,4.85,471750
2017-08-25,8.36,7.82,7.85,8.36,5.18,1724600
2017-08-28,8.94,8.39,8.42,8.94,5.54,2305420
2017-08-29,9.3,8.5,8.94,9.0,5.58,1530270
2017-08-30,9.2,8.37,8.68,9.0,5.58,1343310
2017-08-31,8.98,8.37,8.98,8.61,5.34,1181930
2017-09-01,8.68,8.01,8.61,8.1,5.02,1568360
2017-09-05,8.66,8.1,8.1,8.66,5.37,1716430
2017-09-06,8.8,8.1,8.7,8.68,5.38,1222480
2017-09-07,8.64,8.17,8.64,8.17,5.07,495050
2017-09-08,8.32,8.12,8.12,8.17,5.07,819900
2017-09-11,8.19,8.05,8.17,8.19,5.08,316900
2017-09-12,8.29,8.18,8.19,8.19,5.08,437410
2017-09-13,8.3,8.05,8.3,8.19,5.08,235130
2017-09-14,8.34,8.2,8.2,8.3,5.15,492500
2017-09-15,8.39,8.09,8.3,8.2,5.08,306910
2017-09-18,8.25,8.15,8.2,8.21,5.09,234120
2017-09-19,8.22,8.15,8.2,8.21,5.09,353020
2017-09-20,8.22,8.05,8.22,8.2,5.08,148520
2017-09-21,8.21,8.05,8.2,8.15,5.05,214270
2017-09-22,8.15,8.01,8.06,8.15,5.05,355600
2017-09-25,8.17,8.0,8.08,8.16,5.06,325480
2017-09-26,8.2,8.07,8.15,8.17,5.07,173200
2017-09-27,8.29,8.15,8.19,8.24,5.11,461470
2017-09-28,8.24,8.09,8.09,8.11,5.03,31810
2017-09-29,8.2,8.05,8.2,8.05,4.99,51380
2017-10-02,8.1,7.7,8.1,8.04,4.99,220110
2017-10-03,7.97,7.5,7.64,7.52,4.66,82080
2017-10-04,7.61,7.5,7.5,7.52,4.66,52910
2017-10-05,7.7,7.52,7.52,7.55,4.68,486540
2017-10-06,7.58,7.35,7.35,7.42,4.6,44040
2017-10-09,7.42,7.25,7.41,7.25,4.5,46200
2017-10-10,7.23,7.0,7.0,7.0,4.34,152730
2017-10-11,7.1,6.93,7.1,7.1,4.4,54090
2017-10-12,7.19,7.01,7.15,7.03,4.36,57340
2017-10-13,7.1,6.74,7.03,6.97,4.32,54470
2017-10-16,7.0,6.7,7.0,6.7,4.15,238040
2017-10-17,6.98,6.7,6.7,6.97,4.32,141590
2017-10-18,7.1,6.9,7.0,7.08,4.39,127080
2017-10-19,7.12,6.9,7.09,7.09,4.4,99790
2017-10-20,7.1,6.9,7.1,7.1,4.4,256140
2017-10-23,7.59,7.06,7.28,7.28,4.51,281430
2017-10-24,7.55,7.0,7.2,7.28,4.51,146270
2017-10-25,7.38,6.9,7.3,6.9,4.28,210660
2017-10-26,7.19,6.8,6.9,6.8,4.22,238450
2017-10-27,6.85,6.72,6.8,6.85,4.25,206130
2017-10-30,7.32,6.86,7.07,6.96,4.32,79290
2017-10-31,7.25,6.62,7.0,6.62,4.1,406610
2017-11-01,6.94,6.7,6.8,6.77,4.2,149860
2017-11-02,6.9,6.4,6.71,6.78,4.2,150050
2017-11-03,6.78,6.4,6.78,6.64,4.12,192220
2017-11-06,6.69,6.48,6.69,6.5,4.03,188920
2017-11-07,6.6,6.4,6.5,6.58,4.08,281240
2017-11-08,6.62,6.42,6.5,6.5,4.03,97230
2017-11-09,6.74,6.43,6.5,6.5,4.03,147400
2017-11-10,6.65,6.46,6.5,6.53,4.05,116650
2017-11-13,6.65,6.35,6.53,6.5,4.03,119230
2017-11-14,6.47,6.2,6.2,6.37,3.95,107100
2017-11-15,6.4,6.18,6.4,6.4,3.97,177160
2017-11-16,6.42,6.12,6.42,6.12,3.79,274610
2017-11-17,6.34,6.17,6.17,6.21,3.85,122730
2017-11-20,6.39,6.15,6.39,6.21,3.85,110260
2017-11-21,6.28,6.14,6.25,6.18,3.83,139660
2017-11-22,6.2,6.06,6.19,6.15,3.81,106740
2017-11-23,6.22,6.04,6.22,6.04,3.75,146910
2017-11-24,6.45,5.99,6.01,6.24,3.87,312260
2017-11-27,6.58,6.2,6.24,6.26,3.88,258480
2017-11-28,6.38,6.01,6.38,6.27,3.89,291880
2017-11-29,6.27,6.01,6.27,6.12,3.79,277110
2017-11-30,6.53,6.01,6.15,6.29,3.9,339960
2017-12-01,6.44,6.0,6.0,6.4,3.97,326640
2017-12-04,6.45,6.01,6.01,6.27,3.89,338260
2017-12-05,6.38,6.05,6.38,6.11,3.79,226880
2017-12-06,6.25,6.04,6.25,6.17,3.83,212280
2017-12-07,6.17,6.03,6.17,6.15,3.81,98840
2017-12-08,6.17,6.02,6.07,6.03,3.74,138040
2017-12-11,6.08,6.02,6.03,6.06,3.76,75670
2017-12-12,6.09,5.95,6.08,6.01,3.73,129130
