Date,High,Low,Open,Close,adjust,Volume
2012-07-25,18.3,18.3,18.3,18.3,4.66,10970
2012-07-26,18.3,17.4,18.3,17.5,4.46,159640
2012-07-27,17.8,16.8,17.8,16.8,4.28,120970
2012-07-30,17.6,16.7,16.8,17.6,4.48,172060
2012-07-31,18.4,17.5,18.4,17.7,4.51,339380
2012-08-01,18.1,17.4,17.7,17.8,4.53,39910
2012-08-02,18.0,17.6,18.0,17.6,4.48,26710
2012-08-03,18.0,17.6,17.8,18.0,4.58,24420
2012-08-06,18.4,17.8,18.2,18.0,4.58,124650
2012-08-07,18.1,17.5,18.0,17.5,4.46,125880
2012-08-08,17.9,17.4,17.9,17.6,4.48,509100
2012-08-09,17.8,17.3,17.3,17.8,4.53,136720
2012-08-10,17.8,17.5,17.8,17.6,4.48,151720
2012-08-13,18.4,17.8,17.8,18.4,4.69,515250
2012-08-14,19.3,18.5,18.5,19.3,4.91,412790
2012-08-15,19.9,18.8,19.9,19.0,4.84,162540
2012-08-16,19.5,18.9,19.0,19.0,4.84,64250
2012-08-17,19.9,19.0,19.0,19.9,5.07,310560
2012-08-20,20.8,20.1,20.1,20.8,5.3,618040
2012-08-21,20.8,19.8,19.8,19.8,5.04,444030
2012-08-22,19.7,18.9,18.9,18.9,4.81,453090
2012-08-23,18.1,18.0,18.1,18.0,4.58,99190
2012-08-24,18.8,17.1,17.1,17.8,4.53,503710
2012-08-27,17.5,17.0,17.5,17.0,4.33,138630
2012-08-28,17.4,16.3,16.8,17.4,4.43,116180
2012-08-29,18.2,17.9,17.9,18.2,4.63,139960
2012-08-30,18.9,18.1,18.2,18.1,4.61,221560
2012-08-31,18.4,17.8,18.4,18.0,4.58,109890
2012-09-04,18.6,18.2,18.3,18.3,4.66,27370
2012-09-05,18.5,17.7,18.4,17.7,4.51,91220
2012-09-06,17.8,17.2,17.2,17.5,4.46,55650
2012-09-07,17.6,17.2,17.5,17.5,4.46,90780
2012-09-10,17.5,16.7,17.5,16.7,4.25,251110
2012-09-11,17.2,16.7,16.8,17.2,4.38,35290
2012-09-12,17.5,17.2,17.2,17.2,4.38,27320
2012-09-13,17.5,17.1,17.3,17.4,4.43,26650
2012-09-14,18.2,17.5,17.7,18.2,4.63,191670
2012-09-17,18.4,17.8,18.4,17.8,4.53,42850
2012-09-18,18.0,17.2,17.8,18.0,4.58,78310
2012-09-19,17.9,17.3,17.9,17.3,4.41,34090
2012-09-20,17.3,16.5,17.3,17.0,4.33,314440
2012-09-21,17.4,16.9,17.4,17.1,4.35,19660
2012-09-24,17.0,16.7,17.0,16.8,4.28,19960
2012-09-25,16.9,16.5,16.6,16.7,4.25,28310
2012-09-26,16.9,16.5,16.8,16.5,4.2,29670
2012-09-27,16.8,16.4,16.5,16.8,4.28,80410
2012-09-28,17.0,16.7,16.9,16.9,4.3,20390
2012-10-01,17.0,16.3,17.0,16.7,4.25,43920
2012-10-02,16.6,16.4,16.4,16.6,4.23,20030
2012-10-03,16.8,16.5,16.5,16.6,4.23,17490
2012-10-04,17.1,16.3,16.3,16.6,4.23,9920
2012-10-05,16.8,16.4,16.5,16.4,4.18,28910
2012-10-08,16.8,16.5,16.6,16.6,4.23,18280
2012-10-09,16.8,16.5,16.8,16.6,4.23,63960
2012-10-10,17.0,16.6,16.6,16.6,4.23,62540
2012-10-11,17.4,16.8,17.0,17.0,4.33,57260
2012-10-12,17.2,16.9,17.2,17.2,4.38,17070
