Date,High,Low,Open,Close,adjust,Volume
2018-10-18,14.4,14.4,14.4,14.4,3.96,1800
2018-10-19,15.4,15.4,15.4,15.4,4.23,2200
2018-10-22,16.45,16.45,16.45,16.45,4.52,2800
2018-10-23,17.6,17.6,17.6,17.6,4.84,3200
2018-10-24,18.8,18.8,18.8,18.8,5.17,3700
2018-10-25,20.1,20.1,20.1,20.1,5.53,800
2018-10-26,21.5,21.5,21.5,21.5,5.91,89500
2018-10-29,23.0,23.0,23.0,23.0,6.32,11200
2018-10-30,24.6,24.6,24.6,24.6,6.76,10200
2018-10-31,26.3,26.3,26.3,26.3,7.23,30500
2018-11-01,28.1,28.1,28.1,28.1,7.72,53610
2018-11-02,30.05,30.05,30.05,30.05,8.26,16600
2018-11-05,32.15,32.15,32.15,32.15,8.84,78600
2018-11-06,34.4,34.4,34.4,34.4,9.46,86870
2018-11-07,36.8,36.75,36.8,36.75,10.1,358700
2018-11-08,36.3,35.7,36.0,36.3,9.98,77250
2018-11-09,36.25,34.8,35.5,35.5,9.76,94040
2018-11-12,37.6,35.3,35.3,37.0,10.17,110590
2018-11-13,37.0,36.05,36.2,36.25,9.97,103310
2018-11-14,38.0,35.7,35.8,36.1,9.92,94280
2018-11-15,36.5,35.0,35.9,35.7,9.81,122210
2018-11-16,36.7,35.4,35.4,36.7,10.09,73460
2018-11-19,37.2,36.05,36.2,36.5,10.03,80460
2018-11-20,36.7,35.7,35.8,36.1,9.92,76790
2018-11-21,36.0,35.1,35.3,35.5,9.76,77530
2018-11-22,37.0,35.3,35.5,36.4,10.01,84560
2018-11-23,37.6,35.8,36.1,36.6,10.06,112660
2018-11-26,37.55,36.2,36.3,37.5,10.31,127760
2018-11-27,39.6,36.9,37.8,38.1,10.47,114620
2018-11-28,38.2,36.8,37.5,37.9,10.42,135880
2018-11-29,38.0,36.7,37.3,37.1,10.2,124920
2018-11-30,37.0,36.25,36.9,36.95,10.16,100060
2018-12-03,38.95,36.5,36.5,38.5,10.58,107730
2018-12-04,38.8,37.5,38.5,37.9,10.42,89790
2018-12-05,38.0,37.2,37.5,37.55,10.32,93080
2018-12-06,37.6,36.8,37.5,37.2,10.23,85200
2018-12-07,37.3,36.4,36.7,37.25,10.24,90240
2018-12-10,37.0,36.4,36.75,36.75,10.1,86510
2018-12-11,36.75,36.3,36.4,36.6,10.06,80490
2018-12-12,36.65,36.0,36.5,36.6,10.06,75340
2018-12-13,36.8,36.45,36.6,36.7,10.09,81630
2018-12-14,36.55,36.3,36.5,36.55,10.05,81190
2018-12-17,36.65,36.25,36.45,36.55,10.05,87800
2018-12-18,36.7,36.2,36.4,36.55,10.05,84140
2018-12-19,36.4,36.05,36.3,36.4,10.01,97400
2018-12-20,36.45,36.2,36.2,36.4,10.01,77710
2018-12-21,36.3,36.0,36.3,36.25,9.97,75730
2018-12-24,36.2,36.0,36.05,36.15,9.94,75900
2018-12-25,36.0,35.7,35.9,36.0,9.9,84100
2018-12-26,36.1,35.8,35.8,36.05,9.91,76440
2018-12-27,36.4,35.95,36.0,36.4,10.01,76750
2018-12-28,36.85,36.3,36.5,36.8,10.12,80510
2019-01-02,36.95,36.6,36.85,36.85,10.13,82010
2019-01-03,36.85,36.5,36.5,36.5,10.03,60760
2019-01-04,36.65,36.1,36.3,36.55,10.05,103540
2019-01-07,36.7,36.1,36.5,36.55,10.05,70500
2019-01-08,36.5,36.2,36.4,36.45,10.02,75200
2019-01-09,36.6,36.3,36.3,36.5,10.03,71590
2019-01-10,36.55,36.35,36.4,36.5,10.03,70860
2019-01-11,36.8,36.35,36.35,36.8,10.12,85050
2019-01-14,38.05,37.3,37.3,38.0,10.45,104820
2019-01-15,39.1,38.0,38.3,39.1,10.75,119310
2019-01-16,40.0,39.0,39.95,39.95,10.98,124630
