Date,High,Low,Open,Close,adjust,Volume
2012-01-03,10.0,9.9,10.0,10.0,1.96,430
2012-01-04,10.0,9.6,9.6,10.0,1.96,270
2012-01-05,10.0,9.7,9.8,9.7,1.9,510
2012-01-06,9.9,9.9,9.9,9.9,1.94,500
2012-01-09,10.0,10.0,10.0,10.0,1.96,10
2012-01-10,10.2,10.0,10.2,10.2,2.0,7120
2012-01-11,10.3,10.1,10.1,10.3,2.02,8190
2012-01-12,10.3,10.3,10.3,10.3,2.02,10
2012-01-13,10.3,10.2,10.2,10.3,2.02,1950
2012-01-16,10.3,10.0,10.0,10.3,2.02,3930
2012-01-17,10.2,10.0,10.1,10.2,2.0,7720
2012-01-18,10.3,10.0,10.3,10.2,2.0,6200
2012-01-19,10.2,10.0,10.2,10.2,2.0,4090
2012-01-20,10.3,10.3,10.3,10.3,2.02,2490
2012-01-30,10.4,10.3,10.4,10.3,2.02,5120
2012-01-31,10.4,10.2,10.3,10.2,2.0,15660
2012-02-01,10.0,10.0,10.0,10.0,1.96,3660
2012-02-02,10.3,10.2,10.2,10.2,2.0,20300
2012-02-03,10.3,10.0,10.3,10.3,2.02,27790
2012-02-06,10.2,10.0,10.2,10.1,1.98,4950
2012-02-07,10.2,10.0,10.2,10.1,1.98,9620
2012-02-08,10.3,10.0,10.2,10.1,1.98,12930
2012-02-09,10.1,10.0,10.0,10.1,1.98,28840
2012-02-10,10.0,9.8,9.8,9.9,1.94,72810
2012-02-13,10.0,9.8,9.8,9.9,1.94,25830
2012-02-14,10.1,9.9,10.0,10.1,1.98,45590
2012-02-15,10.2,9.9,10.2,10.0,1.96,19660
2012-02-16,10.0,9.9,9.9,10.0,1.96,11700
2012-02-17,10.2,10.0,10.1,10.2,2.0,43670
2012-02-20,10.2,10.0,10.2,10.2,2.0,33360
2012-02-21,10.3,10.0,10.1,10.2,2.0,61390
2012-02-22,10.3,10.1,10.1,10.2,2.0,31540
2012-02-23,10.5,10.1,10.3,10.5,2.05,39460
2012-02-24,11.0,10.3,10.5,10.9,2.13,14420
2012-02-27,11.4,10.9,10.9,11.2,2.19,58310
2012-02-28,11.2,10.9,11.2,10.9,2.13,55190
2012-02-29,10.9,10.8,10.8,10.9,2.13,2400
2012-03-01,11.0,10.7,11.0,10.8,2.11,3920
2012-03-02,11.0,10.7,11.0,10.8,2.11,60270
2012-03-05,11.3,11.0,11.0,11.3,2.21,159410
2012-03-06,11.8,11.3,11.8,11.4,2.23,217750
2012-03-07,11.4,11.2,11.4,11.3,2.21,40170
2012-03-08,11.3,11.0,11.2,11.0,2.15,58400
2012-03-09,11.0,10.7,11.0,10.8,2.11,55640
2012-03-12,11.2,10.5,10.9,10.7,2.09,82910
2012-03-13,10.9,10.5,10.6,10.9,2.13,24890
2012-03-14,11.2,10.7,11.2,10.9,2.13,38180
2012-03-15,11.2,10.7,10.9,11.2,2.19,20360
2012-03-16,11.4,11.1,11.4,11.1,2.17,31720
2012-03-19,11.3,10.9,11.0,11.1,2.17,32160
2012-03-20,11.3,11.1,11.2,11.3,2.21,36140
2012-03-21,11.5,11.3,11.4,11.4,2.23,34180
2012-03-22,11.5,11.2,11.4,11.2,2.19,9610
2012-03-23,11.5,11.0,11.0,11.3,2.21,36410
2012-03-26,11.6,11.1,11.3,11.6,2.27,41190
2012-03-27,11.6,11.4,11.6,11.4,2.23,33340
2012-03-28,11.4,11.2,11.2,11.3,2.21,16770
2012-03-29,11.5,11.2,11.4,11.2,2.19,17750
2012-03-30,11.5,11.1,11.2,11.5,2.25,18910
2012-04-03,11.4,11.1,11.4,11.1,2.17,11170
2012-04-04,11.2,11.0,11.1,11.0,2.15,28200
2012-04-05,11.0,10.8,10.9,10.9,2.13,13370
2012-04-06,11.2,10.8,11.0,10.8,2.11,25160
2012-04-09,10.9,10.4,10.4,10.9,2.13,61590
2012-04-10,11.2,10.9,11.2,11.2,2.19,41510
2012-04-11,11.4,11.2,11.2,11.4,2.23,50620
2012-04-12,11.4,11.0,11.4,11.3,2.21,106250
2012-04-13,11.4,11.2,11.2,11.4,2.23,122740
2012-04-16,11.9,11.3,11.4,11.7,2.29,92720
2012-04-17,12.1,11.7,11.7,12.1,2.37,199400
2012-04-18,12.2,11.9,11.9,12.0,2.35,114650
2012-04-19,12.0,11.7,11.7,11.8,2.31,49970
2012-04-20,12.1,11.8,11.9,11.8,2.31,97800
2012-04-23,12.0,11.9,12.0,12.0,2.35,45100
2012-04-24,12.1,11.6,11.9,12.0,2.35,44060
2012-04-25,12.3,11.9,12.0,12.3,2.41,47140
2012-04-26,12.4,12.0,12.4,12.3,2.41,24470
2012-04-27,12.4,12.0,12.4,12.3,2.41,31660
2012-05-02,11.7,11.7,11.7,11.7,2.29,13350
2012-05-03,11.5,11.2,11.2,11.3,2.21,511160
2012-05-04,11.8,11.8,11.8,11.8,2.31,51310
2012-05-07,12.3,12.3,12.3,12.3,2.41,164300
2012-05-08,12.9,12.9,12.9,12.9,2.52,99570
2012-05-09,13.5,13.5,13.5,13.5,2.64,316650
2012-05-10,14.1,14.1,14.1,14.1,2.76,108560
2012-05-11,14.8,14.1,14.4,14.1,2.76,1105880
2012-05-14,14.5,13.5,14.1,14.2,2.78,265370
2012-05-15,14.6,14.0,14.0,14.3,2.8,321490
2012-05-16,13.8,13.5,13.6,13.6,2.86,125330
2012-05-17,13.5,13.1,13.2,13.2,2.78,379480
2012-05-18,13.8,12.8,12.8,13.5,2.84,180420
2012-05-21,14.1,13.6,13.7,14.1,2.97,76840
2012-05-22,14.6,13.5,14.6,14.0,2.94,69000
2012-05-23,13.6,13.3,13.6,13.4,2.82,623360
2012-05-24,13.6,12.9,12.9,13.3,2.8,186280
2012-05-25,13.8,13.3,13.3,13.7,2.88,241520
2012-05-28,13.7,13.4,13.5,13.5,2.84,94420
2012-05-29,13.5,13.4,13.4,13.4,2.82,21000
2012-05-30,13.6,13.4,13.4,13.6,2.86,78270
2012-05-31,13.7,13.4,13.7,13.4,2.82,174640
2012-06-01,13.5,13.4,13.5,13.5,2.84,27110
2012-06-04,13.6,13.2,13.4,13.2,2.78,54000
2012-06-05,13.4,12.7,12.7,13.4,2.82,17720
2012-06-06,13.5,13.3,13.4,13.5,2.84,34060
2012-06-07,13.6,13.5,13.5,13.6,2.86,81540
2012-06-08,13.6,13.4,13.6,13.4,2.82,53390
2012-06-11,14.0,13.4,13.4,13.7,2.88,77670
2012-06-12,14.0,13.7,13.8,14.0,2.94,126280
2012-06-13,14.7,14.1,14.3,14.7,3.09,261850
2012-06-14,15.4,14.0,15.4,14.8,3.11,158940
2012-06-15,15.0,14.6,15.0,14.8,3.11,132310
2012-06-18,15.0,14.1,14.8,14.2,2.99,62940
2012-06-19,14.3,14.0,14.0,14.0,2.94,65190
2012-06-20,14.7,14.1,14.2,14.3,3.01,106200
2012-06-21,14.4,14.2,14.4,14.3,3.01,85960
2012-06-22,14.6,14.1,14.4,14.4,3.03,82860
2012-06-25,14.7,14.4,14.5,14.5,3.05,114880
2012-06-26,14.9,14.3,14.9,14.5,3.05,13130
2012-06-27,14.9,14.4,14.9,14.7,3.09,72590
2012-06-28,15.4,14.8,15.0,15.2,3.2,122700
2012-06-29,15.2,14.7,15.1,15.2,3.2,46700
2012-07-02,15.1,14.6,15.1,14.6,3.07,32700
2012-07-03,14.6,14.0,14.6,14.1,2.97,63300
2012-07-04,14.2,13.5,14.0,14.0,2.94,59500
2012-07-05,14.1,13.6,13.7,14.1,2.97,18510
2012-07-06,14.2,13.9,14.0,13.9,2.92,49230
2012-07-09,14.4,13.8,13.9,14.4,3.03,105800
2012-07-10,14.3,14.0,14.3,14.3,3.01,36260
2012-07-11,14.3,13.7,14.3,13.9,2.92,82530
2012-07-12,14.1,13.8,13.8,13.9,2.92,87310
2012-07-13,13.9,13.7,13.7,13.7,2.88,93040
2012-07-16,13.8,13.5,13.5,13.8,2.9,3960
