Date,High,Low,Open,Close,adjust,Volume
2012-01-03,16.4,16.4,16.4,16.4,2.85,10
2012-01-04,15.6,15.6,15.6,15.6,2.71,10
2012-01-05,15.6,15.6,15.6,15.6,2.71,0
2012-01-06,15.6,15.4,15.6,15.4,2.68,1000
2012-01-09,16.1,16.1,16.1,16.1,2.8,3000
2012-01-10,16.6,16.2,16.2,16.6,2.89,30
2012-01-11,16.9,16.0,16.0,16.9,2.94,3110
2012-01-12,16.9,16.1,16.1,16.9,2.94,8010
2012-01-13,16.9,16.9,16.9,16.9,2.94,0
2012-01-16,16.9,16.9,16.9,16.9,2.94,0
2012-01-17,16.1,16.1,16.1,16.1,2.8,500
2012-01-18,16.1,16.1,16.1,16.1,2.8,0
2012-01-19,16.6,16.5,16.5,16.6,2.89,10150
2012-01-20,17.4,15.8,15.8,17.4,3.03,3260
2012-01-30,17.9,17.9,17.9,17.9,3.11,3000
2012-01-31,17.9,17.9,17.9,17.9,3.11,0
2012-02-01,18.2,17.1,17.1,18.2,3.17,25070
2012-02-02,17.3,17.3,17.3,17.3,3.01,10
2012-02-03,16.5,16.5,16.5,16.5,2.87,10
2012-02-06,17.3,16.5,16.5,17.3,3.01,7910
2012-02-07,18.1,17.5,17.5,18.1,3.15,8840
2012-02-08,18.2,17.9,17.9,18.2,3.17,20
2012-02-09,17.3,17.3,17.3,17.3,3.01,30
2012-02-10,17.3,17.3,17.3,17.3,3.01,0
2012-02-13,17.6,16.5,17.6,16.5,2.87,160
2012-02-14,16.5,16.5,16.5,16.5,2.87,0
2012-02-15,17.2,17.1,17.2,17.1,2.97,150
2012-02-16,16.4,16.4,16.4,16.4,2.85,10
2012-02-17,16.9,16.9,16.9,16.9,2.94,10
2012-02-20,17.0,16.9,17.0,16.9,2.94,270
2012-02-21,16.5,16.5,16.5,16.5,2.87,40
2012-02-22,17.1,16.9,17.1,16.9,2.94,200
2012-02-23,15.4,15.4,15.4,15.4,2.85,1000
2012-02-24,16.1,16.0,16.0,16.1,2.98,4280
2012-02-27,16.9,15.3,16.5,16.9,3.12,1150
2012-02-28,16.9,16.9,16.9,16.9,3.12,0
2012-02-29,16.8,16.1,16.8,16.2,3.0,770
2012-03-01,17.0,15.6,15.6,17.0,3.14,13760
2012-03-02,17.5,16.9,16.9,17.5,3.24,23000
2012-03-05,18.3,18.0,18.1,18.3,3.38,3320
2012-03-06,18.9,18.9,18.9,18.9,3.49,20
2012-03-07,18.0,18.0,18.0,18.0,3.33,5060
2012-03-08,18.5,17.2,17.3,18.5,3.42,2770
2012-03-09,18.3,17.6,18.3,17.6,3.25,2180
2012-03-12,17.0,16.8,17.0,16.8,3.11,1970
2012-03-13,16.0,16.0,16.0,16.0,2.96,30
2012-03-14,15.4,15.4,15.4,15.4,2.85,10
2012-03-15,15.4,15.4,15.4,15.4,2.85,0
2012-03-16,16.1,15.4,16.1,15.4,2.85,60
2012-03-19,15.4,15.4,15.4,15.4,2.85,40
2012-03-20,16.1,15.4,16.1,15.4,2.85,250
2012-03-21,16.1,15.6,16.1,15.6,2.88,1490
2012-03-22,16.3,16.2,16.3,16.2,3.0,2520
2012-03-23,16.5,16.5,16.5,16.5,3.05,800
2012-03-26,16.8,16.7,16.8,16.7,3.09,230
2012-03-27,16.0,15.9,15.9,16.0,2.96,3230
2012-03-28,16.0,15.6,15.7,16.0,2.96,1550
2012-03-29,16.0,16.0,16.0,16.0,2.96,2020
2012-03-30,16.0,16.0,16.0,16.0,2.96,140
2012-04-03,16.6,16.2,16.2,16.2,3.0,600
2012-04-04,16.2,16.0,16.2,16.0,2.96,10930
2012-04-05,16.0,16.0,16.0,16.0,2.96,0
2012-04-06,16.0,16.0,16.0,16.0,2.96,0
2012-04-09,16.8,16.2,16.8,16.7,3.09,4820
2012-04-10,16.9,16.2,16.9,16.2,3.0,5000
2012-04-11,17.0,16.2,16.2,17.0,3.14,2840
2012-04-12,17.8,17.7,17.7,17.8,3.29,10580
2012-04-13,17.2,17.2,17.2,17.2,3.18,20
2012-04-16,17.8,17.7,17.8,17.7,3.27,30
2012-04-17,18.5,18.2,18.2,18.3,3.38,1600
2012-04-18,18.0,17.5,18.0,17.5,3.24,1520
2012-04-19,17.5,17.5,17.5,17.5,3.24,0
2012-04-20,18.2,17.5,18.2,17.5,3.24,5710
2012-04-23,18.2,17.6,18.2,17.6,3.25,1060
2012-04-24,17.6,17.6,17.6,17.6,3.25,0
2012-04-25,17.9,17.9,17.9,17.9,3.31,1010
2012-04-26,17.9,17.9,17.9,17.9,3.31,2930
2012-04-27,18.0,18.0,18.0,18.0,3.33,3190
2012-05-02,18.4,17.9,17.9,18.0,3.33,4450
2012-05-03,18.1,18.0,18.0,18.1,3.35,6600
2012-05-04,18.2,18.0,18.2,18.1,3.35,10000
2012-05-07,18.3,18.1,18.1,18.1,3.35,5620
2012-05-08,18.4,18.0,18.0,18.2,3.36,3010
2012-05-09,18.5,18.4,18.5,18.5,3.42,378405
2012-05-10,18.5,18.5,18.5,18.5,3.42,5740
2012-05-11,18.5,18.5,18.5,18.5,3.42,0
2012-05-14,18.2,17.6,18.0,17.6,3.25,3750
2012-05-15,18.4,17.6,17.6,18.4,3.4,1140
2012-05-16,18.4,17.5,17.5,18.4,3.4,1630
2012-05-17,18.4,18.4,18.4,18.4,3.4,0
2012-05-18,17.5,17.5,17.5,17.5,3.24,50
2012-05-21,18.2,18.2,18.2,18.2,3.36,100
2012-05-22,18.2,18.2,18.2,18.2,3.36,0
2012-05-23,18.2,18.2,18.2,18.2,3.36,0
2012-05-24,18.2,17.3,18.1,18.2,3.36,4980
2012-05-25,18.2,18.2,18.2,18.2,3.36,0
2012-05-28,17.3,17.3,17.3,17.3,3.2,500
2012-05-29,18.0,18.0,18.0,18.0,3.33,10
2012-05-30,17.5,17.4,17.5,17.4,3.22,1630
2012-05-31,17.4,17.4,17.4,17.4,3.22,0
2012-06-01,18.0,18.0,18.0,18.0,3.33,10
2012-06-04,18.0,18.0,18.0,18.0,3.33,100
2012-06-05,18.0,17.9,18.0,17.9,3.31,120
2012-06-06,17.9,17.9,17.9,17.9,3.31,0
2012-06-07,17.9,17.9,17.9,17.9,3.31,100
2012-06-08,18.7,17.1,17.9,18.7,3.46,10890
2012-06-11,17.7,17.7,17.7,17.7,3.46,0
