Date,High,Low,Open,Close,adjust,Volume
2017-03-21,20.0,15.1,20.0,15.1,7.38,5900
2017-03-22,16.0,16.0,16.0,16.0,7.82,2200
2017-03-23,16.0,16.0,16.0,16.0,7.82,0
2017-03-24,16.0,16.0,16.0,16.0,7.82,0
2017-03-27,16.0,16.0,16.0,16.0,7.82,27179
2017-03-28,15.0,15.0,15.0,15.0,7.34,2000
2017-03-29,17.0,15.0,15.0,17.0,8.31,1300
2017-03-30,16.5,16.5,16.5,16.5,8.07,0
2017-03-31,17.5,15.1,15.5,17.5,8.56,9700
2017-04-03,15.5,15.5,15.5,15.5,7.58,1000
2017-04-04,15.5,15.5,15.5,15.5,7.58,0
2017-04-05,15.4,15.1,15.4,15.2,7.43,3200
2017-04-07,15.1,15.1,15.1,15.1,7.38,0
2017-04-10,15.5,15.5,15.5,15.5,7.58,900
2017-04-11,15.5,15.5,15.5,15.5,7.58,0
2017-04-12,15.5,15.5,15.5,15.5,7.58,0
2017-04-13,15.5,15.5,15.5,15.5,7.58,0
2017-04-14,15.5,15.5,15.5,15.5,7.58,600
2017-04-17,15.5,15.5,15.5,15.5,7.58,600
2017-04-18,15.2,15.0,15.0,15.2,7.43,3100
2017-04-19,15.1,15.0,15.0,15.1,7.38,1100
2017-04-20,15.1,15.1,15.1,15.1,7.38,0
2017-04-21,15.1,15.1,15.1,15.1,7.38,0
2017-04-24,15.1,15.1,15.1,15.1,7.38,0
2017-04-25,15.1,15.1,15.1,15.1,7.38,1200
2017-04-26,13.3,13.0,13.3,13.0,6.36,1100
2017-04-27,13.3,13.3,13.3,13.3,6.5,0
2017-04-28,13.3,13.3,13.3,13.3,6.5,0
2017-05-03,15.0,14.9,14.9,15.0,7.34,5600
2017-05-04,15.0,15.0,15.0,15.0,7.34,0
2017-05-05,15.2,15.0,15.0,15.2,7.43,4000
2017-05-08,15.5,15.5,15.5,15.5,7.58,1100
2017-05-09,15.5,15.5,15.5,15.5,7.58,0
2017-05-10,14.8,14.0,14.8,14.0,6.85,22400
2017-05-11,14.2,14.2,14.2,14.2,6.94,100
2017-05-12,14.2,14.2,14.2,14.2,6.94,0
2017-05-15,14.2,14.2,14.2,14.2,6.94,0
2017-05-16,14.1,14.1,14.1,14.1,6.9,1200
2017-05-17,14.3,14.0,14.0,14.3,6.99,9400
2017-05-18,14.1,14.1,14.1,14.1,6.9,0
2017-05-19,14.1,14.1,14.1,14.1,6.9,0
2017-05-22,14.2,14.2,14.2,14.2,6.94,400
2017-05-23,14.0,14.0,14.0,14.0,6.85,200
2017-05-24,14.1,14.0,14.0,14.1,6.9,600
2017-05-25,14.8,14.0,14.5,14.8,7.24,1600
2017-05-26,14.3,14.3,14.3,14.3,6.99,1000
2017-05-29,14.5,14.4,14.4,14.5,7.09,43800
2017-05-30,14.5,14.5,14.5,14.5,7.09,4000
2017-05-31,14.6,14.6,14.6,14.6,7.14,1300
2017-06-01,15.5,14.9,14.9,15.5,7.58,3000
2017-06-02,16.0,15.2,15.2,16.0,7.82,2300
2017-06-05,16.4,16.4,16.4,16.4,8.02,100
2017-06-06,17.0,16.6,16.6,16.6,8.12,300
2017-06-07,14.0,14.0,14.0,14.0,8.22,3000
2017-06-08,14.5,14.0,14.0,14.2,8.33,8100
2017-06-09,14.5,14.3,14.4,14.3,8.39,12500
2017-06-12,14.0,12.3,12.3,14.0,8.22,200
2017-06-13,13.5,13.5,13.5,13.5,7.92,300
2017-06-14,13.6,12.5,13.5,12.5,7.34,4500
2017-06-16,13.0,13.0,13.0,13.0,7.63,2000
2017-06-19,13.0,13.0,13.0,13.0,7.63,3500
2017-06-20,13.0,13.0,13.0,13.0,7.63,3000
2017-06-21,13.5,13.3,13.5,13.3,7.81,6100
2017-06-22,13.6,13.4,13.5,13.5,7.92,55500
2017-06-23,13.5,13.5,13.5,13.5,7.92,3000
2017-06-26,14.0,13.5,13.5,14.0,8.22,23000
2017-06-27,14.0,13.8,14.0,14.0,8.22,23500
2017-06-28,14.0,14.0,14.0,14.0,8.22,15000
2017-06-29,14.4,13.9,14.4,14.0,8.22,8500
2017-06-30,14.4,14.0,14.0,14.3,8.39,27610
2017-07-03,14.8,14.3,14.4,14.3,8.39,68400
2017-07-04,15.0,14.6,14.6,14.8,8.69,83200
2017-07-05,15.5,14.9,15.0,15.5,9.1,80900
2017-07-06,15.5,15.2,15.5,15.2,8.92,17200
2017-07-07,15.5,14.8,15.5,15.2,8.92,7000
2017-07-10,15.2,14.8,15.2,14.8,8.69,16600
2017-07-11,14.9,14.9,14.9,14.9,8.74,500
2017-07-12,14.9,14.8,14.9,14.9,8.74,1800
2017-07-13,14.9,14.8,14.8,14.9,8.74,1100
2017-07-14,14.9,14.0,14.9,14.8,8.69,6400
2017-07-17,14.1,14.0,14.1,14.0,8.22,2910
2017-07-18,14.4,14.0,14.0,14.4,8.45,1800
2017-07-19,14.7,14.5,14.7,14.5,8.51,2800
2017-07-20,14.4,14.0,14.0,14.4,8.45,4100
2017-07-21,14.4,14.4,14.4,14.4,8.45,1700
2017-07-24,14.5,13.8,14.5,14.4,8.45,5800
2017-07-25,14.4,14.0,14.4,14.0,8.22,5100
2017-07-26,14.4,13.9,14.0,14.2,8.33,12800
2017-07-27,14.4,14.1,14.4,14.1,8.27,2800
2017-07-28,14.5,14.3,14.4,14.3,8.39,37000
2017-07-31,14.5,14.4,14.5,14.5,8.51,12600
2017-08-01,14.4,14.3,14.4,14.3,8.39,38200
2017-08-02,14.2,14.2,14.2,14.2,8.33,7722
2017-08-03,14.4,14.2,14.2,14.4,8.45,10700
2017-08-04,14.3,14.3,14.3,14.3,8.39,0
2017-08-07,14.3,14.3,14.3,14.3,8.39,9000
2017-08-08,14.3,14.1,14.3,14.1,8.27,15900
2017-08-09,14.0,13.9,14.0,13.9,8.16,16100
2017-08-10,13.9,13.9,13.9,13.9,8.16,430
2017-08-11,14.0,13.8,13.9,14.0,8.22,13920
2017-08-14,13.9,13.9,13.9,13.9,8.16,0
