Date,High,Low,Open,Close,adjust,Volume
2012-01-03,30.0,30.0,30.0,30.0,7.19,850
2012-01-04,30.0,28.8,29.0,30.0,7.19,4020
2012-01-05,29.0,29.0,29.0,29.0,6.95,900
2012-01-06,29.8,29.8,29.8,29.8,7.14,100
2012-01-09,29.0,29.0,29.0,29.0,6.95,500
2012-01-10,29.0,29.0,29.0,29.0,6.95,0
2012-01-11,29.8,27.6,29.0,29.8,7.14,5330
2012-01-12,28.5,28.5,28.5,28.5,6.83,620
2012-01-13,27.7,27.7,27.7,27.7,6.63,26600
2012-01-16,28.1,27.8,28.0,27.8,6.66,82430
2012-01-17,29.1,26.8,28.2,29.1,6.97,196000
2012-01-18,28.1,28.1,28.1,28.1,6.73,5000
2012-01-19,29.5,29.5,29.5,29.5,7.07,20
2012-01-20,29.5,29.5,29.5,29.5,7.07,0
2012-01-30,29.5,29.5,29.5,29.5,7.07,0
2012-01-31,30.0,29.7,29.7,30.0,7.19,67580
2012-02-01,30.0,30.0,30.0,30.0,7.19,0
2012-02-02,30.1,30.0,30.0,30.1,7.21,1560
2012-02-03,30.0,30.0,30.0,30.0,7.19,6130
2012-02-06,30.0,30.0,30.0,30.0,7.19,300
2012-02-07,30.1,30.0,30.0,30.1,7.21,210
2012-02-08,31.3,30.1,30.1,30.8,7.38,30330
2012-02-09,31.0,30.7,30.7,30.8,7.38,4600
2012-02-10,30.5,30.0,30.5,30.0,7.19,6100
2012-02-13,30.9,29.1,29.1,29.2,6.99,15610
2012-02-14,30.0,30.0,30.0,30.0,7.19,24110
2012-02-15,30.0,30.0,30.0,30.0,7.19,11100
2012-02-16,30.0,30.0,30.0,30.0,7.19,20250
2012-02-17,30.5,29.9,29.9,30.5,7.31,15000
2012-02-20,31.0,30.5,30.9,30.5,7.31,1160
2012-02-21,30.8,30.8,30.8,30.8,7.38,100
2012-02-22,31.0,30.7,30.7,30.8,7.38,10730
2012-02-23,31.0,30.8,30.8,30.8,7.38,36190
2012-02-24,30.8,30.8,30.8,30.8,7.38,3000
2012-02-27,30.8,30.0,30.0,30.8,7.38,162870
2012-02-28,30.8,29.3,30.8,30.8,7.38,654660
2012-02-29,30.8,29.4,29.4,30.8,7.38,299000
2012-03-01,30.7,30.0,30.7,30.5,7.31,12100
2012-03-02,30.7,30.5,30.5,30.7,7.35,31940
2012-03-05,31.3,30.0,30.7,31.0,7.42,41560
2012-03-06,30.8,30.2,30.8,30.2,7.23,6050
2012-03-07,30.7,28.8,28.8,30.7,7.35,6040
2012-03-08,30.7,29.6,29.6,29.6,7.09,8390
2012-03-09,30.7,30.7,30.7,30.7,7.35,10
2012-03-12,30.0,29.3,29.9,29.8,7.14,442230
2012-03-13,30.7,28.6,30.7,28.9,6.92,256220
2012-03-14,30.3,30.2,30.3,30.3,7.26,72100
2012-03-15,30.9,29.5,29.5,30.9,7.4,5020
2012-03-16,32.4,31.3,31.5,32.4,7.76,63660
2012-03-19,34.0,33.3,34.0,33.9,8.12,207730
2012-03-20,34.2,33.5,34.1,34.0,8.14,26350
2012-03-21,34.5,33.5,34.2,33.5,8.02,13540
2012-03-22,33.5,32.5,32.6,33.5,8.02,38010
2012-03-23,33.9,32.0,32.0,32.3,7.74,14730
2012-03-26,33.4,32.4,33.3,32.6,7.81,64800
2012-03-27,33.6,32.5,32.5,33.6,8.05,2330
2012-03-28,33.0,32.3,32.3,32.6,7.81,1220
2012-03-29,34.2,32.6,32.6,33.5,8.02,15290
2012-03-30,33.7,32.7,32.7,33.7,8.07,5760
2012-04-03,34.1,33.8,33.8,34.0,8.14,6780
2012-04-04,33.0,32.4,32.5,32.5,8.27,740
2012-04-05,33.5,31.2,31.2,31.5,8.02,6570
2012-04-06,32.5,31.8,31.8,32.5,8.27,390
2012-04-09,32.9,32.5,32.5,32.9,8.37,32180
2012-04-10,32.5,31.7,31.7,32.5,8.27,1070
2012-04-11,33.7,33.0,33.7,33.0,8.4,2100
2012-04-12,33.9,32.1,33.2,33.0,8.4,49940
2012-04-13,33.6,33.0,33.0,33.0,8.4,11600
2012-04-16,34.6,32.5,32.5,34.6,8.8,33720
2012-04-17,34.6,34.0,34.6,34.4,8.75,16440
2012-04-18,34.7,34.4,34.7,34.6,8.8,1300
2012-04-19,34.6,33.0,33.0,33.5,8.52,20000
2012-04-20,34.6,33.1,33.1,34.6,8.8,1400
2012-04-23,33.6,33.6,33.6,33.6,8.55,1900
2012-04-24,34.5,34.5,34.5,34.5,8.78,1610
2012-04-25,34.8,34.5,34.5,34.5,8.78,4210
2012-04-26,34.9,34.5,34.5,34.9,8.88,4370
2012-04-27,36.6,34.0,34.9,34.3,8.73,25260
2012-05-02,35.4,32.6,34.3,32.6,8.3,5330
2012-05-03,34.2,34.0,34.2,34.2,8.7,16990
2012-05-04,35.9,35.5,35.5,35.9,9.14,16520
2012-05-07,36.0,35.1,36.0,35.2,8.96,1260
2012-05-08,36.9,33.6,36.0,34.5,8.78,23780
2012-05-09,36.2,34.5,34.5,36.2,9.21,13190
2012-05-10,36.3,36.2,36.2,36.2,9.21,6260
2012-05-11,38.0,36.2,38.0,36.4,9.26,10550
2012-05-14,34.6,34.6,34.6,34.6,8.8,400
2012-05-15,34.0,33.4,34.0,33.4,8.5,470
2012-05-16,34.5,34.0,34.5,34.0,8.65,1890
2012-05-17,34.5,34.0,34.0,34.0,8.65,1220
2012-05-18,34.0,33.0,33.0,34.0,8.65,880
2012-05-21,34.0,34.0,34.0,34.0,8.65,0
2012-05-22,35.7,32.5,32.5,34.0,8.65,15860
2012-05-23,34.1,34.1,34.1,34.1,8.68,500
2012-05-24,35.8,34.2,35.0,34.2,8.7,7490
2012-05-25,35.9,34.2,34.2,35.9,9.14,1170
2012-05-28,34.5,34.5,34.5,34.5,8.78,10
2012-05-29,36.0,34.2,35.8,34.7,8.83,9110
2012-05-30,34.7,34.7,34.7,34.7,8.83,0
2012-05-31,34.7,34.7,34.7,34.7,8.83,0
2012-06-01,34.7,34.7,34.7,34.7,8.83,240
2012-06-04,34.2,34.0,34.2,34.0,8.65,860
2012-06-05,33.6,33.6,33.6,33.6,8.55,10
2012-06-06,33.6,33.6,33.6,33.6,8.55,0
2012-06-07,35.2,34.0,34.0,35.2,8.96,120
2012-06-08,34.2,34.2,34.2,34.2,8.7,120010
2012-06-11,34.2,34.2,34.2,34.2,8.7,120000
2012-06-12,35.8,33.1,35.8,33.1,8.42,121220
