Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.5,6.5,6.5,6.5,2.66,0
2012-01-04,6.5,6.5,6.5,6.5,2.66,0
2012-01-05,6.5,6.5,6.5,6.5,2.66,2600
2012-01-06,6.5,6.5,6.5,6.5,2.66,0
2012-01-09,6.8,6.8,6.8,6.8,2.79,4850
2012-01-10,7.0,6.8,7.0,7.0,2.87,600
2012-01-11,7.0,7.0,7.0,7.0,2.87,0
2012-01-12,7.3,7.3,7.3,7.3,2.99,4020
2012-01-13,7.6,7.4,7.4,7.6,3.11,6130
2012-01-16,7.6,7.6,7.6,7.6,3.11,0
2012-01-17,7.5,7.5,7.5,7.5,3.07,2200
2012-01-18,7.8,7.6,7.7,7.8,3.19,240
2012-01-19,8.0,7.6,8.0,7.6,3.11,20
2012-01-20,7.9,7.7,7.7,7.9,3.24,210
2012-01-30,8.0,7.9,8.0,7.9,3.24,5400
2012-01-31,8.1,7.6,7.6,8.1,3.32,320
2012-02-01,8.0,7.8,7.8,7.8,3.19,5050
2012-02-02,8.1,7.6,7.6,8.1,3.32,3770
2012-02-03,8.4,8.1,8.1,8.4,3.44,7530
2012-02-06,8.0,8.0,8.0,8.0,3.28,220
2012-02-07,8.0,8.0,8.0,8.0,3.28,0
2012-02-08,8.0,8.0,8.0,8.0,3.28,500
2012-02-09,8.4,8.0,8.4,8.0,3.28,20
2012-02-10,8.4,7.7,8.4,7.7,3.15,12850
2012-02-13,7.7,7.7,7.7,7.7,3.15,1480
2012-02-14,8.0,7.9,7.9,8.0,3.28,6700
2012-02-15,8.0,8.0,8.0,8.0,3.28,0
2012-02-16,7.8,7.8,7.8,7.8,3.19,510
2012-02-17,8.1,8.0,8.0,8.1,3.32,17890
2012-02-20,8.4,8.0,8.0,8.4,3.44,8050
2012-02-21,8.1,8.1,8.1,8.1,3.32,4700
2012-02-22,8.4,7.9,7.9,8.4,3.44,20
2012-02-23,8.4,8.4,8.4,8.4,3.44,0
2012-02-24,8.7,8.2,8.2,8.2,3.36,2580
2012-02-27,8.4,8.4,8.4,8.4,3.44,200
2012-02-28,8.2,8.2,8.2,8.2,3.36,2730
2012-02-29,8.5,8.2,8.5,8.5,3.48,2110
2012-03-01,8.6,8.1,8.6,8.3,3.4,3700
2012-03-02,8.2,8.2,8.2,8.2,3.36,2590
2012-03-05,8.6,8.5,8.5,8.6,3.52,5390
2012-03-06,8.3,8.3,8.3,8.3,3.4,6100
2012-03-07,8.3,8.1,8.1,8.3,3.4,1960
2012-03-08,8.0,8.0,8.0,8.0,3.28,4860
2012-03-09,8.2,7.7,8.0,8.2,3.36,6850
2012-03-12,8.2,7.9,7.9,8.2,3.36,5250
2012-03-13,8.2,8.2,8.2,8.2,3.36,100
2012-03-14,8.0,8.0,8.0,8.0,3.28,100
2012-03-15,8.1,7.9,7.9,8.0,3.28,2100
2012-03-16,8.0,8.0,8.0,8.0,3.28,470
2012-03-19,8.1,8.0,8.0,8.0,3.28,2250
2012-03-20,8.1,8.0,8.0,8.0,3.28,6710
2012-03-21,8.2,8.0,8.0,8.2,3.36,17920
2012-03-22,8.1,8.0,8.0,8.1,3.32,4500
2012-03-23,8.1,8.1,8.1,8.1,3.32,0
2012-03-26,8.2,7.7,7.7,8.2,3.36,1010
2012-03-27,8.5,7.9,7.9,8.2,3.36,23970
2012-03-28,8.6,7.8,7.8,8.3,3.4,10510
2012-03-29,8.0,8.0,8.0,8.0,3.28,1300
2012-03-30,8.0,8.0,8.0,8.0,3.28,1740
2012-04-03,8.0,8.0,8.0,8.0,3.28,0
2012-04-04,8.4,8.0,8.0,8.4,3.44,560
2012-04-05,8.4,8.0,8.0,8.4,3.44,1010
2012-04-06,8.4,8.4,8.4,8.4,3.44,0
2012-04-09,8.3,8.3,8.3,8.3,3.4,100
