Date,High,Low,Open,Close,adjust,Volume
2015-03-11,48.0,47.1,48.0,47.5,13.35,123290
2015-03-12,48.0,44.2,44.2,44.2,12.43,179720
2015-03-13,44.2,41.2,44.2,41.2,11.58,19490
2015-03-16,39.3,38.4,38.6,38.4,10.8,39280
2015-03-17,36.2,35.8,35.8,35.8,10.06,50240
2015-03-18,37.0,35.1,35.1,37.0,10.4,40090
2015-03-19,37.3,37.0,37.0,37.0,10.4,340
2015-03-20,37.0,34.6,37.0,37.0,10.4,14970
2015-03-23,37.0,34.8,36.0,34.8,9.78,11730
2015-03-24,35.1,34.8,34.8,35.1,9.87,5670
2015-03-25,34.8,34.0,34.8,34.0,9.56,8350
2015-03-26,34.1,33.5,34.0,33.5,9.42,18890
2015-03-27,35.8,33.5,33.5,35.8,10.06,57030
2015-03-30,35.9,35.0,35.8,35.0,9.84,6550
2015-03-31,35.8,35.0,35.0,35.8,10.06,6190
2015-04-01,35.3,34.0,35.0,34.0,9.56,16090
2015-04-02,34.0,33.0,34.0,34.0,9.56,43080
2015-04-03,35.0,33.1,33.1,34.7,9.76,7360
2015-04-06,35.0,34.0,35.0,34.0,9.56,1050
2015-04-07,34.0,33.7,33.9,33.9,9.53,5270
2015-04-08,34.0,33.7,34.0,34.0,9.56,4040
2015-04-09,34.4,33.9,33.9,34.3,9.64,13610
2015-04-10,34.3,34.0,34.0,34.3,9.64,29320
2015-04-13,36.0,33.5,33.6,36.0,10.12,1690
2015-04-14,35.8,35.4,35.7,35.4,9.95,5510
2015-04-15,35.2,35.2,35.2,35.2,9.9,200
2015-04-16,37.5,34.0,37.5,34.5,9.7,8390
2015-04-17,35.8,34.5,35.8,34.5,9.7,14830
2015-04-20,36.8,33.5,34.0,33.5,9.42,27600
2015-04-21,35.5,33.5,35.0,35.5,9.98,9300
2015-04-22,35.5,34.5,35.0,35.5,9.98,4020
2015-04-23,37.0,35.0,35.5,36.5,10.26,30720
2015-04-24,36.5,35.5,36.4,36.4,10.23,17710
2015-04-27,36.0,36.0,36.0,36.0,10.12,1510
2015-05-04,36.0,34.5,35.9,35.0,9.84,8840
2015-05-05,35.0,34.6,34.7,35.0,9.84,7100
2015-05-06,35.0,34.0,35.0,34.0,9.56,16940
2015-05-07,35.4,35.4,35.4,35.4,9.95,10
2015-05-08,35.5,35.5,35.5,35.5,9.98,500
2015-05-11,35.5,33.1,35.5,35.5,9.98,120
2015-05-12,34.6,33.6,33.6,34.5,9.7,4370
2015-05-13,34.5,34.0,34.5,34.0,9.56,2710
2015-05-14,34.0,33.3,34.0,33.5,9.42,20360
2015-05-15,33.6,33.2,33.5,33.6,9.45,20560
2015-05-18,35.9,34.0,34.0,35.9,10.09,35580
2015-05-19,36.9,36.0,36.4,36.1,10.15,17040
2015-05-20,36.4,35.0,36.4,35.8,10.35,13300
2015-05-21,36.0,35.0,35.1,35.5,10.26,16410
2015-05-22,35.7,35.0,35.1,35.7,10.32,22910
2015-05-25,35.7,35.5,35.5,35.5,10.26,12320
2015-05-26,35.7,35.0,35.5,35.0,10.12,15530
2015-05-27,35.4,34.1,35.0,34.5,9.98,34010
2015-05-28,35.8,34.0,34.1,35.2,10.18,17510
2015-05-29,35.0,34.5,35.0,34.5,9.98,8200
2015-06-01,34.9,34.2,34.2,34.4,9.95,11630
2015-06-02,35.8,34.0,34.9,34.3,9.92,22510
2015-06-03,35.5,34.1,35.5,35.2,10.18,30550
2015-06-04,35.5,35.0,35.5,35.2,10.18,45440
2015-06-05,35.4,34.9,34.9,35.3,10.21,19710
2015-06-08,35.8,35.4,35.4,35.4,10.24,52510
2015-06-09,37.3,35.4,35.4,36.5,10.55,99870
2015-06-10,37.5,36.9,37.5,37.2,10.76,44050
2015-06-11,37.4,37.0,37.0,37.3,10.79,47930
2015-06-12,37.3,36.8,37.1,37.0,10.7,17250
2015-06-15,37.0,36.1,36.1,36.4,10.53,28920
2015-06-16,37.3,36.4,36.4,37.1,10.73,43000
2015-06-17,37.1,37.0,37.0,37.0,10.7,20070
2015-06-18,37.6,37.0,37.0,37.6,10.87,55720
2015-06-19,40.2,37.6,38.0,40.2,11.62,84160
2015-06-22,41.9,39.8,41.0,40.5,11.71,57500
2015-06-23,40.0,39.0,40.0,39.1,11.31,28510
2015-06-24,40.0,38.6,40.0,38.6,11.16,18730
2015-06-25,39.0,38.3,38.6,38.4,11.1,18540
2015-06-26,38.9,38.1,38.1,38.8,11.22,10640
2015-06-29,38.7,38.0,38.5,38.5,11.13,23280
2015-06-30,38.5,37.5,38.1,38.5,11.13,7230
2015-07-01,38.5,38.0,38.2,38.5,11.13,6120
2015-07-02,38.5,37.8,38.5,38.4,11.1,9600
2015-07-03,38.0,37.4,38.0,37.9,10.96,29550
2015-07-06,38.0,37.1,37.1,38.0,10.99,21350
2015-07-07,38.3,37.5,38.2,37.9,10.96,20430
2015-07-08,37.5,36.8,37.5,37.4,10.81,24050
2015-07-09,37.4,36.9,37.4,37.1,10.73,5600
2015-07-10,37.0,37.0,37.0,37.0,10.7,640
2015-07-13,37.6,37.0,37.0,37.6,10.87,2090
2015-07-14,37.4,37.0,37.4,37.4,10.81,5010
2015-07-15,37.4,37.4,37.4,37.4,10.81,5100
2015-07-16,37.4,37.4,37.4,37.4,10.81,70
2015-07-17,37.4,36.4,37.3,36.5,10.55,22210
2015-07-20,38.0,37.0,38.0,37.2,10.76,20500
2015-07-21,37.5,37.0,37.1,37.0,10.7,13480
2015-07-22,37.5,37.0,37.0,37.4,10.81,2780
2015-07-23,37.3,37.0,37.3,37.3,10.79,9560
2015-07-24,39.0,37.5,37.5,38.5,11.13,26920
2015-07-27,38.7,37.9,38.5,38.0,10.99,20030
2015-07-28,38.1,37.8,38.0,37.8,10.93,22180
2015-07-29,38.0,37.8,37.9,37.8,10.93,38600
2015-07-30,37.8,37.5,37.8,37.5,10.84,6000
2015-07-31,37.7,37.3,37.7,37.3,10.79,19770
2015-08-03,37.9,37.2,37.2,37.7,10.9,32780
2015-08-04,38.0,37.9,37.9,37.9,10.96,1200
2015-08-05,38.1,37.5,38.0,38.0,10.99,12760
2015-08-06,38.0,37.7,38.0,38.0,10.99,23200
2015-08-07,38.0,37.6,37.8,37.9,10.96,9390
2015-08-10,38.3,38.0,38.0,38.3,11.07,14380
2015-08-11,38.5,38.2,38.3,38.3,11.07,18400
2015-08-12,38.8,37.8,38.0,38.3,11.07,48210
2015-08-13,38.6,37.8,38.3,38.2,11.05,29890
2015-08-14,38.0,37.8,37.8,38.0,10.99,20440
2015-08-17,38.3,37.8,38.0,38.0,10.99,77970
2015-08-18,38.1,37.9,38.1,38.1,11.02,15050
2015-08-19,38.1,38.0,38.0,38.0,10.99,18290
2015-08-20,40.4,38.1,38.1,40.4,11.68,66320
2015-08-21,40.0,38.9,39.5,39.4,11.39,78910
