Date,High,Low,Open,Close,adjust,Volume
2016-07-04,15.4,13.0,14.0,15.4,11.61,1763800
2016-07-05,16.4,15.4,15.7,16.4,12.37,1911550
2016-07-06,17.5,15.3,16.7,17.5,13.19,2315490
2016-07-07,16.9,16.3,16.5,16.3,12.29,1099950
2016-07-08,15.2,15.2,15.2,15.2,11.46,14800
2016-07-11,14.4,14.2,14.2,14.2,10.71,2380750
2016-07-12,13.3,13.3,13.3,13.3,10.03,752980
2016-07-13,13.0,12.4,12.4,13.0,9.8,3154250
2016-07-14,13.5,12.1,13.0,12.1,9.12,1932590
2016-07-15,11.3,11.3,11.3,11.3,8.52,886880
2016-07-18,10.6,10.6,10.6,10.6,7.99,565810
2016-07-19,10.4,9.9,9.9,10.3,7.77,3598940
2016-07-20,10.7,10.0,10.2,10.7,8.07,1199870
2016-07-21,10.8,10.0,10.6,10.1,7.62,1127800
2016-07-22,9.8,9.4,9.6,9.5,7.16,349850
2016-07-25,9.5,8.9,9.5,9.1,6.86,490050
2016-07-26,9.0,8.5,8.9,8.7,6.56,251940
2016-07-27,8.9,8.4,8.9,8.9,6.71,412830
2016-07-28,9.2,8.6,8.6,9.0,6.79,770770
2016-07-29,9.1,8.7,8.8,9.1,6.86,234120
2016-08-01,9.2,8.9,9.1,9.0,6.79,151450
2016-08-02,9.0,8.4,9.0,8.5,6.41,166420
2016-08-03,8.6,8.3,8.5,8.6,6.48,200750
2016-08-04,8.7,8.4,8.5,8.4,6.33,159020
2016-08-05,8.4,8.2,8.4,8.4,6.33,162740
2016-08-08,8.4,8.0,8.3,8.4,6.33,130940
2016-08-09,8.9,8.0,8.3,8.9,6.71,1663340
2016-08-10,9.3,8.8,8.9,9.2,6.94,988710
2016-08-11,9.2,8.6,9.2,8.8,6.64,514940
2016-08-12,8.8,8.3,8.7,8.5,6.41,201930
2016-08-15,8.5,8.3,8.5,8.3,6.26,175120
2016-08-16,8.4,8.2,8.3,8.4,6.33,296780
2016-08-17,8.8,8.0,8.3,8.6,6.48,826250
2016-08-18,8.6,8.3,8.5,8.3,6.26,390500
2016-08-19,8.4,8.2,8.3,8.3,6.26,247680
2016-08-22,8.4,8.2,8.2,8.3,6.26,221540
2016-08-23,8.4,8.2,8.3,8.3,6.26,220150
2016-08-24,8.6,8.2,8.3,8.4,6.33,437270
2016-08-25,8.9,8.3,8.3,8.8,6.64,1069900
2016-08-26,9.0,8.6,8.8,8.7,6.56,599480
2016-08-29,9.0,8.3,8.7,8.3,6.26,539780
2016-08-30,8.4,8.2,8.3,8.3,6.26,197840
2016-08-31,8.4,8.2,8.3,8.3,6.26,279300
2016-09-01,8.5,8.2,8.3,8.2,6.18,356420
2016-09-05,8.3,8.2,8.2,8.3,6.26,241730
2016-09-06,8.4,8.2,8.3,8.4,6.33,212920
2016-09-07,8.4,8.2,8.4,8.3,6.26,131760
2016-09-08,8.4,8.2,8.3,8.3,6.26,220740
2016-09-09,8.4,8.2,8.3,8.3,6.26,171190
2016-09-12,8.4,8.16,8.3,8.2,6.18,257530
2016-09-13,8.29,8.16,8.2,8.25,6.22,220310
2016-09-14,8.28,8.12,8.25,8.21,6.19,214690
2016-09-15,8.23,8.2,8.21,8.23,6.21,243720
2016-09-16,8.23,8.15,8.23,8.17,6.16,132610
2016-09-19,8.2,8.01,8.17,8.15,6.14,183170
2016-09-20,8.15,8.0,8.15,8.05,6.07,179410
2016-09-21,8.1,8.0,8.05,8.1,6.11,260710
