Date,High,Low,Open,Close,adjust,Volume
2016-07-11,13.2,11.8,11.8,13.2,10.52,213620
2016-07-12,14.1,14.1,14.1,14.1,11.24,43600
2016-07-13,15.0,14.0,15.0,15.0,11.96,90160
2016-07-14,14.0,14.0,14.0,14.0,11.16,41520
2016-07-15,14.0,13.1,13.4,14.0,11.16,56210
2016-07-18,14.5,13.5,14.0,14.5,11.56,86000
2016-07-19,15.1,14.6,14.6,15.0,11.96,135470
2016-07-20,15.2,14.4,15.2,14.8,11.8,50290
2016-07-21,15.4,14.6,15.1,14.8,11.8,40000
2016-07-22,14.9,14.4,14.9,14.4,11.48,89810
2016-07-25,15.0,14.5,14.5,14.9,11.88,77600
2016-07-26,15.3,14.8,14.8,15.0,11.96,66500
2016-07-27,15.2,14.9,15.0,15.0,11.96,107620
2016-07-28,15.2,14.8,15.0,15.1,12.04,111610
2016-07-29,15.2,14.9,15.1,15.0,11.96,126500
2016-08-01,15.4,15.0,15.2,15.1,12.04,188200
2016-08-02,14.9,14.5,14.9,14.6,11.64,137700
2016-08-03,14.7,14.3,14.6,14.5,11.56,189300
2016-08-04,14.8,14.4,14.5,14.5,11.56,149000
2016-08-05,14.6,14.2,14.4,14.2,11.32,213300
2016-08-08,14.3,14.0,14.3,14.3,11.4,187670
2016-08-09,14.3,14.3,14.3,14.3,11.4,27900
2016-08-10,14.3,14.0,14.3,14.3,11.4,145420
2016-08-11,14.3,14.1,14.3,14.2,11.32,102000
2016-08-12,14.6,14.1,14.1,14.3,11.4,145000
2016-08-15,14.6,14.3,14.4,14.6,11.64,145700
2016-08-16,14.7,14.3,14.5,14.7,11.72,131100
2016-08-17,15.0,14.5,14.5,15.0,11.96,161210
2016-08-18,15.2,14.8,14.9,15.1,12.04,164260
2016-08-19,15.0,14.7,15.0,14.9,11.88,140500
2016-08-22,15.1,14.8,15.0,14.9,11.88,152600
2016-08-23,15.0,14.7,15.0,14.7,11.72,392200
2016-08-24,15.0,14.7,14.8,14.7,11.72,183300
