Date,High,Low,Open,Close,adjust,Volume
2017-06-22,14.25,14.25,14.25,14.25,6.18,1900
2017-06-23,15.2,15.2,15.2,15.2,6.59,141000
2017-06-26,16.25,16.25,16.25,16.25,7.05,292900
2017-06-27,17.35,17.35,17.35,17.35,7.52,5900
2017-06-28,18.55,18.55,18.55,18.55,8.04,1000
2017-06-29,19.8,19.8,19.8,19.8,8.59,1000
2017-06-30,21.15,21.15,21.15,21.15,9.17,120000
2017-07-03,22.6,22.6,22.6,22.6,9.8,184000
2017-07-04,24.15,24.0,24.15,24.15,10.47,1607600
2017-07-05,25.8,23.5,25.6,24.65,10.69,630610
2017-07-06,24.4,23.5,23.8,23.5,10.19,298690
2017-07-07,23.5,21.9,22.3,22.2,9.63,413280
2017-07-10,23.65,21.0,22.2,23.0,9.97,453850
2017-07-11,24.3,22.5,23.6,24.3,10.54,281850
2017-07-12,25.1,24.3,24.8,25.1,10.88,338380
2017-07-13,26.85,24.8,25.1,26.85,11.64,537250
2017-07-14,28.7,25.0,28.7,25.0,10.84,868850
2017-07-17,26.75,26.2,26.2,26.75,11.6,502100
2017-07-18,27.3,26.1,27.3,26.1,11.32,250250
2017-07-19,26.9,26.0,26.1,26.6,11.53,269890
2017-07-20,27.9,26.6,27.0,27.9,12.1,394920
2017-07-21,28.8,26.7,28.0,28.7,12.44,538020
2017-07-24,28.6,28.0,28.6,28.3,12.27,222900
2017-07-25,29.0,27.6,27.6,28.4,12.31,333870
2017-07-26,28.8,28.05,28.8,28.5,12.36,313080
2017-07-27,29.15,28.3,28.6,29.0,12.57,342130
2017-07-28,30.4,29.0,29.0,29.75,12.9,393290
2017-07-31,30.4,29.75,29.75,30.2,13.09,286910
2017-08-01,30.45,30.1,30.2,30.2,13.09,228960
2017-08-02,30.3,29.4,30.2,30.2,13.09,279880
2017-08-03,30.5,30.1,30.4,30.25,13.12,273590
2017-08-04,30.6,29.5,30.6,29.8,12.92,210970
2017-08-07,29.9,28.9,29.9,28.9,12.53,336310
2017-08-08,30.4,28.8,28.8,30.1,13.05,557620
2017-08-09,30.2,29.2,30.2,29.6,12.83,217460
2017-08-10,30.2,29.5,29.6,29.8,12.92,225670
2017-08-11,28.95,28.4,28.95,28.7,13.1,237720
2017-08-14,29.4,28.85,28.85,29.2,13.33,312730
2017-08-15,29.35,28.8,29.1,29.1,13.29,301600
2017-08-16,29.15,28.5,29.0,29.15,13.31,330480
