Date,High,Low,Open,Close,adjust,Volume
2012-01-03,9.0,8.6,9.0,8.6,2.01,810
2012-01-04,8.8,8.8,8.8,8.8,2.05,440
2012-01-05,8.9,8.9,8.9,8.9,2.08,120
2012-01-06,8.7,8.7,8.7,8.7,2.03,200
2012-01-09,8.7,8.3,8.3,8.6,2.01,2370
2012-01-10,8.9,8.6,8.6,8.9,2.08,320
2012-01-11,8.9,8.7,8.7,8.9,2.08,1920
2012-01-12,8.9,8.7,8.9,8.7,2.03,1190
2012-01-13,8.9,8.7,8.9,8.7,2.03,600
2012-01-16,8.9,8.8,8.9,8.8,2.05,1710
2012-01-17,8.9,8.7,8.7,8.9,2.08,2210
2012-01-18,8.7,8.5,8.6,8.5,1.98,45660
2012-01-19,8.8,8.7,8.7,8.8,2.05,120
2012-01-20,9.2,9.1,9.1,9.2,2.15,410
2012-01-30,9.2,9.1,9.1,9.2,2.15,20
2012-01-31,9.5,9.1,9.2,9.5,2.22,18880
2012-02-01,9.4,9.1,9.4,9.1,2.12,16020
2012-02-02,9.5,9.2,9.2,9.5,2.22,20830
2012-02-03,9.9,9.6,9.9,9.6,2.24,38000
2012-02-06,9.6,9.4,9.4,9.6,2.24,5290
2012-02-07,9.6,9.6,9.6,9.6,2.24,6840
2012-02-08,9.8,9.5,9.8,9.8,2.29,10530
2012-02-09,9.6,9.6,9.6,9.6,2.24,13700
2012-02-10,9.6,9.3,9.6,9.3,2.17,2050
2012-02-13,9.5,9.1,9.3,9.5,2.22,1440
2012-02-14,9.5,9.4,9.4,9.5,2.22,2000
2012-02-15,9.4,9.4,9.4,9.4,2.19,1170
2012-02-16,9.6,9.4,9.4,9.4,2.19,2330
2012-02-17,9.5,9.3,9.5,9.4,2.19,297870
2012-02-20,9.6,9.5,9.5,9.6,2.24,14840
2012-02-21,9.6,9.4,9.6,9.4,2.19,18030
2012-02-22,9.6,9.4,9.4,9.6,2.24,11640
2012-02-23,9.9,9.6,9.6,9.7,2.26,58620
2012-02-24,10.0,9.8,9.8,9.8,2.29,42640
2012-02-27,10.1,9.9,9.9,10.1,2.36,32370
2012-02-28,10.2,9.9,10.1,9.9,2.31,25810
2012-02-29,10.1,9.9,9.9,10.0,2.33,23800
2012-03-01,9.9,9.8,9.9,9.8,2.29,8190
2012-03-02,10.0,9.7,9.8,9.9,2.31,22610
2012-03-05,10.3,10.3,10.3,10.3,2.4,47820
2012-03-06,10.7,10.1,10.5,10.1,2.36,32000
2012-03-07,10.2,9.9,10.0,10.2,2.38,7170
2012-03-08,10.2,10.0,10.2,10.0,2.33,16250
2012-03-09,10.2,9.8,10.0,10.2,2.38,17270
2012-03-12,10.3,10.0,10.3,10.0,2.33,3660
2012-03-13,10.2,10.1,10.1,10.2,2.38,24270
2012-03-14,10.7,10.3,10.4,10.7,2.5,80730
2012-03-15,11.2,10.6,11.0,11.2,2.61,120290
2012-03-16,11.5,11.0,11.5,11.3,2.64,9780
2012-03-19,11.3,11.0,11.2,11.1,2.59,24710
2012-03-20,11.2,10.9,11.0,11.1,2.59,3630
2012-03-21,11.2,10.8,11.1,10.9,2.54,50150
2012-03-22,11.4,11.0,11.0,11.4,2.66,93400
2012-03-23,11.9,11.7,11.9,11.9,2.78,181170
2012-03-26,12.3,11.9,12.3,12.3,2.87,76420
2012-03-27,12.5,11.8,12.5,11.8,2.75,63990
2012-03-28,11.8,11.5,11.7,11.7,2.73,65820
2012-03-29,11.9,11.3,11.9,11.5,2.68,25070
2012-03-30,11.5,11.4,11.4,11.4,2.66,21070
2012-04-03,11.7,11.2,11.3,11.5,2.68,20730
2012-04-04,11.6,11.3,11.5,11.4,2.66,38490
2012-04-05,11.5,11.3,11.4,11.5,2.68,21570
2012-04-06,11.6,11.4,11.5,11.6,2.71,29580
2012-04-09,11.7,11.4,11.7,11.7,2.73,56890
2012-04-10,11.9,11.6,11.6,11.8,2.75,88020
2012-04-11,12.3,12.0,12.0,12.3,2.87,88410
2012-04-12,12.9,12.9,12.9,12.9,3.01,139150
2012-04-13,13.3,12.8,13.0,13.0,3.03,111190
2012-04-16,13.0,12.6,13.0,12.6,2.94,179810
2012-04-17,12.7,12.2,12.6,12.5,2.92,255430
2012-04-18,12.6,12.1,12.5,12.1,2.82,299210
2012-04-19,11.4,10.8,11.1,11.0,2.85,50850
2012-04-20,11.0,10.5,11.0,10.7,2.77,26180
2012-04-23,11.0,10.5,11.0,10.6,2.75,50070
2012-04-24,10.6,10.3,10.6,10.6,2.75,20110
2012-04-25,11.0,10.5,10.7,10.9,2.82,96310
2012-04-26,10.9,10.6,10.9,10.6,2.75,21190
2012-04-27,10.8,10.6,10.6,10.8,2.8,29730
2012-05-02,10.9,10.5,10.8,10.6,2.75,111590
2012-05-03,10.7,10.4,10.5,10.6,2.75,39960
2012-05-04,11.1,10.5,10.6,11.0,2.85,116500
2012-05-07,11.5,11.0,11.2,11.5,2.98,266000
2012-05-08,12.0,11.8,12.0,12.0,3.11,91250
2012-05-09,12.5,12.0,12.1,12.3,3.19,88020
2012-05-10,12.4,11.7,12.3,12.0,3.11,85160
2012-05-11,11.9,11.4,11.9,11.4,2.95,106200
2012-05-14,11.2,10.9,11.2,10.9,2.82,58360
2012-05-15,10.8,10.4,10.6,10.4,2.69,80060
2012-05-16,10.5,10.4,10.5,10.5,2.72,13210
2012-05-17,10.6,10.3,10.5,10.3,2.67,61300
2012-05-18,10.3,10.0,10.3,10.3,2.67,42690
2012-05-21,10.8,10.1,10.2,10.8,2.8,30560
2012-05-22,11.0,10.5,10.8,11.0,2.85,31360
2012-05-23,10.9,10.5,10.9,10.5,2.72,60520
2012-05-24,10.2,10.0,10.2,10.1,2.62,27980
2012-05-25,10.6,10.3,10.3,10.6,2.75,10130
2012-05-28,10.7,10.4,10.6,10.7,2.77,19780
2012-05-29,10.7,10.4,10.7,10.5,2.72,2330
2012-05-30,10.5,10.3,10.3,10.5,2.72,13020
2012-05-31,10.4,10.2,10.3,10.2,2.64,22200
2012-06-01,10.4,10.1,10.1,10.4,2.69,2580
2012-06-04,10.2,10.0,10.2,10.1,2.62,6430
2012-06-05,10.4,10.0,10.1,10.4,2.69,18460
2012-06-06,10.4,10.2,10.4,10.4,2.69,5440
2012-06-07,10.6,10.4,10.4,10.5,2.72,8450
2012-06-08,10.6,10.2,10.6,10.4,2.69,16520
2012-06-11,10.4,10.2,10.2,10.4,2.69,8620
2012-06-12,10.4,10.1,10.2,10.4,2.69,4210
2012-06-13,10.4,10.1,10.2,10.4,2.69,6900
2012-06-14,10.3,10.0,10.1,10.3,2.67,5030
2012-06-15,10.3,10.0,10.0,10.3,2.67,1800
2012-06-18,10.4,10.3,10.3,10.3,2.67,11070
2012-06-19,10.3,10.2,10.3,10.3,2.67,11350
