Date,High,Low,Open,Close,adjust,Volume
2012-01-03,4.9,4.7,4.7,4.9,2.37,349010
2012-01-04,5.1,4.8,5.0,4.9,2.37,296590
2012-01-05,5.0,4.7,5.0,4.7,2.27,90090
2012-01-06,4.6,4.5,4.6,4.5,2.18,181750
2012-01-09,4.5,4.3,4.4,4.4,2.13,237170
2012-01-10,4.6,4.4,4.5,4.5,2.18,143420
2012-01-11,4.6,4.4,4.5,4.4,2.13,102250
2012-01-12,4.5,4.2,4.4,4.3,2.08,248450
2012-01-13,4.4,4.3,4.3,4.3,2.08,120360
2012-01-16,4.5,4.2,4.4,4.2,2.03,538830
2012-01-17,4.4,4.2,4.3,4.3,2.08,1768230
2012-01-18,4.3,4.1,4.3,4.1,1.98,614710
2012-01-19,4.3,4.2,4.2,4.3,2.08,151520
2012-01-20,4.5,4.5,4.5,4.5,2.18,287040
2012-01-30,4.7,4.5,4.6,4.7,2.27,432450
2012-01-31,4.9,4.7,4.8,4.7,2.27,530290
2012-02-01,4.8,4.6,4.6,4.8,2.32,246460
2012-02-02,5.0,4.8,4.8,5.0,2.42,254070
2012-02-03,5.2,4.8,5.1,5.0,2.42,658400
2012-02-06,5.0,4.8,4.9,4.9,2.37,641560
2012-02-07,5.0,4.7,4.9,5.0,2.42,255860
2012-02-08,5.2,5.0,5.0,5.1,2.47,379120
2012-02-09,5.2,4.9,5.1,5.1,2.47,416160
2012-02-10,5.0,4.9,5.0,4.9,2.37,186330
2012-02-13,4.7,4.7,4.7,4.7,2.27,474910
2012-02-14,4.8,4.6,4.7,4.8,2.32,641410
2012-02-15,4.8,4.6,4.7,4.8,2.32,280870
2012-02-16,4.8,4.6,4.8,4.7,2.27,300620
2012-02-17,4.9,4.7,4.8,4.8,2.32,370230
2012-02-20,5.0,4.9,4.9,5.0,2.42,798600
2012-02-21,5.2,5.0,5.2,5.1,2.47,980770
2012-02-22,5.3,5.0,5.1,5.3,2.56,825750
2012-02-23,5.5,5.4,5.4,5.5,2.66,407840
2012-02-24,5.7,5.6,5.6,5.6,2.71,1078490
2012-02-27,5.8,5.6,5.6,5.8,2.8,490350
2012-02-28,6.0,5.6,5.9,5.6,2.71,1386540
2012-02-29,5.8,5.5,5.6,5.7,2.76,806490
2012-03-01,5.8,5.5,5.8,5.7,2.76,575050
2012-03-02,5.9,5.6,5.7,5.9,2.85,716450
2012-03-05,6.1,6.1,6.1,6.1,2.95,216870
2012-03-06,6.4,5.8,6.4,5.8,2.8,1330560
2012-03-07,6.0,5.6,5.8,6.0,2.9,1001920
2012-03-08,6.3,6.0,6.0,6.3,3.05,1350600
2012-03-09,6.6,6.4,6.5,6.6,3.19,997400
2012-03-12,6.6,6.3,6.4,6.5,3.14,1108440
2012-03-13,6.8,6.5,6.8,6.7,3.24,792730
2012-03-14,7.0,6.6,6.9,7.0,3.38,1664440
2012-03-15,7.3,7.1,7.2,7.3,3.53,1752500
2012-03-16,7.6,7.6,7.6,7.6,3.67,215780
2012-03-19,7.7,7.3,7.6,7.3,3.53,1752580
2012-03-20,7.3,7.0,7.0,7.3,3.53,3035500
2012-03-21,7.5,7.2,7.3,7.5,3.63,1473180
2012-03-22,5.2,5.2,5.2,5.2,3.77,60730
2012-03-23,5.4,5.4,5.4,5.4,3.92,74760
2012-03-26,5.6,5.5,5.6,5.6,4.06,1862310
2012-03-27,5.8,5.6,5.8,5.6,4.06,1556100
2012-03-28,5.7,5.4,5.6,5.5,3.99,866430
2012-03-29,5.6,5.3,5.5,5.3,3.84,899200
2012-03-30,5.3,5.1,5.3,5.1,3.7,1430100
2012-04-03,5.3,4.9,5.1,5.2,3.77,584560
2012-04-04,5.3,5.0,5.2,5.0,3.63,1028080
2012-04-05,5.1,4.8,4.9,4.8,3.48,1085950
2012-04-06,5.0,4.9,5.0,5.0,3.63,1226900
2012-04-09,5.2,5.0,5.2,5.2,3.77,600220
2012-04-10,5.3,5.0,5.2,5.0,3.63,833060
2012-04-11,5.2,5.1,5.2,5.2,3.77,1423950
2012-04-12,5.4,5.4,5.4,5.4,3.92,589860
2012-04-13,5.6,5.4,5.6,5.6,4.06,5228240
2012-04-16,5.8,5.5,5.7,5.8,4.21,1136750
2012-04-17,6.0,5.9,6.0,6.0,4.35,667640
2012-04-18,6.3,6.1,6.3,6.3,4.57,1415090
2012-04-19,6.5,6.0,6.3,6.0,4.35,3160790
2012-04-20,6.0,5.7,5.8,5.7,4.13,1926930
2012-04-23,5.9,5.7,5.7,5.9,4.28,1612620
2012-04-24,6.0,5.7,5.9,5.9,4.28,1066980
2012-04-25,6.1,6.0,6.0,6.1,4.42,812290
