Date,High,Low,Open,Close,adjust,Volume
2012-01-03,45.7,45.7,45.7,45.7,22.22,1020
2012-01-04,45.0,45.0,45.0,45.0,21.88,7000
2012-01-05,45.0,45.0,45.0,45.0,21.88,100
2012-01-06,45.0,43.5,45.0,43.5,21.15,110
2012-01-09,43.5,43.5,43.5,43.5,21.15,15110
2012-01-10,41.4,41.4,41.4,41.4,20.13,116510
2012-01-11,41.5,41.4,41.4,41.5,20.18,1050
2012-01-12,41.5,41.5,41.5,41.5,20.18,10030
2012-01-13,40.5,40.0,40.5,40.1,19.5,99800
2012-01-16,41.4,41.4,41.4,41.4,20.13,100
2012-01-17,39.5,39.5,39.5,39.5,19.21,10480
2012-01-18,39.5,39.5,39.5,39.5,19.21,100
2012-01-19,41.3,41.3,41.3,41.3,20.08,500
2012-01-20,41.0,41.0,41.0,41.0,19.94,2500
2012-01-30,41.3,41.1,41.1,41.1,19.98,2210
2012-01-31,41.5,41.2,41.2,41.2,20.03,390
2012-02-01,43.0,41.3,43.0,41.3,20.08,2690
2012-02-02,42.0,41.4,41.4,42.0,20.42,4620
2012-02-03,42.0,42.0,42.0,42.0,20.42,0
2012-02-06,40.0,40.0,40.0,40.0,19.45,10
2012-02-07,39.3,39.0,39.2,39.3,19.11,2600
2012-02-08,41.2,41.0,41.0,41.2,20.03,9650
2012-02-09,41.2,41.2,41.2,41.2,20.03,5450
2012-02-10,41.4,40.0,41.4,40.0,19.45,5800
2012-02-13,41.7,41.7,41.7,41.7,20.28,110
2012-02-14,41.0,40.0,41.0,40.0,19.45,54200
2012-02-15,38.2,38.0,38.0,38.0,18.48,42780
2012-02-16,39.8,36.1,36.1,36.2,17.6,36810
2012-02-17,37.7,36.2,36.2,37.7,18.33,71210
2012-02-20,39.5,37.7,37.7,39.5,19.21,1620
2012-02-21,39.6,39.5,39.5,39.5,19.21,4060
2012-02-22,39.5,38.0,39.5,39.4,19.16,3110
2012-02-23,39.4,39.0,39.0,39.3,19.11,1100
2012-02-24,39.4,39.0,39.0,39.4,19.16,3640
2012-02-27,39.4,39.0,39.4,39.0,18.96,1780
2012-02-28,39.0,38.5,39.0,38.5,18.72,222160
2012-02-29,38.0,37.5,37.5,38.0,18.48,3270
