Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.5,8.3,8.4,8.3,1.0,101880
2012-01-04,8.3,8.1,8.3,8.1,0.97,230970
2012-01-05,8.2,8.0,8.0,8.0,0.96,377770
2012-01-06,8.0,7.8,8.0,7.9,0.95,245600
2012-01-09,8.1,7.8,8.0,8.1,0.97,80650
2012-01-10,8.4,8.2,8.2,8.3,1.0,173460
2012-01-11,8.4,8.1,8.3,8.2,0.98,130410
2012-01-12,8.3,8.1,8.1,8.3,1.0,85850
2012-01-13,8.4,8.1,8.3,8.4,1.01,124120
2012-01-16,8.8,8.4,8.5,8.7,1.04,174630
2012-01-17,8.8,8.7,8.7,8.8,1.06,113650
2012-01-18,9.2,8.8,8.8,9.2,1.1,177500
2012-01-19,9.6,9.2,9.2,9.6,1.15,404220
2012-01-20,9.9,9.5,9.8,9.8,1.18,256170
2012-01-30,10.1,9.8,10.0,10.0,1.2,139900
2012-01-31,10.4,9.8,10.0,9.8,1.18,242060
2012-02-01,9.8,9.5,9.6,9.5,1.14,316420
2012-02-02,9.9,9.5,9.8,9.9,1.19,284820
2012-02-03,10.3,9.5,10.2,9.5,1.14,476740
2012-02-06,9.6,9.2,9.3,9.6,1.15,82540
2012-02-07,9.8,9.5,9.7,9.6,1.15,262360
2012-02-08,10.0,9.6,9.7,10.0,1.2,229680
2012-02-09,10.0,9.7,10.0,9.7,1.16,163330
2012-02-10,9.7,9.4,9.7,9.5,1.14,308130
2012-02-13,9.5,9.2,9.2,9.5,1.14,181610
2012-02-14,9.7,9.4,9.4,9.7,1.16,168180
2012-02-15,9.8,9.5,9.7,9.6,1.15,189510
2012-02-16,9.8,9.5,9.6,9.7,1.16,128540
2012-02-17,9.9,9.7,9.8,9.9,1.19,240380
2012-02-20,10.3,10.1,10.1,10.3,1.24,518480
2012-02-21,10.8,10.2,10.7,10.8,1.3,752560
2012-02-22,11.3,10.7,10.7,11.3,1.36,659000
2012-02-23,11.8,11.5,11.8,11.8,1.42,690180
2012-02-24,12.0,11.4,12.0,11.4,1.37,1238220
2012-02-27,11.9,11.3,11.4,11.9,1.43,810470
2012-02-28,11.9,11.4,11.9,11.4,1.37,951160
2012-02-29,11.3,11.0,11.1,11.3,1.36,466180
2012-03-01,11.8,11.2,11.5,11.8,1.42,807750
2012-03-02,12.2,11.6,11.6,12.2,1.46,737430
2012-03-05,12.8,12.4,12.4,12.8,1.54,603960
2012-03-06,13.4,12.2,13.4,12.3,1.48,1539310
2012-03-07,12.5,11.8,12.3,12.5,1.5,911850
2012-03-08,12.5,11.9,12.0,11.9,1.43,792630
2012-03-09,12.3,11.8,11.8,12.0,1.44,563350
2012-03-12,11.9,11.4,11.9,11.4,1.37,765150
2012-03-13,11.8,11.4,11.6,11.8,1.42,579810
2012-03-14,11.9,11.6,11.7,11.8,1.42,376770
2012-03-15,12.3,11.3,11.6,12.3,1.48,1295960
2012-03-16,12.8,12.2,12.8,12.5,1.5,865900
2012-03-19,12.7,12.0,12.2,12.4,1.49,551020
2012-03-20,12.7,12.2,12.3,12.6,1.51,471570
2012-03-21,13.0,12.5,12.7,12.6,1.51,662090
2012-03-22,12.8,12.5,12.5,12.7,1.52,305900
2012-03-23,12.9,12.5,12.7,12.7,1.52,700300
2012-03-26,12.9,12.6,12.9,12.6,1.51,499190
2012-03-27,12.6,12.1,12.6,12.3,1.48,852730
2012-03-28,12.4,12.0,12.0,12.2,1.46,306990
2012-03-29,12.3,12.0,12.2,12.1,1.45,426850
2012-03-30,12.1,11.8,12.0,11.9,1.43,385830
2012-04-03,12.3,11.9,12.2,12.3,1.48,244930
2012-04-04,12.3,11.9,12.3,12.1,1.45,269400
2012-04-05,12.6,11.9,12.2,12.4,1.49,318660
2012-04-06,13.0,12.5,12.5,13.0,1.56,1344620
2012-04-09,13.6,13.2,13.2,13.6,1.63,1176320
2012-04-10,13.7,13.5,13.7,13.6,1.69,768920
2012-04-11,14.2,13.9,14.2,14.2,1.77,518920
2012-04-12,14.9,14.6,14.8,14.9,1.86,655880
2012-04-13,15.6,14.9,15.4,15.4,1.92,2471910
2012-04-16,16.1,15.8,16.0,16.1,2.01,522240
2012-04-17,16.9,16.9,16.9,16.9,2.11,200220
2012-04-18,17.7,17.4,17.7,17.7,2.21,989070
2012-04-19,18.5,16.9,18.5,16.9,2.11,2779810
2012-04-20,17.3,16.1,16.4,16.2,2.02,1285570
2012-04-23,17.0,16.9,17.0,17.0,2.12,167060
2012-04-24,17.8,17.8,17.8,17.8,2.22,149020
2012-04-25,18.6,18.6,18.6,18.6,2.32,131920
2012-04-26,19.5,19.1,19.4,19.5,2.43,2270300
2012-04-27,20.3,19.2,20.2,20.3,2.53,626720
2012-05-02,20.4,19.3,20.4,19.3,2.4,863600
2012-05-03,20.2,18.4,18.5,20.0,2.49,1913500
2012-05-04,20.5,19.6,20.0,19.7,2.45,797480
2012-05-07,20.2,19.5,20.0,19.8,2.47,798700
2012-05-08,19.8,18.9,19.8,19.1,2.38,914450
2012-05-09,19.1,18.6,18.7,19.0,2.37,518450
2012-05-10,19.9,19.0,19.0,19.9,2.48,1777660
2012-05-11,20.8,20.0,20.8,20.6,2.57,1267550
2012-05-14,20.2,19.6,20.0,19.6,2.44,791790
2012-05-15,19.6,18.7,18.9,18.7,2.33,1028850
2012-05-16,18.7,17.8,18.7,17.8,2.22,828700
2012-05-17,18.1,17.0,17.2,17.0,2.12,1032720
2012-05-18,16.9,16.2,16.6,16.3,2.03,750420
2012-05-21,17.1,16.9,17.0,17.1,2.13,350710
2012-05-22,17.9,17.9,17.9,17.9,2.23,362350
2012-05-23,18.7,17.9,18.7,18.2,2.27,1948420
2012-05-24,18.5,17.3,18.5,17.3,2.16,868170
2012-05-25,18.1,18.0,18.1,18.1,2.26,262940
2012-05-28,19.0,18.6,19.0,19.0,2.37,1144340
2012-05-29,19.5,18.3,18.5,18.9,2.36,527280
2012-05-30,19.8,19.4,19.8,19.8,2.47,534910
2012-05-31,20.7,19.4,19.8,20.1,2.5,960190
2012-06-01,20.4,19.1,20.1,19.2,2.39,2547590
2012-06-04,19.2,18.3,19.2,18.5,2.31,1875040
2012-06-05,19.4,18.3,18.8,19.4,2.42,1667550
2012-06-06,19.7,18.8,19.0,19.4,2.42,461950
2012-06-07,20.2,19.2,19.5,19.7,2.45,1175900
2012-06-08,20.6,19.7,19.8,20.1,2.5,2916180
2012-06-11,21.1,20.0,20.1,21.1,2.63,1466970
2012-06-12,22.0,20.9,21.5,20.9,2.6,1369520
2012-06-13,20.9,20.2,20.9,20.2,2.52,2336070
2012-06-14,20.1,19.3,20.0,19.5,2.43,1333470
2012-06-15,20.3,19.4,19.4,20.0,2.49,859040
2012-06-18,20.9,20.0,20.4,20.3,2.53,674400
2012-06-19,20.3,19.7,20.3,19.9,2.48,688050
2012-06-20,20.4,19.7,20.1,20.0,2.49,479540
2012-06-21,20.4,19.8,19.8,19.9,2.48,507400
2012-06-22,20.0,19.5,19.8,19.5,2.43,965970
2012-06-25,19.7,18.6,19.5,18.8,2.34,1325130
2012-06-26,18.8,18.1,18.8,18.1,2.26,743710
2012-06-27,18.2,17.4,18.2,17.4,2.23,798580
2012-06-28,17.5,16.8,17.5,17.4,2.23,657460
2012-06-29,18.1,17.4,17.5,17.8,2.28,586570
2012-07-02,18.1,17.1,18.1,17.1,2.19,613800
2012-07-03,17.3,16.3,17.0,16.6,2.13,803560
2012-07-04,16.9,16.0,16.6,16.0,2.05,429580
2012-07-05,16.8,15.7,16.0,16.8,2.15,581870
2012-07-06,17.6,16.8,17.0,17.5,2.24,483830
2012-07-09,17.5,16.7,17.5,16.7,2.14,616260
2012-07-10,16.8,16.4,16.4,16.6,2.13,253760
2012-07-11,17.2,16.6,16.6,17.1,2.19,271380
2012-07-12,17.7,17.0,17.1,17.7,2.27,377240
2012-07-13,18.5,17.7,17.7,18.5,2.37,975000
2012-07-16,19.0,18.0,18.7,18.0,2.31,669040
2012-07-17,18.9,18.0,18.0,18.9,2.42,881850
2012-07-18,19.4,18.4,19.2,18.9,2.42,656570
2012-07-19,19.8,18.7,18.8,19.6,2.51,800680
2012-07-20,19.8,18.9,19.8,18.9,2.42,1140660
2012-07-23,19.1,18.2,18.7,18.5,2.37,804210
2012-07-24,18.5,17.8,18.4,17.9,2.29,775540
2012-07-25,18.2,17.7,17.7,18.0,2.31,564670
2012-07-26,18.4,17.9,18.3,18.3,2.35,770280
2012-07-27,18.7,18.3,18.5,18.3,2.35,600130
2012-07-30,18.5,18.1,18.2,18.3,2.35,195050
2012-07-31,18.5,18.1,18.2,18.2,2.33,275860
2012-08-01,18.3,17.9,18.2,18.1,2.32,369740
2012-08-02,18.3,18.0,18.0,18.2,2.33,317710
2012-08-03,18.3,18.0,18.1,18.1,2.32,209040
2012-08-06,18.9,18.2,18.2,18.7,2.4,563110
2012-08-07,18.8,18.3,18.5,18.3,2.35,483510
2012-08-08,18.7,18.4,18.5,18.6,2.38,325400
2012-08-09,19.1,18.6,18.7,18.7,2.4,556910
2012-08-10,18.7,18.3,18.5,18.3,2.35,281580
2012-08-13,18.4,18.1,18.4,18.2,2.33,292670
2012-08-14,18.7,18.3,18.4,18.5,2.37,359060
2012-08-15,18.7,18.4,18.5,18.5,2.37,238710
2012-08-16,18.6,18.3,18.5,18.4,2.36,189130
2012-08-17,18.7,18.3,18.4,18.6,2.38,347110
2012-08-20,18.9,18.6,18.7,18.8,2.41,600710
2012-08-21,18.5,17.9,17.9,17.9,2.29,1292980
2012-08-22,17.6,17.1,17.3,17.1,2.19,1909360
2012-08-23,16.6,16.3,16.6,16.3,2.09,752450
2012-08-24,17.1,15.5,15.5,17.0,2.18,1289410
2012-08-27,16.6,16.2,16.5,16.2,2.08,426880
2012-08-28,16.4,15.8,16.0,16.2,2.08,244970
2012-08-29,17.0,16.5,16.8,17.0,2.18,424590
2012-08-30,17.5,16.8,16.9,17.2,2.2,531360
2012-08-31,17.3,16.9,17.0,17.1,2.19,232100
2012-09-04,17.9,17.0,17.3,17.9,2.29,781640
2012-09-05,18.7,17.9,18.3,18.5,2.37,1892670
2012-09-06,18.7,18.1,18.5,18.4,2.36,570480
2012-09-07,18.6,18.2,18.4,18.5,2.37,345380
2012-09-10,18.5,17.6,18.4,17.6,2.26,830500
2012-09-11,18.0,17.4,17.4,18.0,2.31,290420
2012-09-12,18.5,18.1,18.2,18.1,2.32,316590
2012-09-13,18.3,18.0,18.1,18.3,2.35,228180
2012-09-14,18.7,18.0,18.5,18.0,2.31,555800
2012-09-17,18.5,17.8,18.0,17.8,2.28,267240
2012-09-18,17.9,17.1,17.8,17.1,2.19,281520
2012-09-19,17.5,16.7,16.7,17.5,2.24,480190
2012-09-20,17.9,17.2,17.2,17.9,2.29,495060
2012-09-21,18.7,17.8,18.1,18.7,2.4,2224730
2012-09-24,18.2,18.0,18.0,18.1,2.32,294380
2012-09-25,18.3,18.0,18.0,18.1,2.32,160610
2012-09-26,18.4,18.1,18.1,18.1,2.32,258780
2012-09-27,18.3,17.7,18.1,17.9,2.29,161590
2012-09-28,17.7,17.4,17.5,17.4,2.29,183930
2012-10-01,17.2,16.7,17.2,16.7,2.2,466080
2012-10-02,17.0,16.6,16.7,16.7,2.2,559280
2012-10-03,17.0,16.7,16.7,16.8,2.21,335290
2012-10-04,17.0,16.7,16.9,16.7,2.2,148450
2012-10-05,17.0,16.7,16.7,16.9,2.23,227340
2012-10-08,17.4,17.1,17.1,17.3,2.28,384720
2012-10-09,17.4,17.1,17.3,17.1,2.25,114420
