Date,High,Low,Open,Close,adjust,Volume
2012-01-03,3.0,2.9,2.9,2.9,1.62,5210
2012-01-04,3.0,2.9,2.9,3.0,1.68,18670
2012-01-05,3.0,2.9,2.9,2.9,1.62,23010
2012-01-06,2.9,2.8,2.9,2.9,1.62,9360
2012-01-09,2.9,2.8,2.9,2.9,1.62,33780
2012-01-10,3.0,2.8,2.9,2.8,1.57,152760
2012-01-11,2.9,2.8,2.8,2.9,1.62,31600
2012-01-12,2.9,2.8,2.9,2.8,1.57,114810
2012-01-13,2.9,2.8,2.8,2.9,1.62,14170
2012-01-16,3.0,2.9,3.0,2.9,1.62,28200
2012-01-17,3.0,2.9,2.9,2.9,1.62,70980
2012-01-18,3.0,2.9,3.0,3.0,1.68,27430
2012-01-19,3.0,3.0,3.0,3.0,1.68,63100
2012-01-20,3.1,3.0,3.0,3.0,1.68,48930
2012-01-30,3.1,3.0,3.0,3.1,1.73,228450
2012-01-31,3.2,3.1,3.1,3.2,1.79,137130
2012-02-01,3.3,3.1,3.2,3.2,1.79,112340
2012-02-02,3.2,3.1,3.2,3.2,1.79,198230
2012-02-03,3.2,3.1,3.2,3.1,1.73,89650
2012-02-06,3.1,3.0,3.1,3.0,1.68,18640
2012-02-07,3.0,2.9,3.0,2.9,1.62,73410
2012-02-08,3.0,2.9,2.9,3.0,1.68,482410
2012-02-09,3.1,3.0,3.1,3.1,1.73,152390
2012-02-10,3.1,3.0,3.1,3.0,1.68,33260
2012-02-13,3.0,2.9,3.0,2.9,1.62,105580
2012-02-14,3.0,2.9,2.9,3.0,1.68,109730
2012-02-15,3.0,2.9,3.0,2.9,1.62,147440
2012-02-16,3.0,2.9,2.9,2.9,1.62,17130
2012-02-17,3.0,2.9,2.9,2.9,1.62,81220
2012-02-20,3.0,3.0,3.0,3.0,1.68,182770
2012-02-21,3.1,2.9,3.1,3.0,1.68,158190
2012-02-22,3.1,2.9,2.9,3.1,1.73,129230
2012-02-23,3.2,3.0,3.1,3.2,1.79,300360
2012-02-24,3.3,3.3,3.3,3.3,1.85,471820
2012-02-27,3.4,3.4,3.4,3.4,1.9,68640
2012-02-28,3.5,3.4,3.5,3.5,1.96,504140
2012-02-29,3.6,3.6,3.6,3.6,2.01,388470
2012-03-01,3.7,3.7,3.7,3.7,2.07,44180
2012-03-02,3.8,3.8,3.8,3.8,2.12,30050
2012-03-05,3.9,3.9,3.9,3.9,2.18,104920
2012-03-06,4.0,4.0,4.0,4.0,2.24,331180
2012-03-07,4.2,4.0,4.2,4.2,2.35,1235460
2012-03-08,4.4,4.2,4.3,4.4,2.46,1152890
2012-03-09,4.6,4.6,4.6,4.6,2.57,624960
2012-03-12,4.8,4.4,4.8,4.4,2.46,1236380
2012-03-13,4.4,4.2,4.3,4.2,2.35,565840
2012-03-14,4.3,4.0,4.1,4.0,2.24,489990
2012-03-15,4.2,3.8,3.9,4.2,2.35,634320
2012-03-16,4.4,4.2,4.4,4.4,2.46,202690
2012-03-19,4.4,4.2,4.3,4.2,2.35,401090
2012-03-20,4.3,4.1,4.1,4.3,2.4,128000
2012-03-21,4.5,4.3,4.3,4.5,2.52,1058110
2012-03-22,4.7,4.5,4.5,4.7,2.63,1247630
2012-03-23,4.9,4.8,4.9,4.9,2.74,883730
2012-03-26,5.1,5.0,5.1,5.1,2.85,983360
2012-03-27,5.3,5.1,5.3,5.2,2.91,1351720
2012-03-28,5.3,5.0,5.1,5.0,2.8,875270
2012-03-29,5.1,4.8,5.1,4.8,2.68,778570
2012-03-30,4.8,4.6,4.7,4.6,2.57,1334750
2012-04-03,4.8,4.5,4.5,4.8,2.68,522590
2012-04-04,4.9,4.7,4.8,4.8,2.68,296890
2012-04-05,4.8,4.6,4.6,4.7,2.63,691670
2012-04-06,4.7,4.5,4.6,4.6,2.57,848230
2012-04-09,4.8,4.5,4.5,4.8,2.68,210110
2012-04-10,5.0,4.7,4.9,4.9,2.74,543430
2012-04-11,5.1,4.8,5.0,5.0,2.8,616820
2012-04-12,5.2,5.0,5.1,5.1,2.85,617690
2012-04-13,5.2,4.9,5.2,5.0,2.8,631080
2012-04-16,5.1,4.9,4.9,5.0,2.8,302540
2012-04-17,5.2,4.9,5.1,5.2,2.91,1155630
2012-04-18,5.3,5.1,5.2,5.1,2.85,437490
2012-04-19,5.2,4.9,5.0,4.9,2.74,339570
2012-04-20,5.1,4.9,4.9,5.1,2.85,506930
2012-04-23,5.3,5.1,5.3,5.2,2.91,734870
2012-04-24,5.3,5.1,5.1,5.3,2.96,363690
2012-04-25,5.5,5.2,5.3,5.5,3.08,715180
2012-04-26,5.6,5.4,5.5,5.4,3.02,415960
2012-04-27,5.6,5.4,5.4,5.6,3.13,916460
2012-05-02,5.8,5.7,5.7,5.8,3.24,277310
2012-05-03,6.0,6.0,6.0,6.0,3.35,806370
2012-05-04,6.3,6.3,6.3,6.3,3.52,350130
2012-05-07,6.6,6.6,6.6,6.6,3.69,202110
2012-05-08,6.9,6.9,6.9,6.9,3.86,50390
2012-05-09,7.2,6.9,7.2,7.2,4.03,1630000
2012-05-10,7.5,7.5,7.5,7.5,4.19,367550
2012-05-11,7.8,7.4,7.8,7.4,4.14,2782040
2012-05-14,7.5,7.1,7.4,7.1,3.97,1270240
2012-05-15,7.0,6.8,6.8,6.8,3.8,232900
2012-05-16,6.7,6.5,6.5,6.5,3.63,989710
2012-05-17,6.8,6.2,6.3,6.2,3.47,427060
2012-05-18,6.5,5.9,6.2,6.2,3.47,298190
2012-05-21,6.5,6.2,6.2,6.5,3.63,468410
2012-05-22,6.8,6.5,6.7,6.8,3.8,685480
2012-05-23,6.9,6.5,6.8,6.5,3.63,350090
2012-05-24,6.5,6.2,6.5,6.2,3.47,334240
2012-05-25,6.5,6.2,6.2,6.5,3.63,299670
2012-05-28,6.8,6.5,6.8,6.6,3.69,239600
2012-05-29,6.7,6.4,6.4,6.7,3.75,204500
2012-05-30,6.8,6.5,6.5,6.6,3.69,118160
2012-05-31,6.5,6.3,6.4,6.3,3.52,224440
2012-06-01,6.4,6.2,6.2,6.3,3.52,30120
2012-06-04,6.3,6.0,6.1,6.0,3.35,355430
2012-06-05,6.3,5.7,5.8,6.3,3.52,150830
2012-06-06,6.4,6.2,6.3,6.3,3.52,142210
2012-06-07,6.6,6.4,6.4,6.6,3.69,382340
2012-06-08,6.9,6.5,6.6,6.5,3.63,285640
2012-06-11,6.6,6.4,6.6,6.5,3.63,74590
2012-06-12,6.6,6.3,6.5,6.3,3.52,100480
2012-06-13,6.4,6.2,6.3,6.2,3.47,86940
2012-06-14,6.3,5.9,6.2,5.9,3.3,109330
2012-06-15,6.1,6.0,6.0,6.1,3.41,129650
2012-06-18,6.4,6.2,6.4,6.2,3.47,115640
2012-06-19,6.4,6.0,6.4,6.2,3.47,20670
2012-06-20,6.2,5.9,6.2,6.1,3.41,40730
2012-06-21,6.1,5.9,6.0,5.9,3.3,90580
2012-06-22,5.9,5.7,5.9,5.9,3.3,153290
2012-06-25,5.9,5.7,5.8,5.7,3.19,96140
2012-06-26,5.7,5.5,5.5,5.5,3.08,123930
2012-06-27,5.6,5.3,5.3,5.3,2.96,74530
2012-06-28,5.2,5.1,5.2,5.1,2.85,117310
2012-06-29,5.3,4.9,5.1,5.3,2.96,36440
2012-07-02,5.3,5.1,5.2,5.1,2.85,60740
2012-07-03,5.0,4.9,5.0,4.9,2.74,110990
2012-07-04,5.0,4.9,4.9,4.9,2.74,34870
2012-07-05,4.8,4.7,4.8,4.7,2.63,172700
2012-07-06,4.8,4.5,4.6,4.5,2.52,156700
2012-07-09,4.6,4.3,4.4,4.3,2.4,94890
2012-07-10,4.4,4.2,4.2,4.3,2.4,13250
2012-07-11,4.5,4.3,4.3,4.5,2.52,35040
2012-07-12,4.7,4.6,4.7,4.7,2.63,192320
2012-07-13,4.9,4.9,4.9,4.9,2.74,92090
2012-07-16,5.0,4.7,5.0,4.9,2.74,20750
2012-07-17,5.1,4.9,4.9,5.0,2.8,41000
2012-07-18,5.0,4.8,4.8,4.9,2.74,123120
2012-07-19,5.1,4.8,4.8,5.1,2.85,54000
2012-07-20,5.3,5.0,5.3,5.0,2.8,122730
2012-07-23,5.2,4.8,4.8,4.9,2.74,11810
2012-07-24,5.0,4.7,4.8,4.7,2.63,47180
2012-07-25,4.9,4.7,4.8,4.7,2.63,54200
2012-07-26,4.9,4.7,4.9,4.8,2.68,60380
2012-07-27,4.9,4.7,4.8,4.8,2.68,28530
2012-07-30,4.8,4.7,4.8,4.8,2.68,56490
2012-07-31,4.9,4.7,4.8,4.7,2.63,17430
2012-08-01,4.7,4.6,4.6,4.7,2.63,3830
2012-08-02,4.9,4.5,4.8,4.6,2.57,7570
2012-08-03,4.7,4.6,4.6,4.6,2.57,18900
2012-08-06,4.8,4.6,4.6,4.6,2.57,22260
2012-08-07,4.8,4.6,4.7,4.8,2.68,157600
2012-08-08,5.0,4.9,4.9,5.0,2.8,63060
2012-08-09,5.2,5.0,5.1,5.0,2.8,184080
2012-08-10,5.2,5.0,5.2,5.0,2.8,34600
2012-08-13,5.1,5.0,5.0,5.1,2.85,37690
2012-08-14,5.2,5.1,5.1,5.1,2.85,39600
2012-08-15,5.2,5.0,5.2,5.2,2.91,40310
2012-08-16,5.2,5.0,5.0,5.1,2.85,55070
2012-08-17,5.2,5.0,5.1,5.1,2.85,67870
2012-08-20,5.3,5.2,5.2,5.2,2.91,51610
2012-08-21,5.2,5.0,5.2,5.0,2.8,89000
2012-08-22,4.9,4.8,4.8,4.8,2.68,200870
2012-08-23,4.7,4.6,4.7,4.6,2.57,121510
2012-08-24,4.8,4.4,4.4,4.8,2.68,35580
2012-08-27,4.8,4.6,4.6,4.6,2.57,37920
2012-08-28,4.8,4.4,4.8,4.7,2.63,32030
2012-08-29,4.8,4.7,4.8,4.7,2.63,12050
2012-08-30,4.9,4.9,4.9,4.9,2.74,15610
2012-08-31,5.1,4.7,5.0,4.7,2.63,7720
2012-09-04,4.9,4.9,4.9,4.9,2.74,23000
2012-09-05,5.1,4.8,4.9,4.8,2.68,81130
2012-09-06,5.0,4.7,5.0,4.9,2.74,21010
2012-09-07,5.0,4.8,4.8,4.8,2.68,66860
2012-09-10,4.9,4.6,4.9,4.6,2.57,66100
2012-09-11,4.7,4.5,4.5,4.7,2.63,8540
2012-09-12,4.9,4.8,4.8,4.8,2.68,1320
2012-09-13,4.8,4.7,4.8,4.7,2.63,15250
2012-09-14,4.8,4.6,4.8,4.8,2.68,44890
2012-09-17,4.9,4.6,4.6,4.6,2.57,39910
2012-09-18,4.6,4.5,4.6,4.6,2.57,92610
2012-09-19,4.6,4.4,4.6,4.4,2.46,23060
2012-09-20,4.4,4.2,4.4,4.2,2.35,31440
2012-09-21,4.3,4.0,4.1,4.3,2.4,4530
2012-09-24,4.3,4.2,4.2,4.3,2.4,110
2012-09-25,4.3,4.2,4.2,4.3,2.4,5520
2012-09-26,4.4,4.2,4.2,4.4,2.46,7740
2012-09-27,4.4,4.3,4.3,4.4,2.46,4790
2012-09-28,4.4,4.3,4.3,4.4,2.46,3790
2012-10-01,4.3,4.2,4.3,4.2,2.35,12260
2012-10-02,4.2,4.0,4.2,4.2,2.35,6410
2012-10-03,4.2,4.0,4.2,4.2,2.35,24920
2012-10-04,4.2,4.0,4.0,4.2,2.35,20
2012-10-05,4.2,4.0,4.0,4.0,2.24,53500
2012-10-08,4.1,4.0,4.0,4.1,2.29,8500
2012-10-09,4.2,4.0,4.1,4.0,2.24,10810
2012-10-10,4.2,4.0,4.0,4.2,2.35,6470
2012-10-11,4.4,4.2,4.2,4.4,2.46,35840
2012-10-12,4.4,4.2,4.3,4.2,2.35,10100
2012-10-15,4.1,4.1,4.1,4.1,2.29,150
2012-10-16,4.3,4.0,4.0,4.3,2.4,10190
2012-10-17,4.3,4.2,4.2,4.3,2.4,12710
2012-10-18,4.3,4.2,4.2,4.2,2.35,18000
2012-10-19,4.1,4.0,4.1,4.0,2.24,16500
2012-10-22,4.0,3.9,4.0,3.9,2.18,10210
2012-10-23,4.0,3.8,3.9,3.9,2.18,35810
2012-10-24,4.0,3.8,3.8,3.9,2.18,20160
2012-10-25,4.0,3.8,3.9,3.8,2.12,5210
2012-10-26,3.9,3.7,3.7,3.7,2.07,20030
2012-10-29,3.8,3.6,3.6,3.7,2.07,10110
2012-10-30,3.8,3.7,3.7,3.7,2.07,10530
2012-10-31,3.7,3.7,3.7,3.7,2.07,1040
2012-11-01,3.8,3.7,3.7,3.8,2.12,2830
2012-11-02,3.8,3.7,3.8,3.7,2.07,19120
2012-11-05,3.7,3.6,3.6,3.6,2.01,26530
2012-11-06,3.7,3.6,3.6,3.7,2.07,9970
2012-11-07,3.8,3.7,3.8,3.7,2.07,7850
2012-11-08,3.8,3.8,3.8,3.8,2.12,13710
2012-11-09,3.9,3.8,3.8,3.8,2.12,1310
2012-11-12,3.9,3.8,3.9,3.9,2.18,16870
2012-11-13,4.0,3.8,3.9,4.0,2.24,5630
2012-11-14,4.0,3.9,4.0,3.9,2.18,9020
2012-11-15,3.9,3.8,3.8,3.8,2.12,5800
2012-11-16,3.9,3.7,3.7,3.9,2.18,10020
2012-11-19,3.9,3.8,3.9,3.9,2.18,11220
