Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.3,6.8,7.3,6.9,1.9,1410
2012-01-04,7.2,7.2,7.2,7.2,1.98,10
2012-01-05,7.1,6.9,6.9,7.1,1.95,1010
2012-01-06,7.1,7.1,7.1,7.1,1.95,0
2012-01-09,6.8,6.8,6.8,6.8,1.87,700
2012-01-10,6.9,6.9,6.9,6.9,1.9,20
2012-01-11,7.0,6.8,7.0,7.0,1.93,2030
2012-01-12,7.0,7.0,7.0,7.0,1.93,0
2012-01-13,7.0,7.0,7.0,7.0,1.93,0
2012-01-16,7.0,7.0,7.0,7.0,1.93,24000
2012-01-17,6.7,6.7,6.7,6.7,1.84,30
2012-01-18,6.9,6.9,6.9,6.9,1.9,20
2012-01-19,6.9,6.6,6.6,6.9,1.9,2280
2012-01-20,6.8,6.8,6.8,6.8,1.87,1100
2012-01-30,6.9,6.9,6.9,6.9,1.9,10
2012-01-31,7.2,6.9,7.0,7.1,1.95,2310
2012-02-01,7.2,7.2,7.2,7.2,1.98,10
2012-02-02,7.2,7.0,7.2,7.2,1.98,400
2012-02-03,7.3,7.0,7.2,7.3,2.01,7330
2012-02-06,7.4,7.2,7.4,7.2,1.98,20
2012-02-07,7.2,7.0,7.0,7.2,1.98,2020
2012-02-08,7.2,7.0,7.1,7.2,1.98,1950
2012-02-09,7.1,7.0,7.0,7.1,1.95,5100
2012-02-10,7.1,7.0,7.0,7.1,1.95,2010
2012-02-13,7.1,7.0,7.1,7.0,1.93,90
2012-02-14,7.1,7.0,7.0,7.1,1.95,2020
2012-02-15,7.2,6.9,7.1,7.0,1.93,3640
2012-02-16,7.0,6.9,7.0,7.0,1.93,630
2012-02-17,7.0,6.8,7.0,6.8,1.87,70
2012-02-20,7.0,6.7,6.9,6.8,1.87,2970
2012-02-21,7.0,6.8,7.0,7.0,1.93,1110
2012-02-22,7.1,6.9,7.0,7.1,1.95,4100
2012-02-23,7.2,7.0,7.2,7.1,1.95,2080
2012-02-24,7.2,7.0,7.1,7.2,1.98,8570
2012-02-27,7.2,7.0,7.2,7.1,1.95,6960
2012-02-28,7.2,7.0,7.2,7.2,1.98,12640
2012-02-29,7.3,7.0,7.3,7.0,1.93,1950
2012-03-01,7.1,6.9,7.1,7.1,1.95,4520
2012-03-02,7.4,7.1,7.2,7.4,2.04,23410
2012-03-05,7.7,7.1,7.1,7.7,2.12,39920
2012-03-06,8.0,7.6,8.0,7.9,2.17,5450
2012-03-07,8.0,7.9,8.0,7.9,2.17,1210
2012-03-08,7.9,7.6,7.7,7.6,2.09,20260
2012-03-09,7.9,7.3,7.3,7.9,2.17,43350
2012-03-12,8.0,7.6,8.0,7.9,2.17,20460
2012-03-13,7.7,7.6,7.6,7.6,2.09,5370
2012-03-14,7.7,7.3,7.6,7.6,2.09,6800
2012-03-15,7.6,7.5,7.6,7.5,2.06,3340
2012-03-16,7.7,7.4,7.7,7.4,2.04,4550
2012-03-19,7.5,7.4,7.4,7.4,2.04,2640
2012-03-20,7.6,7.3,7.4,7.6,2.09,740
2012-03-21,7.7,7.4,7.7,7.5,2.06,15190
2012-03-22,7.7,7.4,7.6,7.6,2.09,12520
2012-03-23,7.9,7.7,7.8,7.7,2.12,23890
2012-03-26,7.9,7.6,7.7,7.7,2.12,3600
2012-03-27,7.8,7.6,7.6,7.8,2.15,11190
2012-03-28,8.0,7.6,7.8,7.8,2.15,3100
2012-03-29,8.1,7.8,8.1,7.8,2.15,4610
2012-03-30,7.8,7.8,7.8,7.8,2.15,840
2012-04-03,7.9,7.8,7.9,7.9,2.17,3580
2012-04-04,8.0,7.7,8.0,7.9,2.17,100
2012-04-05,7.9,7.7,7.7,7.7,2.12,2020
2012-04-06,7.9,7.6,7.9,7.8,2.15,4130
2012-04-09,8.0,7.9,7.9,7.9,2.17,8020
2012-04-10,8.0,7.7,7.7,7.8,2.15,15870
2012-04-11,8.1,7.8,7.9,8.1,2.23,10520
2012-04-12,8.3,8.0,8.2,8.3,2.28,8140
2012-04-13,8.4,8.2,8.4,8.2,2.26,5020
2012-04-16,8.5,8.0,8.3,8.5,2.34,6110
2012-04-17,8.7,8.4,8.7,8.7,2.39,21780
2012-04-18,9.0,8.7,9.0,8.8,2.42,4080
2012-04-19,8.9,8.5,8.9,8.5,2.34,5020
2012-04-20,8.6,8.3,8.6,8.6,2.37,5040
2012-04-23,8.5,8.3,8.5,8.5,2.34,47770
2012-04-24,8.5,8.3,8.5,8.5,2.34,3000
2012-04-25,8.8,8.5,8.5,8.8,2.42,22230
2012-04-26,8.9,8.5,8.5,8.9,2.45,8810
2012-04-27,9.0,8.6,8.8,8.6,2.37,8960
2012-05-02,9.0,8.6,8.6,8.6,2.37,12900
2012-05-03,8.9,8.5,8.6,8.6,2.37,11810
2012-05-04,9.0,8.6,8.8,9.0,2.48,8760
2012-05-07,9.3,9.0,9.3,9.3,2.56,20000
2012-05-08,9.5,9.2,9.5,9.3,2.56,30620
2012-05-09,9.5,9.2,9.2,9.4,2.59,12650
2012-05-10,9.7,9.4,9.6,9.6,2.64,36640
2012-05-11,10.0,9.6,9.6,9.9,2.72,83160
2012-05-14,9.9,9.5,9.9,9.6,2.64,29790
2012-05-15,9.7,9.2,9.7,9.2,2.53,24750
2012-05-16,9.3,8.9,9.0,9.3,2.56,73310
2012-05-17,9.4,9.1,9.4,9.1,2.5,36960
2012-05-18,9.0,8.7,9.0,8.8,2.42,33630
2012-05-21,9.2,9.0,9.0,9.2,2.53,4490
2012-05-22,9.5,9.1,9.5,9.3,2.56,9510
2012-05-23,9.1,8.9,9.1,8.9,2.45,50740
2012-05-24,9.0,8.7,8.7,9.0,2.48,2520
2012-05-25,9.2,8.6,9.2,9.0,2.48,7340
2012-05-28,9.2,8.9,9.2,8.9,2.45,3450
