Date,High,Low,Open,Close,adjust,Volume
2018-11-12,27.95,27.95,27.95,27.95,6.48,147670
2018-11-13,29.9,29.9,29.9,29.9,6.93,256400
2018-11-14,31.5,28.7,30.0,30.2,7.0,332170
2018-11-15,30.6,28.6,28.6,30.4,7.05,214090
2018-11-16,31.0,29.5,29.5,30.4,7.05,274160
2018-11-19,30.5,29.3,30.2,30.5,7.07,241150
2018-11-20,30.5,29.5,30.5,29.5,6.84,130070
2018-11-21,29.6,29.0,29.5,29.0,6.72,119290
2018-11-22,29.7,28.1,29.7,29.5,6.84,192500
2018-11-23,29.8,29.0,29.5,29.1,6.75,152850
2018-11-26,30.2,29.5,29.85,30.0,6.95,209270
2018-11-27,30.2,29.7,30.0,30.2,7.0,265630
2018-11-28,30.35,29.7,30.0,30.2,7.0,457020
2018-11-29,30.3,29.75,30.0,30.2,7.0,322000
2018-11-30,26.5,25.1,26.5,25.1,7.04,116870
2018-12-03,25.65,25.1,25.1,25.3,7.1,193120
2018-12-04,24.75,24.0,24.5,24.3,6.82,177060
2018-12-05,24.2,23.5,24.0,23.8,6.68,230920
2018-12-06,24.5,23.5,23.5,24.5,6.87,238730
2018-12-07,24.6,23.5,23.8,24.2,6.79,137610
2018-12-10,24.25,23.4,23.75,23.7,6.65,96290
2018-12-11,23.9,23.3,23.7,23.7,6.65,87890
2018-12-12,23.85,23.4,23.65,23.75,6.66,100300
2018-12-13,23.8,23.3,23.6,23.5,6.59,82280
2018-12-14,23.45,23.0,23.45,23.0,6.45,34080
2018-12-17,23.1,22.65,23.0,22.9,6.42,12810
2018-12-18,22.85,21.4,21.4,21.4,6.0,17080
2018-12-19,22.0,21.0,22.0,21.4,6.0,13640
2018-12-20,21.9,20.2,21.9,21.5,6.03,9800
2018-12-21,23.0,20.7,21.7,23.0,6.45,199450
2018-12-24,24.5,23.0,24.5,23.9,6.7,34740
2018-12-25,23.9,23.0,23.9,23.65,6.63,23060
2018-12-26,24.0,23.0,23.0,23.3,6.54,16140
2018-12-27,23.7,23.35,23.7,23.35,6.55,128010
2018-12-28,24.0,23.0,23.5,23.0,6.45,22110
2019-01-02,23.5,22.8,23.1,23.1,6.48,19450
2019-01-03,23.25,21.6,23.2,23.0,6.45,196230
2019-01-04,23.0,22.9,23.0,22.9,6.42,350
2019-01-07,23.15,22.1,23.15,22.9,6.42,12580
2019-01-08,22.9,22.15,22.9,22.15,6.21,2180
2019-01-09,22.9,22.15,22.15,22.3,6.26,18260
2019-01-10,22.5,22.0,22.5,22.0,6.17,14950
2019-01-11,22.45,22.0,22.4,22.4,6.28,26220
2019-01-14,23.0,22.0,22.0,22.2,6.23,9800
2019-01-15,22.9,21.85,22.3,21.85,6.13,73360
2019-01-16,22.6,21.85,22.5,22.5,6.31,10840
2019-01-17,22.8,21.9,22.4,22.55,6.33,7410
2019-01-18,22.7,21.75,22.55,22.7,6.37,19880
2019-01-21,22.8,22.0,22.5,22.7,6.37,23410
2019-01-22,22.75,22.3,22.6,22.6,6.34,2490
2019-01-23,22.75,22.5,22.65,22.7,6.37,15780
2019-01-24,22.8,22.5,22.8,22.5,6.31,10060
2019-01-25,24.0,22.5,22.5,22.7,6.37,55230
2019-01-28,24.0,22.9,24.0,23.15,6.49,68180
2019-01-29,23.5,22.15,23.5,22.15,6.21,30440
2019-01-30,22.8,22.2,22.8,22.6,6.34,12610
2019-01-31,23.0,22.15,22.6,22.6,6.34,18090
2019-02-01,23.0,22.6,22.6,23.0,6.45,21900
2019-02-11,23.15,22.5,23.0,23.15,6.49,49560
2019-02-12,23.2,22.5,23.1,22.7,6.37,42290
2019-02-13,22.7,22.4,22.7,22.65,6.35,13320
2019-02-14,22.75,22.0,22.6,22.75,6.38,50050
2019-02-15,22.7,22.3,22.65,22.5,6.31,15270
2019-02-18,22.55,21.9,22.5,22.5,6.31,82190
2019-02-19,22.5,22.0,22.0,22.5,6.31,29950
2019-02-20,22.4,22.05,22.05,22.1,6.2,44280
2019-02-21,22.1,21.5,22.1,22.0,6.17,20220
2019-02-22,22.0,21.0,21.9,21.35,5.99,20760
2019-02-25,21.9,21.0,21.0,21.8,6.12,64190
2019-02-26,21.8,21.45,21.6,21.65,6.07,32770
2019-02-27,21.65,21.0,21.55,21.5,6.03,22680
2019-02-28,21.5,21.0,21.5,21.0,5.89,11250
2019-03-01,21.55,20.9,21.0,21.1,5.92,136070
2019-03-04,21.5,21.3,21.5,21.3,5.97,17120
2019-03-05,21.4,21.05,21.3,21.3,5.97,15230
2019-03-06,21.35,21.0,21.1,21.15,5.93,80250
2019-03-07,21.25,21.0,21.15,21.0,5.89,56880
2019-03-08,21.05,21.0,21.0,21.05,5.9,50180
2019-03-11,21.45,20.95,21.45,21.0,5.89,28070
2019-03-12,21.2,20.85,21.2,21.1,5.92,25440
2019-03-13,21.35,20.5,21.15,21.35,5.99,77010
2019-03-14,21.8,21.1,21.35,21.8,6.12,101380
2019-03-15,22.1,21.6,21.85,22.05,6.19,70630
2019-03-18,22.9,22.05,22.05,22.6,6.34,39980
2019-03-19,22.6,21.8,22.5,22.4,6.28,25620
2019-03-20,22.4,21.8,22.4,22.0,6.17,14320
2019-03-21,21.95,21.3,21.6,21.7,6.09,18780
2019-03-22,21.8,21.0,21.7,21.75,6.1,65990
2019-03-25,21.75,20.8,21.75,21.25,5.96,14610
2019-03-26,21.7,20.9,21.65,21.0,5.89,40530
2019-03-27,21.5,21.0,21.0,21.2,5.95,21960
2019-03-28,21.6,21.2,21.6,21.4,6.0,26040
2019-03-29,21.6,21.4,21.4,21.55,6.04,25450
2019-04-01,21.6,21.15,21.4,21.15,5.93,57810
2019-04-02,21.35,21.05,21.2,21.25,5.96,35890
2019-04-03,21.35,21.0,21.35,21.3,5.97,28620
2019-04-04,21.35,21.0,21.3,21.3,5.97,29130
2019-04-05,21.4,21.15,21.3,21.35,5.99,37470
2019-04-08,21.9,21.3,21.9,21.4,6.0,30030
2019-04-09,21.4,21.05,21.3,21.4,6.0,36200
2019-04-10,21.45,21.1,21.15,21.4,6.0,46250
2019-04-11,21.45,21.15,21.15,21.45,6.02,53180
2019-04-12,22.3,21.45,21.45,22.1,6.2,70600
2019-04-16,22.35,21.9,22.35,22.2,6.23,104180
2019-04-17,23.5,22.4,22.45,22.8,6.4,114010
2019-04-18,22.9,22.5,22.9,22.8,6.4,62290
2019-04-19,22.8,22.4,22.5,22.7,6.37,33830
2019-04-22,22.7,22.2,22.5,22.65,6.35,1338608
2019-04-23,22.75,21.9,21.9,22.75,6.38,85420
2019-04-24,23.8,22.8,22.8,23.6,6.62,256240
2019-04-25,23.9,23.25,23.7,23.6,6.62,115950
2019-04-26,23.7,23.5,23.5,23.6,6.62,30340
2019-05-02,23.6,22.6,23.6,22.75,6.38,129870
2019-05-03,22.8,22.3,22.6,22.45,6.3,74970
2019-05-06,22.2,21.7,22.2,21.95,6.16,62570
2019-05-07,22.0,21.8,21.9,22.0,6.17,77590
2019-05-08,21.9,21.6,21.9,21.7,6.09,56830
2019-05-09,21.75,21.05,21.65,21.45,6.02,86070
2019-05-10,21.8,21.25,21.4,21.8,6.12,84870
2019-05-13,21.9,21.7,21.75,21.85,6.13,87180
2019-05-14,21.95,21.4,21.8,21.9,6.14,85420
2019-05-15,22.1,21.8,21.9,22.05,6.19,108610
2019-05-16,22.15,22.0,22.05,22.0,6.17,64850
2019-05-17,22.1,21.85,21.9,21.9,6.14,57760
2019-05-20,22.05,21.85,21.85,22.05,6.19,75450
2019-05-21,23.0,21.95,21.95,22.55,6.33,128170
2019-05-22,22.95,22.5,22.65,22.65,6.35,91490
2019-05-23,22.8,22.15,22.8,22.45,6.3,45390
2019-05-24,23.1,22.5,22.6,23.05,6.47,133720
2019-05-27,23.7,23.05,23.1,23.3,6.54,110190
2019-05-28,23.6,23.15,23.3,23.4,6.56,117570
2019-05-29,23.4,23.0,23.2,23.3,6.54,95040
2019-05-30,23.45,22.9,23.4,22.95,6.44,83770
2019-05-31,23.0,22.7,22.95,22.7,6.37,79110
2019-06-03,22.8,22.5,22.6,22.7,6.37,71300
2019-06-04,22.9,22.6,22.7,22.8,6.4,60220
2019-06-05,23.15,22.8,22.85,23.1,6.48,169290
2019-06-06,23.4,22.3,23.1,23.3,6.54,241700
2019-06-07,22.4,21.7,21.75,22.1,6.63,67490
2019-06-10,22.05,21.7,22.0,21.8,6.54,74810
2019-06-11,21.9,21.5,21.7,21.6,6.48,129820
2019-06-12,21.55,21.0,21.5,21.3,6.39,83190
2019-06-13,21.25,20.9,21.25,21.0,6.3,70650
2019-06-14,21.1,20.95,21.0,21.0,6.3,62070
2019-06-17,21.15,20.9,21.0,20.95,6.28,39450
2019-06-18,21.05,20.65,21.0,20.9,6.27,41630
2019-06-19,21.1,20.85,21.05,21.05,6.31,113510
2019-06-20,21.05,20.85,21.05,21.0,6.3,35000
2019-06-21,21.0,20.75,20.95,20.95,6.28,45100
2019-06-24,21.0,20.85,20.9,20.9,6.27,39600
2019-06-25,21.0,20.85,20.9,21.0,6.3,41350
2019-06-26,21.0,20.85,20.85,20.85,6.25,39750
2019-06-27,20.85,20.75,20.8,20.8,6.24,23790
2019-06-28,20.9,20.7,20.85,20.85,6.25,122100
2019-07-01,21.0,20.7,20.9,20.9,6.27,93880
2019-07-02,20.85,20.4,20.85,20.85,6.25,93280
2019-07-03,20.9,20.75,20.8,20.85,6.25,70610
2019-07-04,21.4,20.85,20.8,21.4,6.42,243150
2019-07-05,21.45,21.35,21.4,21.4,6.42,77590
2019-07-08,21.3,21.15,21.2,21.2,6.36,70010
2019-07-09,21.25,21.0,21.15,21.25,6.37,114060
2019-07-10,21.65,21.1,21.25,21.3,6.39,118920
2019-07-11,21.35,21.0,21.2,21.3,6.39,117170
2019-07-12,21.35,21.15,21.3,21.25,6.37,57840
2019-07-15,21.2,20.4,21.3,20.5,6.15,132820
2019-07-16,20.55,20.2,20.45,20.2,6.06,94040
2019-07-17,20.4,20.15,20.15,20.3,6.09,74690
2019-07-18,20.3,20.0,20.2,20.3,6.09,80250
2019-07-19,20.55,20.25,20.3,20.4,6.12,87320
2019-07-22,20.5,20.05,20.35,20.3,6.09,76120
2019-07-23,20.4,20.2,20.3,20.4,6.12,71910
2019-07-24,20.4,20.15,20.3,20.3,6.09,80810
2019-07-25,20.3,20.0,20.25,20.25,6.07,75730
2019-07-26,20.25,20.0,20.15,20.2,6.06,64610
2019-07-29,20.25,19.7,20.15,20.2,6.06,80220
2019-07-30,20.25,19.8,20.2,19.95,5.98,61020
2019-07-31,20.1,19.5,19.5,20.0,6.0,78270
2019-08-01,20.05,19.9,20.0,20.0,6.0,59440
2019-08-02,20.0,19.75,19.95,19.85,5.95,53140
2019-08-05,19.7,19.5,19.7,19.55,5.86,56310
2019-08-06,19.5,19.1,19.5,19.25,5.77,49750
2019-08-07,19.4,19.0,19.5,19.3,5.79,59310
2019-08-08,19.4,19.2,19.3,19.4,5.82,66240
2019-08-09,19.5,19.35,19.35,19.45,5.83,53260
2019-08-12,19.55,19.1,19.45,19.1,5.73,65240
2019-08-13,19.4,19.05,19.15,19.4,5.82,72350
2019-08-14,19.6,19.3,19.3,19.6,5.88,62740
2019-08-15,19.5,19.15,19.5,19.45,5.83,35890
2019-08-16,19.5,19.0,19.4,19.4,5.82,42630
2019-08-19,19.6,19.35,19.4,19.55,5.86,91150
2019-08-20,19.8,19.5,19.55,19.8,5.94,87760
2019-08-21,19.85,19.55,19.7,19.7,5.91,58300
2019-08-22,19.75,19.4,19.6,19.55,5.86,35930
2019-08-23,19.55,19.25,19.55,19.55,5.86,68090
2019-08-26,19.55,19.0,19.55,19.45,5.83,50890
2019-08-27,19.65,19.3,19.45,19.55,5.86,60250
2019-08-28,19.55,19.4,19.55,19.55,5.86,70400
2019-08-29,19.6,19.4,19.55,19.6,5.88,81630
2019-08-30,19.7,19.45,19.55,19.6,5.88,94170
2019-09-03,19.6,19.4,19.55,19.5,5.85,58070
2019-09-04,19.5,19.35,19.55,19.5,5.85,51470
2019-09-05,19.55,19.4,19.5,19.5,5.85,72960
2019-09-06,19.55,19.35,19.45,19.5,5.85,36720
