Date,High,Low,Open,Close,adjust,Volume
2016-10-25,10.1,9.9,10.0,10.0,5.17,9000
2016-10-26,10.2,9.8,10.0,10.1,5.22,14400
2016-10-27,10.3,10.0,10.1,10.3,5.33,14600
2016-10-28,10.2,10.1,10.2,10.2,5.28,13900
2016-10-31,10.2,10.2,10.2,10.2,5.28,0
2016-11-01,11.0,10.2,10.2,11.0,5.69,2000
2016-11-02,10.5,10.5,10.5,10.5,5.43,3900
2016-11-03,10.5,10.4,10.4,10.5,5.43,3900
2016-11-04,10.5,10.5,10.5,10.5,5.43,0
2016-11-07,10.5,10.4,10.5,10.5,5.43,5800
2016-11-08,10.4,10.1,10.4,10.1,5.22,14800
2016-11-09,10.4,10.4,10.4,10.4,5.38,14800
2016-11-10,10.4,10.4,10.4,10.4,5.38,0
2016-11-11,10.4,10.4,10.4,10.4,5.38,0
2016-11-14,10.4,10.4,10.4,10.4,5.38,100000
2016-11-15,10.0,10.0,10.0,10.0,5.17,150400
2016-11-16,10.0,10.0,10.0,10.0,5.17,0
2016-11-17,10.0,10.0,10.0,10.0,5.17,0
2016-11-18,10.0,10.0,10.0,10.0,5.17,0
2016-11-21,10.0,10.0,10.0,10.0,5.17,1149600
2016-11-22,10.0,10.0,10.0,10.0,5.17,0
2016-11-23,10.0,10.0,10.0,10.0,5.17,0
2016-11-24,10.0,10.0,10.0,10.0,5.17,0
2016-11-25,10.0,10.0,10.0,10.0,5.17,0
2016-11-28,10.0,10.0,10.0,10.0,5.17,0
2016-11-29,10.0,10.0,10.0,10.0,5.17,2000
2016-11-30,10.0,10.0,10.0,10.0,5.17,0
2016-12-01,10.0,10.0,10.0,10.0,5.17,0
2016-12-02,10.0,10.0,10.0,10.0,5.17,99900
2016-12-05,10.0,10.0,10.0,10.0,5.17,0
2016-12-06,11.5,11.5,11.5,11.5,5.95,10000
2016-12-07,13.2,13.2,13.2,13.2,6.83,8200
2016-12-08,15.1,15.1,15.1,15.1,7.81,3400
2016-12-09,16.8,16.3,16.3,16.8,8.69,11700
2016-12-12,19.2,19.2,19.2,19.2,9.93,2000
2016-12-13,22.0,22.0,22.0,22.0,11.38,100
2016-12-14,25.3,25.3,25.3,25.3,13.09,100
2016-12-15,29.0,29.0,29.0,29.0,15.0,100
2016-12-16,33.3,24.7,33.3,32.0,16.55,18100
2016-12-19,35.8,35.0,35.0,35.7,18.47,1700
2016-12-20,40.0,40.0,40.0,40.0,20.69,700
2016-12-21,37.0,37.0,37.0,37.0,19.14,1300
2016-12-22,36.0,35.5,36.0,35.5,18.36,7800
2016-12-23,32.5,30.3,31.0,32.5,16.81,600
2016-12-26,30.5,30.5,30.5,30.5,15.78,5600
2016-12-27,32.0,32.0,32.0,32.0,16.55,3200
2016-12-28,33.0,33.0,33.0,33.0,17.07,1000
2016-12-29,34.0,34.0,34.0,34.0,17.59,3500
2016-12-30,35.2,35.2,35.2,35.2,18.21,2000
2017-01-03,38.0,37.0,37.0,37.5,19.4,1100
2017-01-04,36.1,36.1,36.1,36.1,18.67,500
2017-01-05,31.0,31.0,31.0,31.0,16.04,99400
2017-01-06,32.5,31.6,32.0,32.0,16.55,42000
2017-01-09,34.2,33.0,34.0,33.0,17.07,28500
2017-01-10,35.0,33.0,33.7,33.5,17.33,40800
2017-01-11,34.2,34.0,34.0,34.2,17.69,30300
2017-01-12,33.7,32.8,33.2,33.7,17.43,13900
2017-01-13,34.5,34.0,34.0,34.5,17.85,13500
2017-01-16,36.5,35.0,35.0,36.5,18.88,20200
2017-01-17,35.2,35.2,35.2,35.2,18.21,12000
2017-01-18,34.5,32.0,33.0,34.5,17.85,521700
2017-01-19,34.3,32.0,32.0,34.3,17.74,124400
2017-01-20,37.2,35.2,35.2,37.2,19.24,21000
2017-01-23,37.8,37.5,37.5,37.8,19.55,19200
2017-01-24,38.6,38.2,38.5,38.5,19.92,21000
2017-01-25,38.6,38.5,38.6,38.5,19.92,17700
2017-02-02,44.3,38.5,38.6,44.3,22.92,25100
2017-02-03,42.3,41.8,41.8,42.3,21.88,16100
2017-02-06,42.2,41.5,42.2,41.5,21.47,30300
2017-02-07,41.7,41.6,41.7,41.6,21.52,15600
2017-02-08,41.6,40.9,41.6,40.9,21.16,55800
2017-02-09,40.8,40.3,40.8,40.3,20.85,41400
2017-02-10,40.6,40.4,40.4,40.6,21.0,42900
2017-02-13,40.6,40.0,40.6,40.0,20.69,56800
2017-02-14,40.1,39.8,40.1,39.9,20.64,55700
2017-02-15,40.1,39.6,39.7,40.1,20.74,100200
2017-02-16,40.8,40.1,40.1,40.8,21.11,94900
2017-02-17,41.0,40.5,40.8,41.0,21.21,95700
2017-02-20,42.0,41.0,41.0,42.0,21.73,90000
2017-02-21,42.7,41.7,41.7,42.7,22.09,115200
2017-02-22,43.9,42.7,42.7,43.9,22.71,103300
2017-02-23,45.0,43.6,43.6,45.0,23.28,109500
2017-02-24,46.2,44.9,44.9,45.9,23.74,120700
2017-02-27,46.2,45.3,45.9,46.2,23.9,134900
2017-02-28,46.4,46.0,46.0,46.1,23.85,100100
2017-03-01,46.4,45.6,46.3,45.6,23.59,99300
2017-03-02,45.8,45.4,45.8,45.7,23.64,91900
2017-03-03,46.8,45.4,45.6,46.7,24.16,131500
2017-03-06,48.6,47.0,47.0,48.6,25.14,111900
2017-03-07,50.0,48.5,48.5,49.7,25.71,117300
2017-03-08,51.4,50.0,50.0,50.8,26.28,99500
2017-03-09,51.2,49.8,51.2,49.9,25.81,100700
2017-03-10,50.6,49.6,50.2,50.6,26.18,104100
2017-03-13,50.7,49.9,50.1,50.5,26.12,75700
2017-03-14,50.7,50.2,50.2,50.5,26.12,72700
2017-03-15,50.6,50.3,50.6,50.6,26.18,74400
2017-03-16,50.6,50.5,50.6,50.5,26.12,92600
2017-03-17,50.6,50.5,50.6,50.5,26.12,88800
2017-03-20,50.8,50.6,50.6,50.6,26.18,74500
2017-03-21,50.7,50.7,50.7,50.7,26.23,75600
2017-03-22,51.0,50.7,50.7,50.8,26.28,86700
2017-03-23,50.9,50.8,50.8,50.8,26.28,74600
2017-03-24,51.0,50.7,50.8,50.7,26.23,88800
2017-03-27,51.2,50.8,50.8,51.0,26.38,76000
2017-03-28,51.1,51.0,51.0,51.0,26.38,78200
2017-03-29,51.1,51.0,51.0,51.1,26.43,82700
2017-03-30,51.1,51.0,51.1,51.0,26.38,75700
2017-03-31,51.5,51.0,51.0,51.3,26.54,74300
2017-04-03,51.7,51.2,51.2,51.5,26.64,75800
2017-04-04,51.9,51.6,51.6,51.7,26.74,82600
2017-04-05,51.7,51.5,51.7,51.5,26.64,75600
2017-04-07,51.6,51.1,51.6,51.1,26.43,70200
2017-04-10,51.3,50.9,51.2,50.9,26.33,69600
2017-04-11,51.2,50.4,51.1,50.4,26.07,66600
2017-04-12,50.8,50.0,50.7,50.0,25.87,66600
2017-04-13,50.6,49.9,50.4,49.9,25.81,70600
2017-04-14,50.3,49.4,50.3,49.5,25.61,71500
2017-04-17,49.7,49.0,49.6,49.0,25.35,70300
2017-04-18,49.4,49.0,49.3,49.1,25.4,60600
2017-04-19,49.3,48.7,49.3,48.7,25.19,61200
2017-04-20,49.0,47.9,49.0,47.9,24.78,55400
2017-04-21,48.6,47.2,48.6,47.3,24.47,56500
2017-04-24,47.5,46.6,47.5,46.7,24.16,114800
2017-04-25,46.8,46.0,46.8,46.0,23.8,56900
2017-04-26,46.5,41.4,46.4,41.4,21.42,104700
2017-04-27,46.0,41.0,44.0,45.9,23.74,101400
2017-04-28,45.0,44.3,44.4,45.0,23.28,52300
2017-05-03,31.8,27.0,29.9,28.0,23.4,148000
2017-05-04,30.5,29.5,29.5,30.0,25.07,113400
2017-05-05,30.8,29.0,29.9,29.0,24.24,77100
2017-05-08,29.2,28.5,29.0,29.1,24.32,110000
2017-05-09,29.2,28.5,29.0,28.6,23.9,88800
2017-05-10,29.2,28.8,28.8,28.9,24.15,76800
2017-05-11,29.1,28.5,29.1,28.6,23.9,86700
2017-05-12,28.8,28.3,28.7,28.6,23.9,80500
2017-05-15,28.6,27.9,28.5,28.1,23.48,95000
2017-05-16,29.0,28.0,28.0,28.4,23.73,80300
2017-05-17,28.3,27.7,28.3,28.3,23.65,95400
2017-05-18,28.0,27.0,28.0,27.3,22.81,75300
2017-05-19,27.9,27.1,27.2,27.8,23.23,88900
2017-05-22,28.0,27.4,27.7,28.0,23.4,70200
2017-05-23,28.0,26.9,27.9,27.3,22.81,95200
2017-05-24,27.2,26.4,27.2,26.5,22.15,84700
2017-05-25,26.5,26.0,26.5,26.3,21.98,85400
2017-05-26,26.5,26.1,26.2,26.4,22.06,88100
2017-05-29,26.8,26.2,26.4,26.7,22.31,88700
2017-05-30,27.1,26.5,26.5,26.8,22.4,81900
2017-05-31,26.9,25.9,26.8,26.1,21.81,86600
2017-06-01,26.0,25.2,26.0,25.6,21.39,90500
2017-06-02,25.6,24.3,25.6,24.6,20.56,117800
2017-06-05,25.2,24.6,24.6,25.0,20.89,97100
2017-06-06,25.2,24.7,24.9,25.1,20.98,108100
2017-06-07,24.9,24.2,24.9,24.5,20.47,97100
2017-06-08,24.6,23.9,24.5,24.0,20.06,87900
2017-06-09,24.3,23.7,24.0,24.3,20.31,77800
2017-06-12,24.9,24.2,24.2,24.6,20.56,70900
2017-06-13,24.8,24.3,24.5,24.4,20.39,68000
2017-06-14,24.8,24.5,24.5,24.7,20.64,78800
2017-06-16,24.9,24.4,24.9,24.5,20.47,84800
2017-06-19,24.8,23.8,24.7,24.2,20.22,95800
2017-06-20,24.2,23.6,24.2,23.6,19.72,91800
2017-06-21,24.2,23.3,23.8,24.2,20.22,84000
2017-06-22,24.6,24.0,24.1,24.4,20.39,69100
2017-06-23,25.2,24.3,24.3,25.2,21.06,93700
2017-06-26,25.3,24.6,24.9,24.6,20.56,89400
2017-06-27,24.8,24.2,24.8,24.3,20.31,67200
2017-06-28,24.8,24.4,24.4,24.7,20.64,85700
