Date,High,Low,Open,Close,adjust,Volume
2020-01-15,21.0,18.5,21.0,18.5,15.59,14970
2020-01-16,17.25,17.25,17.25,17.25,14.53,4800
2020-01-17,16.05,16.05,16.05,16.05,13.52,10440
2020-01-20,16.05,14.95,14.95,16.05,13.52,23100
2020-01-21,17.15,15.0,16.05,17.15,14.45,12030
2020-01-22,17.0,15.95,17.0,15.95,13.44,5560
2020-01-30,15.0,14.85,15.0,14.85,12.51,17300
2020-01-31,14.5,13.85,14.2,13.85,11.67,12900
2020-02-03,13.9,12.9,12.9,12.9,10.87,11140
2020-02-04,13.5,12.2,12.65,12.9,10.87,28040
2020-02-05,12.9,12.8,12.9,12.9,10.87,10350
2020-02-06,13.8,12.9,12.9,13.8,11.63,17690
2020-02-07,13.9,13.5,13.5,13.5,11.37,16480
2020-02-10,13.8,13.2,13.8,13.5,11.37,7790
2020-02-11,13.5,13.5,13.5,13.5,11.37,0
2020-02-12,14.4,13.5,13.8,13.65,11.5,22750
2020-02-13,13.65,13.6,13.65,13.6,11.46,13430
2020-02-14,14.0,14.0,14.0,14.0,11.8,500
2020-02-17,14.0,13.5,14.0,13.6,11.46,13020
2020-02-18,13.6,13.4,13.55,13.6,11.46,42070
2020-02-19,13.6,13.45,13.6,13.6,11.46,7320
2020-02-20,13.9,13.5,13.6,13.9,11.71,21790
2020-02-21,14.0,14.0,14.0,14.0,11.8,10
2020-02-24,14.0,13.5,14.0,13.9,11.71,34170
2020-02-25,14.0,13.5,13.55,13.6,11.46,36100
2020-02-26,14.0,13.6,13.6,13.9,11.71,10760
2020-02-27,14.5,13.9,13.9,14.5,12.22,4160
2020-02-28,14.0,14.0,14.0,14.0,11.8,3020
2020-03-02,13.9,13.6,13.6,13.9,11.71,5000
2020-03-03,14.0,13.9,14.0,13.9,11.71,4600
2020-03-04,13.9,13.6,13.9,13.6,11.46,29400
2020-03-05,13.6,13.6,13.6,13.6,11.46,53010
2020-03-06,13.7,13.5,13.7,13.6,11.46,82280
2020-03-09,13.6,12.9,13.6,13.0,10.95,4040
2020-03-10,13.9,13.0,13.9,13.4,11.29,27140
2020-03-11,13.4,13.0,13.4,13.3,11.21,14130
2020-03-12,13.1,12.4,13.0,12.9,10.87,27080
2020-03-13,12.9,12.1,12.7,12.75,10.74,17480
2020-03-16,13.4,12.7,13.4,12.7,10.7,6630
2020-03-17,13.0,12.4,12.5,12.5,10.53,5480
2020-03-18,12.6,11.75,11.75,12.6,10.62,19650
2020-03-19,13.0,12.2,12.2,12.5,10.53,16730
2020-03-20,12.7,12.5,12.6,12.55,10.57,6460
2020-03-23,12.5,12.2,12.5,12.3,10.36,15730
2020-03-24,12.9,12.0,12.05,12.9,10.87,4010
2020-03-25,12.9,12.7,12.9,12.7,10.7,1090
2020-03-26,12.7,11.9,12.7,11.9,10.03,21800
2020-03-27,12.3,11.9,11.9,12.1,10.19,2140
2020-03-30,12.2,11.9,12.0,12.2,10.28,6850
2020-03-31,12.5,12.0,12.4,12.0,10.11,8100
2020-04-01,12.5,12.4,12.4,12.5,10.53,1700
2020-04-03,13.0,12.5,12.5,12.6,10.62,6750
2020-04-06,13.2,12.5,12.6,13.2,11.12,32820
2020-04-07,13.0,12.8,12.8,12.9,10.87,3210
2020-04-08,13.0,12.8,12.95,12.8,10.78,2180
2020-04-09,13.0,12.7,12.8,12.7,10.7,18490
2020-04-10,13.0,12.6,13.0,12.6,10.62,8960
2020-04-13,13.0,12.6,12.6,12.65,10.66,12720
2020-04-14,13.0,12.65,13.0,12.65,10.66,2060
2020-04-15,12.9,12.55,12.9,12.9,10.87,16720
2020-04-16,12.6,12.5,12.5,12.55,10.57,15190
2020-04-17,12.9,12.5,12.6,12.55,10.57,8580
2020-04-20,12.8,12.5,12.55,12.8,10.78,9230
2020-04-21,12.7,12.3,12.7,12.4,10.45,3010
2020-04-22,12.7,12.2,12.2,12.4,10.45,6180
2020-04-23,12.9,12.0,12.4,12.75,10.74,20110
2020-04-24,12.95,12.5,12.7,12.95,10.91,5010
2020-04-27,13.3,12.8,12.8,13.1,11.04,14350
2020-04-28,14.0,13.5,13.6,14.0,11.8,80140
2020-04-29,14.95,14.95,14.95,14.95,12.6,33060
