Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.8,6.8,6.8,6.8,4.76,861720
2012-01-04,7.0,6.7,7.0,6.8,4.76,2246540
2012-01-05,6.8,6.5,6.5,6.5,4.55,560650
2012-01-06,6.6,6.3,6.5,6.6,4.62,1943840
2012-01-09,6.7,6.4,6.4,6.5,4.55,1293020
2012-01-10,6.8,6.5,6.5,6.8,4.76,2426150
2012-01-11,6.9,6.6,6.9,6.6,4.62,1068460
2012-01-12,6.6,6.4,6.4,6.6,4.62,1930190
2012-01-13,6.7,6.5,6.6,6.6,4.62,222180
2012-01-16,6.9,6.6,6.6,6.8,4.76,912720
2012-01-17,6.8,6.6,6.7,6.6,4.62,1348530
2012-01-18,6.8,6.6,6.7,6.7,4.69,207650
2012-01-19,7.0,6.6,6.7,7.0,4.9,872020
2012-01-20,7.1,6.9,7.0,6.9,4.83,327900
2012-01-30,7.1,6.7,6.9,7.0,4.9,491520
2012-01-31,7.3,7.1,7.2,7.1,4.96,1287400
2012-02-01,7.4,7.0,7.2,7.4,5.17,1952000
2012-02-02,7.7,7.6,7.7,7.7,5.38,520980
2012-02-03,8.0,7.7,8.0,7.7,5.38,3292260
2012-02-06,8.0,7.5,7.8,8.0,5.59,1747760
2012-02-07,8.2,7.8,8.2,8.1,5.66,1541050
2012-02-08,8.5,8.1,8.2,8.5,5.94,1394210
2012-02-09,8.9,8.5,8.6,8.5,5.94,2024980
2012-02-10,8.5,8.1,8.4,8.1,5.66,3015200
2012-02-13,8.0,7.7,8.0,7.7,5.38,1325030
2012-02-14,8.0,7.6,7.6,8.0,5.59,1150260
2012-02-15,8.1,7.8,8.1,8.0,5.59,1453230
2012-02-16,8.2,7.8,7.9,8.1,5.66,1237870
2012-02-17,8.5,8.2,8.3,8.5,5.94,6401380
2012-02-20,8.9,8.9,8.9,8.9,6.22,3942830
2012-02-21,9.3,9.0,9.3,9.0,6.29,4136750
2012-02-22,9.4,9.0,9.0,9.4,6.57,3395740
2012-02-23,9.8,9.5,9.7,9.8,6.85,2010270
2012-02-24,10.2,9.8,9.9,10.0,6.99,5927600
2012-02-27,10.4,9.6,10.0,10.2,7.13,2935910
2012-02-28,10.1,9.7,10.1,9.7,6.78,3336320
2012-02-29,9.8,9.3,9.5,9.8,6.85,2116540
2012-03-01,9.9,9.5,9.8,9.7,6.78,1000700
2012-03-02,10.1,9.7,9.8,10.1,7.06,2462120
2012-03-05,10.6,10.6,10.6,10.6,7.41,302680
2012-03-06,11.1,10.6,11.1,11.1,7.76,5940110
2012-03-07,11.6,10.7,11.0,11.6,8.11,2487680
2012-03-08,12.0,11.1,11.3,11.1,7.76,2301280
2012-03-09,11.5,10.8,11.2,11.3,7.9,1324830
2012-03-12,11.3,10.8,11.3,10.8,7.55,2046760
2012-03-13,11.2,10.5,10.7,10.9,7.62,1727630
2012-03-14,11.1,10.4,11.0,10.4,7.27,2117370
2012-03-15,10.9,9.9,10.2,10.9,7.62,3124750
2012-03-16,11.4,10.5,11.2,10.5,7.34,4707430
2012-03-19,10.8,10.4,10.4,10.6,7.41,2607800
2012-03-20,10.8,10.5,10.6,10.8,7.55,2786590
2012-03-21,11.3,10.9,11.0,11.2,7.83,3813990
2012-03-22,11.3,10.8,11.2,11.1,7.76,4594000
2012-03-23,11.5,11.1,11.2,11.4,7.97,2388780
2012-03-26,11.6,11.2,11.5,11.4,7.97,2676470
2012-03-27,11.9,11.5,11.9,11.5,8.04,4869990
2012-03-28,11.6,11.1,11.5,11.4,7.97,1859080
2012-03-29,11.5,10.9,11.4,10.9,7.62,2355580
2012-03-30,11.3,10.5,10.9,11.0,7.69,1788570
2012-04-03,11.4,11.0,11.2,11.3,7.9,1126980
2012-04-04,11.4,10.9,11.4,10.9,7.62,1264560
2012-04-05,11.2,10.7,10.8,11.0,7.69,1516690
2012-04-06,11.4,11.1,11.2,11.1,7.76,2718630
2012-04-09,11.4,11.1,11.2,11.2,7.83,4139910
2012-04-10,9.0,9.0,9.0,9.0,8.18,1229320
2012-04-11,9.4,9.4,9.4,9.4,8.55,1123210
2012-04-12,9.8,9.8,9.8,9.8,8.91,611340
2012-04-13,10.2,9.8,10.2,9.8,8.91,6929510
2012-04-16,10.2,9.7,9.7,10.1,9.18,3767120
2012-04-17,10.2,9.9,10.1,9.9,9.0,2748640
2012-04-18,10.0,9.7,9.9,9.7,8.82,2916230
2012-04-19,9.7,9.3,9.6,9.3,8.45,2581160
2012-04-20,9.5,9.0,9.3,9.3,8.45,1590620
2012-04-23,9.7,9.3,9.4,9.3,8.45,1524780
2012-04-24,9.5,9.1,9.3,9.4,8.55,2865260
2012-04-25,9.7,9.4,9.5,9.6,8.73,3869330
2012-04-26,9.6,9.3,9.6,9.3,8.45,1830960
