Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.5,7.2,7.4,7.3,4.65,82140
2012-01-04,7.3,7.1,7.2,7.2,4.59,53060
2012-01-05,7.2,6.9,7.1,6.9,4.4,97720
2012-01-06,7.0,6.9,6.9,6.9,4.4,30220
2012-01-09,6.9,6.6,6.8,6.9,4.4,95710
2012-01-10,7.0,6.6,6.7,6.8,4.33,157520
2012-01-11,6.9,6.6,6.9,6.6,4.21,149270
2012-01-12,6.6,6.4,6.6,6.4,4.08,67210
2012-01-13,6.3,6.2,6.2,6.2,3.95,127370
2012-01-16,6.5,6.3,6.4,6.5,4.14,89650
2012-01-17,6.6,6.4,6.5,6.5,4.14,42120
2012-01-18,6.6,6.4,6.5,6.5,4.14,32500
2012-01-19,6.8,6.5,6.5,6.8,4.33,159160
2012-01-20,6.9,6.6,6.7,6.8,4.33,101050
2012-01-30,6.8,6.6,6.7,6.8,4.33,47980
2012-01-31,7.0,6.8,6.9,6.8,4.33,246580
2012-02-01,6.9,6.6,6.9,6.8,4.33,142780
2012-02-02,7.1,6.8,6.8,7.1,4.53,381820
2012-02-03,7.4,6.9,7.4,6.9,4.4,527520
2012-02-06,6.9,6.7,6.9,6.9,4.4,152740
2012-02-07,7.2,6.6,7.2,6.9,4.4,313520
2012-02-08,7.2,6.9,7.0,7.2,4.59,560500
2012-02-09,7.5,7.5,7.5,7.5,4.78,408450
2012-02-10,7.7,7.2,7.5,7.2,4.59,995550
2012-02-13,7.2,7.0,7.2,7.1,4.53,389540
2012-02-14,7.4,7.1,7.1,7.4,4.72,423420
2012-02-15,7.4,7.1,7.4,7.2,4.59,314060
2012-02-16,7.3,7.0,7.0,7.0,4.46,595290
2012-02-17,7.3,7.0,7.0,7.3,4.65,407210
2012-02-20,7.6,7.3,7.4,7.6,4.84,1123130
2012-02-21,7.9,7.7,7.9,7.8,4.97,1257370
2012-02-22,8.1,7.7,7.7,8.1,5.16,458670
2012-02-23,8.5,8.5,8.5,8.5,5.42,452560
2012-02-24,8.9,8.7,8.9,8.8,5.61,1458240
2012-02-27,9.2,8.6,8.8,9.2,5.86,1319830
2012-02-28,9.4,8.8,9.4,8.8,5.61,1304140
2012-02-29,9.0,8.6,8.6,9.0,5.74,622870
2012-03-01,9.1,8.8,9.0,9.0,5.74,564060
2012-03-02,9.4,8.8,9.0,9.3,5.93,765910
2012-03-05,9.7,9.6,9.6,9.7,6.18,602380
2012-03-06,10.1,9.3,10.1,9.4,5.99,1807680
2012-03-07,9.7,9.0,9.2,9.7,6.18,871980
2012-03-08,10.1,9.4,9.4,9.8,6.25,1746740
2012-03-09,10.2,9.8,9.8,10.2,6.5,901330
2012-03-12,10.2,9.7,10.2,9.7,6.18,739100
2012-03-13,9.8,9.4,9.7,9.7,6.18,434320
2012-03-14,9.7,9.3,9.6,9.3,5.93,672020
2012-03-15,9.2,8.5,8.6,9.2,6.2,603250
2012-03-16,9.6,9.5,9.6,9.5,6.4,1684950
2012-03-19,9.7,9.2,9.3,9.3,6.26,536020
2012-03-20,9.6,9.3,9.3,9.5,6.4,712860
2012-03-21,9.9,9.6,9.7,9.9,6.67,1064610
2012-03-22,10.3,10.0,10.1,10.3,6.94,1787680
2012-03-23,10.8,10.6,10.7,10.8,7.27,1301640
2012-03-26,11.3,10.7,10.8,11.3,7.61,1609650
2012-03-27,11.7,10.8,11.1,10.8,7.27,1439220
2012-03-28,10.8,10.3,10.5,10.5,7.07,887740
2012-03-29,10.8,10.0,10.5,10.0,6.74,1226580
2012-03-30,10.0,9.5,9.7,9.6,6.47,1116170
2012-04-03,10.0,9.4,9.4,10.0,6.74,522900
2012-04-04,10.2,9.6,9.9,9.6,6.47,473060
2012-04-05,10.0,9.5,9.5,10.0,6.74,918360
2012-04-06,10.5,10.3,10.5,10.5,7.07,865080
2012-04-09,11.0,10.8,11.0,11.0,7.41,1016690
2012-04-10,11.5,10.7,11.3,11.0,7.41,1296760
2012-04-11,11.5,11.5,11.5,11.5,7.75,521450
2012-04-12,12.0,12.0,12.0,12.0,8.08,84630
2012-04-13,12.6,12.0,12.6,12.0,8.08,4195060
2012-04-16,12.6,12.2,12.2,12.6,8.49,662700
2012-04-17,13.2,13.0,13.2,13.2,8.89,1556840
2012-04-18,13.6,12.8,13.5,13.0,8.76,1843830
2012-04-19,13.0,12.4,12.8,12.4,8.35,1472640
2012-04-20,12.5,11.8,12.1,12.1,8.15,1127240
2012-04-23,12.7,12.3,12.5,12.5,8.42,1044670
2012-04-24,13.1,12.1,12.5,13.1,8.82,1076540
2012-04-25,13.7,13.4,13.7,13.7,9.23,2428370
2012-04-26,13.7,13.1,13.3,13.1,8.82,2085260
2012-04-27,13.7,12.8,12.8,13.6,9.16,1244950
2012-05-02,13.9,13.0,13.6,13.0,8.76,961830
2012-05-03,13.3,12.5,12.9,13.0,8.76,1374010
2012-05-04,13.4,13.0,13.0,13.2,8.89,953680
2012-05-07,13.3,12.9,13.2,13.1,8.82,1058720
2012-05-08,13.6,12.8,13.1,13.1,8.82,1485410
2012-05-09,13.5,12.8,13.2,13.5,9.09,1090550
2012-05-10,14.1,13.9,14.1,14.1,9.5,2653030
2012-05-11,14.5,13.6,14.5,13.6,9.16,1213840
2012-05-14,13.4,13.0,13.3,13.0,8.76,1377310
2012-05-15,12.9,12.4,12.6,12.4,8.35,1041050
2012-05-16,12.5,11.8,12.4,12.4,8.35,1022490
2012-05-17,12.7,11.8,12.5,11.8,7.95,644420
2012-05-18,11.6,11.3,11.4,11.3,7.61,962890
2012-05-21,11.8,11.2,11.3,11.8,7.95,738220
2012-05-22,11.9,11.4,11.9,11.5,7.75,795620
2012-05-23,11.3,11.0,11.1,11.0,7.41,729660
2012-05-24,10.8,10.5,10.7,10.5,7.07,465910
2012-05-25,11.0,10.7,10.7,11.0,7.41,446630
2012-05-28,11.5,11.0,11.5,11.3,7.61,941500
2012-05-29,11.3,10.9,11.0,11.1,7.48,420620
2012-05-30,11.6,11.2,11.2,11.5,7.75,628490
2012-05-31,11.5,11.0,11.2,11.1,7.48,317680
2012-06-01,11.5,11.0,11.3,11.2,7.54,456570
2012-06-04,11.0,10.7,11.0,10.7,7.21,788620
2012-06-05,11.1,10.5,10.7,11.1,7.48,260970
2012-06-06,11.6,10.8,11.1,11.6,7.81,528780
2012-06-07,12.1,11.6,11.6,11.8,7.95,938520
2012-06-08,12.3,11.8,12.1,11.9,8.02,1370160
2012-06-11,12.3,11.8,11.8,12.0,8.08,738240
2012-06-12,12.0,11.6,11.9,11.7,7.88,393430
2012-06-13,11.7,11.3,11.7,11.3,7.61,498450
2012-06-14,11.5,11.2,11.3,11.3,7.61,585740
2012-06-15,11.8,11.4,11.4,11.7,7.88,683510
2012-06-18,12.2,11.7,12.0,11.8,7.95,354980
2012-06-19,11.6,11.4,11.5,11.4,7.68,257700
2012-06-20,11.8,11.3,11.5,11.5,7.75,458310
2012-06-21,11.6,11.4,11.4,11.6,7.81,312090
2012-06-22,11.6,11.2,11.6,11.5,7.75,367380
2012-06-25,11.4,11.0,11.4,11.0,7.41,551370
2012-06-26,10.8,10.5,10.8,10.6,7.14,522900
2012-06-27,10.9,10.4,10.9,10.4,7.01,430610
2012-06-28,10.4,10.0,10.2,10.3,6.94,437100
2012-06-29,10.5,10.3,10.3,10.5,7.07,450840
2012-07-02,10.6,10.0,10.6,10.0,6.74,263360
2012-07-03,9.9,9.5,9.7,9.5,6.4,208690
2012-07-04,9.6,9.1,9.5,9.1,6.13,329450
2012-07-05,9.2,8.8,9.1,9.2,6.2,283860
2012-07-06,9.6,9.2,9.3,9.6,6.47,238590
2012-07-09,9.4,9.2,9.3,9.2,6.2,77110
2012-07-10,9.3,8.9,9.2,9.0,6.06,243650
2012-07-11,9.2,9.0,9.0,9.2,6.2,142570
2012-07-12,9.4,9.1,9.1,9.3,6.26,120470
2012-07-13,9.7,9.2,9.2,9.5,6.4,624710
2012-07-16,9.8,9.3,9.5,9.3,6.26,207580
2012-07-17,9.7,9.1,9.1,9.7,6.53,421390
2012-07-18,9.9,9.5,9.7,9.8,6.6,209880
2012-07-19,10.2,9.6,9.7,10.2,6.87,631190
2012-07-20,10.7,10.5,10.7,10.5,7.07,1399350
2012-07-23,10.6,10.0,10.3,10.2,6.87,739560
2012-07-24,10.0,9.7,9.9,9.7,6.53,422920
2012-07-25,9.8,9.4,9.7,9.5,6.4,246150
2012-07-26,9.7,9.3,9.7,9.6,6.47,309330
2012-07-27,9.7,9.3,9.6,9.3,6.26,283230
2012-07-30,9.4,9.1,9.1,9.3,6.26,121870
2012-07-31,9.5,9.2,9.2,9.3,6.26,91950
2012-08-01,9.3,8.9,9.3,9.2,6.2,185710
2012-08-02,9.4,9.2,9.3,9.2,6.2,64680
2012-08-03,9.4,9.2,9.2,9.3,6.26,94590
2012-08-06,9.7,9.4,9.4,9.7,6.53,286090
2012-08-07,9.8,9.5,9.7,9.5,6.4,257410
2012-08-08,9.7,9.5,9.6,9.6,6.47,126220
2012-08-09,10.0,9.8,9.8,9.8,6.6,585800
2012-08-10,10.0,9.7,9.7,9.9,6.67,150450
2012-08-13,9.8,9.6,9.7,9.7,6.53,146840
2012-08-14,10.0,9.8,9.8,9.9,6.67,214440
2012-08-15,10.0,9.7,10.0,9.7,6.53,96670
2012-08-16,9.8,9.6,9.8,9.7,6.53,127300
2012-08-17,9.9,9.7,9.7,9.9,6.67,256450
2012-08-20,10.2,9.9,10.0,10.1,6.8,254780
2012-08-21,9.9,9.6,9.8,9.6,6.47,702020
2012-08-22,9.5,9.2,9.3,9.2,6.2,824740
2012-08-23,8.8,8.8,8.8,8.8,5.93,69450
2012-08-24,9.0,8.4,8.4,8.6,5.79,1313840
2012-08-27,8.4,8.2,8.2,8.2,5.52,572400
2012-08-28,8.0,7.8,7.9,7.8,5.25,662060
2012-08-29,8.1,7.9,8.0,8.1,5.46,428720
2012-08-30,8.3,7.8,8.1,7.8,5.25,294730
2012-08-31,8.0,7.8,8.0,7.9,5.32,136650
2012-09-04,8.0,7.8,8.0,7.8,5.25,207530
2012-09-05,7.9,7.5,7.9,7.5,5.05,387850
2012-09-06,7.5,7.2,7.4,7.2,4.85,208660
2012-09-07,7.4,7.0,7.2,7.4,4.98,457500
2012-09-10,7.2,7.1,7.2,7.1,4.78,310870
2012-09-11,7.0,6.8,6.8,6.8,4.58,276740
2012-09-12,7.1,6.8,6.9,6.8,4.58,190820
2012-09-13,7.1,6.7,6.9,7.1,4.78,359200
